Row 18: {'time': '2000-03-11 04:03:03', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 0, 'e': 6, 'total_count': 223}
Row 19: {'time': '2000-03-11 13:18:56', 'p_a_conj': 0, 'p_a_maj': 4, 'p_a_min': 3, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_min': 7, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 5, 'total_count': 271}
Row 20: {'time': '2000-03-11 08:16:23', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 2, 'e': 7, 'total_count': 244}
Row 21: {'time': '2000-03-11 13:49:51', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 0, 'e': 9, 'total_count': 120}
Row 22: {'time': '2000-03-11 15:29:28', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 7, 'total_count': 176}
Row 23: {'time': '2000-03-11 02:21:28', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_min': 4, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 2, 'e': 6, 'total_count': 234}
Row 24: {'time': '2000-03-11 06:31:28', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 3, 'e': 4, 'total_count': 252}
Row 25: {'time': '2000-03-11 13:41:12', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 3, 'e': 5, 'total_count': 264}
Row 26: {'time': '2000-03-11 17:53:52', 'p_a_conj': 3, 'p_a_maj': 7, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 4, 'total_count': 380}
Row 27: {'time': '2000-03-11 11:26:47', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 2, 'e': 5, 'total_count': 179}
Row 28: {'time': '2000-03-11 07:49:19', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 4, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 2, 'e': 6, 'total_count': 269}
Row 29: {'time': '2000-03-11 15:11:59', 'p_a_conj': 3, 'p_a_maj': 2, 'p_a_min': 2, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 3, 'e': 4, 'total_count': 249}
Row 30: {'time': '2000-03-11 04:07:04', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 1, 'e': 9, 'total_count': 102}
Row 31: {'time': '2000-03-11 13:40:00', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 0, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 2, 'e': 6, 'total_count': 222}
Row 32: {'time': '2000-03-11 15:44:39', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 1, 'e': 5, 'total_count': 170}
Row 33: {'time': '2000-03-11 12:09:04', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_min': 0, 'e': 8, 'total_count': 225}
Row 34: {'time': '2000-03-11 06:30:16', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 8, 'total_count': 155}
Row 35: {'time': '2000-03-11 10:03:43', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 2, 'e': 7, 'total_count': 122}
Row 36: {'time': '2000-03-11 02:53:28', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 0, 'e': 9, 'total_count': 127}
Row 37: {'time': '2000-03-11 16:20:56', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 0, 'a_p_maj': 4, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 4, 'h_p_min': 0, 'e': 5, 'total_count': 216}
Row 38: {'time': '2000-03-11 06:06:56', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_min': 3, 'e': 3, 'total_count': 229}
Row 39: {'time': '2000-03-11 15:50:56', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 3, 'e': 3, 'total_count': 231}
Row 40: {'time': '2000-03-11 16:40:31', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 2, 'e': 6, 'total_count': 186}
Row 41: {'time': '2000-03-11 04:12:15', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 6, 'total_count': 190}
Row 42: {'time': '2000-03-11 02:31:20', 'p_a_conj': 3, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_min': 2, 'e': 7, 'total_count': 249}
Row 43: {'time': '2000-03-11 10:25:51', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 0, 'e': 8, 'total_count': 128}
Row 44: {'time': '2000-03-11 07:37:11', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 3, 'e': 4, 'total_count': 213}
Row 45: {'time': '2000-03-11 08:01:36', 'p_a_conj': 3, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 0, 'e': 5, 'total_count': 261}
Row 46: {'time': '2000-03-11 08:37:44', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 5, 'h_p_min': 2, 'e': 7, 'total_count': 209}
