Row 37: {'time': '2000-03-11 16:20:56', 'p_a_conj': 3, 'p_a_maj': 25, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 45}
Row 38: {'time': '2000-03-11 06:06:56', 'p_a_conj': 7, 'p_a_maj': 22, 'p_a_min': 23, 'a_p_conj': 0, 'e': 1, 'total_count': 52}
Row 39: {'time': '2000-03-11 15:50:56', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 52}
Row 40: {'time': '2000-03-11 16:40:31', 'p_a_conj': 4, 'p_a_maj': 12, 'p_a_min': 24, 'a_p_conj': 0, 'e': 1, 'total_count': 40}
Row 41: {'time': '2000-03-11 04:12:15', 'p_a_conj': 8, 'p_a_maj': 18, 'p_a_min': 26, 'a_p_conj': 0, 'e': 3, 'total_count': 52}
Row 42: {'time': '2000-03-11 02:31:20', 'p_a_conj': 6, 'p_a_maj': 13, 'p_a_min': 25, 'a_p_conj': 0, 'e': 0, 'total_count': 44}
Row 43: {'time': '2000-03-11 10:25:51', 'p_a_conj': 7, 'p_a_maj': 17, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 46}
Row 44: {'time': '2000-03-11 07:37:11', 'p_a_conj': 6, 'p_a_maj': 18, 'p_a_min': 27, 'a_p_conj': 0, 'e': 0, 'total_count': 51}
Row 45: {'time': '2000-03-11 08:01:36', 'p_a_conj': 3, 'p_a_maj': 19, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 40}
Row 46: {'time': '2000-03-11 08:37:44', 'p_a_conj': 9, 'p_a_maj': 15, 'p_a_min': 24, 'a_p_conj': 0, 'e': 1, 'total_count': 48}
Row 47: {'time': '2000-03-11 10:02:31', 'p_a_conj': 2, 'p_a_maj': 15, 'p_a_min': 25, 'a_p_conj': 0, 'e': 0, 'total_count': 42}
Row 48: {'time': '2000-03-11 10:27:27', 'p_a_conj': 8, 'p_a_maj': 14, 'p_a_min': 23, 'a_p_conj': 0, 'e': 0, 'total_count': 45}
Row 49: {'time': '2000-03-11 03:27:51', 'p_a_conj': 9, 'p_a_maj': 14, 'p_a_min': 28, 'a_p_conj': 0, 'e': 2, 'total_count': 51}
Row 50: {'time': '2000-03-11 08:28:23', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_min': 32, 'a_p_conj': 0, 'e': 0, 'total_count': 54}
Row 51: {'time': '2000-03-11 05:13:12', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_min': 23, 'a_p_conj': 0, 'e': 4, 'total_count': 41}
Row 52: {'time': '2000-03-11 12:28:47', 'p_a_conj': 5, 'p_a_maj': 20, 'p_a_min': 27, 'a_p_conj': 0, 'e': 1, 'total_count': 52}
Row 53: {'time': '2000-03-11 11:36:00', 'p_a_conj': 6, 'p_a_maj': 16, 'p_a_min': 24, 'a_p_conj': 0, 'e': 1, 'total_count': 46}
Row 54: {'time': '2000-03-11 14:10:40', 'p_a_conj': 2, 'p_a_maj': 21, 'p_a_min': 25, 'a_p_conj': 0, 'e': 0, 'total_count': 48}
Row 55: {'time': '2000-03-11 14:19:04', 'p_a_conj': 5, 'p_a_maj': 20, 'p_a_min': 28, 'a_p_conj': 0, 'e': 1, 'total_count': 53}
Row 56: {'time': '2000-03-11 11:28:47', 'p_a_conj': 7, 'p_a_maj': 18, 'p_a_min': 25, 'a_p_conj': 0, 'e': 1, 'total_count': 50}
Row 57: {'time': '2000-03-11 11:37:04', 'p_a_conj': 5, 'p_a_maj': 18, 'p_a_min': 26, 'a_p_conj': 0, 'e': 1, 'total_count': 49}
Row 58: {'time': '2000-03-11 09:25:35', 'p_a_conj': 5, 'p_a_maj': 20, 'p_a_min': 19, 'a_p_conj': 0, 'e': 1, 'total_count': 44}
Row 59: {'time': '2000-03-11 08:22:08', 'p_a_conj': 3, 'p_a_maj': 17, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 41}
Row 60: {'time': '2000-03-11 05:36:56', 'p_a_conj': 8, 'p_a_maj': 20, 'p_a_min': 27, 'a_p_conj': 0, 'e': 1, 'total_count': 55}
Row 61: {'time': '2000-03-11 17:30:08', 'p_a_conj': 6, 'p_a_maj': 24, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 48}
Row 62: {'time': '2000-03-11 05:35:28', 'p_a_conj': 10, 'p_a_maj': 22, 'p_a_min': 26, 'a_p_conj': 0, 'e': 1, 'total_count': 58}
Row 63: {'time': '2000-03-11 10:23:35', 'p_a_conj': 6, 'p_a_maj': 21, 'p_a_min': 23, 'a_p_conj': 0, 'e': 1, 'total_count': 50}
Row 64: {'time': '2000-03-11 03:20:39', 'p_a_conj': 7, 'p_a_maj': 19, 'p_a_min': 23, 'a_p_conj': 0, 'e': 2, 'total_count': 49}
Row 65: {'time': '2000-03-11 10:15:35', 'p_a_conj': 6, 'p_a_maj': 26, 'p_a_min': 20, 'a_p_conj': 0, 'e': 2, 'total_count': 52}
Row 66: {'time': '2000-03-11 11:38:47', 'p_a_conj': 2, 'p_a_maj': 19, 'p_a_min': 25, 'a_p_conj': 0, 'e': 1, 'total_count': 46}
Row 67: {'time': '2000-03-11 05:01:36', 'p_a_conj': 8, 'p_a_maj': 18, 'p_a_min': 25, 'a_p_conj': 0, 'e': 4, 'total_count': 51}
Row 68: {'time': '2000-03-11 06:48:47', 'p_a_conj': 8, 'p_a_maj': 14, 'p_a_min': 25, 'a_p_conj': 0, 'e': 1, 'total_count': 47}
Row 69: {'time': '2000-03-11 16:04:23', 'p_a_conj': 7, 'p_a_maj': 20, 'p_a_min': 21, 'a_p_conj': 0, 'e': 1, 'total_count': 48}
Row 70: {'time': '2000-03-11 08:49:36', 'p_a_conj': 4, 'p_a_maj': 23, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 49}
