['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 05:47:36', '0', '1', "(Mean_Node,121.347,(r)) (Sun,1.429,(p)) (trine,4.89')\n(Moon,200.697,(p)) (H3,80.575,(p)) (trine,7.37')", '3', "(H10,283.015,(r)) (Venus,342.988,(p)) (sextile,1.60')\n(H9,251.819,(r)) (Moon,251.700,(c)) (conjunction,7.11')\n(Moon,251.700,(c)) (Venus,311.467,(c)) (sextile,14.01')\n(Jupiter,32.199,(c)) (H10,272.085,(c)) (trine,6.83')", "(Mean_Node,121.347,(r)) (Mars,31.423,(p)) (square,4.54')", "(Sun,4.919,(p)) (Moon,245.028,(p)) (trine,6.49')", "(Moon,54.183,(r)) (H8,234.005,(p)) (opposition,10.66')\n(H8,221.441,(r)) (Moon,221.958,(c)) (conjunction,31.01')\n(Moon,221.958,(c)) (Saturn,42.015,(c)) (opposition,3.43')", '8', "(Mercury,333.470,(r)) (Sun,333.395,(c)) (conjunction,4.52')\n(H1,12.686,(r)) (Moon,192.368,(c)) (opposition,19.10')", "(Neptune,305.681,(r)) (Venus,305.567,(c)) (conjunction,6.86')", "(Venus,327.230,(r)) (H7,207.248,(p)) (trine,1.11')", '12', '13', "(Uranus,318.695,(r)) (Moon,139.174,(c)) (opposition,28.74')", '15', 16]
['2000-03-11 07:27:35', '0', '1', "(Mean_Node,121.344,(r)) (Sun,1.498,(p)) (trine,9.23')\n(H1,34.892,(r)) (Mercury,334.986,(p)) (sextile,5.65')\n(POF,99.013,(r)) (Moon,279.046,(c)) (opposition,1.99')", '3', '4', "(Mean_Node,121.344,(r)) (Mars,31.474,(p)) (square,7.81')", '6', "(Saturn,43.322,(r)) (Moon,222.823,(c)) (opposition,29.89')", '8', "(Venus,348.950,(p)) (H1,48.781,(p)) (sextile,10.17')\n(Sun,351.033,(r)) (H10,291.120,(c)) (sextile,5.23')\n(Mercury,333.444,(r)) (Sun,333.465,(c)) (conjunction,1.29')", "(Uranus,318.698,(r)) (H1,48.796,(p)) (square,5.86')\n(Neptune,305.683,(r)) (Venus,305.653,(c)) (conjunction,1.82')", '11', "(Mars,21.310,(r)) (H9,291.251,(p)) (square,3.51')", "(H4,126.815,(r)) (Mars,36.820,(p)) (square,0.27')", "(Mercury,333.444,(r)) (Moon,333.814,(p)) (conjunction,22.24')", "(Venus,327.316,(r)) (H10,327.261,(p)) (conjunction,3.25')", 14]
['2000-03-11 07:13:27', "(H7,211.785,(r)) (Mean_Node,121.794,(c)) (square,0.55')", '1', "(Mean_Node,121.344,(r)) (Sun,1.488,(p)) (trine,8.62')\n(Venus,340.292,(p)) (H1,40.188,(p)) (sextile,6.23')\n(Venus,340.292,(p)) (H3,100.373,(p)) (trine,4.84')", "(Moon,261.527,(c)) (H1,21.944,(c)) (trine,25.01')\n(Moon,261.527,(c)) (H9,261.277,(c)) (conjunction,15.00')", '4', "(Mean_Node,121.344,(r)) (Mars,31.467,(p)) (square,7.35')\n(Mars,21.303,(r)) (H10,291.143,(c)) (square,9.56')", "(Sun,351.023,(r)) (H4,110.895,(c)) (trine,7.66')", '7', "(H10,303.363,(r)) (Mars,33.266,(p)) (square,5.80')", "(Mercury,333.447,(r)) (Sun,333.455,(c)) (conjunction,0.47')\n(H3,91.462,(r)) (Jupiter,31.344,(c)) (sextile,7.07')", "(Neptune,305.683,(r)) (Venus,305.640,(c)) (conjunction,2.53')", "(Uranus,319.544,(p)) (H4,139.624,(p)) (opposition,4.81')", '12', '13', "(Mercury,333.447,(r)) (Moon,333.690,(p)) (conjunction,14.53')\n(Uranus,318.698,(r)) (H1,48.724,(p)) (square,1.56')", '15', 16]
['2000-03-11 07:03:59', '0', '1', "(Mean_Node,121.345,(r)) (Sun,1.481,(p)) (trine,8.21')", '3', '4', "(Saturn,43.320,(r)) (H10,313.388,(p)) (square,4.09')\n(Mean_Node,121.345,(r)) (Mars,31.462,(p)) (square,7.04')", "(Uranus,317.944,(c)) (H7,198.115,(c)) (trine,10.28')", "(Saturn,44.884,(p)) (H4,134.712,(p)) (square,10.31')", '8', "(Moon,54.925,(r)) (POF,234.792,(c)) (opposition,8.01')\n(Mercury,333.450,(r)) (Sun,333.449,(c)) (conjunction,0.08')", "(Neptune,305.683,(r)) (Venus,305.632,(c)) (conjunction,3.01')", "(Venus,327.295,(r)) (POF,327.289,(p)) (conjunction,0.40')", "(Pluto,252.897,(r)) (H9,252.884,(c)) (conjunction,0.78')\n(Pluto,252.746,(c)) (H9,252.884,(c)) (conjunction,8.30')", '13', "(Mercury,333.450,(r)) (Moon,333.606,(p)) (conjunction,9.37')", '15', 12]
['2000-03-11 07:37:11', "(Mean_Node,121.343,(r)) (H4,121.513,(c)) (conjunction,10.17')", '1', "(Uranus,318.698,(r)) (H10,318.798,(p)) (conjunction,5.97')\n(Mean_Node,121.343,(r)) (Sun,1.504,(p)) (trine,9.65')\n(H1,36.996,(r)) (Jupiter,36.927,(p)) (conjunction,4.12')\n(H3,96.958,(r)) (Jupiter,36.927,(p)) (sextile,1.89')", "(Venus,327.324,(r)) (H1,27.212,(c)) (sextile,6.69')", '4', "(Mean_Node,121.343,(r)) (Mars,31.479,(p)) (square,8.13')", "(H3,96.958,(r)) (Sun,336.973,(c)) (trine,0.88')\n(H7,216.996,(r)) (Sun,336.973,(c)) (trine,1.36')", "(Saturn,43.322,(r)) (Moon,222.906,(c)) (opposition,24.95')", '8', "(Sun,351.040,(r)) (H1,50.858,(p)) (sextile,10.90')\n(Mercury,333.441,(r)) (Sun,333.472,(c)) (conjunction,1.84')", "(Neptune,305.683,(r)) (Venus,305.661,(c)) (conjunction,1.34')", "(Moon,292.402,(p)) (H3,112.479,(p)) (opposition,4.63')", "(Mars,21.315,(r)) (H1,21.151,(c)) (conjunction,9.83')\n(H9,276.958,(r)) (Mars,6.900,(c)) (square,3.52')", "(H7,216.996,(r)) (Mars,36.825,(p)) (opposition,10.26')", "(Mercury,333.441,(r)) (Moon,333.899,(p)) (conjunction,27.47')\n(H1,36.996,(r)) (Mars,37.014,(p)) (conjunction,1.09')", "(Uranus,318.698,(r)) (H1,18.575,(c)) (sextile,7.42')", 20]
['2000-03-11 06:56:39', "(Mars,21.294,(r)) (H7,201.116,(c)) (opposition,10.70')", "(Jupiter,36.599,(p)) (POF,216.759,(p)) (opposition,9.58')", "(Mean_Node,121.345,(r)) (Sun,1.476,(p)) (trine,7.89')\n(Uranus,318.697,(r)) (H3,78.702,(c)) (trine,0.30')", "(Uranus,318.057,(c)) (H1,18.198,(c)) (sextile,8.44')", '4', "(Mean_Node,121.345,(r)) (Mars,31.458,(p)) (square,6.80')", '6', '7', "(Saturn,43.320,(r)) (H8,223.427,(c)) (opposition,6.43')", "(Mercury,333.452,(r)) (Sun,333.443,(c)) (conjunction,0.50')\n(Moon,193.006,(c)) (H1,13.524,(c)) (opposition,31.10')\n(Moon,193.006,(c)) (H3,72.673,(c)) (trine,19.95')", "(Saturn,45.141,(p)) (H10,314.990,(p)) (square,9.07')\n(Neptune,305.682,(r)) (Venus,305.626,(c)) (conjunction,3.38')", '11', "(Saturn,43.320,(r)) (H1,43.394,(p)) (conjunction,4.48')", '13', "(Mercury,333.452,(r)) (Moon,333.541,(p)) (conjunction,5.37')", "(Moon,54.854,(r)) (Venus,354.715,(p)) (sextile,8.34')\n(Mercury,345.741,(p)) (H1,45.771,(p)) (sextile,1.81')", 16]
['2000-03-11 07:42:23', "(Mean_Node,121.343,(r)) (H7,211.250,(c)) (square,5.60')", "(Uranus,318.699,(r)) (H4,138.742,(p)) (opposition,2.58')", "(Mean_Node,121.343,(r)) (Sun,1.508,(p)) (trine,9.88')", '3', "(Venus,327.328,(r)) (H9,267.233,(c)) (sextile,5.69')\n(H9,278.171,(r)) (Sun,338.262,(c)) (sextile,5.47')", "(Mean_Node,121.343,(r)) (Mars,31.481,(p)) (square,8.30')", '6', "(Moon,260.068,(p)) (H8,259.696,(p)) (conjunction,22.31')\n(Saturn,43.323,(r)) (Moon,222.951,(c)) (opposition,22.28')", '8', "(Mercury,333.440,(r)) (Sun,333.476,(c)) (conjunction,2.14')", "(Neptune,305.683,(r)) (Venus,305.665,(c)) (conjunction,1.07')", "(Moon,292.445,(p)) (H7,232.319,(p)) (sextile,7.54')", '12', "(Mars,21.318,(r)) (H4,111.404,(c)) (square,5.15')", "(Mercury,333.440,(r)) (Moon,333.945,(p)) (conjunction,30.31')\n(Mars,21.318,(r)) (H10,291.168,(c)) (square,8.99')", '15', 14]
['2000-03-11 07:38:39', "(Saturn,44.167,(p)) (H7,224.072,(p)) (opposition,5.72')\n(Mean_Node,121.793,(c)) (H4,121.868,(c)) (conjunction,4.49')", "(Mean_Node,121.343,(r)) (H4,121.387,(c)) (conjunction,2.59')", "(Mean_Node,121.343,(r)) (Sun,1.505,(p)) (trine,9.72')\n(Uranus,319.213,(p)) (H10,319.171,(p)) (conjunction,2.52')\n(Venus,327.325,(r)) (POF,327.384,(c)) (conjunction,3.50')", "(H1,37.317,(r)) (Jupiter,37.247,(p)) (conjunction,4.18')\n(H9,277.300,(r)) (Jupiter,37.247,(p)) (trine,3.18')", "(H1,37.317,(r)) (Jupiter,37.415,(p)) (conjunction,5.90')\n(H9,277.300,(r)) (Jupiter,37.415,(p)) (trine,6.89')", "(Mean_Node,121.343,(r)) (Mars,31.480,(p)) (square,8.17')", "(H7,217.317,(r)) (Mercury,337.491,(p)) (trine,10.49')", "(Saturn,43.322,(r)) (Moon,222.919,(c)) (opposition,24.20')", '8', "(Sun,351.041,(r)) (H1,51.175,(p)) (sextile,8.07')\n(Mercury,333.441,(r)) (Sun,333.473,(c)) (conjunction,1.93')", "(Neptune,305.683,(r)) (Venus,305.662,(c)) (conjunction,1.26')", "(Moon,292.414,(p)) (H3,112.837,(p)) (opposition,25.35')", "(Mars,21.316,(r)) (H1,21.478,(c)) (conjunction,9.73')", '13', "(Mercury,333.441,(r)) (Moon,333.912,(p)) (conjunction,28.27')", "(Venus,354.751,(p)) (H1,54.858,(p)) (sextile,6.42')", 20]
['2000-03-11 07:55:59', '0', "(Mercury,333.436,(r)) (H3,93.582,(c)) (trine,8.75')", "(Mean_Node,121.343,(r)) (Sun,1.517,(p)) (trine,10.47')\n(Jupiter,32.637,(c)) (H1,32.579,(c)) (conjunction,3.46')", "(H1,41.102,(r)) (Moon,220.817,(p)) (opposition,17.12')", '4', "(Mean_Node,121.343,(r)) (Mars,31.488,(p)) (square,8.74')", '6', "(Saturn,43.323,(r)) (Moon,223.069,(c)) (opposition,15.28')", '8', "(Mercury,333.436,(r)) (Sun,333.485,(c)) (conjunction,2.93')\n(H10,313.862,(r)) (Moon,193.553,(c)) (trine,18.53')", "(Neptune,305.684,(r)) (Venus,305.677,(c)) (conjunction,0.39')", "(Moon,55.431,(r)) (H7,235.257,(p)) (opposition,10.45')\n(H7,221.102,(r)) (Mercury,341.093,(p)) (trine,0.52')\n(Mean_Node,121.343,(r)) (POF,241.165,(c)) (trine,10.66')", '12', '13', '14', "(Jupiter,34.713,(r)) (H10,334.731,(p)) (sextile,1.08')\n(Moon,345.339,(p)) (Mercury,345.789,(p)) (conjunction,27.00')", 14]
['2000-03-11 05:55:04', "(Mars,21.262,(r)) (H7,201.282,(p)) (opposition,1.20')\n(H4,104.751,(r)) (Mars,14.918,(c)) (square,10.04')", '1', "(Mean_Node,121.347,(r)) (Sun,1.434,(p)) (trine,5.22')\n(H1,14.360,(r)) (Venus,314.244,(c)) (sextile,6.99')", '3', "(Moon,251.762,(c)) (Venus,311.473,(c)) (sextile,17.34')", "(Mean_Node,121.347,(r)) (Mars,31.427,(p)) (square,4.79')", "(Sun,4.925,(p)) (Moon,245.090,(p)) (trine,9.94')", "(Moon,222.023,(c)) (Saturn,42.016,(c)) (opposition,0.43')", "(Moon,209.399,(c)) (H8,209.209,(c)) (conjunction,11.42')", "(Mercury,333.468,(r)) (Sun,333.400,(c)) (conjunction,4.08')", "(Neptune,305.681,(r)) (Venus,305.573,(c)) (conjunction,6.48')", '11', '12', "(Mean_Node,121.347,(r)) (H7,211.406,(p)) (square,3.54')", "(Mercury,333.468,(r)) (Moon,332.998,(p)) (conjunction,28.20')", "(H10,284.751,(r)) (Moon,344.246,(p)) (sextile,30.26')\n(Moon,54.255,(r)) (H9,234.291,(c)) (opposition,2.16')\n(Mercury,333.468,(r)) (POF,153.516,(c)) (opposition,2.88')", 16]
