['Time', '0: 2008-09-05', '1: 2009-01-14', '2: 2009-03-19', '3: 2012-03-06', '4: 2012-11-14', '5: 2012-12-12', '6: 2013-12-12', '7: 2014-03-24', '8: 2015-05-27', '9: 2016-05-26', '10: 2017-09-15', '11: 2017-09-22', '12: 2018-02-19', '13: 2019-05-22', '14: 2019-08-13', '15: 2021-04-06', '16: 2021-07-10', '17: 2022-01-03', '18: 2022-05-25', '19: 2024-02-28', '20: 2024-03-08', 'Count']
['2000-03-11 10:39:18', "(Uranus,318.705,(r)) (Moon,48.900,(dp)) (square,12')\n(H7,256.531,(r)) (Mars,316.687,(cr)) (sextile,9')", "(H4,177.024,(r)) (Venus,327.152,(dr)) (150-quincunx,8')\n(H7,256.531,(r)) (Mars,316.406,(cr)) (sextile,7')", "(H3,142.578,(r)) (Uranus,352.532,(dp)) (150-quincunx,3')\n(H3,142.578,(r)) (Uranus,352.529,(dr)) (150-quincunx,3')\n(Mean_Node,121.337,(r)) (Moon,301.602,(cp)) (opposition,16')\n(Mean_Node,121.337,(r)) (Moon,301.085,(cr)) (opposition,15')\n(H7,256.531,(r)) (Moon,301.602,(cp)) (45-semisquare,4')", '3', '4', '5', '6', '7', "(Mars,21.409,(r)) (Moon,246.657,(dp)) (135-sesquisquare,15')\n(Mean_Node,121.337,(r)) (Moon,241.336,(dr)) (trine,0')\n(H4,177.024,(r)) (Mars,27.211,(cr)) (150-quincunx,11')\n(H8,288.070,(r)) (Uranus,257.931,(cp)) (30-semisextile,8')\n(H8,288.070,(r)) (Uranus,257.926,(cr)) (30-semisextile,9')", "(H1,76.531,(r)) (Pluto,211.763,(cp)) (135-sesquisquare,14')", "(Jupiter,34.736,(r)) (Moon,154.949,(dr)) (trine,13')\n(H3,142.578,(r)) (Uranus,22.645,(dp)) (trine,4')\n(H3,142.578,(r)) (Uranus,22.592,(dr)) (trine,1')\n(H10,357.024,(r)) (Mercury,356.930,(dp)) (conjunction,6')\n(Moon,57.019,(r)) (Moon,327.195,(cp)) (square,11')\n(Venus,327.480,(r)) (Moon,327.195,(cp)) (conjunction,17')\n(H10,357.024,(r)) (Moon,327.195,(cp)) (30-semisextile,10')", "(Uranus,318.705,(r)) (Moon,168.633,(dp)) (150-quincunx,4')\n(H1,76.531,(r)) (Mars,31.674,(dp)) (45-semisquare,9')\n(H10,357.024,(r)) (Mercury,356.969,(dp)) (conjunction,3')\n(H10,357.024,(r)) (Saturn,267.241,(dr)) (square,13')", "(H3,142.578,(r)) (Uranus,22.667,(dp)) (trine,5')\n(H3,142.578,(r)) (Uranus,22.571,(dr)) (trine,0')", "(H1,76.531,(r)) (Neptune,346.369,(dp)) (square,10')\n(H1,76.531,(r)) (Neptune,346.354,(dr)) (square,11')\n(H9,322.578,(r)) (Pluto,292.699,(dp)) (30-semisextile,7')\n(H9,322.578,(r)) (Pluto,292.691,(dr)) (30-semisextile,7')\n(H10,357.024,(r)) (Mercury,356.833,(dr)) (conjunction,11')\n(H9,322.578,(r)) (Saturn,187.616,(cp)) (135-sesquisquare,2')\n(H9,322.578,(r)) (Saturn,187.644,(cr)) (135-sesquisquare,4')", "(H1,76.531,(r)) (Neptune,346.378,(dp)) (square,9')\n(H1,76.531,(r)) (Neptune,346.346,(dr)) (square,11')\n(H9,322.578,(r)) (Pluto,292.704,(dp)) (30-semisextile,8')\n(H9,322.578,(r)) (Pluto,292.687,(dr)) (30-semisextile,7')\n(H10,357.024,(r)) (Mercury,357.012,(dr)) (conjunction,1')\n(H9,322.578,(r)) (Saturn,187.600,(cp)) (135-sesquisquare,1')\n(H9,322.578,(r)) (Saturn,187.661,(cr)) (135-sesquisquare,5')", "(Mercury,333.394,(r)) (Moon,333.667,(dp)) (conjunction,16')\n(Mean_Node,121.337,(r)) (Moon,151.619,(cp)) (30-semisextile,17')", "(H9,322.578,(r)) (Mercury,7.720,(cr)) (45-semisquare,9')", "(H3,142.578,(r)) (Moon,322.386,(dr)) (opposition,11')\n(Sun,351.166,(r)) (Moon,141.007,(cr)) (150-quincunx,10')\n(H3,142.578,(r)) (Mercury,7.466,(cr)) (135-sesquisquare,7')", "(H1,76.531,(r)) (Jupiter,346.595,(dp)) (square,4')\n(H1,76.531,(r)) (Jupiter,346.497,(dr)) (square,2')\n(H10,357.024,(r)) (Uranus,41.972,(dp)) (45-semisquare,3')\n(H10,357.024,(r)) (Uranus,41.956,(dr)) (45-semisquare,4')\n(Moon,57.019,(r)) (Moon,27.171,(cp)) (30-semisextile,9')\n(H10,357.024,(r)) (Moon,27.171,(cp)) (30-semisextile,9')", "(Jupiter,34.736,(r)) (Moon,214.993,(dr)) (opposition,15')", "(Jupiter,34.736,(r)) (Moon,214.678,(dr)) (opposition,4')\n(H6,233.326,(r)) (Venus,23.265,(dr)) (150-quincunx,4')", 57]
['2000-03-11 12:58:22', "(H7,289.052,(r)) (Saturn,153.851,(dp)) (135-sesquisquare,12')\n(H7,289.052,(r)) (Uranus,348.827,(dp)) (sextile,13')\n(H7,289.052,(r)) (Saturn,153.924,(dr)) (135-sesquisquare,8')\n(Mars,21.481,(r)) (Moon,66.459,(cr)) (45-semisquare,1')", "(H7,289.052,(r)) (Saturn,153.824,(dp)) (135-sesquisquare,14')\n(H7,289.052,(r)) (Uranus,348.848,(dp)) (sextile,12')\n(H7,289.052,(r)) (Saturn,153.951,(dr)) (135-sesquisquare,6')\n(Mean_Node,121.332,(r)) (Moon,61.575,(cr)) (sextile,15')", "(Mean_Node,121.332,(r)) (Moon,181.092,(dp)) (sextile,14')\n(H3,182.499,(r)) (Moon,302.776,(cp)) (trine,17')\n(H3,182.499,(r)) (Moon,302.265,(cr)) (trine,14')", "(H1,109.052,(r)) (Mean_Node,334.045,(cp)) (135-sesquisquare,0')\n(H1,109.052,(r)) (Mean_Node,334.150,(cr)) (135-sesquisquare,6')", '4', "(Mean_Node,121.332,(r)) (Moon,271.412,(cp)) (150-quincunx,5')", "(H3,182.499,(r)) (Moon,2.182,(dp)) (opposition,19')\n(Mercury,333.359,(r)) (Moon,123.294,(cr)) (150-quincunx,4')\n(Mars,21.481,(r)) (Moon,141.645,(cp)) (trine,10')", "(Mean_Node,121.332,(r)) (Moon,120.846,(dp)) (conjunction,29')\n(H4,214.393,(r)) (Jupiter,334.607,(cp)) (trine,13')\n(H4,214.393,(r)) (Jupiter,334.591,(cr)) (trine,12')", "(Venus,327.599,(r)) (Moon,237.679,(cp)) (square,5')\n(Mars,21.481,(r)) (Moon,231.735,(cr)) (150-quincunx,15')\n(H4,214.393,(r)) (Pluto,214.422,(cp)) (conjunction,2')\n(H4,214.393,(r)) (Pluto,214.430,(cr)) (conjunction,2')", "(H1,109.052,(r)) (Uranus,18.837,(dp)) (square,13')", "(Jupiter,34.756,(r)) (Moon,169.628,(dp)) (135-sesquisquare,8')\n(H3,182.499,(r)) (Mean_Node,152.497,(dp)) (30-semisextile,0')\n(H3,182.499,(r)) (Mean_Node,152.552,(dr)) (30-semisextile,3')\n(H10,34.393,(r)) (Moon,169.628,(dp)) (135-sesquisquare,14')\n(Moon,58.372,(r)) (Moon,328.360,(cp)) (square,1')", "(H1,109.052,(r)) (Pluto,289.021,(dp)) (opposition,2')\n(H1,109.052,(r)) (Pluto,289.000,(dr)) (opposition,3')", "(H3,182.499,(r)) (Mean_Node,152.474,(dp)) (30-semisextile,2')\n(H3,182.499,(r)) (Mean_Node,152.574,(dr)) (30-semisextile,4')\n(H7,289.052,(r)) (Pluto,289.029,(dp)) (conjunction,1')\n(H7,289.052,(r)) (Pluto,288.992,(dr)) (conjunction,4')\n(Mercury,333.359,(r)) (Moon,333.508,(cp)) (conjunction,9')", "(H9,2.499,(r)) (Mars,47.588,(dp)) (45-semisquare,5')\n(H9,2.499,(r)) (Mars,47.327,(dr)) (45-semisquare,10')", "(Mars,21.481,(r)) (Moon,51.394,(dr)) (30-semisextile,5')", "(Mercury,333.359,(r)) (Moon,333.106,(dr)) (conjunction,15')\n(H4,214.393,(r)) (Mars,64.579,(dp)) (150-quincunx,11')\n(H4,214.393,(r)) (Mars,64.497,(dr)) (150-quincunx,6')\n(Mean_Node,121.332,(r)) (Moon,151.101,(cr)) (30-semisextile,14')", "(H10,34.393,(r)) (Mars,64.346,(dr)) (30-semisextile,3')\n(Neptune,305.690,(r)) (Moon,155.816,(cp)) (150-quincunx,8')", "(H1,109.052,(r)) (Venus,348.981,(dp)) (trine,4')\n(H1,109.052,(r)) (Jupiter,319.232,(dp)) (150-quincunx,11')\n(H1,109.052,(r)) (Jupiter,318.876,(dr)) (150-quincunx,11')", "(Venus,327.599,(r)) (Moon,102.813,(dp)) (135-sesquisquare,13')\n(Moon,58.372,(r)) (Moon,28.419,(cp)) (30-semisextile,3')\n(H9,2.499,(r)) (Venus,2.496,(cr)) (conjunction,0')", "(Sun,351.262,(r)) (Moon,216.239,(dr)) (135-sesquisquare,1')\n(Mean_Node,121.332,(r)) (Moon,241.570,(dp)) (trine,14')", "(H1,109.052,(r)) (Mercury,348.860,(dp)) (trine,12')\n(H6,264.499,(r)) (Venus,24.315,(cp)) (trine,11')", 56]
['2000-03-11 15:00:30', "(Mars,21.544,(r)) (Moon,51.518,(dp)) (30-semisextile,2')\n(Neptune,305.692,(r)) (Moon,80.874,(cp)) (135-sesquisquare,11')", "(H7,323.557,(r)) (Mercury,8.507,(cr)) (45-semisquare,3')", "(H3,217.440,(r)) (Uranus,352.542,(dp)) (135-sesquisquare,6')\n(H3,217.440,(r)) (Mean_Node,307.259,(dp)) (square,11')\n(H3,217.440,(r)) (Uranus,352.540,(dr)) (135-sesquisquare,6')\n(H3,217.440,(r)) (Mean_Node,307.261,(dr)) (square,11')\n(Mercury,333.330,(r)) (Moon,303.304,(cr)) (30-semisextile,2')", "(Venus,327.704,(r)) (Moon,87.816,(dp)) (trine,7')\n(Mean_Node,121.327,(r)) (Moon,61.310,(cp)) (sextile,1')", "(H9,37.440,(r)) (Venus,37.574,(dp)) (conjunction,8')\n(Mean_Node,121.327,(r)) (Moon,271.537,(cp)) (150-quincunx,13')\n(H1,143.557,(r)) (Mean_Node,353.397,(cp)) (150-quincunx,10')\n(H1,143.557,(r)) (Mean_Node,353.469,(cr)) (150-quincunx,5')\n(H10,64.705,(r)) (Venus,34.937,(cr)) (30-semisextile,14')", "(H9,37.440,(r)) (Venus,37.658,(dp)) (conjunction,13')\n(H1,143.557,(r)) (Mean_Node,353.393,(cp)) (150-quincunx,10')\n(H1,143.557,(r)) (Mean_Node,353.473,(cr)) (150-quincunx,5')\n(H10,64.705,(r)) (Venus,34.851,(cr)) (30-semisextile,9')", "(Mercury,333.330,(r)) (Moon,3.298,(dp)) (30-semisextile,2')\n(Pluto,252.898,(r)) (Moon,343.044,(dr)) (square,9')", "(Mean_Node,121.327,(r)) (Moon,121.851,(dp)) (conjunction,31')\n(Mean_Node,121.327,(r)) (Moon,121.052,(dr)) (conjunction,17')\n(H3,217.440,(r)) (Uranus,262.268,(cp)) (45-semisquare,10')\n(H3,217.440,(r)) (Moon,7.343,(cr)) (150-quincunx,6')\n(H3,217.440,(r)) (Uranus,262.267,(cr)) (45-semisquare,10')\n(H4,244.705,(r)) (Jupiter,334.626,(cp)) (square,5')\n(H4,244.705,(r)) (Jupiter,334.611,(cr)) (square,6')", "(H1,143.557,(r)) (Venus,23.756,(dr)) (trine,12')\n(H4,244.705,(r)) (Saturn,244.927,(dp)) (conjunction,13')\n(H4,244.705,(r)) (Saturn,244.925,(dr)) (conjunction,13')\n(H8,3.490,(r)) (Moon,243.648,(dr)) (trine,10')\n(H8,3.490,(r)) (Neptune,273.455,(cp)) (square,2')\n(H8,3.490,(r)) (Neptune,273.450,(cr)) (square,2')", '9', "(H3,217.440,(r)) (Moon,157.345,(dr)) (sextile,6')\n(Moon,59.561,(r)) (Moon,329.385,(cp)) (square,11')", '11', "(Jupiter,34.774,(r)) (Moon,334.539,(cp)) (sextile,14')\n(H4,244.705,(r)) (Moon,334.539,(cp)) (square,10')", "(Mars,21.544,(r)) (Moon,66.503,(cp)) (45-semisquare,2')\n(H1,143.557,(r)) (Mercury,323.761,(cr)) (opposition,12')\n(H9,37.440,(r)) (Saturn,187.603,(cp)) (150-quincunx,10')\n(H9,37.440,(r)) (Saturn,187.631,(cr)) (150-quincunx,11')", "(Mercury,333.330,(r)) (Moon,63.407,(dp)) (square,5')\n(H1,143.557,(r)) (Mercury,323.586,(cr)) (opposition,2')\n(H9,37.440,(r)) (Saturn,187.586,(cp)) (150-quincunx,9')\n(H9,37.440,(r)) (Saturn,187.648,(cr)) (150-quincunx,12')", "(Neptune,305.692,(r)) (Moon,335.980,(dp)) (30-semisextile,17')\n(H4,244.705,(r)) (Mars,64.628,(dp)) (opposition,5')\n(H4,244.705,(r)) (Mars,64.546,(dr)) (opposition,10')\n(Mercury,333.330,(r)) (Moon,153.771,(cp)) (opposition,26')", "(H10,64.705,(r)) (Mars,64.783,(dp)) (conjunction,5')\n(Mars,21.544,(r)) (Moon,156.824,(cp)) (135-sesquisquare,17')", "(H1,143.557,(r)) (Moon,143.160,(cr)) (conjunction,24')\n(H3,217.440,(r)) (Mercury,7.564,(cr)) (150-quincunx,7')", "(Moon,59.561,(r)) (Moon,29.512,(cp)) (30-semisextile,3')", "(H1,143.557,(r)) (Venus,23.515,(dr)) (trine,3')\n(H3,217.440,(r)) (Moon,217.334,(dr)) (conjunction,6')", "(Mercury,333.330,(r)) (Moon,243.038,(dp)) (square,18')\n(H1,143.557,(r)) (Venus,23.485,(dr)) (trine,4')\n(H6,293.515,(r)) (Venus,23.485,(dr)) (square,2')", 60]
['2000-03-11 15:49:34', "(Mars,21.569,(r)) (Moon,81.342,(cp)) (sextile,14')\n(H7,339.522,(r)) (Mercury,9.585,(cp)) (30-semisextile,4')", "(Mercury,333.318,(r)) (Moon,63.172,(cr)) (square,9')", '2', "(Mercury,333.318,(r)) (Moon,63.312,(dr)) (square,0')\n(Mercury,333.318,(r)) (Moon,33.453,(cr)) (sextile,8')\n(H10,76.233,(r)) (Venus,346.345,(cp)) (square,7')", "(Venus,327.746,(r)) (Moon,207.620,(dr)) (trine,8')", "(Uranus,318.716,(r)) (Moon,228.643,(dp)) (square,4')\n(Mercury,333.318,(r)) (Moon,273.061,(cp)) (sextile,15')", "(Saturn,43.355,(r)) (Moon,343.510,(dr)) (sextile,9')\n(H1,159.522,(r)) (Pluto,219.728,(cp)) (sextile,12')\n(H1,159.522,(r)) (Pluto,219.752,(cr)) (sextile,14')", "(Mean_Node,121.325,(r)) (Moon,121.458,(dr)) (conjunction,8')\n(H4,256.233,(r)) (Moon,121.458,(dr)) (135-sesquisquare,13')", "(H1,159.522,(r)) (Moon,249.420,(dp)) (square,6')\n(H1,159.522,(r)) (Venus,24.302,(dp)) (135-sesquisquare,13')\n(H8,18.961,(r)) (Moon,244.084,(dr)) (135-sesquisquare,7')", "(H8,18.961,(r)) (Uranus,18.843,(dp)) (conjunction,7')\n(H8,18.961,(r)) (Uranus,18.821,(dr)) (conjunction,8')\n(H10,76.233,(r)) (Saturn,256.254,(dp)) (opposition,1')\n(H10,76.233,(r)) (Saturn,256.245,(dr)) (opposition,1')\n(Uranus,318.716,(r)) (Moon,93.557,(cp)) (135-sesquisquare,10')\n(H10,76.233,(r)) (Saturn,226.161,(cp)) (150-quincunx,4')\n(H10,76.233,(r)) (Saturn,226.172,(cr)) (150-quincunx,4')", "(Sun,351.381,(r)) (Moon,171.161,(dp)) (opposition,13')\n(Moon,60.039,(r)) (Moon,329.797,(cp)) (square,15')\n(H1,159.522,(r)) (Mercury,339.523,(cp)) (opposition,0')\n(H3,230.516,(r)) (Venus,20.719,(cr)) (150-quincunx,12')", "(Mars,21.569,(r)) (Moon,171.411,(dp)) (150-quincunx,9')\n(H10,76.233,(r)) (Mars,31.061,(dr)) (45-semisquare,10')\n(H1,159.522,(r)) (Mercury,339.556,(cp)) (opposition,2')", "(Jupiter,34.781,(r)) (Moon,334.954,(cp)) (sextile,10')", "(H10,76.233,(r)) (Neptune,346.377,(dp)) (square,9')\n(H10,76.233,(r)) (Neptune,346.363,(dr)) (square,8')", "(H10,76.233,(r)) (Neptune,346.386,(dp)) (square,9')\n(H10,76.233,(r)) (Neptune,346.354,(dr)) (square,7')", "(Mars,21.569,(r)) (Moon,336.414,(dp)) (45-semisquare,9')\n(H7,339.522,(r)) (Saturn,309.611,(dp)) (30-semisextile,5')\n(H7,339.522,(r)) (Saturn,309.597,(dr)) (30-semisextile,4')\n(H7,339.522,(r)) (Saturn,159.705,(cp)) (opposition,11')\n(H7,339.522,(r)) (Mars,339.738,(cr)) (conjunction,13')\n(H7,339.522,(r)) (Saturn,159.716,(cr)) (opposition,12')", "(H1,159.522,(r)) (Saturn,309.637,(dp)) (150-quincunx,7')\n(H1,159.522,(r)) (Saturn,309.572,(dr)) (150-quincunx,3')\n(H9,50.516,(r)) (Neptune,350.685,(dp)) (sextile,10')\n(H9,50.516,(r)) (Neptune,350.660,(dr)) (sextile,9')\n(H1,159.522,(r)) (Saturn,159.685,(cp)) (conjunction,10')\n(H1,159.522,(r)) (Mars,339.530,(cr)) (opposition,0')\n(H1,159.522,(r)) (Saturn,159.736,(cr)) (conjunction,13')\n(H9,50.516,(r)) (Neptune,260.465,(cp)) (150-quincunx,3')\n(H9,50.516,(r)) (Neptune,260.461,(cr)) (150-quincunx,3')", "(H10,76.233,(r)) (Moon,346.000,(dp)) (square,14')", "(H1,159.522,(r)) (Moon,99.386,(dr)) (sextile,8')\n(Moon,60.039,(r)) (Moon,29.950,(cp)) (30-semisextile,5')\n(H1,159.522,(r)) (Moon,24.683,(cr)) (135-sesquisquare,10')\n(H10,76.233,(r)) (Uranus,226.218,(cp)) (150-quincunx,1')\n(H10,76.233,(r)) (Uranus,226.226,(cr)) (150-quincunx,0')", "(Mercury,333.318,(r)) (Moon,243.156,(dp)) (square,10')\n(Venus,327.746,(r)) (Moon,237.642,(cr)) (square,6')\n(H1,159.522,(r)) (Venus,24.328,(cp)) (135-sesquisquare,12')", "(Mercury,333.318,(r)) (Moon,243.493,(dp)) (square,11')\n(H1,159.522,(r)) (Venus,24.331,(cp)) (135-sesquisquare,11')", 62]
['2000-03-11 09:23:28', '0', "(H7,240.038,(r)) (Moon,59.574,(cr)) (opposition,28')", "(H7,240.038,(r)) (Venus,14.938,(dp)) (135-sesquisquare,6')\n(H7,240.038,(r)) (Venus,14.947,(dr)) (135-sesquisquare,5')\n(Mean_Node,121.339,(r)) (Moon,300.962,(cp)) (opposition,23')\n(H4,156.503,(r)) (Venus,21.731,(cp)) (135-sesquisquare,14')\n(H4,156.503,(r)) (Venus,21.679,(cr)) (135-sesquisquare,11')\n(H7,240.038,(r)) (Mercury,0.220,(cr)) (trine,11')", "(H1,60.038,(r)) (Uranus,0.066,(dp)) (sextile,2')\n(H1,60.038,(r)) (Moon,60.000,(dr)) (conjunction,2')\n(H1,60.038,(r)) (Uranus,359.954,(dr)) (sextile,5')\n(H9,302.636,(r)) (Mercury,2.792,(dr)) (sextile,9')\n(H10,336.503,(r)) (Mercury,6.387,(dp)) (30-semisextile,7')\n(H1,60.038,(r)) (Jupiter,60.205,(cp)) (conjunction,10')\n(H1,60.038,(r)) (Jupiter,59.916,(cr)) (conjunction,7')\n(H9,302.636,(r)) (Mercury,332.794,(cp)) (30-semisextile,9')", "(H10,336.503,(r)) (Mercury,6.651,(dr)) (30-semisextile,9')", "(H10,336.503,(r)) (Mercury,6.633,(dr)) (30-semisextile,8')", "(H1,60.038,(r)) (Moon,0.211,(dp)) (sextile,10')\n(H1,60.038,(r)) (Mars,0.170,(dp)) (sextile,8')\n(H1,60.038,(r)) (Mercury,329.951,(cp)) (square,5')\n(H1,60.038,(r)) (Mercury,330.085,(cr)) (square,3')", "(H7,240.038,(r)) (Mercury,359.941,(cp)) (trine,6')\n(H7,240.038,(r)) (Mercury,359.982,(cr)) (trine,3')", "(Neptune,305.685,(r)) (Moon,245.984,(dp)) (sextile,18')\n(H1,60.038,(r)) (Uranus,15.048,(dp)) (45-semisquare,1')\n(H1,60.038,(r)) (Pluto,285.223,(dp)) (135-sesquisquare,11')\n(H1,60.038,(r)) (Uranus,15.026,(dr)) (45-semisquare,1')\n(H1,60.038,(r)) (Pluto,285.216,(dr)) (135-sesquisquare,11')", "(Pluto,252.897,(r)) (Moon,28.194,(dp)) (135-sesquisquare,18')\n(H1,60.038,(r)) (Moon,89.938,(cp)) (30-semisextile,6')\n(H8,270.080,(r)) (Moon,89.938,(cp)) (opposition,8')", "(H3,122.636,(r)) (Moon,167.700,(dp)) (45-semisquare,4')\n(H3,122.636,(r)) (Mean_Node,152.505,(dp)) (30-semisextile,8')\n(H3,122.636,(r)) (Mean_Node,152.559,(dr)) (30-semisextile,5')\n(H10,336.503,(r)) (Jupiter,201.392,(dp)) (135-sesquisquare,7')\n(H10,336.503,(r)) (Jupiter,201.491,(dr)) (135-sesquisquare,1')\n(Moon,56.281,(r)) (Moon,326.560,(cp)) (square,17')\n(H1,60.038,(r)) (Mean_Node,90.121,(cp)) (30-semisextile,5')\n(H1,60.038,(r)) (Mean_Node,90.175,(cr)) (30-semisextile,8')\n(H10,336.503,(r)) (Venus,21.645,(cp)) (45-semisquare,8')", '11', "(H3,122.636,(r)) (Mean_Node,152.482,(dp)) (30-semisextile,9')\n(H3,122.636,(r)) (Mean_Node,152.582,(dr)) (30-semisextile,3')\n(H4,156.503,(r)) (Jupiter,201.349,(dp)) (45-semisquare,9')\n(H4,156.503,(r)) (Jupiter,201.531,(dr)) (45-semisquare,2')\n(H4,156.503,(r)) (Mercury,336.528,(cr)) (opposition,1')\n(H7,240.038,(r)) (Mean_Node,90.099,(cp)) (150-quincunx,4')\n(H7,240.038,(r)) (Mean_Node,90.199,(cr)) (150-quincunx,10')", "(H1,60.038,(r)) (Uranus,30.262,(dr)) (30-semisextile,13')\n(Mercury,333.413,(r)) (Moon,63.179,(cp)) (square,14')\n(H1,60.038,(r)) (Uranus,240.092,(cp)) (opposition,3')\n(H1,60.038,(r)) (Uranus,240.094,(cr)) (opposition,3')", "(H1,60.038,(r)) (Uranus,30.252,(dr)) (30-semisextile,13')\n(Mars,21.370,(r)) (Moon,66.370,(cp)) (45-semisquare,0')\n(H1,60.038,(r)) (Uranus,240.091,(cp)) (opposition,3')\n(H1,60.038,(r)) (Uranus,240.096,(cr)) (opposition,3')", "(Mercury,333.413,(r)) (Moon,332.994,(dp)) (conjunction,25')\n(Mean_Node,121.339,(r)) (Moon,331.186,(dr)) (150-quincunx,9')", "(Mars,21.370,(r)) (Moon,336.368,(dp)) (45-semisquare,0')", '17', "(Moon,56.281,(r)) (Moon,101.039,(dp)) (45-semisquare,15')\n(H9,302.636,(r)) (Mercury,332.797,(dr)) (30-semisextile,10')\n(Sun,351.113,(r)) (Moon,21.165,(cr)) (30-semisextile,3')\n(Moon,56.281,(r)) (Moon,26.490,(cp)) (30-semisextile,13')\n(H9,302.636,(r)) (Mercury,2.743,(cp)) (sextile,6')\n(H9,302.636,(r)) (Venus,2.817,(cp)) (sextile,11')", "(Jupiter,34.726,(r)) (Moon,214.314,(dr)) (opposition,25')\n(H1,60.038,(r)) (Moon,239.585,(dp)) (opposition,27')\n(H4,156.503,(r)) (Mean_Node,36.430,(dp)) (trine,4')\n(H4,156.503,(r)) (Mean_Node,36.532,(dr)) (trine,2')\n(Sun,351.113,(r)) (Moon,261.265,(cp)) (square,9')", "(H1,60.038,(r)) (Moon,239.920,(dp)) (opposition,7')", 70]
['2000-03-11 15:24:56', "(Mars,21.557,(r)) (Moon,51.762,(dp)) (30-semisextile,12')", '1', "(Mercury,333.324,(r)) (Moon,303.512,(cr)) (30-semisextile,11')\n(H4,250.475,(r)) (Mean_Node,295.409,(cp)) (45-semisquare,4')\n(H4,250.475,(r)) (Mean_Node,295.411,(cr)) (45-semisquare,4')", "(Mercury,333.324,(r)) (Moon,63.100,(dr)) (square,13')\n(H10,70.475,(r)) (Jupiter,10.653,(dp)) (sextile,11')\n(Mercury,333.324,(r)) (Moon,33.200,(cr)) (sextile,7')\n(Mean_Node,121.326,(r)) (Moon,61.546,(cp)) (sextile,13')\n(H1,151.365,(r)) (Moon,61.546,(cp)) (square,11')\n(H9,44.029,(r)) (Venus,343.866,(cr)) (sextile,10')", '4', "(H1,151.365,(r)) (Neptune,331.412,(dp)) (opposition,3')\n(H1,151.365,(r)) (Neptune,331.357,(dr)) (opposition,0')", "(Mercury,333.324,(r)) (Moon,3.521,(dp)) (30-semisextile,12')\n(Saturn,43.353,(r)) (Moon,343.276,(dr)) (sextile,5')\n(H3,224.029,(r)) (Mars,359.191,(dr)) (135-sesquisquare,10')\n(H3,224.029,(r)) (Mars,44.017,(cp)) (opposition,1')", "(Mean_Node,121.326,(r)) (Moon,121.254,(dr)) (conjunction,4')\n(H4,250.475,(r)) (Jupiter,100.497,(dp)) (150-quincunx,1')\n(H4,250.475,(r)) (Jupiter,100.496,(dr)) (150-quincunx,1')\n(H7,331.365,(r)) (Moon,121.254,(dr)) (150-quincunx,7')", "(H8,11.234,(r)) (Mean_Node,191.195,(dp)) (opposition,2')\n(H8,11.234,(r)) (Mean_Node,191.217,(dr)) (opposition,1')", "(H10,70.475,(r)) (Moon,25.742,(dr)) (45-semisquare,16')\n(H1,151.365,(r)) (Neptune,271.291,(cp)) (trine,4')\n(H1,151.365,(r)) (Neptune,271.285,(cr)) (trine,5')", "(Sun,351.364,(r)) (Moon,170.940,(dp)) (opposition,25')\n(Moon,59.799,(r)) (Moon,329.590,(cp)) (square,13')\n(H10,70.475,(r)) (Jupiter,250.565,(cp)) (opposition,5')\n(H10,70.475,(r)) (Jupiter,250.515,(cr)) (opposition,2')", '11', "(Jupiter,34.777,(r)) (Moon,334.746,(cp)) (sextile,2')\n(H4,250.475,(r)) (Jupiter,250.584,(cp)) (conjunction,7')\n(H4,250.475,(r)) (Jupiter,250.493,(cr)) (conjunction,1')", "(Mars,21.557,(r)) (Moon,66.744,(cp)) (45-semisquare,11')", '14', '15', '16', '17', "(H9,44.029,(r)) (Moon,104.025,(dp)) (sextile,0')\n(Moon,59.799,(r)) (Moon,29.730,(cp)) (30-semisextile,4')", '19', "(Mercury,333.324,(r)) (Moon,243.264,(dp)) (square,4')", 36]
