['Time', '0: 2008-09-05', '1: 2009-01-14', '2: 2009-03-19', '3: 2012-03-06', '4: 2012-11-14', '5: 2012-12-12', '6: 2013-12-12', '7: 2014-03-24', '8: 2015-05-27', '9: 2016-05-26', '10: 2017-09-15', '11: 2017-09-22', '12: 2018-02-19', '13: 2019-05-22', '14: 2019-08-13', '15: 2021-04-06', '16: 2021-07-10', '17: 2022-01-03', '18: 2022-05-25', '19: 2024-02-28', '20: 2024-03-08', 'Count']
['2000-03-11 10:11:58', "(Mercury,333.401,(r)) (H1,63.309,(c)) (square,5')\n(Mercury,333.401,(r)) (H7,243.309,(c)) (square,5')", '1', "(H7,250.547,(r)) (Mean_Node,130.598,(d)) (trine,3')", "(H10,349.573,(r)) (Mean_Node,109.577,(c)) (trine,0')", '4', '5', '6', "(Jupiter,34.733,(r)) (H4,154.731,(c)) (trine,0')\n(H4,169.573,(r)) (Uranus,304.651,(c)) (135-sesquisquare,5')", "(Venus,327.457,(r)) (H8,267.492,(c)) (sextile,2')", "(Moon,56.753,(r)) (H1,56.754,(c)) (conjunction,0')\n(H10,349.573,(r)) (Neptune,289.601,(c)) (sextile,2')", "(Venus,327.457,(r)) (H3,117.541,(c)) (150-quincunx,5')", '11', '12', '13', "(H1,70.547,(r)) (Saturn,25.508,(c)) (45-semisquare,2')", "(Neptune,305.686,(r)) (H12,65.758,(d)) (trine,4')\n(Venus,327.457,(r)) (H4,147.452,(c)) (opposition,0')\n(H1,70.547,(r)) (Mercury,310.528,(c)) (trine,1')\n(H7,250.547,(r)) (Mercury,310.528,(c)) (sextile,1')", "(Pluto,252.897,(r)) (H12,27.828,(c)) (135-sesquisquare,4')\n(H9,315.212,(r)) (Mars,0.201,(c)) (45-semisquare,1')", "(Moon,56.753,(r)) (H10,326.690,(c)) (square,4')", '18', '19', '20', 248]
['2000-03-11 11:06:08', "(H4,184.349,(r)) (Moon,64.362,(d)) (trine,1')\n(H4,184.349,(r)) (Moon,49.320,(c)) (135-sesquisquare,2')", "(H1,82.482,(r)) (Mercury,322.572,(c)) (trine,5')\n(H1,82.482,(r)) (Mean_Node,112.472,(c)) (30-semisextile,1')\n(H7,262.482,(r)) (Mercury,322.572,(c)) (sextile,5')\n(H7,262.482,(r)) (Mean_Node,112.472,(c)) (150-quincunx,1')", '2', "(H10,4.349,(r)) (Sun,4.420,(d)) (conjunction,4')", '4', "(Neptune,305.687,(r)) (H10,350.660,(c)) (45-semisquare,2')\n(H1,82.482,(r)) (Jupiter,22.518,(c)) (sextile,2')", '6', "(H4,184.349,(r)) (Uranus,304.401,(c)) (trine,3')", '8', '9', "(Jupiter,34.740,(r)) (H3,169.760,(d)) (135-sesquisquare,1')", '11', "(H7,262.482,(r)) (Mercury,352.448,(d)) (square,2')", '13', "(Neptune,305.687,(r)) (H1,65.723,(c)) (trine,2')", '15', '16', "(Venus,327.503,(r)) (H1,102.455,(d)) (135-sesquisquare,3')\n(Venus,327.503,(r)) (H10,27.462,(d)) (sextile,2')", "(Mercury,333.387,(r)) (H1,63.357,(c)) (square,2')", "(Moon,57.280,(r)) (H3,177.202,(d)) (trine,5')\n(Jupiter,34.740,(r)) (H3,124.776,(c)) (square,2')", "(H6,239.345,(r)) (Mercury,359.401,(d)) (trine,3')", 262]
['2000-03-11 14:58:23', "(H1,142.889,(r)) (Saturn,52.942,(d)) (square,3')\n(H7,322.889,(r)) (Saturn,52.942,(d)) (square,3')", '1', '2', "(H10,64.197,(r)) (Uranus,334.259,(d)) (square,4')\n(H10,64.197,(r)) (Mean_Node,109.196,(c)) (45-semisquare,0')", '4', '5', "(Mars,21.543,(r)) (H3,201.693,(c)) (opposition,9')", "(H3,216.857,(r)) (Uranus,336.903,(d)) (trine,3')\n(Sun,351.345,(r)) (H3,201.378,(c)) (150-quincunx,2')\n(Sun,351.345,(r)) (H7,306.437,(c)) (45-semisquare,6')", "(Mars,21.543,(r)) (H8,21.624,(d)) (conjunction,5')", "(Uranus,318.714,(r)) (H10,48.695,(c)) (square,1')", '10', '11', '12', "(Pluto,252.898,(r)) (H12,132.942,(d)) (trine,3')", '14', '15', "(Neptune,305.692,(r)) (H1,170.655,(d)) (135-sesquisquare,2')", "(Sun,351.345,(r)) (H1,171.312,(d)) (opposition,2')\n(H10,64.197,(r)) (Sun,19.163,(d)) (45-semisquare,2')", '18', "(H1,142.889,(r)) (Moon,82.820,(d)) (sextile,4')\n(H1,142.889,(r)) (Uranus,292.881,(c)) (150-quincunx,1')\n(H3,216.857,(r)) (Moon,37.036,(c)) (opposition,11')", "(H1,142.889,(r)) (Moon,82.843,(d)) (sextile,3')\n(H1,142.889,(r)) (Uranus,292.855,(c)) (150-quincunx,2')\n(H6,292.977,(r)) (Uranus,292.855,(c)) (conjunction,7')", 270]
['2000-03-11 08:37:44', "(Venus,327.376,(r)) (H1,57.370,(d)) (square,0')\n(Venus,327.376,(r)) (H7,237.370,(d)) (square,0')\n(Pluto,252.897,(r)) (H1,42.922,(c)) (150-quincunx,2')\n(Pluto,252.897,(r)) (H7,222.922,(c)) (30-semisextile,2')", "(Mercury,333.425,(r)) (H4,153.596,(d)) (opposition,10')\n(Mercury,333.425,(r)) (H12,33.510,(d)) (sextile,5')", "(Pluto,252.897,(r)) (H3,102.833,(c)) (150-quincunx,4')", '3', '4', '5', '6', '7', "(Mars,21.346,(r)) (H8,246.303,(c)) (135-sesquisquare,3')", '9', "(H1,50.161,(r)) (Jupiter,50.150,(d)) (conjunction,1')", '11', "(H3,111.318,(r)) (Mercury,351.361,(d)) (trine,3')\n(Jupiter,34.719,(r)) (H3,94.630,(c)) (sextile,5')\n(Jupiter,34.719,(r)) (H7,214.799,(c)) (opposition,5')\n(H4,144.492,(r)) (Pluto,234.455,(c)) (square,2')", "(Pluto,252.897,(r)) (H12,42.874,(d)) (150-quincunx,1')\n(Mercury,333.425,(r)) (H9,273.492,(c)) (sextile,4')\n(Neptune,305.684,(r)) (H10,305.506,(c)) (conjunction,11')", '14', "(Neptune,305.684,(r)) (H12,5.744,(c)) (sextile,4')\n(H4,144.492,(r)) (Saturn,24.564,(c)) (trine,4')", "(Mercury,333.425,(r)) (H10,303.458,(c)) (30-semisextile,2')", '17', '18', '19', '20', 258]
['2000-03-11 13:44:14', "(Pluto,252.898,(r)) (H12,102.952,(d)) (150-quincunx,3')", "(Saturn,43.346,(r)) (H12,103.292,(d)) (sextile,3')", '2', "(Venus,327.639,(r)) (H10,57.711,(d)) (square,4')\n(Uranus,318.712,(r)) (H1,108.731,(c)) (150-quincunx,1')", "(Mercury,333.348,(r)) (H10,33.357,(c)) (sextile,1')\n(Mean_Node,121.330,(r)) (H9,1.328,(c)) (trine,0')", "(Mercury,333.348,(r)) (H10,33.279,(c)) (sextile,4')\n(Mean_Node,121.330,(r)) (H9,1.239,(c)) (trine,5')", '6', "(H3,195.913,(r)) (Venus,345.827,(d)) (150-quincunx,5')\n(H4,226.095,(r)) (Moon,46.154,(c)) (opposition,4')", "(Sun,351.294,(r)) (H12,81.346,(c)) (square,3')\n(Mars,21.505,(r)) (H8,321.449,(c)) (sextile,3')", "(H1,121.152,(r)) (Uranus,301.296,(c)) (opposition,9')", "(Sun,351.294,(r)) (H1,141.248,(d)) (150-quincunx,3')", "(Saturn,43.346,(r)) (H1,103.289,(c)) (sextile,3')", "(Mercury,333.348,(r)) (H4,243.344,(d)) (square,0')\n(H3,195.913,(r)) (Moon,75.852,(d)) (trine,4')\n(Pluto,252.898,(r)) (H4,207.934,(c)) (45-semisquare,2')\n(Pluto,252.898,(r)) (H7,282.893,(c)) (30-semisextile,0')\n(H3,195.913,(r)) (Jupiter,16.014,(c)) (opposition,6')\n(H4,226.095,(r)) (Jupiter,16.014,(c)) (150-quincunx,5')", '13', '14', '15', "(Mars,21.505,(r)) (H10,66.510,(d)) (45-semisquare,0')", "(H1,121.152,(r)) (Uranus,346.236,(d)) (135-sesquisquare,5')", '18', '19', '20', 286]
['2000-03-11 09:12:46', "(H1,57.732,(r)) (Uranus,327.803,(d)) (square,4')\n(H7,237.732,(r)) (Uranus,327.803,(d)) (square,4')", "(Pluto,252.897,(r)) (H4,162.962,(d)) (square,4')", '2', "(Mean_Node,121.340,(r)) (H10,346.298,(d)) (135-sesquisquare,3')\n(Mercury,333.416,(r)) (H9,288.403,(c)) (45-semisquare,1')", '4', '5', "(H1,57.732,(r)) (Pluto,237.740,(c)) (opposition,0')", "(H4,153.666,(r)) (Uranus,333.699,(d)) (opposition,2')", '8', "(Saturn,43.329,(r)) (H8,253.252,(c)) (150-quincunx,5')\n(Uranus,318.702,(r)) (H12,18.637,(c)) (sextile,4')", "(H10,333.666,(r)) (Jupiter,18.651,(c)) (45-semisquare,1')", "(Pluto,252.897,(r)) (H1,42.810,(c)) (150-quincunx,5')", "(Pluto,252.897,(r)) (H7,253.024,(d)) (conjunction,8')\n(Pluto,252.897,(r)) (H3,102.825,(c)) (150-quincunx,4')", "(H9,299.948,(r)) (Saturn,59.917,(d)) (trine,2')\n(H9,299.948,(r)) (Uranus,299.906,(c)) (conjunction,3')", '14', '15', "(H1,57.732,(r)) (Neptune,327.775,(d)) (square,3')", '17', '18', "(H1,57.732,(r)) (Jupiter,12.644,(c)) (45-semisquare,5')", '20', 229]
['2000-03-11 10:05:42', '0', '1', "(Venus,327.451,(r)) (H4,177.535,(d)) (150-quincunx,5')", "(H9,313.552,(r)) (Mean_Node,133.697,(d)) (opposition,9')\n(Mean_Node,121.338,(r)) (H9,301.404,(c)) (opposition,4')", '4', '5', "(Mercury,333.403,(r)) (H10,333.362,(c)) (conjunction,2')", '7', "(H1,69.184,(r)) (Moon,69.100,(d)) (conjunction,5')", "(H8,279.950,(r)) (Moon,69.967,(d)) (150-quincunx,1')", '10', '11', "(H4,167.871,(r)) (Jupiter,17.868,(c)) (150-quincunx,0')", '13', '14', "(Venus,327.451,(r)) (H1,87.544,(d)) (trine,6')\n(Venus,327.451,(r)) (H7,267.544,(d)) (sextile,6')\n(Moon,56.692,(r)) (H12,26.601,(c)) (30-semisextile,5')", '16', '17', "(Moon,56.692,(r)) (H10,11.671,(d)) (45-semisquare,1')", '19', "(Uranus,318.704,(r)) (H1,48.786,(c)) (square,5')", 148]
['2000-03-11 07:55:58', "(H4,133.857,(r)) (Neptune,313.983,(d)) (opposition,8')\n(Neptune,305.684,(r)) (H4,125.592,(c)) (opposition,5')", "(Uranus,318.699,(r)) (H1,48.653,(d)) (square,3')\n(Uranus,318.699,(r)) (H7,228.653,(d)) (square,3')\n(Mercury,333.436,(r)) (H1,33.486,(c)) (sextile,3')\n(Mercury,333.436,(r)) (H7,213.486,(c)) (trine,3')", '2', '3', "(H10,313.857,(r)) (Mean_Node,133.828,(d)) (opposition,2')", "(H10,313.857,(r)) (Mean_Node,133.905,(d)) (opposition,3')\n(Mean_Node,121.343,(r)) (H10,301.510,(c)) (opposition,10')", '6', "(H4,133.857,(r)) (Venus,313.836,(c)) (opposition,1')", "(Pluto,252.897,(r)) (H1,27.970,(c)) (135-sesquisquare,4')\n(Mean_Node,121.343,(r)) (H12,1.272,(c)) (trine,4')", '9', "(Moon,55.430,(r)) (H3,85.413,(c)) (30-semisextile,1')", "(H1,41.098,(r)) (Pluto,266.148,(d)) (135-sesquisquare,3')", '12', "(Mercury,333.436,(r)) (H10,333.316,(d)) (conjunction,7')\n(H10,313.857,(r)) (Mercury,314.035,(c)) (conjunction,11')", "(Mercury,333.436,(r)) (H10,333.552,(d)) (conjunction,7')\n(Mercury,333.436,(r)) (H12,33.472,(d)) (sextile,2')\n(H10,313.857,(r)) (Mercury,313.818,(c)) (conjunction,2')", '15', '16', "(H1,41.098,(r)) (Uranus,341.166,(d)) (sextile,4')", "(H10,313.857,(r)) (Moon,73.812,(d)) (trine,3')\n(H1,41.098,(r)) (Mercury,311.164,(c)) (square,4')", "(Sun,351.053,(r)) (H4,110.996,(c)) (trine,3')", "(Sun,351.053,(r)) (H10,290.973,(c)) (sextile,5')", 422]
['2000-03-11 10:06:46', '0', "(H4,168.161,(r)) (Moon,48.228,(c)) (trine,4')", "(H4,168.161,(r)) (Moon,48.075,(c)) (trine,5')", "(Jupiter,34.732,(r)) (H1,79.757,(d)) (45-semisquare,2')\n(H9,313.834,(r)) (Mean_Node,133.702,(d)) (opposition,8')", "(Venus,327.452,(r)) (H9,327.348,(d)) (conjunction,6')\n(Jupiter,34.732,(r)) (H10,334.765,(c)) (sextile,2')", "(Venus,327.452,(r)) (H9,327.431,(d)) (conjunction,1')\n(Jupiter,34.732,(r)) (H10,334.685,(c)) (sextile,3')", "(Mars,21.392,(r)) (H1,81.305,(d)) (sextile,5')\n(H3,133.834,(r)) (Moon,43.925,(c)) (square,5')", "(Mercury,333.402,(r)) (H4,153.353,(c)) (opposition,3')\n(Venus,327.452,(r)) (H7,237.477,(c)) (square,1')", '8', "(H10,348.161,(r)) (Mean_Node,138.218,(d)) (150-quincunx,3')\n(Mean_Node,121.338,(r)) (H12,31.313,(c)) (square,2')\n(H8,280.204,(r)) (Pluto,235.154,(c)) (45-semisquare,3')", '10', '11', "(H3,133.834,(r)) (Mercury,313.737,(c)) (opposition,6')\n(H7,249.415,(r)) (Venus,309.389,(c)) (sextile,2')", '13', '14', '15', '16', '17', "(H1,69.415,(r)) (Mercury,309.467,(c)) (trine,3')\n(H9,313.834,(r)) (Jupiter,13.777,(c)) (sextile,3')", '19', '20', 301]
['2000-03-11 14:19:36', '0', "(H1,131.159,(r)) (Mean_Node,131.007,(d)) (conjunction,9')\n(H7,311.159,(r)) (Mean_Node,131.007,(d)) (opposition,9')\n(Mean_Node,121.329,(r)) (H1,121.307,(c)) (conjunction,1')\n(Mean_Node,121.329,(r)) (H7,301.307,(c)) (opposition,1')", "(Mercury,333.340,(r)) (H4,243.407,(d)) (square,4')\n(H7,311.159,(r)) (Mean_Node,131.205,(d)) (opposition,3')", "(H1,131.159,(r)) (Moon,71.115,(d)) (sextile,3')\n(H9,26.051,(r)) (Moon,71.115,(d)) (45-semisquare,4')", '4', '5', '6', '7', '8', '9', "(H1,131.159,(r)) (Uranus,341.240,(d)) (150-quincunx,5')", '11', '12', "(Pluto,252.898,(r)) (H10,72.850,(d)) (opposition,3')", "(Pluto,252.898,(r)) (H10,73.059,(d)) (opposition,10')\n(H1,131.159,(r)) (Mercury,356.154,(d)) (135-sesquisquare,0')\n(Neptune,305.691,(r)) (H10,35.649,(c)) (square,3')", "(Uranus,318.713,(r)) (H1,108.638,(c)) (150-quincunx,5')\n(Uranus,318.713,(r)) (H7,288.638,(c)) (30-semisextile,5')", "(Mercury,333.340,(r)) (H1,108.379,(c)) (135-sesquisquare,2')", '17', "(H10,54.844,(r)) (Uranus,294.799,(c)) (trine,3')", '19', '20', 281]
['2000-03-11 12:12:56', "(Mean_Node,121.333,(r)) (H4,211.246,(d)) (square,5')\n(H4,202.424,(r)) (Mercury,322.380,(c)) (trine,3')", "(Mars,21.457,(r)) (H12,66.499,(c)) (45-semisquare,2')", "(Moon,57.930,(r)) (H4,192.876,(c)) (135-sesquisquare,3')\n(Pluto,252.898,(r)) (H4,192.876,(c)) (sextile,1')", "(Jupiter,34.750,(r)) (H10,34.828,(d)) (conjunction,5')\n(H9,349.157,(r)) (Mean_Node,109.201,(c)) (trine,3')", "(Uranus,318.708,(r)) (H9,3.794,(d)) (45-semisquare,5')\n(Jupiter,34.750,(r)) (H9,334.775,(c)) (sextile,2')\n(H10,22.424,(r)) (Jupiter,22.247,(c)) (conjunction,11')", "(Neptune,305.689,(r)) (H10,35.611,(d)) (square,5')\n(Jupiter,34.750,(r)) (H9,334.689,(c)) (sextile,4')\n(H10,22.424,(r)) (Neptune,292.423,(c)) (square,0')", '6', "(Mercury,333.371,(r)) (H3,153.265,(c)) (opposition,6')\n(H3,169.157,(r)) (Uranus,304.078,(c)) (135-sesquisquare,5')", "(H4,202.424,(r)) (Neptune,322.438,(d)) (trine,1')", "(H1,97.874,(r)) (Uranus,337.931,(d)) (trine,3')\n(H8,312.504,(r)) (Moon,72.476,(d)) (trine,2')", "(H10,22.424,(r)) (Mercury,352.495,(d)) (30-semisextile,4')\n(Uranus,318.708,(r)) (H10,3.786,(c)) (45-semisquare,5')", "(Uranus,318.708,(r)) (H10,3.765,(c)) (45-semisquare,3')", "(H3,169.157,(r)) (Venus,349.311,(d)) (opposition,9')\n(H4,202.424,(r)) (Jupiter,52.434,(d)) (150-quincunx,1')\n(Mercury,333.371,(r)) (H4,183.324,(c)) (150-quincunx,3')", '13', '14', '15', "(Mercury,333.371,(r)) (H12,93.313,(d)) (trine,3')\n(Uranus,318.708,(r)) (H1,78.682,(c)) (trine,2')", "(H1,97.874,(r)) (Moon,37.848,(c)) (sextile,2')", "(H9,349.157,(r)) (Venus,304.219,(c)) (45-semisquare,4')", "(Mean_Node,121.333,(r)) (H1,76.394,(c)) (45-semisquare,4')\n(H1,97.874,(r)) (Mean_Node,97.771,(c)) (conjunction,6')", '20', 413]
['2000-03-11 10:33:27', "(Mean_Node,121.337,(r)) (H4,166.343,(c)) (45-semisquare,0')", "(H1,75.241,(r)) (Mars,30.189,(d)) (45-semisquare,3')\n(H4,175.422,(r)) (Mean_Node,130.485,(d)) (45-semisquare,4')\n(H7,255.241,(r)) (Mars,30.189,(d)) (135-sesquisquare,3')", '2', "(H1,75.241,(r)) (Venus,315.327,(c)) (trine,5')", "(H1,75.241,(r)) (Moon,45.181,(c)) (30-semisextile,4')", '5', "(Mercury,333.396,(r)) (H1,63.473,(c)) (square,5')", "(Venus,327.475,(r)) (H7,267.559,(d)) (sextile,5')", '8', "(Mean_Node,121.337,(r)) (H1,61.388,(c)) (sextile,3')\n(H10,355.422,(r)) (Pluto,235.443,(c)) (trine,1')", '10', '11', "(H4,175.422,(r)) (Moon,40.494,(c)) (135-sesquisquare,4')", '13', "(H10,355.422,(r)) (Mars,40.436,(d)) (45-semisquare,1')\n(H10,355.422,(r)) (Saturn,25.384,(c)) (30-semisextile,2')", '15', "(H9,320.980,(r)) (Pluto,231.046,(c)) (square,4')", "(Uranus,318.705,(r)) (H10,18.752,(d)) (sextile,3')", "(H1,75.241,(r)) (Sun,15.167,(d)) (sextile,4')\n(H10,355.422,(r)) (Jupiter,55.397,(d)) (sextile,2')", '19', '20', 218]
['2000-03-11 08:42:32', "(Uranus,318.701,(r)) (H12,18.662,(c)) (sextile,2')", '1', "(Mean_Node,121.341,(r)) (H3,121.258,(d)) (conjunction,5')\n(H3,112.484,(r)) (Mean_Node,112.646,(c)) (conjunction,10')", "(Mean_Node,121.341,(r)) (H1,61.376,(d)) (sextile,2')", '4', '5', '6', '7', "(Venus,327.380,(r)) (H12,12.388,(c)) (45-semisquare,0')", '9', '10', '11', "(H4,145.735,(r)) (Pluto,265.777,(d)) (trine,2')", '13', '14', '15', '16', '17', '18', "(H4,145.735,(r)) (Mean_Node,145.852,(d)) (conjunction,7')", '20', 105]
['2000-03-11 07:31:43', "(H1,35.794,(r)) (Saturn,35.655,(c)) (conjunction,8')\n(H7,215.794,(r)) (Saturn,35.655,(c)) (opposition,8')", "(Saturn,43.322,(r)) (H1,43.388,(d)) (conjunction,4')\n(Saturn,43.322,(r)) (H7,223.388,(d)) (opposition,4')", "(Pluto,252.897,(r)) (H7,207.984,(c)) (45-semisquare,5')", '3', '4', "(H9,275.683,(r)) (Moon,65.597,(d)) (150-quincunx,5')", "(Mercury,333.443,(r)) (H3,108.438,(d)) (135-sesquisquare,0')", "(Uranus,318.698,(r)) (H3,108.702,(d)) (150-quincunx,0')", "(H8,244.916,(r)) (Mars,34.957,(d)) (150-quincunx,2')", "(H1,35.794,(r)) (Mars,35.845,(d)) (conjunction,3')", "(Moon,55.194,(r)) (H10,325.229,(d)) (square,2')", "(Mars,21.312,(r)) (H10,291.239,(c)) (square,4')", '12', '13', "(Pluto,252.897,(r)) (H12,27.822,(d)) (135-sesquisquare,5')", "(H1,35.794,(r)) (Moon,35.958,(c)) (conjunction,10')\n(H7,215.794,(r)) (Moon,35.958,(c)) (opposition,10')", '16', '17', '18', '19', "(H6,189.763,(r)) (Mercury,309.780,(c)) (trine,1')", 234]
['2000-03-11 09:47:04', '0', "(Mercury,333.407,(r)) (H4,153.534,(c)) (opposition,8')\n(Mercury,333.407,(r)) (H12,33.456,(c)) (sextile,3')\n(H4,162.828,(r)) (Mars,12.776,(c)) (150-quincunx,3')", "(Pluto,252.897,(r)) (H7,252.849,(d)) (conjunction,3')\n(Mercury,333.407,(r)) (H4,153.352,(c)) (opposition,3')\n(Venus,327.435,(r)) (H7,237.475,(c)) (square,2')", "(Sun,351.130,(r)) (H9,321.182,(d)) (30-semisextile,3')\n(H9,308.675,(r)) (Sun,338.615,(c)) (30-semisextile,4')", '4', "(Moon,56.510,(r)) (H10,356.451,(d)) (sextile,4')", '6', "(H4,162.828,(r)) (Venus,342.973,(d)) (opposition,9')", '8', "(Mars,21.382,(r)) (H1,51.373,(c)) (30-semisextile,1')\n(H8,275.553,(r)) (Mars,5.533,(c)) (square,1')", '10', '11', '12', "(Mercury,333.407,(r)) (H10,3.368,(d)) (30-semisextile,2')", "(Uranus,318.703,(r)) (H10,3.612,(d)) (45-semisquare,5')\n(Uranus,318.703,(r)) (H1,48.639,(c)) (square,4')", "(H4,162.828,(r)) (Uranus,297.887,(c)) (135-sesquisquare,4')", "(Neptune,305.686,(r)) (H10,5.660,(d)) (sextile,2')", '17', "(H10,342.828,(r)) (Uranus,342.994,(d)) (conjunction,10')", '19', '20', 262]
['2000-03-11 13:15:18', "(Neptune,305.690,(r)) (H12,80.781,(c)) (135-sesquisquare,5')", '1', '2', "(Sun,351.274,(r)) (H1,126.222,(d)) (135-sesquisquare,3')", "(Sun,351.274,(r)) (H10,51.300,(d)) (sextile,2')", '5', '6', "(Sun,351.274,(r)) (H3,171.263,(c)) (opposition,1')", '8', "(Saturn,43.345,(r)) (H12,103.295,(d)) (sextile,3')\n(H10,38.759,(r)) (Mars,38.898,(d)) (conjunction,8')\n(H10,38.759,(r)) (Uranus,338.691,(d)) (sextile,4')", "(H10,38.759,(r)) (Venus,308.692,(c)) (square,4')", "(Pluto,252.898,(r)) (H12,72.801,(c)) (opposition,6')", "(Pluto,252.898,(r)) (H3,207.823,(d)) (45-semisquare,4')", '13', "(Uranus,318.710,(r)) (H10,18.678,(c)) (sextile,2')", '15', "(Pluto,252.898,(r)) (H9,342.908,(c)) (square,1')", '17', '18', "(H1,113.412,(r)) (Uranus,293.527,(c)) (opposition,7')\n(H3,187.472,(r)) (Mean_Node,97.475,(c)) (square,0')", "(H1,113.412,(r)) (Uranus,293.502,(c)) (opposition,5')", 235]
['2000-03-11 14:05:43', "(Pluto,252.898,(r)) (H1,117.920,(c)) (135-sesquisquare,1')\n(Pluto,252.898,(r)) (H7,297.920,(c)) (45-semisquare,1')", "(H4,231.435,(r)) (Moon,51.399,(c)) (opposition,2')", '2', '3', '4', "(H1,127.153,(r)) (Sun,7.082,(d)) (trine,4')\n(H10,51.435,(r)) (Jupiter,21.510,(c)) (30-semisextile,4')", '6', "(Jupiter,34.766,(r)) (H4,244.796,(d)) (150-quincunx,2')", "(Sun,351.309,(r)) (H4,216.342,(c)) (135-sesquisquare,2')\n(Venus,327.657,(r)) (H8,327.754,(c)) (conjunction,6')", "(H8,346.100,(r)) (Uranus,301.164,(c)) (45-semisquare,4')", "(Uranus,318.712,(r)) (H1,108.663,(c)) (150-quincunx,3')", "(Uranus,318.712,(r)) (H1,108.644,(c)) (150-quincunx,4')", '12', '13', "(Saturn,43.348,(r)) (H9,43.268,(d)) (conjunction,5')", "(H1,127.153,(r)) (Mercury,307.159,(c)) (opposition,0')\n(H7,307.153,(r)) (Mercury,307.159,(c)) (conjunction,0')", "(Neptune,305.691,(r)) (H12,80.759,(c)) (135-sesquisquare,4')\n(H9,22.098,(r)) (Saturn,21.943,(c)) (conjunction,9')", "(Mercury,333.343,(r)) (H1,153.510,(d)) (opposition,10')", "(Moon,59.028,(r)) (H1,104.053,(c)) (45-semisquare,2')", '19', '20', 222]
['2000-03-11 11:45:36', '0', "(H4,195.079,(r)) (Neptune,315.087,(d)) (trine,1')\n(Neptune,305.688,(r)) (H4,185.627,(c)) (trine,4')", "(H7,271.455,(r)) (Sun,1.412,(d)) (square,3')\n(H3,161.220,(r)) (Sun,341.109,(c)) (opposition,7')", "(Moon,57.664,(r)) (H1,102.656,(d)) (45-semisquare,0')\n(Moon,57.664,(r)) (H10,27.679,(d)) (30-semisextile,1')\n(H1,91.455,(r)) (Jupiter,46.543,(d)) (45-semisquare,5')\n(H10,15.079,(r)) (Venus,315.072,(c)) (sextile,0')", '4', "(H10,15.079,(r)) (Mean_Node,135.035,(d)) (trine,3')", "(H10,15.079,(r)) (Moon,45.046,(c)) (30-semisextile,2')", "(H7,271.455,(r)) (Mean_Node,136.463,(d)) (135-sesquisquare,0')", '8', "(Moon,57.664,(r)) (H10,357.721,(c)) (sextile,3')\n(Uranus,318.707,(r)) (H8,288.699,(c)) (30-semisextile,1')", "(Mercury,333.377,(r)) (H10,33.374,(d)) (sextile,0')\n(Mean_Node,121.334,(r)) (H3,181.347,(d)) (sextile,1')", "(Mercury,333.377,(r)) (H10,33.394,(d)) (sextile,1')", "(H3,161.220,(r)) (Moon,41.200,(c)) (trine,1')", "(Mercury,333.377,(r)) (H9,3.290,(d)) (30-semisextile,5')\n(H1,91.455,(r)) (Saturn,61.394,(d)) (30-semisextile,4')\n(H9,341.220,(r)) (Uranus,341.143,(d)) (conjunction,5')\n(H9,341.220,(r)) (Mercury,311.196,(c)) (30-semisextile,1')", "(H9,341.220,(r)) (Mars,41.203,(d)) (sextile,1')", "(Pluto,252.898,(r)) (H1,72.896,(c)) (opposition,0')\n(Pluto,252.898,(r)) (H7,252.896,(c)) (conjunction,0')", "(Neptune,305.688,(r)) (H9,5.757,(d)) (sextile,4')", '17', "(Sun,351.212,(r)) (H10,351.290,(c)) (conjunction,5')", '19', '20', 365]
