['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 02:53:20', "(H5,135.666,(r)) (Sun,315.507,(c)) (opposition,10')", "(H10,293.218,(r)) (Pluto,113.324,(d)) (opposition,6')", "(Mars,303.869,(r)) (H1,63.891,(d)) (trine,1')\n(Saturn,288.923,(r)) (H1,63.891,(d)) (135-sesquisquare,2')\n(Sun,60.567,(r)) (H10,285.501,(c)) (135-sesquisquare,4')", '3', "(Moon,315.933,(r)) (H10,315.771,(d)) (conjunction,10')\n(H5,135.666,(r)) (H10,315.771,(d)) (opposition,6')", '5', "(Moon,315.933,(r)) (H1,106.020,(d)) (150-quincunx,5')\n(H4,113.218,(r)) (Mean_Node,83.200,(c)) (30-semisextile,1')\n(H5,135.666,(r)) (Jupiter,75.594,(c)) (sextile,4')", "(Moon,315.933,(r)) (H4,165.860,(d)) (150-quincunx,4')\n(H4,113.218,(r)) (Moon,23.177,(d)) (square,2')\n(H4,113.218,(r)) (Venus,323.194,(c)) (150-quincunx,1')", "(Mars,303.869,(r)) (H1,303.773,(c)) (conjunction,6')\n(Jupiter,123.685,(r)) (H1,303.773,(c)) (opposition,5')", "(H5,135.666,(r)) (Mercury,105.687,(d)) (30-semisextile,1')\n(Pluto,350.507,(r)) (H5,80.425,(c)) (square,5')", 249]
['1813-05-22 04:53:36', '0', "(Pluto,350.508,(r)) (H1,140.595,(d)) (150-quincunx,5')", "(Neptune,254.570,(r)) (H10,314.501,(c)) (sextile,4')\n(Mean_Node,134.339,(r)) (H10,314.501,(c)) (opposition,10')", "(Moon,317.002,(r)) (H10,346.962,(d)) (30-semisextile,2')", "(Venus,59.776,(r)) (H10,299.858,(c)) (trine,5')", "(Mean_Node,134.339,(r)) (H4,179.291,(d)) (45-semisquare,3')", "(Jupiter,123.697,(r)) (H4,93.734,(c)) (30-semisextile,2')", '7', "(Moon,317.002,(r)) (H4,92.055,(c)) (135-sesquisquare,3')", "(H1,88.198,(r)) (Mercury,313.260,(c)) (135-sesquisquare,4')", 111]
['1813-05-22 07:52:07', '0', "(H10,10.845,(r)) (Saturn,340.877,(d)) (30-semisextile,2')", '2', "(H7,303.679,(r)) (Sun,33.753,(c)) (square,4')\n(H10,10.845,(r)) (Mercury,10.842,(c)) (conjunction,0')", '4', "(Mars,303.949,(r)) (H4,153.929,(c)) (150-quincunx,1')\n(Saturn,288.915,(r)) (H4,153.929,(c)) (135-sesquisquare,1')\n(H8,320.232,(r)) (Mars,275.184,(c)) (45-semisquare,3')\n(H8,320.232,(r)) (Pluto,320.176,(c)) (conjunction,3')", '6', "(Mars,303.949,(r)) (H4,243.896,(d)) (sextile,3')\n(Saturn,288.915,(r)) (H4,243.896,(d)) (45-semisquare,1')\n(H7,303.679,(r)) (Pluto,303.664,(c)) (conjunction,1')", '8', "(H4,190.845,(r)) (Mars,340.936,(d)) (150-quincunx,5')\n(H1,123.679,(r)) (Moon,273.660,(c)) (150-quincunx,1')", 155]
['1813-05-22 20:25:52', '0', "(Uranus,235.713,(r)) (H8,55.663,(c)) (opposition,3')", '2', "(Venus,60.572,(r)) (H7,60.712,(c)) (conjunction,8')\n(Uranus,235.713,(r)) (H10,175.774,(c)) (sextile,4')", "(H5,44.438,(r)) (Moon,359.495,(d)) (45-semisquare,3')\n(H5,44.438,(r)) (H10,224.556,(d)) (opposition,7')\n(H10,200.485,(r)) (Sun,80.488,(d)) (trine,0')\n(Moon,325.368,(r)) (H10,175.362,(c)) (150-quincunx,0')\n(Venus,60.572,(r)) (H7,60.437,(c)) (conjunction,8')\n(H5,44.438,(r)) (Mercury,14.455,(c)) (30-semisextile,1')", "(Moon,325.368,(r)) (H4,55.397,(d)) (square,2')\n(H4,20.485,(r)) (Saturn,335.459,(d)) (45-semisquare,2')\n(H1,258.053,(r)) (Venus,33.044,(c)) (135-sesquisquare,1')", "(Moon,325.368,(r)) (H4,325.505,(c)) (conjunction,8')\n(H4,20.485,(r)) (Sun,20.536,(c)) (conjunction,3')", '7', "(Sun,61.269,(r)) (H5,91.351,(d)) (30-semisextile,5')", "(H5,44.438,(r)) (Uranus,284.501,(d)) (trine,4')", 237]
['1813-05-22 05:54:00', '0', "(Mars,303.918,(r)) (H12,123.758,(d)) (opposition,10')\n(Mars,303.918,(r)) (H1,3.859,(c)) (sextile,3')", "(Moon,317.540,(r)) (H10,347.595,(d)) (30-semisextile,3')", "(Mercury,35.695,(r)) (H7,260.653,(c)) (135-sesquisquare,3')", "(Mars,303.918,(r)) (H10,3.843,(d)) (sextile,4')\n(H10,338.735,(r)) (Moon,338.721,(d)) (conjunction,1')", "(Sun,60.687,(r)) (H4,195.735,(d)) (135-sesquisquare,3')\n(Mars,303.918,(r)) (H4,123.891,(c)) (opposition,2')", "(Jupiter,123.703,(r)) (H4,213.739,(d)) (square,2')", '7', "(Mercury,35.695,(r)) (H4,215.631,(d)) (opposition,4')", "(H4,158.735,(r)) (Moon,8.778,(d)) (150-quincunx,3')\n(Mars,303.918,(r)) (H1,33.902,(c)) (square,1')\n(H5,193.712,(r)) (Mars,253.709,(c)) (sextile,0')", 188]
['1813-05-22 11:43:20', '0', "(Sun,60.920,(r)) (H8,60.816,(d)) (conjunction,6')\n(Mean_Node,134.324,(r)) (H10,134.185,(d)) (conjunction,8')", "(H8,6.344,(r)) (Pluto,336.270,(c)) (30-semisextile,4')", '3', "(Sun,60.920,(r)) (H10,91.007,(d)) (30-semisextile,5')", "(H8,6.344,(r)) (Pluto,6.510,(d)) (conjunction,10')\n(Moon,320.661,(r)) (H1,140.486,(c)) (opposition,10')\n(Pluto,350.511,(r)) (H1,140.486,(c)) (150-quincunx,1')", "(Pluto,350.511,(r)) (H1,200.500,(d)) (150-quincunx,1')\n(H5,286.444,(r)) (Jupiter,166.518,(d)) (trine,4')", '7', "(Uranus,235.728,(r)) (H5,235.627,(c)) (conjunction,6')\n(H5,286.444,(r)) (Jupiter,76.474,(c)) (150-quincunx,2')", "(Sun,60.920,(r)) (H4,300.940,(d)) (trine,1')", 174]
['1813-05-22 12:43:12', "(H10,83.512,(r)) (Mercury,83.457,(d)) (conjunction,3')\n(H10,83.512,(r)) (Mars,353.562,(d)) (square,3')", "(H8,18.324,(r)) (Moon,18.191,(d)) (conjunction,8')", "(H8,18.324,(r)) (Uranus,228.278,(c)) (150-quincunx,3')\n(H10,83.512,(r)) (Sun,53.465,(c)) (30-semisextile,3')", "(H10,83.512,(r)) (Jupiter,143.482,(d)) (sextile,2')\n(H7,355.006,(r)) (Sun,40.003,(c)) (45-semisquare,0')", "(H7,355.006,(r)) (Mercury,54.914,(d)) (sextile,6')", "(Sun,60.960,(r)) (H1,150.986,(c)) (square,2')\n(Moon,321.198,(r)) (H4,231.229,(c)) (square,2')\n(H8,18.324,(r)) (Pluto,318.257,(c)) (sextile,4')", "(Sun,60.960,(r)) (H1,211.023,(d)) (150-quincunx,4')\n(Mars,304.027,(r)) (H4,214.047,(c)) (square,1')", '7', "(H5,299.605,(r)) (Mean_Node,179.532,(d)) (trine,4')", "(Mars,304.027,(r)) (H5,349.092,(d)) (45-semisquare,4')\n(H1,175.006,(r)) (Pluto,25.006,(d)) (150-quincunx,0')", 216]
['1813-05-22 19:09:59', "(Uranus,235.716,(r)) (H7,115.626,(d)) (trine,5')\n(Sun,61.218,(r)) (H10,121.225,(c)) (sextile,0')", "(Neptune,254.555,(r)) (H8,194.617,(d)) (sextile,4')\n(Mean_Node,134.308,(r)) (H1,314.382,(d)) (opposition,4')", '2', "(H10,179.888,(r)) (Moon,299.883,(c)) (trine,0')", '4', "(Pluto,350.514,(r)) (H12,200.574,(c)) (150-quincunx,4')\n(H8,98.240,(r)) (Mean_Node,98.222,(c)) (conjunction,1')", "(Mercury,36.326,(r)) (H4,306.368,(c)) (square,3')\n(H5,27.413,(r)) (H1,207.300,(c)) (opposition,7')", "(Venus,60.507,(r)) (H12,270.571,(d)) (150-quincunx,4')\n(Pluto,350.514,(r)) (H4,305.604,(c)) (45-semisquare,5')", "(Mean_Node,134.308,(r)) (H5,74.255,(d)) (sextile,3')", "(H5,27.413,(r)) (Mean_Node,207.368,(d)) (opposition,3')\n(H4,359.888,(r)) (Pluto,299.940,(c)) (sextile,3')", 221]
['1813-05-22 08:29:20', "(H5,240.297,(r)) (Mean_Node,90.254,(c)) (150-quincunx,3')", "(H8,327.584,(r)) (Mars,237.676,(c)) (square,6')", "(Neptune,254.566,(r)) (H10,29.608,(d)) (135-sesquisquare,2')", '3', "(H10,20.887,(r)) (Moon,335.867,(d)) (45-semisquare,1')\n(Jupiter,123.720,(r)) (H5,213.794,(c)) (square,4')\n(Uranus,235.734,(r)) (H10,355.770,(c)) (trine,2')", "(Uranus,235.734,(r)) (H4,235.764,(d)) (conjunction,2')", '6', '7', "(H5,240.297,(r)) (Mercury,90.251,(d)) (150-quincunx,3')", '9', 92]
['1813-05-22 08:46:08', "(Mercury,35.830,(r)) (H10,80.760,(d)) (45-semisquare,4')\n(Venus,59.974,(r)) (H7,269.922,(c)) (150-quincunx,3')", "(Uranus,235.733,(r)) (H8,25.713,(d)) (150-quincunx,1')", "(Moon,319.075,(r)) (H1,139.055,(d)) (opposition,1')\n(Mars,303.964,(r)) (H10,33.996,(d)) (square,2')", "(Sun,60.802,(r)) (H10,0.772,(c)) (sextile,2')\n(H5,244.715,(r)) (Venus,34.659,(c)) (150-quincunx,3')", "(Moon,319.075,(r)) (H10,49.136,(d)) (square,4')\n(H5,244.715,(r)) (Sun,34.799,(c)) (150-quincunx,5')", "(Venus,59.974,(r)) (H4,239.834,(d)) (opposition,8')\n(Mars,303.964,(r)) (H8,303.982,(c)) (conjunction,1')", "(Moon,319.075,(r)) (H1,169.155,(d)) (150-quincunx,5')\n(H5,244.715,(r)) (Pluto,304.785,(c)) (sextile,4')", "(H4,205.365,(r)) (Mars,340.369,(d)) (135-sesquisquare,0')\n(Mars,303.964,(r)) (H7,273.968,(c)) (30-semisextile,0')", "(Pluto,350.509,(r)) (H1,170.446,(d)) (opposition,4')\n(Sun,60.802,(r)) (H5,180.709,(c)) (trine,6')", "(H5,244.715,(r)) (Mercury,334.805,(c)) (square,5')", 227]
