['Time', 'Event0', 'Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6', 'Event7', 'Event8', 'Event9', 'Event10', 'Event11', 'Event12', 'Event13', 'Event14', 'Count']
['05:03:20', '', "(Mean_Node,190.610,(r)) (MC,70.561,(c)) (trine,3')\n(MC,90.474,(r)) (Venus,135.501,(c)) (45-semisquare,2')", "(Sun,195.755,(r)) (ASC,195.611,(d)) (conjunction,9')", '', '', '', '', '', '', '', '', '', '', '', "(MC,90.474,(r)) (Uranus,90.569,(d)) (conjunction,6')", 4]
['05:03:28', "(MC,90.505,(r)) (Mean_Node,180.578,(c)) (square,4')", "(Mean_Node,190.610,(r)) (MC,70.593,(c)) (trine,1')\n(MC,90.505,(r)) (Venus,135.499,(c)) (45-semisquare,0')", "(Sun,195.756,(r)) (ASC,195.634,(d)) (conjunction,7')", '', "(Jupiter,43.747,(r)) (ASC,163.666,(c)) (trine,5')\n(MC,90.505,(r)) (Sun,180.586,(c)) (square,5')", '', '', '', '', '', '', '', '', '', "(MC,90.505,(r)) (Uranus,90.567,(d)) (conjunction,4')", 7]
['05:03:36', "(ASC,180.402,(r)) (Mean_Node,180.576,(c)) (conjunction,10')\n(MC,90.535,(r)) (Mean_Node,180.576,(c)) (square,2')", "(Mean_Node,190.610,(r)) (MC,70.624,(c)) (trine,1')\n(MC,90.535,(r)) (Venus,135.497,(c)) (45-semisquare,2')", "(Sun,195.756,(r)) (ASC,195.657,(d)) (conjunction,6')", '', "(Jupiter,43.747,(r)) (ASC,163.689,(c)) (trine,3')\n(MC,90.535,(r)) (Sun,180.584,(c)) (square,3')", '', '', '', '', '', '', '', '', '', "(MC,90.535,(r)) (Uranus,90.565,(d)) (conjunction,2')", 8]
['05:03:44', "(ASC,180.425,(r)) (Mean_Node,180.575,(c)) (conjunction,9')\n(MC,90.566,(r)) (Mean_Node,180.575,(c)) (square,1')", "(Mean_Node,190.610,(r)) (MC,70.655,(c)) (trine,3')\n(ASC,180.425,(r)) (Venus,135.495,(c)) (45-semisquare,4')\n(MC,90.566,(r)) (Venus,135.495,(c)) (45-semisquare,4')", "(Sun,195.756,(r)) (ASC,195.680,(d)) (conjunction,5')", '', "(Jupiter,43.747,(r)) (ASC,163.712,(c)) (trine,2')\n(ASC,180.425,(r)) (Sun,180.582,(c)) (conjunction,9')\n(MC,90.566,(r)) (Sun,180.582,(c)) (square,1')", '', '', '', '', '', '', '', '', '', "(MC,90.566,(r)) (Uranus,90.563,(d)) (conjunction,0')", 10]
['05:03:52', "(ASC,180.448,(r)) (Mean_Node,180.574,(c)) (conjunction,8')\n(MC,90.597,(r)) (Mean_Node,180.574,(c)) (square,1')", "(Mean_Node,190.610,(r)) (MC,70.687,(c)) (trine,5')\n(ASC,180.448,(r)) (Venus,135.493,(c)) (45-semisquare,3')", "(Sun,195.756,(r)) (ASC,195.703,(d)) (conjunction,3')", '', "(Jupiter,43.747,(r)) (ASC,163.735,(c)) (trine,1')\n(ASC,180.448,(r)) (Sun,180.580,(c)) (conjunction,8')\n(MC,90.597,(r)) (Sun,180.580,(c)) (square,1')", '', '', '', '', '', '', '', '', '', "(MC,90.597,(r)) (Uranus,90.562,(d)) (conjunction,2')", 9]
['05:03:59', "(ASC,180.471,(r)) (Mean_Node,180.572,(c)) (conjunction,6')\n(MC,90.627,(r)) (Mean_Node,180.572,(c)) (square,3')", "(ASC,180.471,(r)) (Venus,135.491,(c)) (45-semisquare,1')", "(Sun,195.756,(r)) (ASC,195.726,(d)) (conjunction,2')", '', "(Jupiter,43.747,(r)) (ASC,163.758,(c)) (trine,1')\n(ASC,180.471,(r)) (Sun,180.578,(c)) (conjunction,6')\n(MC,90.627,(r)) (Sun,180.578,(c)) (square,3')", '', '', '', '', '', '', '', '', '', "(ASC,180.471,(r)) (Uranus,90.560,(d)) (square,5')\n(MC,90.627,(r)) (Uranus,90.560,(d)) (conjunction,4')", 9]
['05:04:07', "(ASC,180.494,(r)) (Mean_Node,180.571,(c)) (conjunction,5')\n(MC,90.658,(r)) (Mean_Node,180.571,(c)) (square,5')", "(ASC,180.494,(r)) (Venus,135.489,(c)) (45-semisquare,0')", "(Sun,195.756,(r)) (ASC,195.749,(d)) (conjunction,0')", '', "(Jupiter,43.747,(r)) (ASC,163.781,(c)) (trine,2')\n(ASC,180.494,(r)) (Sun,180.576,(c)) (conjunction,5')\n(MC,90.658,(r)) (Sun,180.576,(c)) (square,5')", '', '', '', '', '', '', '', '', '', "(ASC,180.494,(r)) (Uranus,90.558,(d)) (square,4')\n(MC,90.658,(r)) (Uranus,90.558,(d)) (conjunction,6')", 9]
['05:04:15', "(ASC,180.517,(r)) (Mean_Node,180.569,(c)) (conjunction,3')", "(ASC,180.517,(r)) (Venus,135.487,(c)) (45-semisquare,2')", "(Sun,195.756,(r)) (ASC,195.772,(d)) (conjunction,1')", '', "(Jupiter,43.747,(r)) (ASC,163.803,(c)) (trine,3')\n(ASC,180.517,(r)) (Sun,180.573,(c)) (conjunction,3')", '', '', '', '', '', '', '', '', '', "(ASC,180.517,(r)) (Uranus,90.556,(d)) (square,2')\n(MC,90.689,(r)) (Uranus,90.556,(d)) (conjunction,8')", 7]
['05:04:23', "(ASC,180.540,(r)) (Mean_Node,180.568,(c)) (conjunction,2')", "(ASC,180.540,(r)) (Venus,135.485,(c)) (45-semisquare,3')", "(Sun,195.756,(r)) (ASC,195.795,(d)) (conjunction,2')", '', "(MC,90.719,(r)) (Sun,210.806,(d)) (trine,5')\n(Jupiter,43.747,(r)) (ASC,163.826,(c)) (trine,5')\n(ASC,180.540,(r)) (Sun,180.571,(c)) (conjunction,2')", '', '', '', '', '', '', '', '', '', "(ASC,180.540,(r)) (Uranus,90.554,(d)) (square,1')\n(MC,90.719,(r)) (Uranus,90.554,(d)) (conjunction,10')", 8]
['05:04:31', "(ASC,180.563,(r)) (Mean_Node,180.567,(c)) (conjunction,0')", "(ASC,180.563,(r)) (Venus,135.483,(c)) (45-semisquare,5')", "(Sun,195.756,(r)) (ASC,195.818,(d)) (conjunction,4')", '', "(MC,90.750,(r)) (Sun,210.808,(d)) (trine,3')\n(ASC,180.563,(r)) (Sun,180.569,(c)) (conjunction,0')", '', '', '', '', '', '', '', '', '', "(ASC,180.563,(r)) (Uranus,90.552,(d)) (square,1')", 6]
['05:04:39', "(ASC,180.586,(r)) (Mean_Node,180.565,(c)) (conjunction,1')", '', "(Sun,195.756,(r)) (ASC,195.841,(d)) (conjunction,5')", '', "(MC,90.781,(r)) (Sun,210.810,(d)) (trine,2')\n(ASC,180.586,(r)) (Sun,180.567,(c)) (conjunction,1')", '', '', "(Moon,297.020,(r)) (MC,116.848,(d)) (opposition,10')", '', '', '', '', '', '', "(ASC,180.586,(r)) (Uranus,90.550,(d)) (square,2')", 6]
['05:04:47', "(ASC,180.609,(r)) (Mean_Node,180.564,(c)) (conjunction,3')", '', "(Sun,195.756,(r)) (ASC,195.863,(d)) (conjunction,6')", '', "(MC,90.811,(r)) (Sun,210.813,(d)) (trine,0')\n(ASC,180.609,(r)) (Sun,180.565,(c)) (conjunction,3')", '', '', "(Moon,297.021,(r)) (MC,116.880,(d)) (opposition,8')", '', '', '', '', '', '', "(ASC,180.609,(r)) (Uranus,90.548,(d)) (square,4')", 6]
['05:04:56', "(ASC,180.632,(r)) (Mean_Node,180.562,(c)) (conjunction,4')", '', "(Sun,195.757,(r)) (ASC,195.886,(d)) (conjunction,8')", '', "(MC,90.842,(r)) (Sun,210.815,(d)) (trine,2')\n(ASC,180.632,(r)) (Sun,180.563,(c)) (conjunction,4')", '', '', "(Moon,297.023,(r)) (MC,116.912,(d)) (opposition,7')", '', '', "(Mercury,217.873,(r)) (ASC,157.780,(c)) (sextile,6')", '', '', '', "(ASC,180.632,(r)) (Uranus,90.546,(d)) (square,5')", 7]
['05:05:04', "(ASC,180.655,(r)) (Mean_Node,180.561,(c)) (conjunction,6')", '', "(Sun,195.757,(r)) (ASC,195.909,(d)) (conjunction,9')", '', "(MC,90.873,(r)) (Sun,210.817,(d)) (trine,3')\n(ASC,180.655,(r)) (Sun,180.561,(c)) (conjunction,6')", '', '', "(Moon,297.024,(r)) (MC,116.944,(d)) (opposition,5')", '', '', "(Mercury,217.873,(r)) (ASC,157.803,(c)) (sextile,4')", '', '', '', '', 6]
['05:05:12', "(ASC,180.678,(r)) (Mean_Node,180.560,(c)) (conjunction,7')", '', "(Sun,195.757,(r)) (ASC,195.932,(d)) (conjunction,11')", '', "(MC,90.903,(r)) (Sun,210.820,(d)) (trine,5')\n(ASC,180.678,(r)) (Sun,180.559,(c)) (conjunction,7')", '', '', "(Moon,297.025,(r)) (MC,116.975,(d)) (opposition,3')", '', '', "(Mercury,217.873,(r)) (ASC,157.826,(c)) (sextile,3')", '', '', '', '', 6]
['05:05:20', "(ASC,180.701,(r)) (Mean_Node,180.558,(c)) (conjunction,9')", '', '', '', "(ASC,180.701,(r)) (Sun,180.557,(c)) (conjunction,9')", '', "(MC,90.934,(r)) (Uranus,31.013,(c)) (sextile,5')", "(Moon,297.026,(r)) (MC,117.007,(d)) (opposition,1')", '', '', "(Mercury,217.873,(r)) (ASC,157.849,(c)) (sextile,1')", '', '', '', '', 5]
['05:05:28', "(ASC,180.724,(r)) (Mean_Node,180.557,(c)) (conjunction,10')", '', '', '', "(ASC,180.724,(r)) (Sun,180.555,(c)) (conjunction,10')", '', "(MC,90.965,(r)) (Uranus,31.016,(c)) (sextile,3')", "(Moon,297.027,(r)) (MC,117.039,(d)) (opposition,1')", '', '', "(Mercury,217.873,(r)) (ASC,157.872,(c)) (sextile,0')", '', "(Venus,152.630,(r)) (MC,122.550,(d)) (30-semisextile,5')", '', '', 6]
['05:05:36', '', '', '', '', "(ASC,180.747,(r)) (Sun,210.826,(d)) (30-semisextile,5')", '', "(MC,90.995,(r)) (Uranus,31.018,(c)) (sextile,1')", "(Moon,297.028,(r)) (MC,117.071,(d)) (opposition,3')", '', '', "(Mercury,217.874,(r)) (ASC,157.895,(c)) (sextile,1')", '', "(Venus,152.630,(r)) (MC,122.582,(d)) (30-semisextile,3')", '', '', 5]
['05:05:43', '', '', "(Mean_Node,190.610,(r)) (MC,70.523,(c)) (trine,5')", '', "(ASC,180.770,(r)) (Sun,210.829,(d)) (30-semisextile,4')", '', "(MC,91.026,(r)) (Uranus,31.021,(c)) (sextile,0')", "(Moon,297.030,(r)) (MC,117.103,(d)) (opposition,4')", '', "(Mars,182.329,(r)) (MC,62.245,(c)) (trine,5')", "(Mercury,217.874,(r)) (ASC,157.917,(c)) (sextile,3')", '', "(Venus,152.630,(r)) (MC,122.615,(d)) (30-semisextile,1')", '', '', 7]
['05:05:51', '', '', "(Mean_Node,190.610,(r)) (MC,70.555,(c)) (trine,3')", '', "(ASC,180.793,(r)) (Sun,210.831,(d)) (30-semisextile,2')", '', "(MC,91.057,(r)) (Uranus,31.024,(c)) (sextile,2')", "(Moon,297.031,(r)) (MC,117.135,(d)) (opposition,6')", '', "(Mars,182.329,(r)) (MC,62.277,(c)) (trine,3')", "(Mercury,217.874,(r)) (ASC,157.940,(c)) (sextile,4')", '', "(Venus,152.630,(r)) (MC,122.647,(d)) (30-semisextile,1')", '', '', 7]
['05:06:00', '', '', "(Mean_Node,190.610,(r)) (MC,70.586,(c)) (trine,1')", '', "(ASC,180.816,(r)) (Sun,210.833,(d)) (30-semisextile,1')", '', "(MC,91.087,(r)) (Uranus,31.026,(c)) (sextile,4')", "(Moon,297.032,(r)) (MC,117.167,(d)) (opposition,8')", '', "(Mars,182.329,(r)) (MC,62.309,(c)) (trine,1')", "(Mercury,217.874,(r)) (ASC,157.963,(c)) (sextile,5')", '', "(Venus,152.630,(r)) (MC,122.679,(d)) (30-semisextile,3')", '', '', 7]
['05:06:08', '', '', "(Mean_Node,190.610,(r)) (MC,70.617,(c)) (trine,0')", '', "(Venus,152.630,(r)) (ASC,197.546,(d)) (45-semisquare,5')\n(ASC,180.839,(r)) (Sun,210.835,(d)) (30-semisextile,0')", '', "(MC,91.118,(r)) (Uranus,31.029,(c)) (sextile,5')", "(Moon,297.033,(r)) (MC,117.198,(d)) (opposition,10')", '', "(Mars,182.329,(r)) (MC,62.341,(c)) (trine,1')", "(Mars,182.329,(r)) (MC,122.239,(d)) (sextile,5')", '', "(Venus,152.630,(r)) (MC,122.712,(d)) (30-semisextile,5')", '', '', 8]
['05:06:16', '', '', "(Mean_Node,190.610,(r)) (MC,70.649,(c)) (trine,2')", '', "(Venus,152.630,(r)) (ASC,197.569,(d)) (45-semisquare,4')\n(ASC,180.862,(r)) (Sun,210.838,(d)) (30-semisextile,1')", '', '', '', '', "(Mars,182.329,(r)) (MC,62.373,(c)) (trine,3')", "(Mars,182.329,(r)) (MC,122.272,(d)) (sextile,3')", '', '', '', '', 5]
['05:06:24', '', '', "(Mean_Node,190.610,(r)) (MC,70.680,(c)) (trine,4')", '', "(Venus,152.630,(r)) (ASC,197.592,(d)) (45-semisquare,2')\n(ASC,180.885,(r)) (Sun,210.840,(d)) (30-semisextile,3')", '', '', '', '', "(Mars,182.329,(r)) (MC,62.405,(c)) (trine,5')", "(Mars,182.329,(r)) (MC,122.304,(d)) (sextile,2')", '', '', '', '', 5]
['05:06:32', '', '', '', '', "(Venus,152.630,(r)) (ASC,197.615,(d)) (45-semisquare,1')\n(ASC,180.908,(r)) (Sun,210.842,(d)) (30-semisextile,4')", '', '', '', '', '', "(Mars,182.330,(r)) (MC,122.336,(d)) (sextile,0')", '', '', '', '', 3]
['05:06:40', '', '', "(Sun,195.758,(r)) (ASC,165.670,(c)) (30-semisextile,5')", '', "(Venus,152.631,(r)) (ASC,197.638,(d)) (45-semisquare,0')\n(ASC,180.931,(r)) (Sun,210.844,(d)) (30-semisextile,5')", '', '', '', '', '', "(Mars,182.330,(r)) (MC,122.369,(d)) (sextile,2')", '', '', '', '', 4]
['05:06:48', '', '', "(Sun,195.758,(r)) (ASC,165.693,(c)) (30-semisextile,4')", '', "(Venus,152.631,(r)) (ASC,197.660,(d)) (45-semisquare,2')", '', "(ASC,180.954,(r)) (Uranus,31.042,(c)) (150-quincunx,5')", '', '', '', "(Mars,182.330,(r)) (MC,122.401,(d)) (sextile,4')", '', '', '', '', 4]
['05:06:56', '', '', "(Sun,195.758,(r)) (ASC,165.716,(c)) (30-semisextile,3')", "(MC,91.302,(r)) (Sun,181.366,(c)) (square,4')", "(Venus,152.631,(r)) (ASC,197.683,(d)) (45-semisquare,3')", "(Neptune,176.012,(r)) (MC,115.920,(d)) (sextile,6')", "(ASC,180.977,(r)) (Uranus,31.045,(c)) (150-quincunx,4')", '', '', '', '', '', "(Mercury,217.875,(r)) (ASC,157.789,(c)) (sextile,5')", '', '', 6]
['05:07:04', '', '', "(Sun,195.758,(r)) (ASC,165.739,(c)) (30-semisextile,1')", "(MC,91.333,(r)) (Sun,181.364,(c)) (square,2')", "(Venus,152.631,(r)) (ASC,197.706,(d)) (45-semisquare,5')", "(Neptune,176.012,(r)) (MC,115.952,(d)) (sextile,4')", "(ASC,181.000,(r)) (Uranus,31.048,(c)) (150-quincunx,3')", '', '', '', '', '', "(Mercury,217.875,(r)) (ASC,157.812,(c)) (sextile,4')", '', '', 6]
['05:07:12', '', "(MC,91.363,(r)) (Jupiter,61.437,(d)) (30-semisextile,4')", "(Sun,195.758,(r)) (ASC,165.762,(c)) (30-semisextile,0')", "(MC,91.363,(r)) (Sun,181.362,(c)) (square,0')", '', "(Neptune,176.012,(r)) (MC,115.984,(d)) (sextile,2')", "(ASC,181.023,(r)) (Uranus,31.050,(c)) (150-quincunx,2')", "(MC,91.363,(r)) (Moon,211.453,(c)) (trine,5')", '', '', '', '', "(Mercury,217.875,(r)) (ASC,157.835,(c)) (sextile,2')", '', '', 7]
['05:07:20', '', "(MC,91.394,(r)) (Jupiter,61.435,(d)) (30-semisextile,2')", "(Sun,195.758,(r)) (ASC,165.785,(c)) (30-semisextile,2')", "(MC,91.394,(r)) (Sun,181.360,(c)) (square,2')", '', "(Neptune,176.012,(r)) (MC,116.015,(d)) (sextile,0')", "(ASC,181.046,(r)) (Uranus,31.053,(c)) (150-quincunx,0')", "(MC,91.394,(r)) (Moon,211.458,(c)) (trine,4')", '', '', '', '', "(Mercury,217.875,(r)) (ASC,157.858,(c)) (sextile,1')", '', '', 7]
['05:07:28', '', "(MC,91.425,(r)) (Jupiter,61.432,(d)) (30-semisextile,0')", "(Sun,195.758,(r)) (ASC,165.808,(c)) (30-semisextile,3')", "(MC,91.425,(r)) (Sun,181.358,(c)) (square,4')", '', "(Neptune,176.012,(r)) (MC,116.047,(d)) (sextile,2')", "(ASC,181.069,(r)) (Uranus,31.056,(c)) (150-quincunx,1')", "(MC,91.425,(r)) (Moon,211.462,(c)) (trine,2')", '', '', '', '', "(Mercury,217.875,(r)) (ASC,157.880,(c)) (sextile,0')", '', '', 7]
['05:07:36', '', "(MC,91.455,(r)) (Jupiter,61.430,(d)) (30-semisextile,2')", "(Sun,195.758,(r)) (ASC,165.831,(c)) (30-semisextile,4')", '', '', "(Neptune,176.012,(r)) (MC,116.079,(d)) (sextile,4')", "(ASC,181.092,(r)) (Uranus,31.058,(c)) (150-quincunx,2')", "(MC,91.455,(r)) (Moon,211.467,(c)) (trine,1')", '', '', '', '', "(Mercury,217.875,(r)) (ASC,157.903,(c)) (sextile,2')", '', '', 6]
['05:07:44', '', "(MC,91.486,(r)) (Jupiter,61.427,(d)) (30-semisextile,4')", '', '', '', '', "(ASC,181.115,(r)) (Uranus,31.061,(c)) (150-quincunx,3')", "(MC,91.486,(r)) (Moon,211.471,(c)) (trine,1')", '', '', '', '', "(Mercury,217.875,(r)) (ASC,157.926,(c)) (sextile,3')", '', '', 4]
['05:07:52', '', "(MC,91.517,(r)) (Jupiter,61.425,(d)) (30-semisextile,5')", '', '', '', '', "(ASC,181.138,(r)) (Uranus,31.064,(c)) (150-quincunx,4')", "(MC,91.517,(r)) (Moon,211.475,(c)) (trine,2')", '', '', '', '', "(Mercury,217.876,(r)) (ASC,157.949,(c)) (sextile,4')", '', '', 4]
['05:08:00', '', '', '', '', '', '', '', "(MC,91.547,(r)) (Moon,211.480,(c)) (trine,4')", '', '', '', '', '', '', '', 1]
['05:08:08', '', '', '', "(ASC,181.184,(r)) (Sun,181.349,(c)) (conjunction,10')", '', '', '', '', '', '', '', '', '', '', '', 1]
['05:08:16', '', '', '', "(ASC,181.207,(r)) (Sun,181.347,(c)) (conjunction,8')", '', '', '', '', '', '', '', '', '', '', '', 1]
['05:08:24', '', '', '', "(ASC,181.230,(r)) (Sun,181.345,(c)) (conjunction,7')", '', '', '', "(Moon,297.053,(r)) (ASC,161.968,(c)) (135-sesquisquare,5')", '', '', '', '', '', '', '', 2]
['05:08:32', '', '', '', "(ASC,181.253,(r)) (Sun,181.343,(c)) (conjunction,5')", '', '', '', "(Moon,297.054,(r)) (ASC,161.990,(c)) (135-sesquisquare,4')", '', '', '', '', '', '', "(Pluto,124.182,(r)) (ASC,154.093,(c)) (30-semisextile,5')", 3]
['05:08:40', '', '', '', "(ASC,181.276,(r)) (Sun,181.341,(c)) (conjunction,4')", '', '', '', "(Moon,297.056,(r)) (ASC,162.013,(c)) (135-sesquisquare,3')", '', '', "(MC,91.701,(r)) (Neptune,151.774,(c)) (sextile,4')", '', '', "(Uranus,55.567,(r)) (ASC,205.476,(d)) (150-quincunx,5')", "(Pluto,124.182,(r)) (ASC,154.116,(c)) (30-semisextile,4')", 5]
['05:08:48', '', '', '', "(ASC,181.299,(r)) (Sun,181.339,(c)) (conjunction,2')", '', '', '', "(Moon,297.057,(r)) (ASC,162.036,(c)) (135-sesquisquare,1')", '', '', "(MC,91.731,(r)) (Neptune,151.771,(c)) (sextile,2')", '', '', "(Uranus,55.567,(r)) (ASC,205.499,(d)) (150-quincunx,4')", "(Pluto,124.182,(r)) (ASC,154.139,(c)) (30-semisextile,3')", 5]
['05:08:56', '', "(ASC,181.322,(r)) (Jupiter,61.406,(d)) (trine,5')", "(MC,91.762,(r)) (Sun,181.836,(c)) (square,4')", "(ASC,181.322,(r)) (Sun,181.337,(c)) (conjunction,1')", '', '', '', "(Moon,297.058,(r)) (ASC,162.059,(c)) (135-sesquisquare,0')", '', '', "(MC,91.762,(r)) (Neptune,151.768,(c)) (sextile,0')", '', '', "(Uranus,55.567,(r)) (ASC,205.522,(d)) (150-quincunx,3')", "(Pluto,124.182,(r)) (ASC,154.162,(c)) (30-semisextile,1')", 7]
['05:09:04', '', "(ASC,181.345,(r)) (Jupiter,61.404,(d)) (trine,4')", "(MC,91.793,(r)) (Sun,181.834,(c)) (square,2')", "(ASC,181.345,(r)) (Sun,181.335,(c)) (conjunction,1')", '', '', '', "(Moon,297.059,(r)) (ASC,162.082,(c)) (135-sesquisquare,1')", '', '', "(MC,91.793,(r)) (Neptune,151.765,(c)) (sextile,2')", '', '', "(Uranus,55.567,(r)) (ASC,205.545,(d)) (150-quincunx,1')", "(Pluto,124.182,(r)) (ASC,154.185,(c)) (30-semisextile,0')", 7]
['05:09:12', '', "(ASC,181.368,(r)) (Jupiter,61.402,(d)) (trine,2')", "(MC,91.823,(r)) (Sun,181.832,(c)) (square,1')", "(ASC,181.368,(r)) (Sun,181.334,(c)) (conjunction,2')", '', "(Saturn,43.249,(r)) (ASC,163.162,(c)) (trine,5')", '', "(Moon,297.060,(r)) (ASC,162.105,(c)) (135-sesquisquare,3')", '', '', "(MC,91.823,(r)) (Neptune,151.762,(c)) (sextile,4')", '', '', "(Uranus,55.567,(r)) (ASC,205.568,(d)) (150-quincunx,0')", "(Pluto,124.182,(r)) (ASC,154.208,(c)) (30-semisextile,2')", 8]
['05:09:20', '', "(ASC,181.391,(r)) (Jupiter,61.399,(d)) (trine,1')\n(Moon,297.061,(r)) (MC,71.968,(c)) (135-sesquisquare,6')", "(MC,91.854,(r)) (Jupiter,61.939,(d)) (30-semisextile,5')\n(MC,91.854,(r)) (Sun,181.830,(c)) (square,1')", "(ASC,181.391,(r)) (Sun,181.332,(c)) (conjunction,4')", '', "(Saturn,43.249,(r)) (ASC,163.185,(c)) (trine,4')", '', "(Moon,297.061,(r)) (ASC,162.128,(c)) (135-sesquisquare,4')", '', '', '', '', '', "(Uranus,55.567,(r)) (ASC,205.591,(d)) (150-quincunx,1')", "(Pluto,124.182,(r)) (ASC,154.230,(c)) (30-semisextile,3')", 9]
['05:09:28', '', "(ASC,181.414,(r)) (Jupiter,61.397,(d)) (trine,1')\n(Moon,297.063,(r)) (MC,71.999,(c)) (135-sesquisquare,4')", "(MC,91.885,(r)) (Jupiter,61.937,(d)) (30-semisextile,3')\n(MC,91.885,(r)) (Sun,181.829,(c)) (square,3')", "(ASC,181.414,(r)) (Sun,181.330,(c)) (conjunction,5')", '', "(Saturn,43.249,(r)) (ASC,163.208,(c)) (trine,2')", '', "(Moon,297.063,(r)) (ASC,162.151,(c)) (135-sesquisquare,5')", '', '', '', '', '', "(Uranus,55.567,(r)) (ASC,205.613,(d)) (150-quincunx,3')", "(Pluto,124.182,(r)) (ASC,154.253,(c)) (30-semisextile,4')", 9]
['05:09:36', '', "(ASC,181.437,(r)) (Jupiter,61.395,(d)) (trine,3')\n(Moon,297.064,(r)) (MC,72.031,(c)) (135-sesquisquare,2')", "(MC,91.915,(r)) (Jupiter,61.934,(d)) (30-semisextile,1')\n(MC,91.915,(r)) (Sun,181.827,(c)) (square,5')", "(ASC,181.437,(r)) (Sun,181.328,(c)) (conjunction,7')", '', "(Saturn,43.249,(r)) (ASC,163.231,(c)) (trine,1')", '', '', '', '', '', '', '', "(Uranus,55.567,(r)) (ASC,205.636,(d)) (150-quincunx,4')", '', 7]
['05:09:44', '', "(ASC,181.460,(r)) (Jupiter,61.392,(d)) (trine,4')\n(Moon,297.065,(r)) (MC,72.062,(c)) (135-sesquisquare,0')", "(MC,91.946,(r)) (Jupiter,61.932,(d)) (30-semisextile,1')", "(ASC,181.460,(r)) (Sun,181.326,(c)) (conjunction,8')", '', "(Saturn,43.249,(r)) (ASC,163.254,(c)) (trine,0')", '', "(ASC,181.460,(r)) (Moon,211.537,(c)) (30-semisextile,5')", '', '', '', '', '', "(Uranus,55.567,(r)) (ASC,205.659,(d)) (150-quincunx,6')", '', 7]
['05:09:52', '', "(ASC,181.483,(r)) (Jupiter,61.390,(d)) (trine,6')\n(Moon,297.066,(r)) (MC,72.093,(c)) (135-sesquisquare,2')", "(MC,91.977,(r)) (Jupiter,61.930,(d)) (30-semisextile,3')", "(Sun,195.760,(r)) (ASC,165.676,(c)) (30-semisextile,5')\n(ASC,181.483,(r)) (Sun,181.324,(c)) (conjunction,10')", '', "(Saturn,43.249,(r)) (ASC,163.277,(c)) (trine,2')", '', "(ASC,181.483,(r)) (Moon,211.541,(c)) (30-semisextile,4')", '', '', '', '', '', '', '', 7]
['05:10:00', '', "(Moon,297.067,(r)) (MC,72.124,(c)) (135-sesquisquare,3')", "(MC,92.008,(r)) (Jupiter,61.927,(d)) (30-semisextile,5')", "(Sun,195.760,(r)) (ASC,165.699,(c)) (30-semisextile,4')", '', "(Saturn,43.249,(r)) (ASC,163.300,(c)) (trine,3')", '', "(ASC,181.506,(r)) (Moon,211.546,(c)) (30-semisextile,2')", '', '', '', '', '', '', '', 5]
['05:10:08', '', "(Moon,297.068,(r)) (MC,72.155,(c)) (135-sesquisquare,5')", '', "(Sun,195.760,(r)) (ASC,165.722,(c)) (30-semisextile,2')", '', "(Saturn,43.249,(r)) (ASC,163.323,(c)) (trine,4')", '', "(ASC,181.529,(r)) (Moon,211.550,(c)) (30-semisextile,1')", '', '', '', '', '', '', '', 4]
['05:10:16', '', '', '', "(Sun,195.760,(r)) (ASC,165.745,(c)) (30-semisextile,1')", '', '', '', "(ASC,181.552,(r)) (Moon,211.555,(c)) (30-semisextile,0')", '', '', '', '', '', '', '', 2]
['05:10:24', '', '', '', "(Sun,195.760,(r)) (ASC,165.768,(c)) (30-semisextile,0')", '', '', '', "(ASC,181.575,(r)) (Moon,211.559,(c)) (30-semisextile,1')", '', '', '', '', '', '', '', 2]
['05:10:32', '', '', '', "(Sun,195.760,(r)) (ASC,165.791,(c)) (30-semisextile,2')", '', '', '', "(ASC,181.598,(r)) (Moon,211.564,(c)) (30-semisextile,2')", '', '', '', '', "(Sun,195.760,(r)) (MC,60.699,(c)) (135-sesquisquare,4')", '', '', 3]
['05:10:40', '', '', '', "(Sun,195.760,(r)) (ASC,165.814,(c)) (30-semisextile,3')", '', '', '', "(ASC,181.621,(r)) (Moon,211.568,(c)) (30-semisextile,3')", '', '', '', '', "(Sun,195.760,(r)) (MC,60.731,(c)) (135-sesquisquare,2')", '', '', 3]
['05:10:47', '', '', "(ASC,181.644,(r)) (Sun,181.810,(c)) (conjunction,10')", "(Sun,195.761,(r)) (ASC,165.837,(c)) (30-semisextile,5')", '', "(MC,92.192,(r)) (Sun,212.262,(d)) (trine,4')", '', "(ASC,181.644,(r)) (Moon,211.572,(c)) (30-semisextile,4')", '', '', "(ASC,181.644,(r)) (Neptune,151.727,(c)) (30-semisextile,5')", '', "(Sun,195.761,(r)) (MC,60.763,(c)) (135-sesquisquare,0')", '', '', 6]
['05:10:56', '', '', "(ASC,181.667,(r)) (Sun,181.808,(c)) (conjunction,8')", '', '', "(MC,92.222,(r)) (Sun,212.264,(d)) (trine,3')", '', "(ASC,181.667,(r)) (Moon,211.577,(c)) (30-semisextile,5')", '', '', "(ASC,181.667,(r)) (Neptune,151.724,(c)) (30-semisextile,3')", '', "(Sun,195.761,(r)) (MC,60.795,(c)) (135-sesquisquare,2')", '', '', 5]
