['Time', 'Event0', 'Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6', 'Event7', 'Event8', 'Event9', 'Event10', 'Event11', 'Event12', 'Event13', 'Event14', 'Count']
['23:02:08', "(ASC,118.160,(r)) (Mean_Node,208.246,(d)) (square,5')\n(ASC,118.160,(r)) (Saturn,28.087,(c)) (square,4')", '', '', '', '', '', '', '', '', '', "(Mars,182.166,(r)) (ASC,92.181,(c)) (square,1')", '', "(Moon,293.814,(r)) (MC,323.874,(c)) (30-semisextile,4')", "(Mercury,217.537,(r)) (MC,217.614,(d)) (conjunction,5')", "(MC,359.967,(r)) (Mars,225.030,(d)) (135-sesquisquare,4')", 6]
['23:02:15', "(ASC,118.183,(r)) (Pluto,163.107,(d)) (45-semisquare,5')", '', '', '', '', '', '', '', '', '', "(Mars,182.166,(r)) (ASC,92.211,(c)) (square,3')", "(ASC,118.183,(r)) (Sun,178.142,(c)) (sextile,2')", "(Moon,293.816,(r)) (MC,143.909,(c)) (150-quincunx,6')", "(Mercury,217.537,(r)) (MC,37.648,(d)) (opposition,7')", "(Uranus,55.574,(r)) (ASC,145.482,(d)) (square,6')\n(MC,0.003,(r)) (Mean_Node,209.973,(d)) (150-quincunx,2')", 7]
['23:02:23', "(Saturn,43.266,(r)) (MC,163.177,(c)) (trine,5')", '', '', '', '', '', '', '', '', '', "(Mars,182.167,(r)) (ASC,92.241,(c)) (square,4')", "(ASC,118.207,(r)) (Sun,178.141,(c)) (sextile,4')", '', "(Mercury,217.538,(r)) (MC,37.682,(d)) (opposition,9')", "(Uranus,55.574,(r)) (ASC,145.505,(d)) (square,4')\n(MC,0.040,(r)) (Mean_Node,209.975,(d)) (150-quincunx,4')", 6]
['23:02:31', "(Saturn,43.266,(r)) (MC,163.213,(c)) (trine,3')", '', '', '', '', '', '', '', '', '', '', "(ASC,118.231,(r)) (Sun,178.139,(c)) (sextile,6')", '', "(Mercury,217.538,(r)) (MC,37.717,(d)) (opposition,11')", "(Uranus,55.574,(r)) (ASC,145.528,(d)) (square,3')", 4]
['23:02:39', "(Saturn,43.266,(r)) (MC,163.249,(c)) (trine,1')", '', "(Jupiter,43.773,(r)) (ASC,133.694,(d)) (square,5')", '', '', '', '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (ASC,145.551,(d)) (square,1')\n(Mean_Node,190.623,(r)) (ASC,145.551,(d)) (45-semisquare,4')", 4]
['23:02:47', "(Saturn,43.266,(r)) (MC,163.285,(c)) (trine,1')", '', "(Jupiter,43.773,(r)) (ASC,133.717,(d)) (square,3')", '', '', '', '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (ASC,145.573,(d)) (square,0')\n(Mean_Node,190.623,(r)) (ASC,145.573,(d)) (45-semisquare,3')", 4]
['23:02:56', "(Saturn,43.266,(r)) (MC,163.321,(c)) (trine,3')", '', "(Jupiter,43.773,(r)) (ASC,133.740,(d)) (square,2')", '', '', '', '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (ASC,145.596,(d)) (square,1')\n(Mean_Node,190.623,(r)) (ASC,145.596,(d)) (45-semisquare,2')", 4]
['23:03:04', "(Saturn,43.266,(r)) (MC,163.357,(c)) (trine,5')", '', "(Jupiter,43.773,(r)) (ASC,133.763,(d)) (square,1')", '', '', '', '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (ASC,145.619,(d)) (square,3')\n(Mean_Node,190.623,(r)) (ASC,145.619,(d)) (45-semisquare,0')", 4]
['23:03:12', '', '', "(Jupiter,43.773,(r)) (ASC,133.786,(d)) (square,1')", '', '', '', '', '', '', '', '', '', "(MC,0.258,(r)) (Uranus,90.339,(d)) (square,5')", "(ASC,118.350,(r)) (Jupiter,178.434,(c)) (sextile,5')", "(Uranus,55.574,(r)) (ASC,145.642,(d)) (square,4')\n(Mean_Node,190.623,(r)) (ASC,145.642,(d)) (45-semisquare,1')", 5]
['23:03:20', '', '', "(Jupiter,43.773,(r)) (ASC,133.809,(d)) (square,2')", '', '', "(ASC,118.374,(r)) (Sun,208.446,(d)) (square,4')", '', '', '', '', '', '', "(MC,0.295,(r)) (Uranus,90.337,(d)) (square,3')", "(ASC,118.374,(r)) (Jupiter,178.443,(c)) (sextile,4')", "(Uranus,55.574,(r)) (ASC,145.664,(d)) (square,5')\n(Mean_Node,190.623,(r)) (ASC,145.664,(d)) (45-semisquare,2')", 6]
