['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['20:00:00, 289, opp/conj: 4', 'sqr/tri/sext: 5', 'major: 9', 'minor: 15']
['20:00:08, 253, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 12']
['20:00:16, 284, opp/conj: 5', 'sqr/tri/sext: 7', 'major: 12', 'minor: 12']
['20:00:24, 305, opp/conj: 5', 'sqr/tri/sext: 6', 'major: 11', 'minor: 16']
['20:00:32, 272, opp/conj: 4', 'sqr/tri/sext: 5', 'major: 9', 'minor: 16']
['20:00:39, 212, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 14']
['20:00:47, 172, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 10']
['20:00:56, 184, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 10']
['20:01:04, 198, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 10']
['20:01:12, 211, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 9']
['20:01:20, 226, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 8']
['20:01:28, 226, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 8']
['20:01:36, 255, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 11']
['20:01:44, 295, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 10']
['20:01:52, 361, opp/conj: 5', 'sqr/tri/sext: 9', 'major: 14', 'minor: 11']
['20:02:00, 299, opp/conj: 3', 'sqr/tri/sext: 10', 'major: 13', 'minor: 9']
['20:02:08, 281, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 10']
['20:02:15, 324, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 13']
['20:02:23, 305, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 12']
['20:02:31, 281, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 11']
['20:02:39, 296, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 13']
['20:02:47, 346, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 13']
['20:02:56, 392, opp/conj: 4', 'sqr/tri/sext: 11', 'major: 15', 'minor: 14']
['20:03:04, 293, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 13']
['20:03:12, 312, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 13']
['20:03:20, 303, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 16']
['20:03:28, 318, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 16']
['20:03:36, 353, opp/conj: 5', 'sqr/tri/sext: 9', 'major: 14', 'minor: 15']
['20:03:44, 425, opp/conj: 7', 'sqr/tri/sext: 9', 'major: 16', 'minor: 15']
['20:03:52, 428, opp/conj: 7', 'sqr/tri/sext: 8', 'major: 15', 'minor: 17']
