['Time, Count, opp-conj: 0, sqr-tri-sext: 0, major: 0, minor: 0, empty: 13']
['02:00:00, 149, opp-conj: 4, sqr-tri-sext: 3, major: 7, minor: 1, empty: 8']
['02:00:08, 129, opp-conj: 4, sqr-tri-sext: 2, major: 6, minor: 1, empty: 9']
['02:00:16, 129, opp-conj: 4, sqr-tri-sext: 2, major: 6, minor: 1, empty: 9']
['02:00:24, 113, opp-conj: 3, sqr-tri-sext: 2, major: 5, minor: 1, empty: 8']
['02:00:32, 129, opp-conj: 3, sqr-tri-sext: 3, major: 6, minor: 1, empty: 7']
['02:00:39, 82, opp-conj: 2, sqr-tri-sext: 2, major: 4, minor: 1, empty: 9']
['02:00:47, 82, opp-conj: 2, sqr-tri-sext: 2, major: 4, minor: 1, empty: 9']
['02:00:56, 122, opp-conj: 2, sqr-tri-sext: 4, major: 6, minor: 1, empty: 8']
['02:01:04, 94, opp-conj: 1, sqr-tri-sext: 3, major: 4, minor: 3, empty: 8']
['02:01:12, 72, opp-conj: 0, sqr-tri-sext: 2, major: 2, minor: 5, empty: 8']
['02:01:20, 88, opp-conj: 0, sqr-tri-sext: 3, major: 3, minor: 5, empty: 7']
['02:01:28, 128, opp-conj: 0, sqr-tri-sext: 6, major: 6, minor: 4, empty: 5']
['02:01:36, 128, opp-conj: 0, sqr-tri-sext: 6, major: 6, minor: 5, empty: 5']
['02:01:44, 124, opp-conj: 0, sqr-tri-sext: 6, major: 6, minor: 4, empty: 6']
['02:01:52, 122, opp-conj: 0, sqr-tri-sext: 6, major: 6, minor: 3, empty: 8']
['02:02:00, 148, opp-conj: 0, sqr-tri-sext: 7, major: 7, minor: 3, empty: 7']
['02:02:08, 136, opp-conj: 0, sqr-tri-sext: 6, major: 6, minor: 4, empty: 8']
['02:02:15, 154, opp-conj: 0, sqr-tri-sext: 7, major: 7, minor: 4, empty: 8']
['02:02:23, 163, opp-conj: 1, sqr-tri-sext: 6, major: 7, minor: 4, empty: 6']
['02:02:31, 181, opp-conj: 1, sqr-tri-sext: 7, major: 8, minor: 5, empty: 6']
['02:02:39, 153, opp-conj: 1, sqr-tri-sext: 5, major: 6, minor: 6, empty: 6']
['02:02:47, 117, opp-conj: 1, sqr-tri-sext: 3, major: 4, minor: 6, empty: 6']
['02:02:56, 119, opp-conj: 1, sqr-tri-sext: 4, major: 5, minor: 4, empty: 6']
['02:03:04, 127, opp-conj: 1, sqr-tri-sext: 4, major: 5, minor: 5, empty: 6']
['02:03:12, 105, opp-conj: 1, sqr-tri-sext: 3, major: 4, minor: 3, empty: 6']
['02:03:20, 162, opp-conj: 3, sqr-tri-sext: 4, major: 7, minor: 2, empty: 7']
['02:03:28, 154, opp-conj: 3, sqr-tri-sext: 4, major: 7, minor: 1, empty: 7']
['02:03:36, 105, opp-conj: 2, sqr-tri-sext: 3, major: 5, minor: 0, empty: 9']
['02:03:44, 107, opp-conj: 2, sqr-tri-sext: 2, major: 4, minor: 3, empty: 9']
['02:03:52, 131, opp-conj: 2, sqr-tri-sext: 3, major: 5, minor: 4, empty: 8']
['02:03:59, 111, opp-conj: 2, sqr-tri-sext: 2, major: 4, minor: 4, empty: 8']
['02:04:07, 136, opp-conj: 3, sqr-tri-sext: 2, major: 5, minor: 4, empty: 7']
['02:04:15, 181, opp-conj: 4, sqr-tri-sext: 3, major: 7, minor: 4, empty: 6']
['02:04:23, 159, opp-conj: 4, sqr-tri-sext: 3, major: 7, minor: 1, empty: 7']
['02:04:31, 106, opp-conj: 2, sqr-tri-sext: 3, major: 5, minor: 1, empty: 8']
['02:04:39, 141, opp-conj: 3, sqr-tri-sext: 4, major: 7, minor: 1, empty: 7']
['02:04:47, 177, opp-conj: 3, sqr-tri-sext: 6, major: 9, minor: 1, empty: 6']
['02:04:56, 229, opp-conj: 3, sqr-tri-sext: 9, major: 12, minor: 1, empty: 4']
['02:05:04, 219, opp-conj: 3, sqr-tri-sext: 9, major: 12, minor: 1, empty: 5']
['02:05:12, 204, opp-conj: 2, sqr-tri-sext: 8, major: 10, minor: 4, empty: 5']
['02:05:20, 214, opp-conj: 2, sqr-tri-sext: 8, major: 10, minor: 4, empty: 5']
['02:05:28, 206, opp-conj: 2, sqr-tri-sext: 7, major: 9, minor: 5, empty: 4']
['02:05:36, 137, opp-conj: 2, sqr-tri-sext: 3, major: 5, minor: 6, empty: 6']
['02:05:43, 168, opp-conj: 3, sqr-tri-sext: 3, major: 6, minor: 6, empty: 5']
['02:05:51, 131, opp-conj: 2, sqr-tri-sext: 3, major: 5, minor: 4, empty: 6']
['02:06:00, 131, opp-conj: 2, sqr-tri-sext: 3, major: 5, minor: 4, empty: 6']
['02:06:08, 105, opp-conj: 2, sqr-tri-sext: 2, major: 4, minor: 3, empty: 8']
['02:06:16, 69, opp-conj: 2, sqr-tri-sext: 1, major: 3, minor: 2, empty: 8']
['02:06:24, 109, opp-conj: 3, sqr-tri-sext: 2, major: 5, minor: 2, empty: 6']
['02:06:32, 136, opp-conj: 4, sqr-tri-sext: 3, major: 7, minor: 1, empty: 7']
['02:06:40, 152, opp-conj: 4, sqr-tri-sext: 4, major: 8, minor: 1, empty: 6']
['02:06:48, 133, opp-conj: 2, sqr-tri-sext: 5, major: 7, minor: 3, empty: 7']
['02:06:56, 149, opp-conj: 2, sqr-tri-sext: 6, major: 8, minor: 3, empty: 7']
['02:07:04, 149, opp-conj: 2, sqr-tri-sext: 6, major: 8, minor: 3, empty: 7']
['02:07:12, 144, opp-conj: 3, sqr-tri-sext: 4, major: 7, minor: 3, empty: 7']
['02:07:20, 168, opp-conj: 3, sqr-tri-sext: 5, major: 8, minor: 3, empty: 6']
['02:07:28, 191, opp-conj: 4, sqr-tri-sext: 4, major: 8, minor: 4, empty: 5']
['02:07:36, 154, opp-conj: 4, sqr-tri-sext: 2, major: 6, minor: 2, empty: 7']
['02:07:44, 129, opp-conj: 3, sqr-tri-sext: 2, major: 5, minor: 2, empty: 7']
['02:07:52, 123, opp-conj: 3, sqr-tri-sext: 2, major: 5, minor: 1, empty: 8']
['02:08:00, 139, opp-conj: 3, sqr-tri-sext: 3, major: 6, minor: 1, empty: 7']
['02:08:08, 125, opp-conj: 3, sqr-tri-sext: 2, major: 5, minor: 2, empty: 7']
['02:08:16, 125, opp-conj: 3, sqr-tri-sext: 2, major: 5, minor: 2, empty: 7']
['02:08:24, 136, opp-conj: 2, sqr-tri-sext: 3, major: 5, minor: 4, empty: 6']
['02:08:32, 144, opp-conj: 2, sqr-tri-sext: 3, major: 5, minor: 5, empty: 6']
['02:08:40, 125, opp-conj: 1, sqr-tri-sext: 3, major: 4, minor: 6, empty: 7']
['02:08:48, 82, opp-conj: 0, sqr-tri-sext: 2, major: 2, minor: 6, empty: 7']
['02:08:56, 82, opp-conj: 0, sqr-tri-sext: 2, major: 2, minor: 6, empty: 6']
['02:09:04, 96, opp-conj: 0, sqr-tri-sext: 4, major: 4, minor: 5, empty: 5']
['02:09:12, 157, opp-conj: 3, sqr-tri-sext: 3, major: 6, minor: 6, empty: 5']
['02:09:20, 141, opp-conj: 3, sqr-tri-sext: 3, major: 6, minor: 4, empty: 5']
['02:09:28, 147, opp-conj: 3, sqr-tri-sext: 3, major: 6, minor: 5, empty: 4']
['02:09:36, 188, opp-conj: 4, sqr-tri-sext: 4, major: 8, minor: 5, empty: 4']
['02:09:44, 178, opp-conj: 4, sqr-tri-sext: 3, major: 7, minor: 5, empty: 6']
['02:09:52, 146, opp-conj: 4, sqr-tri-sext: 2, major: 6, minor: 3, empty: 7']
['02:10:00, 146, opp-conj: 4, sqr-tri-sext: 2, major: 6, minor: 3, empty: 7']
['02:10:08, 159, opp-conj: 5, sqr-tri-sext: 2, major: 7, minor: 1, empty: 7']
['02:10:16, 150, opp-conj: 4, sqr-tri-sext: 3, major: 7, minor: 2, empty: 7']
['02:10:24, 123, opp-conj: 3, sqr-tri-sext: 2, major: 5, minor: 4, empty: 8']
['02:10:32, 133, opp-conj: 3, sqr-tri-sext: 2, major: 5, minor: 4, empty: 7']
['02:10:40, 141, opp-conj: 3, sqr-tri-sext: 2, major: 5, minor: 5, empty: 7']
['02:10:47, 178, opp-conj: 4, sqr-tri-sext: 3, major: 7, minor: 5, empty: 6']
['02:10:56, 201, opp-conj: 5, sqr-tri-sext: 3, major: 8, minor: 5, empty: 5']
['02:11:04, 186, opp-conj: 4, sqr-tri-sext: 4, major: 8, minor: 5, empty: 5']
['02:11:12, 208, opp-conj: 4, sqr-tri-sext: 6, major: 10, minor: 5, empty: 3']
['02:11:20, 211, opp-conj: 4, sqr-tri-sext: 6, major: 10, minor: 6, empty: 1']
['02:11:28, 169, opp-conj: 4, sqr-tri-sext: 5, major: 9, minor: 3, empty: 4']
['02:11:36, 169, opp-conj: 4, sqr-tri-sext: 5, major: 9, minor: 3, empty: 4']
['02:11:44, 133, opp-conj: 4, sqr-tri-sext: 2, major: 6, minor: 2, empty: 6']
['02:11:52, 123, opp-conj: 4, sqr-tri-sext: 1, major: 5, minor: 3, empty: 7']
['02:12:00, 87, opp-conj: 3, sqr-tri-sext: 0, major: 3, minor: 3, empty: 9']
['02:12:08, 99, opp-conj: 3, sqr-tri-sext: 1, major: 4, minor: 2, empty: 8']
['02:12:16, 99, opp-conj: 2, sqr-tri-sext: 2, major: 4, minor: 2, empty: 8']
