['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:08:24, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:08:32, 5, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:08:40, 3, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 1']
['23:08:48, 3, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 1']
['23:08:56, 2, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 1']
['23:09:04, 1, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 1']
['23:09:12, 3, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:09:20, 3, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:09:28, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:09:36, 7, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:09:44, 7, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:09:52, 8, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 4']
['23:10:00, 9, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 4']
['23:10:08, 10, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 5']
['23:10:16, 9, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 5']
['23:10:24, 9, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 4']
['23:10:32, 9, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 4']
['23:10:40, 7, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 2']
['23:10:47, 8, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 3']
['23:10:56, 8, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 2']
['23:11:04, 9, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 2']
['23:11:12, 8, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 2']
['23:11:20, 8, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 2']
['23:11:28, 8, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 3']
['23:11:36, 6, opp/conj: 2', 'sqr/tri/sext: 1', 'major: 3', 'minor: 3']
['23:11:44, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:11:52, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:12:00, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:12:08, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:12:16, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:12:24, 2, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 2']
['23:12:31, 1, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 1']
['23:12:39, 1, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 1']
['23:12:47, 3, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 1']
['23:12:56, 2, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 0']
['23:13:04, 6, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 2']
['23:13:12, 7, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:13:20, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:13:28, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:13:36, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:13:44, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 2']
['23:13:52, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:14:00, 9, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 4']
['23:14:08, 6, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 2']
['23:14:15, 5, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:14:23, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:14:31, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:14:39, 5, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:14:47, 4, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:14:56, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:15:04, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:15:12, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:15:20, 5, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 3']
['23:15:28, 5, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 3']
['23:15:36, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:15:44, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:15:51, 3, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 3']
['23:15:59, 4, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 3']
['23:16:07, 7, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 5']
['23:16:15, 7, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 4']
['23:16:23, 7, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 4']
['23:16:31, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 4']
['23:16:39, 10, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 6']
['23:16:47, 6, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 4']
['23:16:56, 5, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 4']
['23:17:04, 5, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 4']
['23:17:12, 4, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 4']
['23:17:20, 5, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 3']
['23:17:28, 5, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 2']
['23:17:36, 5, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 2']
['23:17:44, 4, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 2']
['23:17:52, 4, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 3']
['23:18:00, 4, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 3']
['23:18:08, 3, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 2']
['23:18:16, 2, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 2']
['23:18:24, 0, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
