['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['20:07:20, 211, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 10']
['20:07:28, 228, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 11']
['20:07:36, 204, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 10']
['20:07:44, 208, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 8']
['20:07:52, 295, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 10']
['20:08:00, 269, opp/conj: 1', 'sqr/tri/sext: 11', 'major: 12', 'minor: 10']
['20:08:08, 291, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 11']
['20:08:16, 289, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 10']
['20:08:24, 323, opp/conj: 3', 'sqr/tri/sext: 13', 'major: 16', 'minor: 9']
['20:08:32, 250, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 8']
['20:08:40, 191, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 5']
['20:08:48, 191, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 4']
['20:08:56, 185, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 4']
['20:09:04, 175, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 4']
['20:09:12, 198, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 5']
['20:09:20, 196, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 5']
['20:09:28, 158, opp/conj: 2', 'sqr/tri/sext: 4', 'major: 6', 'minor: 6']
['20:09:36, 174, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 6']
['20:09:44, 160, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 4']
['20:09:52, 166, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 5']
['20:10:00, 221, opp/conj: 4', 'sqr/tri/sext: 6', 'major: 10', 'minor: 4']
