['Time', 'Event0', 'Count']
['04:04:55', "(ASC,170.286,(r)) (Mars,170.399,(c)) (conjunction,7')", 1]
['04:05:03', "(ASC,170.309,(r)) (Mars,170.400,(c)) (conjunction,5')", 1]
['04:05:11', "(ASC,170.332,(r)) (Mars,170.401,(c)) (conjunction,4')", 1]
['04:05:19', "(Venus,152.582,(r)) (MC,62.509,(c)) (square,4')\n(ASC,170.355,(r)) (Mars,170.403,(c)) (conjunction,3')", 2]
['04:05:27', "(Venus,152.582,(r)) (MC,62.541,(c)) (square,3')\n(ASC,170.378,(r)) (Mars,170.404,(c)) (conjunction,2')", 2]
['04:05:35', "(Venus,152.583,(r)) (MC,62.572,(c)) (square,1')\n(ASC,170.401,(r)) (Mars,170.406,(c)) (conjunction,0')", 2]
['04:05:43', "(Venus,152.583,(r)) (MC,62.604,(c)) (square,1')\n(ASC,170.424,(r)) (Mars,170.407,(c)) (conjunction,1')", 2]
['04:05:51', "(Venus,152.583,(r)) (MC,62.636,(c)) (square,3')\n(ASC,170.447,(r)) (Mars,170.409,(c)) (conjunction,2')", 2]
['04:06:00', "(Venus,152.583,(r)) (MC,62.668,(c)) (square,5')\n(ASC,170.470,(r)) (Mars,170.410,(c)) (conjunction,4')", 2]
['04:06:08', "(ASC,170.493,(r)) (Mars,170.412,(c)) (conjunction,5')", 1]
['04:06:15', "(ASC,170.516,(r)) (Mars,170.413,(c)) (conjunction,6')", 1]
['04:06:23', "(ASC,170.539,(r)) (Mars,170.415,(c)) (conjunction,7')", 1]
['04:06:31', "(ASC,170.562,(r)) (Mars,170.416,(c)) (conjunction,9')", 1]
['04:06:39', "(ASC,170.585,(r)) (Mars,170.418,(c)) (conjunction,10')", 1]
['04:06:47', '', 0]
['04:06:56', '', 0]
['04:07:04', '', 0]
['04:07:12', '', 0]
['04:07:20', '', 0]
['04:07:28', "(ASC,170.723,(r)) (Venus,140.811,(c)) (30-semisextile,5')", 1]
['04:07:36', "(ASC,170.746,(r)) (Venus,140.810,(c)) (30-semisextile,4')", 1]
['04:07:44', "(ASC,170.769,(r)) (Venus,140.809,(c)) (30-semisextile,2')", 1]
['04:07:52', "(ASC,170.791,(r)) (Venus,140.807,(c)) (30-semisextile,1')", 1]
['04:07:59', "(ASC,170.814,(r)) (Venus,140.806,(c)) (30-semisextile,1')", 1]
['04:08:07', "(ASC,170.837,(r)) (Venus,140.805,(c)) (30-semisextile,2')", 1]
['04:08:15', "(ASC,170.860,(r)) (Venus,140.803,(c)) (30-semisextile,3')", 1]
['04:08:23', "(ASC,170.883,(r)) (Venus,140.802,(c)) (30-semisextile,5')", 1]
['04:08:31', '', 0]
['04:08:39', '', 0]
['04:08:47', '', 0]
['04:08:56', "(Mars,182.304,(r)) (MC,92.220,(d)) (square,5')", 1]
['04:09:04', "(Mars,182.304,(r)) (MC,92.250,(d)) (square,3')", 1]
['04:09:12', "(Mars,182.304,(r)) (MC,92.281,(d)) (square,1')", 1]
['04:09:20', "(Mars,182.304,(r)) (MC,92.312,(d)) (square,0')", 1]
['04:09:28', "(Mars,182.304,(r)) (MC,92.342,(d)) (square,2')", 1]
['04:09:36', "(Mars,182.304,(r)) (MC,92.373,(d)) (square,4')", 1]
['04:09:43', '', 0]
['04:09:51', '', 0]
['04:09:59', '', 0]
['04:10:07', "(Venus,152.586,(r)) (MC,92.496,(d)) (sextile,5')\n(Mean_Node,190.612,(r)) (ASC,160.524,(c)) (30-semisextile,5')", 2]
['04:10:15', "(Venus,152.586,(r)) (MC,92.526,(d)) (sextile,4')\n(Mean_Node,190.612,(r)) (ASC,160.546,(c)) (30-semisextile,4')", 2]
['04:10:23', "(Venus,152.586,(r)) (MC,92.557,(d)) (sextile,2')\n(Mean_Node,190.612,(r)) (ASC,160.569,(c)) (30-semisextile,3')", 2]
['04:10:31', "(Venus,152.586,(r)) (MC,92.588,(d)) (sextile,0')\n(Mean_Node,190.612,(r)) (ASC,160.592,(c)) (30-semisextile,1')", 2]
['04:10:39', "(Venus,152.587,(r)) (MC,92.618,(d)) (sextile,2')\n(Mean_Node,190.612,(r)) (ASC,160.615,(c)) (30-semisextile,0')", 2]
['04:10:47', "(Venus,152.587,(r)) (MC,92.649,(d)) (sextile,4')\n(Mean_Node,190.612,(r)) (ASC,160.638,(c)) (30-semisextile,2')", 2]
['04:10:56', "(Venus,152.587,(r)) (MC,92.680,(d)) (sextile,6')\n(Mean_Node,190.612,(r)) (ASC,160.661,(c)) (30-semisextile,3')", 2]
['04:11:04', "(Mean_Node,190.612,(r)) (ASC,160.684,(c)) (30-semisextile,4')", 1]
['04:11:12', '', 0]
['04:11:19', '', 0]
['04:11:27', '', 0]
['04:11:35', '', 0]
['04:11:43', "(Mars,182.305,(r)) (ASC,182.148,(d)) (conjunction,9')", 1]
['04:11:51', "(Mars,182.305,(r)) (ASC,182.171,(d)) (conjunction,8')", 1]
['04:11:59', "(Mars,182.305,(r)) (ASC,182.194,(d)) (conjunction,7')\n(Pluto,124.182,(r)) (MC,64.100,(c)) (sextile,5')", 2]
['04:12:07', "(Mars,182.305,(r)) (ASC,182.217,(d)) (conjunction,5')\n(Pluto,124.182,(r)) (MC,64.132,(c)) (sextile,3')", 2]
['04:12:15', "(Mars,182.305,(r)) (ASC,182.240,(d)) (conjunction,4')\n(Pluto,124.182,(r)) (MC,64.164,(c)) (sextile,1')", 2]
['04:12:23', "(Mars,182.305,(r)) (ASC,182.263,(d)) (conjunction,3')\n(Pluto,124.182,(r)) (MC,64.195,(c)) (sextile,1')", 2]
['04:12:31', "(Mars,182.305,(r)) (ASC,182.286,(d)) (conjunction,1')\n(Pluto,124.182,(r)) (MC,64.227,(c)) (sextile,3')", 2]
['04:12:39', "(Mars,182.305,(r)) (ASC,182.309,(d)) (conjunction,0')\n(Pluto,124.182,(r)) (MC,64.259,(c)) (sextile,5')", 2]
['04:12:47', "(Mars,182.305,(r)) (ASC,182.332,(d)) (conjunction,2')", 1]
['04:12:56', "(Mars,182.306,(r)) (ASC,182.355,(d)) (conjunction,3')", 1]
['04:13:03', "(Mars,182.306,(r)) (ASC,182.378,(d)) (conjunction,4')", 1]
['04:13:11', "(Mars,182.306,(r)) (ASC,182.401,(d)) (conjunction,6')", 1]
['04:13:19', "(Mars,182.306,(r)) (ASC,182.424,(d)) (conjunction,7')", 1]
['04:13:27', "(Mars,182.306,(r)) (ASC,182.447,(d)) (conjunction,8')", 1]
['04:13:35', "(Mars,182.306,(r)) (ASC,182.470,(d)) (conjunction,10')", 1]
['04:13:43', '', 0]
['04:13:51', "(Venus,152.589,(r)) (ASC,182.516,(d)) (30-semisextile,4')", 1]
['04:13:59', "(Venus,152.589,(r)) (ASC,182.539,(d)) (30-semisextile,3')", 1]
['04:14:07', "(Venus,152.589,(r)) (ASC,182.562,(d)) (30-semisextile,2')", 1]
['04:14:15', "(Venus,152.589,(r)) (ASC,182.585,(d)) (30-semisextile,0')", 1]
['04:14:23', "(Venus,152.590,(r)) (ASC,182.608,(d)) (30-semisextile,1')", 1]
['04:14:31', "(Venus,152.590,(r)) (ASC,182.631,(d)) (30-semisextile,2')", 1]
['04:14:39', "(Venus,152.590,(r)) (ASC,182.654,(d)) (30-semisextile,4')", 1]
['04:14:47', "(Venus,152.590,(r)) (ASC,182.677,(d)) (30-semisextile,5')", 1]
['04:14:55', '', 0]
['04:15:03', '', 0]
['04:15:11', '', 0]
['04:15:19', '', 0]
['04:15:27', '', 0]
['04:15:35', '', 0]
['04:15:43', '', 0]
['04:15:51', "(Moon,296.590,(r)) (ASC,161.507,(c)) (135-sesquisquare,5')", 1]
['04:15:59', "(Moon,296.591,(r)) (ASC,161.530,(c)) (135-sesquisquare,4')", 1]
['04:16:07', "(Moon,296.592,(r)) (ASC,161.553,(c)) (135-sesquisquare,2')\n(MC,79.597,(r)) (Pluto,109.681,(c)) (30-semisextile,5')", 2]
['04:16:15', "(Moon,296.593,(r)) (ASC,161.576,(c)) (135-sesquisquare,1')\n(MC,79.628,(r)) (Pluto,109.682,(c)) (30-semisextile,3')", 2]
['04:16:23', "(Moon,296.595,(r)) (ASC,161.599,(c)) (135-sesquisquare,0')\n(MC,79.659,(r)) (Pluto,109.682,(c)) (30-semisextile,1')", 2]
['04:16:31', "(Moon,296.596,(r)) (ASC,161.622,(c)) (135-sesquisquare,2')\n(MC,79.690,(r)) (Pluto,109.683,(c)) (30-semisextile,0')", 2]
['04:16:39', "(Moon,296.597,(r)) (ASC,161.645,(c)) (135-sesquisquare,3')\n(MC,79.721,(r)) (Pluto,109.683,(c)) (30-semisextile,2')", 2]
['04:16:47', "(Moon,296.598,(r)) (ASC,161.668,(c)) (135-sesquisquare,4')\n(MC,79.752,(r)) (Pluto,109.683,(c)) (30-semisextile,4')", 2]
['04:16:55', "(Moon,296.599,(r)) (ASC,161.690,(c)) (135-sesquisquare,5')", 1]
['04:17:04', "(Pluto,124.182,(r)) (MC,94.091,(d)) (30-semisextile,5')", 1]
['04:17:12', "(Pluto,124.182,(r)) (MC,94.122,(d)) (30-semisextile,4')\n(ASC,172.400,(r)) (Mean_Node,202.469,(d)) (30-semisextile,4')", 2]
['04:17:20', "(Pluto,124.182,(r)) (MC,94.153,(d)) (30-semisextile,2')\n(ASC,172.423,(r)) (Mean_Node,202.467,(d)) (30-semisextile,3')", 2]
['04:17:28', "(Pluto,124.182,(r)) (MC,94.183,(d)) (30-semisextile,0')\n(ASC,172.446,(r)) (Mean_Node,202.465,(d)) (30-semisextile,1')", 2]
['04:17:36', "(Pluto,124.182,(r)) (MC,94.214,(d)) (30-semisextile,2')\n(ASC,172.469,(r)) (Mean_Node,202.464,(d)) (30-semisextile,0')", 2]
['04:17:44', "(Pluto,124.182,(r)) (MC,94.245,(d)) (30-semisextile,4')\n(ASC,172.492,(r)) (Mean_Node,202.462,(d)) (30-semisextile,2')", 2]
['04:17:52', "(ASC,172.515,(r)) (Mean_Node,202.460,(d)) (30-semisextile,3')", 1]
['04:18:00', "(ASC,172.538,(r)) (Mean_Node,202.459,(d)) (30-semisextile,5')", 1]
['04:18:07', '', 0]
['04:18:15', '', 0]
['04:18:23', '', 0]
['04:18:31', '', 0]
['04:18:39', '', 0]
['04:18:47', '', 0]
['04:18:56', '', 0]
['04:19:04', '', 0]
['04:19:12', '', 0]
['04:19:20', '', 0]
['04:19:28', '', 0]
['04:19:36', '', 0]
['04:19:44', '', 0]
['04:19:51', '', 0]
['04:19:59', "(MC,80.492,(r)) (Mars,170.563,(c)) (square,4')", 1]
['04:20:07', "(MC,80.522,(r)) (Mars,170.564,(c)) (square,3')", 1]
['04:20:15', "(MC,80.553,(r)) (Mars,170.566,(c)) (square,1')", 1]
['04:20:23', "(MC,80.584,(r)) (Mars,170.567,(c)) (square,1')", 1]
['04:20:31', "(MC,80.615,(r)) (Venus,140.684,(c)) (sextile,4')\n(MC,80.615,(r)) (Mars,170.569,(c)) (square,3')", 2]
['04:20:39', "(MC,80.646,(r)) (Venus,140.683,(c)) (sextile,2')\n(MC,80.646,(r)) (Mars,170.570,(c)) (square,5')", 2]
['04:20:47', "(MC,80.677,(r)) (Venus,140.682,(c)) (sextile,0')", 1]
['04:20:56', "(MC,80.707,(r)) (Venus,140.680,(c)) (sextile,2')", 1]
['04:21:04', "(MC,80.738,(r)) (Venus,140.679,(c)) (sextile,4')", 1]
['04:21:12', "(MC,80.769,(r)) (Venus,140.678,(c)) (sextile,5')", 1]
['04:21:20', '', 0]
['04:21:28', '', 0]
['04:21:35', '', 0]
['04:21:43', '', 0]
['04:21:51', '', 0]
['04:21:59', '', 0]
['04:22:07', '', 0]
['04:22:15', '', 0]
['04:22:23', '', 0]
['04:22:31', '', 0]
['04:22:39', '', 0]
['04:22:47', '', 0]
['04:22:56', '', 0]
['04:23:04', "(Pluto,124.182,(r)) (ASC,184.102,(d)) (sextile,5')", 1]
['04:23:12', "(Pluto,124.182,(r)) (ASC,184.125,(d)) (sextile,3')", 1]
['04:23:19', "(Pluto,124.182,(r)) (ASC,184.148,(d)) (sextile,2')", 1]
['04:23:27', "(Pluto,124.182,(r)) (ASC,184.171,(d)) (sextile,1')", 1]
['04:23:35', "(Pluto,124.182,(r)) (ASC,184.194,(d)) (sextile,1')", 1]
['04:23:43', "(Pluto,124.182,(r)) (ASC,184.217,(d)) (sextile,2')", 1]
['04:23:51', "(Pluto,124.182,(r)) (ASC,184.240,(d)) (sextile,3')", 1]
['04:23:59', "(Pluto,124.182,(r)) (ASC,184.263,(d)) (sextile,5')", 1]
['04:24:07', '', 0]
['04:24:15', '', 0]
['04:24:23', '', 0]
['04:24:31', '', 0]
['04:24:39', '', 0]
['04:24:47', '', 0]
['04:24:55', '', 0]
['04:25:03', '', 0]
['04:25:11', '', 0]
['04:25:19', '', 0]
['04:25:27', '', 0]
['04:25:35', "(Saturn,43.251,(r)) (ASC,163.179,(c)) (trine,4')", 1]
['04:25:43', "(Saturn,43.251,(r)) (ASC,163.201,(c)) (trine,3')", 1]
['04:25:51', "(Saturn,43.251,(r)) (ASC,163.224,(c)) (trine,2')", 1]
['04:25:59', "(Saturn,43.251,(r)) (ASC,163.247,(c)) (trine,0')", 1]
['04:26:07', "(Saturn,43.251,(r)) (ASC,163.270,(c)) (trine,1')", 1]
['04:26:15', "(Saturn,43.251,(r)) (ASC,163.293,(c)) (trine,3')", 1]
['04:26:23', "(Saturn,43.251,(r)) (ASC,163.316,(c)) (trine,4')", 1]
['04:26:31', "(Saturn,43.251,(r)) (ASC,163.339,(c)) (trine,5')", 1]
['04:26:39', '', 0]
['04:26:47', '', 0]
['04:26:55', '', 0]
['04:27:03', '', 0]
['04:27:11', '', 0]
['04:27:19', '', 0]
['04:27:27', '', 0]
['04:27:35', "(MC,82.247,(r)) (Mean_Node,202.339,(d)) (trine,5')", 1]
['04:27:43', "(MC,82.278,(r)) (Mean_Node,202.337,(d)) (trine,4')", 1]
['04:27:51', "(MC,82.309,(r)) (Mean_Node,202.335,(d)) (trine,2')", 1]
['04:27:59', "(MC,82.339,(r)) (Mean_Node,202.334,(d)) (trine,0')", 1]
['04:28:07', "(MC,82.370,(r)) (Mean_Node,202.332,(d)) (trine,2')", 1]
['04:28:15', "(MC,82.401,(r)) (Mean_Node,202.330,(d)) (trine,4')", 1]
['04:28:23', '', 0]
['04:28:31', '', 0]
['04:28:39', '', 0]
['04:28:47', '', 0]
['04:28:55', '', 0]
['04:29:04', '', 0]
['04:29:12', '', 0]
['04:29:20', '', 0]
['04:29:28', '', 0]
['04:29:36', '', 0]
['04:29:44', '', 0]
['04:29:52', '', 0]
['04:30:00', '', 0]
['04:30:07', '', 0]
['04:30:15', '', 0]
['04:30:23', '', 0]
['04:30:31', '', 0]
['04:30:39', '', 0]
['04:30:47', '', 0]
['04:30:56', '', 0]
['04:31:04', '', 0]
['04:31:12', '', 0]
['04:31:20', '', 0]
['04:31:28', '', 0]
['04:31:36', '', 0]
['04:31:43', '', 0]
['04:31:51', '', 0]
['04:31:59', '', 0]
['04:32:07', '', 0]
['04:32:15', '', 0]
['04:32:23', '', 0]
['04:32:31', '', 0]
['04:32:39', '', 0]
['04:32:47', '', 0]
['04:32:56', '', 0]
['04:33:04', '', 0]
['04:33:12', '', 0]
['04:33:20', '', 0]
['04:33:27', '', 0]
['04:33:35', '', 0]
['04:33:43', '', 0]
['04:33:51', '', 0]
['04:33:59', '', 0]
['04:34:07', '', 0]
['04:34:15', '', 0]
['04:34:23', '', 0]
['04:34:31', '', 0]
['04:34:39', '', 0]
['04:34:47', '', 0]
['04:34:56', '', 0]
['04:35:04', '', 0]
['04:35:11', '', 0]
['04:35:19', '', 0]
['04:35:27', '', 0]
['04:35:35', '', 0]
['04:35:43', '', 0]
['04:35:51', '', 0]
['04:35:59', '', 0]
['04:36:07', '', 0]
['04:36:15', '', 0]
['04:36:23', '', 0]
['04:36:31', '', 0]
['04:36:39', '', 0]
['04:36:47', '', 0]
['04:36:55', '', 0]
['04:37:03', '', 0]
['04:37:11', '', 0]
['04:37:19', '', 0]
['04:37:27', '', 0]
['04:37:35', '', 0]
['04:37:43', "(ASC,175.940,(r)) (Saturn,56.021,(d)) (trine,5')", 1]
['04:37:51', "(ASC,175.963,(r)) (Saturn,56.018,(d)) (trine,3')", 1]
['04:37:59', "(ASC,175.986,(r)) (Saturn,56.016,(d)) (trine,2')", 1]
['04:38:07', "(ASC,176.009,(r)) (Saturn,56.014,(d)) (trine,0')", 1]
['04:38:15', "(ASC,176.032,(r)) (Saturn,56.011,(d)) (trine,1')", 1]
['04:38:23', "(ASC,176.055,(r)) (Saturn,56.009,(d)) (trine,3')", 1]
['04:38:31', "(ASC,176.078,(r)) (Saturn,56.006,(d)) (trine,4')", 1]
['04:38:39', '', 0]
['04:38:47', '', 0]
['04:38:55', '', 0]
['04:39:03', '', 0]
['04:39:11', "(Mean_Node,190.611,(r)) (MC,70.531,(c)) (trine,5')", 1]
['04:39:19', "(Mean_Node,190.611,(r)) (MC,70.563,(c)) (trine,3')", 1]
['04:39:27', "(Mean_Node,190.611,(r)) (MC,70.594,(c)) (trine,1')", 1]
['04:39:35', "(Mean_Node,190.611,(r)) (MC,70.625,(c)) (trine,1')", 1]
['04:39:43', "(Mean_Node,190.611,(r)) (MC,70.657,(c)) (trine,3')", 1]
['04:39:51', "(Mean_Node,190.611,(r)) (MC,70.688,(c)) (trine,5')", 1]
['04:40:00', '', 0]
['04:40:08', '', 0]
['04:40:15', '', 0]
['04:40:23', '', 0]
['04:40:31', '', 0]
['04:40:39', '', 0]
['04:40:47', '', 0]
['04:40:56', "(ASC,176.492,(r)) (Moon,311.572,(d)) (135-sesquisquare,5')", 1]
['04:41:04', "(ASC,176.515,(r)) (Moon,311.572,(d)) (135-sesquisquare,3')", 1]
['04:41:12', "(ASC,176.538,(r)) (Moon,311.573,(d)) (135-sesquisquare,2')", 1]
['04:41:20', "(ASC,176.561,(r)) (Moon,311.574,(d)) (135-sesquisquare,1')", 1]
['04:41:28', "(ASC,176.584,(r)) (Moon,311.574,(d)) (135-sesquisquare,1')", 1]
['04:41:36', "(ASC,176.607,(r)) (Moon,311.575,(d)) (135-sesquisquare,2')", 1]
['04:41:44', "(ASC,176.630,(r)) (Moon,311.575,(d)) (135-sesquisquare,3')", 1]
['04:41:52', "(ASC,176.653,(r)) (Moon,311.576,(d)) (135-sesquisquare,5')", 1]
['04:41:59', '', 0]
['04:42:07', '', 0]
['04:42:15', '', 0]
['04:42:23', '', 0]
['04:42:31', '', 0]
['04:42:39', '', 0]
['04:42:47', '', 0]
['04:42:56', '', 0]
['04:43:04', '', 0]
['04:43:12', "(MC,85.842,(r)) (Saturn,55.923,(d)) (30-semisextile,5')", 1]
['04:43:20', "(MC,85.873,(r)) (Saturn,55.921,(d)) (30-semisextile,3')", 1]
['04:43:28', "(MC,85.904,(r)) (Saturn,55.918,(d)) (30-semisextile,1')", 1]
['04:43:35', "(MC,85.934,(r)) (Saturn,55.916,(d)) (30-semisextile,1')", 1]
['04:43:43', "(MC,85.965,(r)) (Saturn,55.914,(d)) (30-semisextile,3')", 1]
['04:43:51', "(MC,85.996,(r)) (Saturn,55.911,(d)) (30-semisextile,5')", 1]
['04:43:59', '', 0]
['04:44:07', '', 0]
['04:44:15', '', 0]
['04:44:23', "(Moon,296.842,(r)) (MC,71.751,(c)) (135-sesquisquare,5')", 1]
['04:44:31', "(Moon,296.843,(r)) (MC,71.782,(c)) (135-sesquisquare,4')", 1]
['04:44:39', "(Moon,296.844,(r)) (MC,71.813,(c)) (135-sesquisquare,2')", 1]
['04:44:47', "(Moon,296.845,(r)) (MC,71.845,(c)) (135-sesquisquare,0')", 1]
['04:44:56', "(Mean_Node,190.611,(r)) (MC,100.521,(d)) (square,5')\n(Moon,296.846,(r)) (MC,71.876,(c)) (135-sesquisquare,2')", 2]
['04:45:04', "(Mean_Node,190.611,(r)) (MC,100.552,(d)) (square,4')\n(Moon,296.847,(r)) (MC,71.907,(c)) (135-sesquisquare,4')", 2]
['04:45:12', "(Mean_Node,190.611,(r)) (MC,100.582,(d)) (square,2')\n(Moon,296.849,(r)) (MC,71.938,(c)) (135-sesquisquare,5')", 2]
['04:45:19', "(Mean_Node,190.611,(r)) (MC,100.613,(d)) (square,0')", 1]
['04:45:27', "(Mean_Node,190.611,(r)) (MC,100.644,(d)) (square,2')", 1]
['04:45:35', "(Mean_Node,190.611,(r)) (MC,100.675,(d)) (square,4')", 1]
['04:45:43', '', 0]
['04:45:51', '', 0]
['04:45:59', '', 0]
['04:46:07', "(MC,86.518,(r)) (Moon,311.594,(d)) (135-sesquisquare,5')", 1]
['04:46:15', "(MC,86.548,(r)) (Moon,311.594,(d)) (135-sesquisquare,3')", 1]
['04:46:23', "(MC,86.579,(r)) (Moon,311.595,(d)) (135-sesquisquare,1')", 1]
['04:46:31', "(MC,86.610,(r)) (Moon,311.595,(d)) (135-sesquisquare,1')", 1]
['04:46:39', "(MC,86.640,(r)) (Moon,311.596,(d)) (135-sesquisquare,3')", 1]
['04:46:47', "(MC,86.671,(r)) (Moon,311.596,(d)) (135-sesquisquare,4')", 1]
['04:46:56', '', 0]
['04:47:03', '', 0]
['04:47:11', '', 0]
['04:47:19', '', 0]
['04:47:27', '', 0]
['04:47:35', '', 0]
['04:47:43', '', 0]
['04:47:51', '', 0]
['04:47:59', '', 0]
['04:48:07', '', 0]
['04:48:15', '', 0]
['04:48:23', '', 0]
['04:48:31', '', 0]
['04:48:39', '', 0]
['04:48:47', '', 0]
['04:48:55', '', 0]
['04:49:03', '', 0]
['04:49:11', '', 0]
['04:49:19', '', 0]
['04:49:27', '', 0]
['04:49:35', '', 0]
['04:49:43', '', 0]
['04:49:51', '', 0]
['04:49:59', '', 0]
['04:50:07', '', 0]
['04:50:15', '', 0]
['04:50:23', '', 0]
['04:50:31', "(Saturn,43.250,(r)) (MC,73.186,(c)) (30-semisextile,4')", 1]
['04:50:39', "(Saturn,43.250,(r)) (MC,73.217,(c)) (30-semisextile,2')", 1]
['04:50:47', "(Saturn,43.250,(r)) (MC,73.248,(c)) (30-semisextile,0')", 1]
['04:50:55', "(Saturn,43.250,(r)) (MC,73.279,(c)) (30-semisextile,2')", 1]
['04:51:04', "(Saturn,43.250,(r)) (MC,73.310,(c)) (30-semisextile,4')", 1]
['04:51:12', "(Saturn,43.250,(r)) (MC,73.341,(c)) (30-semisextile,5')", 1]
['04:51:20', '', 0]
['04:51:28', '', 0]
['04:51:36', '', 0]
['04:51:44', '', 0]
['04:51:52', '', 0]
['04:52:00', '', 0]
['04:52:07', '', 0]
['04:52:15', '', 0]
['04:52:23', '', 0]
['04:52:31', '', 0]
['04:52:39', '', 0]
['04:52:47', '', 0]
['04:52:56', '', 0]
['04:53:04', '', 0]
['04:53:12', '', 0]
['04:53:20', '', 0]
['04:53:28', '', 0]
['04:53:36', '', 0]
['04:53:44', '', 0]
['04:53:51', '', 0]
['04:53:59', '', 0]
['04:54:07', '', 0]
['04:54:15', '', 0]
['04:54:23', '', 0]
['04:54:31', '', 0]
['04:54:39', '', 0]
['04:54:47', '', 0]
['04:54:56', '', 0]
['04:55:04', '', 0]
['04:55:12', '', 0]
['04:55:20', '', 0]
['04:55:28', '', 0]
['04:55:35', "(ASC,179.022,(r)) (Mean_Node,179.181,(c)) (conjunction,10')", 1]
['04:55:43', "(ASC,179.045,(r)) (Mean_Node,179.182,(c)) (conjunction,8')", 1]
['04:55:51', "(ASC,179.068,(r)) (Mean_Node,179.184,(c)) (conjunction,7')", 1]
['04:55:59', "(ASC,179.091,(r)) (Mean_Node,179.185,(c)) (conjunction,6')", 1]
['04:56:07', "(ASC,179.114,(r)) (Mean_Node,179.187,(c)) (conjunction,4')", 1]
['04:56:15', "(ASC,179.137,(r)) (Mean_Node,179.189,(c)) (conjunction,3')", 1]
['04:56:23', "(Saturn,43.250,(r)) (MC,103.179,(d)) (sextile,4')\n(ASC,179.160,(r)) (Mean_Node,179.190,(c)) (conjunction,2')", 2]
['04:56:31', "(Saturn,43.250,(r)) (MC,103.210,(d)) (sextile,2')\n(ASC,179.183,(r)) (Mean_Node,179.192,(c)) (conjunction,1')", 2]
['04:56:39', "(Saturn,43.250,(r)) (MC,103.241,(d)) (sextile,1')\n(ASC,179.206,(r)) (Mean_Node,179.193,(c)) (conjunction,1')", 2]
['04:56:47', "(Saturn,43.250,(r)) (MC,103.272,(d)) (sextile,1')\n(ASC,179.229,(r)) (Mean_Node,179.195,(c)) (conjunction,2')", 2]
['04:56:56', "(Saturn,43.250,(r)) (MC,103.303,(d)) (sextile,3')\n(ASC,179.252,(r)) (Mean_Node,179.196,(c)) (conjunction,3')", 2]
['04:57:04', "(Saturn,43.250,(r)) (MC,103.334,(d)) (sextile,5')\n(ASC,179.275,(r)) (Mean_Node,179.198,(c)) (conjunction,5')", 2]
['04:57:11', "(ASC,179.298,(r)) (Mean_Node,179.200,(c)) (conjunction,6')", 1]
['04:57:19', "(ASC,179.321,(r)) (Saturn,29.403,(c)) (150-quincunx,5')\n(ASC,179.321,(r)) (Mean_Node,179.201,(c)) (conjunction,7')", 2]
['04:57:27', "(MC,89.125,(r)) (Mean_Node,179.203,(c)) (square,5')\n(ASC,179.344,(r)) (Saturn,29.404,(c)) (150-quincunx,4')\n(ASC,179.344,(r)) (Mean_Node,179.203,(c)) (conjunction,8')", 3]
['04:57:35', "(MC,89.156,(r)) (Mean_Node,179.204,(c)) (square,3')\n(ASC,179.367,(r)) (Saturn,29.405,(c)) (150-quincunx,2')\n(ASC,179.367,(r)) (Mean_Node,179.204,(c)) (conjunction,10')", 3]
['04:57:43', "(MC,89.186,(r)) (Mean_Node,179.206,(c)) (square,1')\n(ASC,179.390,(r)) (Saturn,29.405,(c)) (150-quincunx,1')", 2]
['04:57:51', "(MC,89.217,(r)) (Mean_Node,179.207,(c)) (square,1')\n(ASC,179.413,(r)) (Saturn,29.406,(c)) (150-quincunx,0')", 2]
['04:57:59', "(MC,89.248,(r)) (Mean_Node,179.209,(c)) (square,2')\n(ASC,179.436,(r)) (Saturn,29.407,(c)) (150-quincunx,2')", 2]
['04:58:07', "(MC,89.278,(r)) (Mean_Node,179.211,(c)) (square,4')\n(ASC,179.459,(r)) (Saturn,29.408,(c)) (150-quincunx,3')", 2]
['04:58:15', "(ASC,179.482,(r)) (Saturn,29.408,(c)) (150-quincunx,4')", 1]
['04:58:23', "(MC,89.340,(r)) (Saturn,29.409,(c)) (sextile,4')", 1]
['04:58:31', "(MC,89.370,(r)) (Saturn,29.410,(c)) (sextile,2')", 1]
['04:58:39', "(MC,89.401,(r)) (Saturn,29.411,(c)) (sextile,1')", 1]
['04:58:47', "(MC,89.432,(r)) (Saturn,29.412,(c)) (sextile,1')", 1]
['04:58:55', "(MC,89.462,(r)) (Saturn,29.412,(c)) (sextile,3')", 1]
['04:59:03', "(MC,89.493,(r)) (Saturn,29.413,(c)) (sextile,5')", 1]
['04:59:11', '', 0]
['04:59:19', '', 0]
['04:59:27', '', 0]
['04:59:35', '', 0]
['04:59:43', '', 0]
['04:59:51', "(Mean_Node,190.610,(r)) (ASC,190.444,(d)) (conjunction,10')", 1]
['05:00:00', "(Mean_Node,190.610,(r)) (ASC,190.467,(d)) (conjunction,9')\n(Pluto,124.182,(r)) (ASC,169.095,(c)) (45-semisquare,5')", 2]
['05:00:08', "(Mean_Node,190.610,(r)) (ASC,190.490,(d)) (conjunction,7')\n(Pluto,124.182,(r)) (ASC,169.118,(c)) (45-semisquare,4')", 2]
['05:00:16', "(Mean_Node,190.610,(r)) (ASC,190.513,(d)) (conjunction,6')\n(Pluto,124.182,(r)) (ASC,169.141,(c)) (45-semisquare,3')", 2]
