['Time', '0: 1953-05-02', '1: 1955-02-27', '2: 1955-04-19', '3: 1955-05-05', '4: 1956-02-13', '5: 1961-05-25', '6: 1962-01-30', '7: 1967-06-09', '8: 1972-07-08', '9: 1972-12-24', '10: 1977-02-09', '11: 1978-06-15', '12: 1980-03-14', '13: 1992-08-20', '14: 1994-04-26', '15: 1995-11-04', 'Count']
['1935-11-14 01:46:23', "(H3,260.520,(r)) (Mercury,230.607,(d)) (30-semisextile,5')\n(H3,260.520,(r)) (Sun,215.444,(c)) (45-semisquare,5')", "(H7,21.186,(r)) (Venus,201.175,(d)) (opposition,1')\n(Moon,95.437,(r)) (H10,95.288,(c)) (conjunction,9')", "(H7,21.186,(r)) (Venus,201.297,(d)) (opposition,7')", "(H1,201.186,(r)) (Venus,201.336,(d)) (conjunction,9')", "(Mars,282.243,(r)) (H4,312.269,(d)) (30-semisextile,2')\n(H4,292.948,(r)) (Mercury,232.959,(d)) (sextile,1')\n(Venus,184.169,(r)) (H1,184.130,(c)) (conjunction,2')", '5', "(Jupiter,241.090,(r)) (H5,301.037,(c)) (sextile,3')", '7', '8', "(H10,112.948,(r)) (Sun,263.018,(d)) (150-quincunx,4')", "(Moon,95.437,(r)) (H5,5.422,(d)) (square,1')\n(Saturn,333.541,(r)) (H4,333.505,(d)) (conjunction,2')\n(Neptune,166.416,(r)) (H7,346.398,(c)) (opposition,1')\n(Mean_Node,285.461,(r)) (H4,255.376,(c)) (30-semisextile,5')\n(H4,292.948,(r)) (Mean_Node,247.949,(c)) (45-semisquare,0')", '11', "(H1,201.186,(r)) (Jupiter,201.156,(c)) (conjunction,2')\n(H5,325.272,(r)) (Moon,55.248,(c)) (square,1')\n(H5,325.272,(r)) (Venus,145.097,(c)) (opposition,11')", "(Saturn,333.541,(r)) (H1,153.382,(c)) (opposition,10')", "(Pluto,117.362,(r)) (H8,357.380,(c)) (trine,1')", '15', 350]
['1935-11-14 01:39:27', "(Moon,95.373,(r)) (H10,95.343,(c)) (conjunction,2')\n(H1,199.708,(r)) (Moon,79.704,(c)) (trine,0')", '1', "(Mercury,216.019,(r)) (H7,35.893,(d)) (opposition,8')\n(Mars,282.239,(r)) (H5,342.258,(d)) (sextile,1')", "(Mercury,216.019,(r)) (H1,215.929,(d)) (conjunction,5')\n(Mars,282.239,(r)) (H5,342.301,(d)) (sextile,4')\n(Pluto,117.362,(r)) (H5,342.301,(d)) (135-sesquisquare,4')\n(H4,291.311,(r)) (Venus,201.249,(d)) (square,4')\n(H5,323.605,(r)) (Moon,113.542,(d)) (150-quincunx,4')\n(H9,78.944,(r)) (Mercury,198.897,(c)) (trine,3')", "(Uranus,32.816,(r)) (H4,272.822,(c)) (trine,0')", '5', "(Pluto,117.362,(r)) (H4,267.429,(c)) (150-quincunx,4')", '7', "(Sun,230.754,(r)) (H12,140.727,(c)) (square,2')\n(H8,48.093,(r)) (Sun,198.150,(c)) (150-quincunx,3')", "(Moon,95.373,(r)) (H7,50.459,(d)) (45-semisquare,5')\n(H10,111.311,(r)) (Mean_Node,321.312,(d)) (150-quincunx,0')", '10', "(H5,323.605,(r)) (Mars,323.780,(d)) (conjunction,11')", "(Mars,282.239,(r)) (H1,162.315,(c)) (trine,5')\n(Pluto,117.362,(r)) (H1,162.315,(c)) (45-semisquare,3')", '13', "(Mean_Node,285.461,(r)) (H1,150.513,(c)) (135-sesquisquare,3')", "(H1,199.708,(r)) (Moon,154.738,(d)) (45-semisquare,2')", 263]
['1935-11-14 08:45:28', "(Mercury,216.475,(r)) (H1,276.464,(c)) (sextile,1')", "(Jupiter,241.155,(r)) (H10,240.981,(d)) (conjunction,10')\n(Venus,184.452,(r)) (H5,49.485,(c)) (135-sesquisquare,2')\n(H10,222.273,(r)) (Uranus,12.255,(c)) (150-quincunx,1')", "(Jupiter,241.155,(r)) (H10,241.113,(d)) (conjunction,3')\n(H10,222.273,(r)) (Mean_Node,267.271,(c)) (45-semisquare,0')", "(Jupiter,241.155,(r)) (H4,61.154,(d)) (opposition,0')\n(H4,42.273,(r)) (Mean_Node,267.232,(c)) (135-sesquisquare,2')", "(H5,66.966,(r)) (Mean_Node,306.925,(d)) (trine,2')\n(H4,42.273,(r)) (Jupiter,222.376,(c)) (opposition,6')", '5', '6', "(Mars,282.464,(r)) (H10,252.416,(d)) (30-semisextile,3')\n(Pluto,117.360,(r)) (H10,252.416,(d)) (135-sesquisquare,3')\n(H1,293.844,(r)) (Pluto,158.782,(d)) (135-sesquisquare,4')", "(Sun,231.052,(r)) (H8,200.981,(d)) (30-semisextile,4')\n(Moon,99.254,(r)) (H1,339.283,(d)) (trine,2')\n(Mars,282.464,(r)) (H12,237.467,(c)) (45-semisquare,0')\n(H1,293.844,(r)) (Saturn,293.925,(c)) (conjunction,5')\n(H1,293.844,(r)) (Pluto,83.854,(c)) (150-quincunx,1')\n(H10,222.273,(r)) (Mean_Node,252.303,(c)) (30-semisextile,2')", "(Uranus,32.805,(r)) (H5,32.823,(c)) (conjunction,1')", "(Mean_Node,285.446,(r)) (H7,75.354,(c)) (150-quincunx,6')", "(Uranus,32.805,(r)) (H7,167.807,(d)) (135-sesquisquare,0')\n(Mean_Node,285.446,(r)) (H5,105.530,(d)) (opposition,5')", '12', "(Mars,282.464,(r)) (H10,162.508,(c)) (trine,3')", '14', '15', 327]
['1935-11-14 11:17:52', "(H1,342.288,(r)) (Moon,117.348,(d)) (135-sesquisquare,4')\n(Uranus,32.801,(r)) (H10,242.871,(c)) (150-quincunx,4')", "(Jupiter,241.178,(r)) (H10,241.154,(c)) (conjunction,1')\n(H5,101.951,(r)) (Jupiter,221.887,(c)) (trine,4')", "(Moon,100.634,(r)) (H7,190.693,(d)) (square,4')\n(Mercury,216.638,(r)) (H10,276.594,(d)) (sextile,3')\n(Jupiter,241.178,(r)) (H10,241.022,(c)) (conjunction,9')", "(Mercury,216.638,(r)) (H4,96.634,(d)) (trine,0')", '4', '5', '6', "(H1,342.288,(r)) (Moon,72.212,(c)) (square,5')\n(H1,342.288,(r)) (Saturn,297.225,(c)) (45-semisquare,4')", "(H1,342.288,(r)) (Mean_Node,252.201,(c)) (square,5')", '9', "(H4,78.995,(r)) (Saturn,33.960,(d)) (45-semisquare,2')\n(H5,101.951,(r)) (Venus,131.914,(c)) (30-semisextile,2')", "(Mars,282.544,(r)) (H7,222.471,(d)) (sextile,4')", "(H1,342.288,(r)) (Jupiter,282.361,(d)) (sextile,4')\n(Mercury,216.638,(r)) (H4,36.670,(c)) (opposition,2')", '13', '14', "(Uranus,32.801,(r)) (H1,62.858,(d)) (30-semisextile,3')\n(H1,342.288,(r)) (Sun,162.224,(c)) (opposition,4')", 279]
['1935-11-14 11:01:36', '0', "(Venus,184.544,(r)) (H7,184.429,(d)) (conjunction,7')\n(Uranus,32.801,(r)) (H10,272.721,(d)) (trine,5')\n(H10,255.219,(r)) (Mercury,195.167,(c)) (sextile,3')", "(Venus,184.544,(r)) (H7,184.634,(d)) (conjunction,5')\n(Uranus,32.801,(r)) (H10,272.848,(d)) (trine,3')\n(H10,255.219,(r)) (Sun,210.270,(c)) (45-semisquare,3')", "(Venus,184.544,(r)) (H1,4.699,(d)) (opposition,9')\n(Uranus,32.801,(r)) (H4,92.887,(d)) (sextile,5')\n(H4,75.219,(r)) (Sun,210.221,(c)) (135-sesquisquare,0')", "(Pluto,117.359,(r)) (H5,117.344,(d)) (conjunction,1')", "(H4,75.219,(r)) (H3,75.345,(d)) (conjunction,8')\n(Sun,231.147,(r)) (H4,51.223,(c)) (opposition,5')", '6', '7', "(Saturn,333.545,(r)) (H10,288.538,(d)) (45-semisquare,0')\n(H1,336.428,(r)) (Saturn,291.483,(c)) (45-semisquare,3')", "(Sun,231.147,(r)) (H7,111.231,(c)) (trine,5')", "(Moon,100.487,(r)) (H8,145.522,(c)) (45-semisquare,2')\n(H5,98.122,(r)) (Mean_Node,248.147,(c)) (150-quincunx,1')\n(H8,198.400,(r)) (Moon,63.480,(c)) (135-sesquisquare,5')", '11', '12', "(H1,336.428,(r)) (Pluto,66.372,(c)) (square,3')", "(H4,75.219,(r)) (Mars,345.292,(d)) (square,4')", '15', 294]
['1935-11-14 07:49:35', "(Mean_Node,285.448,(r)) (H10,225.505,(d)) (sextile,3')", "(Mercury,216.415,(r)) (H5,36.248,(c)) (opposition,10')", "(H10,207.810,(r)) (Venus,162.838,(c)) (45-semisquare,2')", "(H1,279.551,(r)) (Pluto,99.582,(c)) (opposition,2')\n(H4,27.810,(r)) (Venus,162.788,(c)) (135-sesquisquare,1')", "(Mars,282.434,(r)) (H5,72.371,(d)) (150-quincunx,4')\n(Pluto,117.360,(r)) (H5,72.371,(d)) (45-semisquare,1')\n(H4,27.810,(r)) (Venus,207.908,(d)) (opposition,6')\n(Mercury,216.415,(r)) (H4,6.387,(c)) (150-quincunx,2')", "(Mercury,216.415,(r)) (H7,126.432,(d)) (square,1')\n(H4,27.810,(r)) (Uranus,57.893,(d)) (30-semisextile,5')", "(H5,54.135,(r)) (H4,54.036,(d)) (conjunction,6')", '7', "(Moon,98.747,(r)) (H8,98.684,(c)) (conjunction,4')", "(Venus,184.414,(r)) (H10,244.380,(d)) (sextile,2')", "(Venus,184.414,(r)) (H8,94.425,(c)) (square,1')\n(Saturn,333.543,(r)) (H7,63.455,(c)) (square,5')", "(Mars,282.434,(r)) (H10,162.480,(c)) (trine,3')", '12', "(Pluto,117.360,(r)) (H12,207.395,(c)) (square,2')", "(H4,27.810,(r)) (Mean_Node,357.828,(d)) (30-semisextile,1')", "(H10,207.810,(r)) (Mars,357.755,(d)) (150-quincunx,3')", 267]
['1935-11-14 01:49:51', '0', "(Mars,282.245,(r)) (H10,132.191,(d)) (150-quincunx,3')\n(Sun,230.761,(r)) (H7,5.687,(c)) (135-sesquisquare,4')\n(Mercury,216.030,(r)) (H10,96.087,(c)) (trine,3')", "(Mars,282.245,(r)) (H10,132.329,(d)) (150-quincunx,5')\n(H10,113.769,(r)) (Moon,113.645,(d)) (conjunction,7')\n(Mercury,216.030,(r)) (H10,95.961,(c)) (trine,4')", "(H4,293.769,(r)) (Moon,113.687,(d)) (opposition,5')\n(H9,81.309,(r)) (Venus,201.380,(d)) (trine,4')\n(Moon,95.469,(r)) (H1,185.532,(c)) (square,4')", "(H1,201.924,(r)) (Venus,202.063,(d)) (conjunction,8')", '5', '6', '7', '8', "(H10,113.769,(r)) (Mars,248.807,(c)) (135-sesquisquare,2')", "(H5,326.108,(r)) (Saturn,296.043,(c)) (30-semisextile,4')", '11', "(Mean_Node,285.461,(r)) (H5,285.571,(c)) (conjunction,7')", "(Moon,95.469,(r)) (H12,125.508,(c)) (30-semisextile,2')", "(Mars,282.245,(r)) (H8,102.088,(d)) (opposition,9')\n(H1,201.924,(r)) (Mean_Node,231.846,(c)) (30-semisextile,5')", "(Uranus,32.816,(r)) (H12,122.737,(c)) (square,5')\n(H8,50.390,(r)) (Mean_Node,230.387,(c)) (opposition,0')", 242]
['1935-11-14 09:04:15', "(H10,227.008,(r)) (Jupiter,257.082,(d)) (30-semisextile,4')\n(H1,299.015,(r)) (Venus,164.046,(c)) (135-sesquisquare,2')\n(H1,299.015,(r)) (Mean_Node,269.072,(c)) (30-semisextile,3')", "(H7,119.015,(r)) (Moon,118.903,(d)) (conjunction,7')\n(Moon,99.425,(r)) (H7,99.266,(c)) (conjunction,10')", "(H7,119.015,(r)) (Moon,119.050,(d)) (conjunction,2')", "(H1,299.015,(r)) (Moon,119.097,(d)) (opposition,5')\n(Pluto,117.360,(r)) (H4,27.310,(c)) (square,3')", '4', "(Mean_Node,285.445,(r)) (H7,150.467,(d)) (135-sesquisquare,1')\n(H7,119.015,(r)) (Uranus,59.065,(d)) (sextile,3')\n(Sun,231.065,(r)) (H4,20.976,(c)) (150-quincunx,5')", "(Uranus,32.804,(r)) (H1,272.782,(c)) (trine,1')", "(H3,17.315,(r)) (Mars,317.395,(d)) (sextile,5')\n(H1,299.015,(r)) (Saturn,298.839,(c)) (conjunction,11')", "(H8,159.653,(r)) (Uranus,69.700,(d)) (square,3')\n(Pluto,117.360,(r)) (H8,117.313,(c)) (conjunction,3')", '9', "(Uranus,32.804,(r)) (H8,212.631,(d)) (opposition,10')\n(H7,119.015,(r)) (Saturn,29.087,(d)) (square,4')\n(H7,119.015,(r)) (Uranus,73.994,(d)) (45-semisquare,1')", "(Uranus,32.804,(r)) (H10,182.797,(c)) (150-quincunx,0')", "(Pluto,117.360,(r)) (H1,357.366,(d)) (trine,0')\n(H4,47.008,(r)) (Sun,271.951,(d)) (135-sesquisquare,3')", '13', "(Sun,231.065,(r)) (H8,96.069,(c)) (135-sesquisquare,0')", "(Mars,282.474,(r)) (H10,282.564,(d)) (conjunction,5')\n(H10,227.008,(r)) (Moon,47.186,(c)) (opposition,11')", 366]
['1935-11-14 08:03:20', "(Jupiter,241.148,(r)) (H1,301.204,(d)) (sextile,3')", "(H5,57.311,(r)) (Mean_Node,267.344,(c)) (150-quincunx,2')\n(H7,102.933,(r)) (Uranus,12.883,(c)) (square,3')", "(Sun,231.022,(r)) (H10,230.851,(d)) (conjunction,10')\n(H5,57.311,(r)) (Venus,207.275,(d)) (150-quincunx,2')\n(H5,57.311,(r)) (Mean_Node,267.220,(c)) (150-quincunx,5')", "(Sun,231.022,(r)) (H4,50.894,(d)) (opposition,8')\n(H5,57.311,(r)) (Venus,207.324,(d)) (150-quincunx,1')\n(H9,179.120,(r)) (Moon,119.049,(d)) (sextile,4')\n(Mercury,216.430,(r)) (H9,156.390,(c)) (sextile,2')", "(Venus,184.423,(r)) (H1,304.364,(d)) (trine,4')\n(Mean_Node,285.447,(r)) (H5,75.490,(d)) (150-quincunx,3')", "(Venus,184.423,(r)) (H4,4.471,(c)) (opposition,3')\n(H4,31.418,(r)) (Moon,76.332,(c)) (45-semisquare,5')", "(Mars,282.442,(r)) (H4,57.383,(d)) (135-sesquisquare,4')\n(Pluto,117.360,(r)) (H4,57.383,(d)) (sextile,1')\n(H5,57.311,(r)) (H4,57.383,(d)) (conjunction,4')", "(H1,282.933,(r)) (Moon,132.952,(d)) (150-quincunx,1')", "(H8,140.643,(r)) (Saturn,20.734,(d)) (trine,5')", '9', "(Venus,184.423,(r)) (H5,94.368,(d)) (square,3')\n(H8,140.643,(r)) (Venus,230.619,(d)) (square,1')\n(H8,140.643,(r)) (Pluto,170.587,(d)) (30-semisextile,3')\n(Saturn,333.544,(r)) (H5,18.535,(c)) (45-semisquare,1')", '11', "(Mean_Node,285.447,(r)) (H5,15.520,(c)) (square,4')", "(H10,211.418,(r)) (Moon,166.351,(d)) (45-semisquare,4')", "(H4,31.418,(r)) (Uranus,331.413,(c)) (sextile,0')", "(Sun,231.022,(r)) (H1,230.904,(c)) (conjunction,7')", 356]
['1935-11-13 22:36:47', '0', "(Sun,230.626,(r)) (H10,50.670,(c)) (opposition,3')", "(Sun,230.626,(r)) (H10,50.534,(c)) (opposition,6')", "(Sun,230.626,(r)) (H4,230.491,(c)) (conjunction,8')", "(Pluto,117.363,(r)) (H4,267.435,(d)) (150-quincunx,4')", "(H3,216.663,(r)) (Jupiter,216.561,(c)) (conjunction,6')", "(Uranus,32.821,(r)) (H4,272.828,(d)) (trine,0')\n(H4,248.953,(r)) (Mean_Node,308.975,(d)) (sextile,1')\n(Moon,93.698,(r)) (H1,138.740,(c)) (45-semisquare,3')\n(H1,160.531,(r)) (Venus,160.419,(c)) (conjunction,7')", "(H3,216.663,(r)) (Saturn,306.752,(c)) (square,5')", "(Mars,282.143,(r)) (H10,102.301,(d)) (opposition,9')\n(H8,6.687,(r)) (Moon,126.747,(d)) (trine,4')\n(Saturn,333.539,(r)) (H8,333.501,(c)) (conjunction,2')", "(Uranus,32.821,(r)) (H10,32.873,(c)) (conjunction,3')", "(Moon,93.698,(r)) (H5,318.706,(d)) (135-sesquisquare,1')\n(Neptune,166.413,(r)) (H4,286.501,(d)) (trine,5')\n(H7,340.531,(r)) (Uranus,70.477,(d)) (square,3')", '11', '12', '13', "(Sun,230.626,(r)) (H12,80.680,(c)) (150-quincunx,3')", "(H1,160.531,(r)) (Mean_Node,340.602,(d)) (opposition,4')", 314]
