['Time', '0: 2008-09-05', '1: 2008-12-11', '2: 2009-01-14', '3: 2009-03-19', '4: 2013-12-12', '5: 2014-03-24', '6: 2015-05-27', '7: 2018-02-19', '8: 2021-04-06', '9: 2022-01-01', '10: 2022-01-03', '11: 2000-03-11', '12: 2023-10-04', '13: 2018-12-04', '14: 2016-12-29', 'Count']
['1997-11-16 11:55:52', '0', '1', "(Saturn,14.323,(r)) (H12,344.273,(d)) (30-semisextile,3')", "(Mean_Node,166.135,(r)) (H7,196.217,(d)) (30-semisextile,5')\n(H4,93.872,(r)) (Jupiter,303.872,(c)) (150-quincunx,0')\n(H7,184.460,(r)) (Mean_Node,154.454,(c)) (30-semisextile,0')", "(Moon,79.362,(r)) (H12,349.401,(d)) (square,2')\n(Moon,79.362,(r)) (H10,259.314,(c)) (opposition,3')", "(H7,184.460,(r)) (Moon,94.493,(d)) (square,2')", "(H1,4.460,(r)) (Mean_Node,184.466,(d)) (opposition,0')\n(Mean_Node,166.135,(r)) (H1,346.232,(c)) (opposition,6')", "(Sun,234.162,(r)) (H3,84.131,(d)) (150-quincunx,2')", "(Mercury,252.668,(r)) (H4,72.624,(c)) (opposition,3')\n(Neptune,297.587,(r)) (H4,72.624,(c)) (135-sesquisquare,2')", '9', '10', '11', "(Mercury,252.668,(r)) (H10,297.652,(d)) (45-semisquare,1')\n(Neptune,297.587,(r)) (H10,297.652,(d)) (conjunction,4')\n(H2,35.881,(r)) (Mercury,275.899,(d)) (trine,1')\n(H10,273.872,(r)) (Neptune,273.802,(c)) (conjunction,4')", "(Mercury,252.668,(r)) (H1,342.598,(c)) (square,4')\n(Neptune,297.587,(r)) (H1,342.598,(c)) (45-semisquare,1')", "(Sun,234.162,(r)) (H1,24.186,(d)) (150-quincunx,1')\n(Jupiter,314.550,(r)) (H1,344.587,(c)) (30-semisextile,2')", 270]
['1997-11-16 01:11:58', "(Mean_Node,166.159,(r)) (H4,301.228,(d)) (135-sesquisquare,4')\n(Venus,280.362,(r)) (H12,160.276,(c)) (trine,5')\n(H1,205.365,(r)) (Mars,265.402,(c)) (sextile,2')\n(H7,25.365,(r)) (Mars,265.402,(c)) (trine,2')", "(H3,263.930,(r)) (Moon,84.014,(d)) (opposition,5')", '2', "(H4,291.098,(r)) (Venus,291.002,(d)) (conjunction,6')\n(Moon,73.112,(r)) (H7,13.040,(c)) (sextile,4')", '4', "(Sun,233.712,(r)) (H3,278.731,(d)) (45-semisquare,1')", "(Neptune,297.578,(r)) (H8,72.646,(d)) (135-sesquisquare,4')\n(H1,205.365,(r)) (Sun,250.402,(d)) (45-semisquare,2')\n(H4,291.098,(r)) (Mars,291.175,(d)) (conjunction,5')\n(Mars,275.147,(r)) (H4,275.078,(c)) (conjunction,4')\n(Pluto,245.014,(r)) (H4,275.078,(c)) (30-semisextile,4')", "(Venus,280.362,(r)) (H4,310.330,(d)) (30-semisextile,2')", '8', '9', "(H10,111.098,(r)) (Moon,51.018,(c)) (sextile,5')", '11', "(Neptune,297.578,(r)) (H10,87.519,(c)) (150-quincunx,4')", '13', '14', 216]
['1997-11-16 15:04:46', '0', "(Sun,234.295,(r)) (H3,99.273,(c)) (135-sesquisquare,1')", '2', '3', "(Mars,275.586,(r)) (H10,335.615,(d)) (sextile,2')", '5', "(H1,52.632,(r)) (Uranus,322.704,(d)) (square,4')\n(Mars,275.586,(r)) (H1,35.641,(c)) (trine,3')\n(Uranus,305.201,(r)) (H8,245.190,(c)) (sextile,1')\n(Pluto,245.037,(r)) (H8,245.190,(c)) (conjunction,9')", "(H7,232.632,(r)) (Mean_Node,187.657,(d)) (45-semisquare,2')", "(Saturn,14.316,(r)) (H1,74.284,(d)) (sextile,2')\n(Saturn,14.316,(r)) (H7,254.284,(d)) (trine,2')", "(Neptune,297.590,(r)) (H6,177.648,(c)) (trine,3')", '10', "(H4,139.155,(r)) (Moon,79.156,(c)) (sextile,0')", "(Mean_Node,166.128,(r)) (H10,345.970,(d)) (opposition,10')", '13', '14', 188]
['1997-11-16 09:11:36', "(Mercury,252.509,(r)) (H12,282.449,(c)) (30-semisextile,4')", "(H10,235.379,(r)) (Mars,265.392,(c)) (30-semisextile,1')", "(Moon,77.775,(r)) (H12,302.719,(d)) (135-sesquisquare,3')\n(H4,55.379,(r)) (Mars,265.307,(c)) (150-quincunx,4')", "(Venus,280.671,(r)) (H7,130.694,(c)) (150-quincunx,1')\n(H3,24.629,(r)) (Uranus,294.712,(c)) (square,5')", '4', "(Venus,280.671,(r)) (H4,70.745,(d)) (150-quincunx,4')\n(H7,141.697,(r)) (Pluto,231.638,(c)) (square,4')", '6', "(H7,141.697,(r)) (Moon,96.688,(d)) (45-semisquare,1')\n(H4,55.379,(r)) (Mean_Node,145.412,(c)) (square,2')", '8', "(Mean_Node,166.141,(r)) (H1,346.102,(d)) (opposition,2')\n(H1,321.697,(r)) (Mean_Node,141.563,(c)) (opposition,8')", "(Moon,77.775,(r)) (H10,257.879,(d)) (opposition,6')", "(Sun,234.047,(r)) (H7,143.984,(d)) (square,4')", '12', '13', '14', 175]
['1997-11-16 13:37:18', "(H4,117.578,(r)) (Mean_Node,177.513,(d)) (sextile,4')\n(Pluto,245.034,(r)) (H1,19.979,(c)) (135-sesquisquare,3')\n(Pluto,245.034,(r)) (H7,199.979,(c)) (45-semisquare,3')", "(Sun,234.233,(r)) (H3,99.176,(d)) (135-sesquisquare,3')", '2', "(H7,210.935,(r)) (Venus,270.908,(c)) (sextile,2')", "(Mercury,252.767,(r)) (H10,282.709,(c)) (30-semisextile,3')\n(Mercury,252.767,(r)) (H12,342.784,(c)) (square,1')\n(H10,297.578,(r)) (Mercury,237.642,(c)) (sextile,4')", "(H3,89.143,(r)) (Jupiter,299.089,(c)) (150-quincunx,3')", "(H4,117.578,(r)) (Venus,297.416,(d)) (opposition,10')", "(H7,210.935,(r)) (Mercury,270.933,(d)) (sextile,0')", "(Moon,80.339,(r)) (H4,140.299,(d)) (sextile,2')\n(Uranus,305.199,(r)) (H12,335.231,(c)) (30-semisextile,2')", "(Sun,234.233,(r)) (H1,54.412,(d)) (opposition,11')\n(Mars,275.540,(r)) (H10,275.389,(c)) (conjunction,9')", '10', '11', '12', '13', '14', 207]
['1997-11-16 09:19:04', '0', '1', '2', "(Pluto,245.027,(r)) (H7,154.938,(d)) (square,5')\n(Mercury,252.516,(r)) (H7,132.514,(c)) (trine,0')\n(Mean_Node,166.141,(r)) (H4,46.203,(c)) (trine,4')", "(H10,237.196,(r)) (Mercury,237.097,(c)) (conjunction,6')", "(Mercury,252.516,(r)) (H4,72.494,(d)) (opposition,1')", "(Venus,280.675,(r)) (H12,310.590,(d)) (30-semisextile,5')", "(Mean_Node,166.141,(r)) (H4,76.079,(d)) (square,4')", "(Mean_Node,166.141,(r)) (H1,301.102,(c)) (135-sesquisquare,2')\n(Mean_Node,166.141,(r)) (H7,121.102,(c)) (45-semisquare,2')", '9', '10', '11', '12', '13', "(Uranus,305.194,(r)) (H1,305.108,(c)) (conjunction,5')\n(H1,323.571,(r)) (Venus,263.518,(c)) (sextile,3')\n(H3,26.591,(r)) (Jupiter,296.656,(c)) (square,4')\n(H3,26.591,(r)) (Mean_Node,146.566,(c)) (trine,1')", 204]
['1997-11-16 10:58:54', '0', "(Saturn,14.325,(r)) (H12,329.293,(d)) (45-semisquare,2')", "(Saturn,14.325,(r)) (H12,329.387,(d)) (45-semisquare,4')", "(Venus,280.739,(r)) (H3,40.827,(c)) (trine,5')", "(Mars,275.456,(r)) (H10,275.309,(d)) (conjunction,9')", "(H3,51.915,(r)) (Pluto,261.907,(d)) (150-quincunx,0')", '6', "(Sun,234.122,(r)) (H4,99.109,(d)) (135-sesquisquare,1')", "(H4,80.757,(r)) (Saturn,350.783,(c)) (square,2')", "(Mercury,252.613,(r)) (H6,162.692,(d)) (square,5')\n(Mercury,252.613,(r)) (H10,282.628,(d)) (30-semisextile,1')\n(Saturn,14.325,(r)) (H1,14.468,(d)) (conjunction,9')\n(H10,260.757,(r)) (Neptune,320.775,(d)) (sextile,1')", "(Mercury,252.613,(r)) (H10,282.633,(d)) (30-semisextile,1')\n(Jupiter,314.545,(r)) (H1,14.474,(d)) (sextile,4')", "(Sun,234.122,(r)) (H3,54.138,(d)) (opposition,1')\n(Moon,78.812,(r)) (H4,78.650,(c)) (conjunction,10')\n(H3,51.915,(r)) (Sun,231.899,(c)) (opposition,1')", '12', '13', '14', 223]
['1997-11-16 04:58:14', '0', "(H1,261.975,(r)) (Mercury,261.968,(d)) (conjunction,0')", "(H1,261.975,(r)) (Mercury,262.053,(d)) (conjunction,5')\n(H7,81.975,(r)) (Mercury,262.053,(d)) (opposition,5')", '3', '4', '5', "(Mars,275.266,(r)) (H12,215.178,(c)) (sextile,5')\n(Uranus,305.189,(r)) (H12,215.178,(c)) (square,1')\n(H8,109.050,(r)) (Uranus,288.957,(c)) (opposition,6')", '7', '8', "(Saturn,14.338,(r)) (H10,194.459,(d)) (opposition,7')\n(Saturn,14.338,(r)) (H1,239.429,(c)) (135-sesquisquare,5')\n(H10,168.611,(r)) (Mercury,228.609,(c)) (sextile,0')", "(Jupiter,314.515,(r)) (H10,194.465,(d)) (trine,3')\n(H10,168.611,(r)) (Mercury,228.603,(c)) (sextile,0')\n(H10,168.611,(r)) (Venus,258.704,(c)) (square,6')", "(H4,348.611,(r)) (Mean_Node,168.619,(d)) (opposition,0')\n(Mean_Node,166.151,(r)) (H4,346.140,(c)) (opposition,1')", '12', '13', "(H3,317.460,(r)) (Uranus,287.496,(c)) (30-semisextile,2')", 245]
['1997-11-16 13:02:46', '0', "(Sun,234.209,(r)) (H10,279.267,(c)) (45-semisquare,3')", '2', "(Venus,280.819,(r)) (H3,70.853,(c)) (150-quincunx,2')\n(H4,109.396,(r)) (Mean_Node,154.390,(c)) (45-semisquare,0')", "(H3,81.195,(r)) (Pluto,261.322,(d)) (opposition,8')\n(Mars,275.522,(r)) (H1,5.447,(c)) (square,4')\n(H3,81.195,(r)) (Mars,261.042,(c)) (opposition,9')", "(Uranus,305.199,(r)) (H7,185.157,(c)) (trine,3')\n(H3,81.195,(r)) (Pluto,231.234,(c)) (150-quincunx,2')", "(H8,232.503,(r)) (Uranus,322.554,(d)) (square,3')", '7', '8', '9', '10', "(H4,109.396,(r)) (Pluto,244.489,(c)) (135-sesquisquare,6')\n(H7,202.046,(r)) (Sun,232.001,(c)) (30-semisextile,3')", '12', '13', '14', 124]
['1997-11-16 10:17:52', '0', "(Neptune,297.586,(r)) (H12,297.679,(c)) (conjunction,6')\n(H1,338.624,(r)) (Moon,68.705,(c)) (square,5')", "(Uranus,305.195,(r)) (H1,350.131,(d)) (45-semisquare,4')\n(Uranus,305.195,(r)) (H7,170.131,(d)) (135-sesquisquare,4')\n(Mercury,252.573,(r)) (H12,297.592,(c)) (45-semisquare,1')\n(Neptune,297.586,(r)) (H12,297.592,(c)) (conjunction,0')\n(H1,338.624,(r)) (Moon,68.619,(c)) (square,0')\n(H7,158.624,(r)) (Moon,68.619,(c)) (square,0')", '3', '4', '5', '6', "(Jupiter,314.542,(r)) (H7,179.600,(d)) (135-sesquisquare,4')\n(Moon,78.416,(r)) (H7,138.357,(c)) (sextile,4')", '8', "(H10,251.208,(r)) (Mean_Node,191.287,(d)) (sextile,5')", "(Moon,78.416,(r)) (H10,228.326,(c)) (150-quincunx,5')\n(Jupiter,314.542,(r)) (H1,314.597,(c)) (conjunction,3')", '11', "(Mars,275.435,(r)) (H1,5.457,(d)) (square,1')", '13', '14', 193]
