['Time', '0: 2004-12-01', '1: 2008-09-05', '2: 2008-12-11', '3: 2009-01-14', '4: 2009-03-19', '5: 2010-09-15', '6: 2011-01-20', '7: 2012-03-06', '8: 2012-10-09', '9: 2012-11-14', '10: 2012-12-12', '11: 2013-12-12', '12: 2014-03-24', '13: 2015-05-27', '14: 2016-05-26', '15: 2017-09-15', '16: 2017-09-22', '17: 2018-02-19', '18: 2019-01-08', '19: 2019-05-22', '20: 2019-08-13', '21: 2021-04-06', '22: 2021-07-10', '23: 2021-08-15', '24: 2022-01-03', '25: 2022-05-25', '26: 2024-01-25', '27: 2024-02-09', '28: 2024-02-23', '29: 2024-02-28', '30: 2024-03-08', '31: 2024-12-26', '32: 1994-07-02', '33: 1997-08-13', '34: 1997-11-16', '35: 2021-02-20', '36: 2017-01-31', '37: 2018-10-10', '38: 2018-04-15', '39: 2018-01-28', '40: 2016-10-05', '41: 2016-01-28', '42: 2015-11-04', '43: 2015-03-27', '44: 2015-03-16', '45: 2011-12-07', 'Count']
['2000-03-11 07:39:11', "(H4,129.675,(r)) (Sun,249.639,(p)) (trine,2.18')\n(H1,37.433,(r)) (Jupiter,248.229,(c)) (150-quincunx,47.73')\n(H3,97.424,(r)) (Jupiter,248.229,(c)) (150-quincunx,48.27')\n(H4,129.675,(r)) (Mercury,70.122,(c)) (sextile,26.82')", "(H4,129.675,(r)) (Mars,188.980,(c)) (sextile,41.70')", "(H10,309.675,(r)) (Jupiter,130.504,(c)) (opposition,49.70')", "(H4,129.675,(r)) (Mean_Node,310.248,(p)) (opposition,34.36')\n(H7,217.433,(r)) (Saturn,171.595,(p)) (45-semisquare,50.29')\n(H7,217.433,(r)) (Saturn,306.760,(c)) (square,40.41')", '4', "(H1,37.433,(r)) (Sun,172.550,(p)) (135-sesquisquare,6.97')\n(H10,309.675,(r)) (Moon,265.555,(p)) (45-semisquare,52.76')\n(H1,37.433,(r)) (Moon,216.376,(c)) (opposition,63.47')\n(H1,37.433,(r)) (Mercury,188.476,(c)) (150-quincunx,62.58')\n(H1,37.433,(r)) (Jupiter,96.504,(c)) (sextile,55.74')\n(H3,97.424,(r)) (Moon,216.376,(c)) (trine,62.92')\n(H3,97.424,(r)) (Mercury,188.476,(c)) (square,63.13')\n(H3,97.424,(r)) (Jupiter,96.504,(c)) (conjunction,55.20')", "(H1,37.433,(r)) (Moon,128.356,(p)) (square,55.37')\n(H3,97.424,(r)) (Moon,128.356,(p)) (30-semisextile,55.92')\n(H10,309.675,(r)) (Moon,340.231,(c)) (30-semisextile,33.32')\n(H10,309.675,(r)) (Jupiter,69.581,(c)) (trine,5.69')", "(H1,37.433,(r)) (Jupiter,38.050,(p)) (conjunction,36.99')\n(H9,277.424,(r)) (Jupiter,38.050,(p)) (trine,37.53')", "(H3,97.424,(r)) (Mars,143.202,(c)) (45-semisquare,46.68')", "(H10,309.675,(r)) (Mercury,99.938,(c)) (150-quincunx,15.78')\n(H10,309.675,(r)) (Uranus,263.911,(c)) (45-semisquare,45.85')", "(H10,309.675,(r)) (Moon,248.619,(p)) (sextile,63.37')\n(H10,309.675,(r)) (Jupiter,70.027,(p)) (trine,21.11')\n(H10,309.675,(r)) (Moon,220.515,(c)) (square,50.39')\n(H10,309.675,(r)) (Uranus,265.031,(c)) (45-semisquare,21.33')", "(H10,309.675,(r)) (Pluto,280.582,(p)) (30-semisextile,54.39')", "(H3,97.424,(r)) (Mercury,338.253,(p)) (trine,49.72')\n(H7,217.433,(r)) (Mercury,338.253,(p)) (trine,49.18')", "(H1,37.433,(r)) (Mean_Node,187.180,(p)) (150-quincunx,15.20')\n(H4,129.675,(r)) (Moon,175.218,(p)) (45-semisquare,32.54')\n(H4,129.675,(r)) (Neptune,339.749,(p)) (150-quincunx,4.40')\n(H8,246.587,(r)) (Venus,110.882,(p)) (135-sesquisquare,42.25')\n(H8,246.587,(r)) (Mean_Node,187.180,(p)) (sextile,35.61')\n(H8,246.587,(r)) (Moon,306.261,(c)) (sextile,19.52')", "(H8,246.587,(r)) (Sun,65.660,(p)) (opposition,55.58')\n(H8,246.587,(r)) (Mars,201.490,(c)) (45-semisquare,5.81')", "(H1,37.433,(r)) (Sun,172.835,(p)) (135-sesquisquare,24.08')\n(H1,37.433,(r)) (Jupiter,216.812,(c)) (opposition,37.26')\n(H3,97.424,(r)) (Jupiter,216.812,(c)) (trine,36.71')\n(H10,309.675,(r)) (Mercury,189.193,(c)) (trine,28.91')", "(H1,37.433,(r)) (Saturn,261.812,(p)) (135-sesquisquare,37.27')", "(H4,129.675,(r)) (Venus,340.676,(p)) (150-quincunx,60.01')\n(H4,129.675,(r)) (Moon,100.080,(c)) (30-semisextile,24.27')", "(H3,97.424,(r)) (Sun,52.281,(c)) (45-semisquare,8.60')\n(H10,309.675,(r)) (Mercury,69.009,(c)) (trine,39.96')", "(H1,37.433,(r)) (Mercury,277.842,(c)) (trine,24.50')\n(H1,37.433,(r)) (Neptune,262.984,(c)) (135-sesquisquare,33.07')\n(H9,277.424,(r)) (Mercury,277.842,(c)) (conjunction,25.04')\n(H10,309.675,(r)) (Saturn,189.440,(c)) (trine,14.11')", "(H1,37.433,(r)) (Uranus,36.614,(p)) (conjunction,49.13')\n(H9,277.424,(r)) (Uranus,36.614,(p)) (trine,48.59')\n(H9,277.424,(r)) (Uranus,233.462,(c)) (45-semisquare,62.24')\n(H10,309.675,(r)) (Mercury,219.861,(c)) (square,11.13')", "(H7,217.433,(r)) (Neptune,351.613,(p)) (135-sesquisquare,49.22')", "(H1,37.433,(r)) (Neptune,353.141,(p)) (45-semisquare,42.49')\n(H1,37.433,(r)) (Mars,246.560,(c)) (150-quincunx,52.37')\n(H9,277.424,(r)) (Mars,246.560,(c)) (30-semisextile,51.83')\n(H10,309.675,(r)) (Mercury,250.227,(c)) (sextile,33.11')", "(H10,309.675,(r)) (Mars,160.492,(p)) (150-quincunx,48.99')\n(H10,309.675,(r)) (Saturn,309.213,(p)) (conjunction,27.71')\n(H10,309.675,(r)) (Saturn,158.803,(c)) (150-quincunx,52.31')", "(H10,309.675,(r)) (Venus,85.246,(c)) (135-sesquisquare,34.25')", "(H1,37.433,(r)) (Moon,7.724,(p)) (30-semisextile,17.41')\n(H9,277.424,(r)) (Moon,7.724,(p)) (square,17.96')\n(H1,37.433,(r)) (Mercury,263.053,(c)) (135-sesquisquare,37.16')", '26', "(H1,37.433,(r)) (Mercury,307.227,(p)) (square,12.40')\n(H1,37.433,(r)) (Saturn,337.472,(p)) (sextile,2.32')\n(H3,97.424,(r)) (Mercury,307.227,(p)) (150-quincunx,11.85')\n(H3,97.424,(r)) (Saturn,337.472,(p)) (trine,2.86')", "(H1,37.433,(r)) (Venus,308.449,(p)) (square,60.93')\n(H10,309.675,(r)) (Jupiter,40.246,(p)) (square,34.24')\n(H10,309.675,(r)) (Moon,339.440,(c)) (30-semisextile,14.10')", "(H4,129.675,(r)) (Sun,339.384,(p)) (150-quincunx,17.51')\n(H4,129.675,(r)) (Mercury,339.502,(p)) (150-quincunx,10.40')\n(H1,37.433,(r)) (Moon,276.908,(c)) (trine,31.51')\n(H1,37.433,(r)) (Mercury,353.357,(c)) (45-semisquare,55.44')\n(H3,97.424,(r)) (Moon,276.908,(c)) (opposition,30.96')\n(H4,129.675,(r)) (Venus,339.985,(c)) (150-quincunx,18.55')", "(H6,191.547,(r)) (Venus,325.873,(p)) (135-sesquisquare,40.42')", "(H3,97.424,(r)) (Venus,321.738,(p)) (135-sesquisquare,41.15')\n(H1,37.433,(r)) (Mercury,83.114,(c)) (45-semisquare,40.81')", "(H8,246.587,(r)) (Neptune,292.289,(p)) (45-semisquare,42.14')\n(H10,309.675,(r)) (Sun,100.378,(p)) (150-quincunx,42.14')\n(H8,246.587,(r)) (Neptune,292.289,(c)) (45-semisquare,42.14')\n(H10,309.675,(r)) (Sun,100.378,(c)) (150-quincunx,42.14')", "(H4,129.675,(r)) (Venus,175.114,(p)) (45-semisquare,26.34')\n(H4,129.675,(r)) (Venus,175.114,(c)) (45-semisquare,26.34')", '34', "(H1,37.433,(r)) (Saturn,307.536,(p)) (square,6.15')\n(H4,129.675,(r)) (Moon,69.873,(p)) (sextile,11.84')\n(H8,246.587,(r)) (Saturn,307.536,(p)) (sextile,56.95')\n(H1,37.433,(r)) (Saturn,158.372,(c)) (trine,56.34')\n(H4,129.675,(r)) (Mars,354.608,(c)) (135-sesquisquare,4.05')", "(H10,309.675,(r)) (Moon,354.458,(p)) (45-semisquare,13.04')\n(H1,37.433,(r)) (Venus,67.821,(c)) (30-semisextile,23.26')\n(H3,97.424,(r)) (Venus,67.821,(c)) (30-semisextile,23.80')\n(H10,309.675,(r)) (Jupiter,250.102,(c)) (sextile,25.61')", "(H10,309.675,(r)) (Venus,220.403,(p)) (square,43.67')\n(H1,37.433,(r)) (Jupiter,187.794,(c)) (150-quincunx,21.64')\n(H3,97.424,(r)) (Jupiter,187.794,(c)) (square,22.19')\n(H10,309.675,(r)) (Moon,264.919,(c)) (45-semisquare,14.61')", "(H1,37.433,(r)) (Mercury,307.265,(c)) (square,10.12')\n(H3,97.424,(r)) (Mercury,307.265,(c)) (150-quincunx,9.58')\n(H10,309.675,(r)) (Jupiter,219.761,(c)) (square,5.14')", "(H1,37.433,(r)) (Sun,308.511,(p)) (square,64.65')\n(H10,309.675,(r)) (Moon,85.691,(p)) (135-sesquisquare,60.97')", "(H1,37.433,(r)) (Venus,156.559,(c)) (trine,52.48')\n(H3,97.424,(r)) (Sun,142.711,(c)) (45-semisquare,17.22')\n(H3,97.424,(r)) (Venus,156.559,(c)) (sextile,51.93')", "(H1,37.433,(r)) (Sun,307.988,(p)) (square,33.26')\n(H1,37.433,(r)) (Jupiter,172.581,(p)) (135-sesquisquare,8.84')\n(H3,97.424,(r)) (Sun,307.988,(p)) (150-quincunx,33.81')", "(H3,97.424,(r)) (Moon,142.790,(p)) (45-semisquare,21.96')\n(H10,309.675,(r)) (Venus,175.569,(p)) (135-sesquisquare,53.63')\n(H10,309.675,(r)) (Moon,340.596,(c)) (30-semisextile,55.25')\n(H10,309.675,(r)) (Uranus,249.951,(c)) (sextile,16.55')", "(H1,37.433,(r)) (Sun,6.500,(p)) (30-semisextile,56.02')\n(H1,37.433,(r)) (Mercury,353.465,(p)) (45-semisquare,61.92')\n(H3,97.424,(r)) (Sun,6.500,(p)) (square,55.48')\n(H10,309.675,(r)) (Mercury,339.554,(c)) (30-semisextile,7.28')", "(H10,309.675,(r)) (Sun,355.573,(p)) (45-semisquare,53.88')", "(H1,37.433,(r)) (Mercury,247.762,(p)) (150-quincunx,19.71')\n(H9,277.424,(r)) (Mercury,247.762,(p)) (30-semisextile,20.26')\n(H10,309.675,(r)) (Moon,40.591,(p)) (square,54.95')\n(H1,37.433,(r)) (Mercury,81.812,(c)) (45-semisquare,37.27')\n(H9,277.424,(r)) (Jupiter,52.479,(c)) (135-sesquisquare,3.27')", 130]
['2000-03-11 08:40:00', '0', "(H4,145.079,(r)) (Mars,190.984,(p)) (45-semisquare,54.34')\n(H4,145.079,(r)) (Mars,189.036,(c)) (45-semisquare,62.58')", "(H10,325.079,(r)) (Jupiter,294.356,(p)) (30-semisextile,43.35')", "(H7,230.652,(r)) (Saturn,171.595,(p)) (sextile,56.61')", '4', "(H3,111.868,(r)) (Sun,172.550,(p)) (sextile,40.90')\n(H3,111.868,(r)) (Mercury,155.863,(p)) (45-semisquare,60.29')\n(H10,325.079,(r)) (Moon,265.555,(p)) (sextile,28.57')\n(H1,50.652,(r)) (Venus,201.461,(c)) (150-quincunx,48.58')\n(H1,50.652,(r)) (Jupiter,96.517,(c)) (45-semisquare,51.92')\n(H3,111.868,(r)) (Venus,201.461,(c)) (square,24.40')", '6', "(H1,50.652,(r)) (Moon,140.902,(p)) (square,15.01')\n(H9,291.868,(r)) (Moon,140.902,(p)) (150-quincunx,57.97')", "(H1,50.652,(r)) (Neptune,275.566,(c)) (135-sesquisquare,5.13')\n(H1,50.652,(r)) (Mean_Node,4.675,(c)) (45-semisquare,58.59')", "(H1,50.652,(r)) (Uranus,4.962,(p)) (45-semisquare,41.38')\n(H1,50.652,(r)) (Moon,230.088,(c)) (opposition,33.80')\n(H10,325.079,(r)) (Mercury,99.892,(c)) (135-sesquisquare,11.17')", "(H1,50.652,(r)) (Uranus,4.614,(p)) (45-semisquare,62.24')\n(H9,291.868,(r)) (Jupiter,22.357,(c)) (square,29.35')\n(H10,325.079,(r)) (Uranus,265.027,(c)) (sextile,3.06')", "(H10,325.079,(r)) (Pluto,280.582,(p)) (45-semisquare,30.20')", "(H4,145.079,(r)) (Jupiter,100.966,(p)) (45-semisquare,53.24')", "(H1,50.652,(r)) (Venus,110.882,(p)) (sextile,13.84')\n(H4,145.079,(r)) (Moon,175.218,(p)) (30-semisextile,8.36')\n(H8,260.195,(r)) (Venus,110.882,(p)) (150-quincunx,41.25')\n(H4,145.079,(r)) (Saturn,234.064,(c)) (square,60.86')\n(H4,145.079,(r)) (Mean_Node,55.507,(c)) (square,25.70')\n(H8,260.195,(r)) (Pluto,214.206,(c)) (45-semisquare,59.32')", "(H1,50.652,(r)) (Mars,201.536,(c)) (150-quincunx,53.06')", "(H3,111.868,(r)) (Sun,172.835,(p)) (sextile,58.01')\n(H3,111.868,(r)) (Moon,112.288,(p)) (conjunction,25.21')\n(H10,325.079,(r)) (Venus,144.455,(p)) (opposition,37.44')\n(H10,325.079,(r)) (Jupiter,204.782,(p)) (trine,17.79')\n(H10,325.079,(r)) (Mercury,189.278,(c)) (135-sesquisquare,48.03')", "(H10,325.079,(r)) (Pluto,204.959,(c)) (trine,7.15')", "(H4,145.079,(r)) (Venus,324.723,(c)) (opposition,21.35')", "(H1,50.652,(r)) (Mercury,275.054,(p)) (135-sesquisquare,35.83')\n(H3,111.868,(r)) (Sun,52.362,(c)) (sextile,29.67')", "(H1,50.652,(r)) (Saturn,290.117,(p)) (trine,32.05')\n(H10,325.079,(r)) (Saturn,189.443,(c)) (135-sesquisquare,38.12')\n(H10,325.079,(r)) (Pluto,204.122,(c)) (trine,57.40')", "(H1,50.652,(r)) (Pluto,291.205,(p)) (trine,33.22')\n(H9,291.868,(r)) (Pluto,291.205,(p)) (conjunction,39.77')\n(H1,50.652,(r)) (Neptune,260.278,(c)) (150-quincunx,22.44')\n(H1,50.652,(r)) (Pluto,201.429,(c)) (150-quincunx,46.62')\n(H9,291.868,(r)) (Pluto,201.429,(c)) (square,26.36')", "(H7,230.652,(r)) (Mars,79.741,(p)) (150-quincunx,54.64')\n(H7,230.652,(r)) (Neptune,351.613,(p)) (trine,57.69')\n(H7,230.652,(r)) (Neptune,260.117,(c)) (30-semisextile,32.06')", "(H10,325.079,(r)) (Pluto,295.739,(p)) (30-semisextile,39.61')\n(H9,291.868,(r)) (Mars,246.622,(c)) (45-semisquare,14.77')", "(H10,325.079,(r)) (Pluto,294.907,(p)) (30-semisextile,10.29')", "(H3,111.868,(r)) (Venus,291.995,(p)) (opposition,7.63')\n(H1,50.652,(r)) (Jupiter,96.291,(c)) (45-semisquare,38.35')\n(H10,325.079,(r)) (Venus,85.348,(c)) (trine,16.18')", '25', "(H10,325.079,(r)) (Mercury,55.990,(c)) (square,54.67')", "(H3,111.868,(r)) (Saturn,337.472,(p)) (135-sesquisquare,36.24')\n(H10,325.079,(r)) (Mars,101.033,(c)) (135-sesquisquare,57.28')", '28', "(H3,111.868,(r)) (Moon,202.455,(p)) (square,35.25')", "(H6,205.928,(r)) (Venus,325.873,(p)) (trine,3.31')\n(H10,325.079,(r)) (Venus,325.873,(p)) (conjunction,47.66')\n(H6,205.928,(r)) (Moon,146.013,(c)) (sextile,5.06')\n(H10,325.079,(r)) (Moon,146.013,(c)) (opposition,56.04')", "(H1,50.652,(r)) (Sun,275.206,(p)) (135-sesquisquare,26.71')\n(H3,111.868,(r)) (Venus,321.738,(p)) (150-quincunx,7.77')", "(H1,50.652,(r)) (Mean_Node,231.433,(p)) (opposition,46.86')\n(H10,325.079,(r)) (Sun,100.378,(p)) (135-sesquisquare,17.95')\n(H10,325.079,(r)) (Pluto,235.589,(p)) (square,30.60')\n(H1,50.652,(r)) (Mean_Node,231.433,(c)) (opposition,46.86')\n(H10,325.079,(r)) (Sun,100.378,(c)) (135-sesquisquare,17.95')\n(H10,325.079,(r)) (Pluto,235.589,(c)) (square,30.60')", "(H1,50.652,(r)) (Saturn,20.241,(p)) (30-semisextile,24.64')\n(H1,50.652,(r)) (Mean_Node,171.167,(p)) (trine,30.91')\n(H4,145.079,(r)) (Venus,175.114,(p)) (30-semisextile,2.15')\n(H8,260.195,(r)) (Saturn,20.241,(p)) (trine,2.77')\n(H8,260.195,(r)) (Mean_Node,171.167,(p)) (square,58.32')\n(H1,50.652,(r)) (Saturn,20.241,(c)) (30-semisextile,24.64')\n(H1,50.652,(r)) (Mean_Node,171.167,(c)) (trine,30.91')\n(H4,145.079,(r)) (Venus,175.114,(c)) (30-semisextile,2.15')\n(H8,260.195,(r)) (Saturn,20.241,(c)) (trine,2.77')\n(H8,260.195,(r)) (Mean_Node,171.167,(c)) (square,58.32')", "(H4,145.079,(r)) (Venus,280.778,(p)) (135-sesquisquare,42.00')\n(H4,145.079,(r)) (Venus,280.778,(c)) (135-sesquisquare,42.00')", "(H1,50.652,(r)) (Neptune,349.939,(p)) (sextile,42.75')\n(H4,145.079,(r)) (Pluto,295.801,(p)) (150-quincunx,43.36')\n(H8,260.195,(r)) (Neptune,349.939,(p)) (square,15.34')\n(H1,50.652,(r)) (Moon,50.618,(c)) (conjunction,2.02')\n(H1,50.652,(r)) (Neptune,260.479,(c)) (150-quincunx,10.32')\n(H4,145.079,(r)) (Mars,354.674,(c)) (150-quincunx,24.27')\n(H8,260.195,(r)) (Moon,50.618,(c)) (150-quincunx,25.39')\n(H8,260.195,(r)) (Neptune,260.479,(c)) (conjunction,17.08')", "(H1,50.652,(r)) (Mercury,290.154,(p)) (trine,29.83')\n(H1,50.652,(r)) (Uranus,21.026,(p)) (30-semisextile,22.46')\n(H3,111.868,(r)) (Uranus,21.026,(p)) (square,50.52')\n(H10,325.079,(r)) (Moon,354.458,(p)) (30-semisextile,37.22')\n(H3,111.868,(r)) (Venus,67.920,(c)) (45-semisquare,63.10')", "(H1,50.652,(r)) (Venus,171.216,(c)) (trine,33.88')\n(H3,111.868,(r)) (Venus,171.216,(c)) (sextile,39.10')\n(H10,325.079,(r)) (Moon,265.943,(c)) (sextile,51.87')\n(H10,325.079,(r)) (Uranus,236.072,(c)) (square,59.59')", "(H1,50.652,(r)) (Mercury,4.778,(p)) (45-semisquare,52.41')\n(H1,50.652,(r)) (Jupiter,231.160,(p)) (opposition,30.50')\n(H3,111.868,(r)) (Jupiter,231.160,(p)) (trine,42.48')\n(H10,325.079,(r)) (Sun,25.467,(p)) (sextile,23.34')\n(H10,325.079,(r)) (Venus,294.017,(c)) (30-semisextile,63.68')", "(H1,50.652,(r)) (Jupiter,230.869,(p)) (opposition,13.03')\n(H3,111.868,(r)) (Jupiter,230.869,(p)) (trine,59.95')\n(H10,325.079,(r)) (Moon,85.691,(p)) (trine,36.78')\n(H10,325.079,(r)) (Mercury,295.170,(p)) (30-semisextile,5.50')\n(H10,325.079,(r)) (Uranus,24.859,(p)) (sextile,13.15')\n(H10,325.079,(r)) (Moon,24.164,(c)) (sextile,54.89')", "(H1,50.652,(r)) (Jupiter,185.608,(p)) (135-sesquisquare,2.62')\n(H3,111.868,(r)) (Uranus,22.910,(p)) (square,62.50')\n(H1,50.652,(r)) (Mercury,169.925,(c)) (trine,43.56')\n(H3,111.868,(r)) (Sun,142.792,(c)) (30-semisextile,55.48')\n(H3,111.868,(r)) (Venus,156.519,(c)) (45-semisquare,20.91')", "(H1,50.652,(r)) (Venus,275.714,(p)) (135-sesquisquare,3.75')\n(H3,111.868,(r)) (Jupiter,172.581,(p)) (sextile,42.76')", "(H3,111.868,(r)) (Moon,142.790,(p)) (30-semisextile,55.34')\n(H10,325.079,(r)) (Venus,175.569,(p)) (150-quincunx,29.44')\n(H1,50.652,(r)) (Jupiter,275.904,(c)) (135-sesquisquare,15.15')\n(H10,325.079,(r)) (Sun,114.805,(c)) (150-quincunx,16.38')", "(H1,50.652,(r)) (Sun,6.500,(p)) (45-semisquare,50.88')\n(H10,325.079,(r)) (Moon,24.540,(c)) (sextile,32.29')", "(H10,325.079,(r)) (Sun,355.573,(p)) (30-semisextile,29.69')\n(H1,50.652,(r)) (Venus,21.466,(c)) (30-semisextile,48.87')\n(H3,111.868,(r)) (Venus,21.466,(c)) (square,24.11')", "(H9,291.868,(r)) (Mercury,247.762,(p)) (45-semisquare,53.64')\n(H1,50.652,(r)) (Moon,81.425,(c)) (30-semisextile,46.40')\n(H9,291.868,(r)) (Moon,81.425,(c)) (150-quincunx,26.58')\n(H9,291.868,(r)) (Mercury,81.765,(c)) (150-quincunx,6.16')\n(H9,291.868,(r)) (Jupiter,52.497,(c)) (trine,37.77')", 132]
