['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-07 03:34:15', "(H3,127.303,(r)) (Mean_Node,277.151,(dp)) (150-quincunx,9')\n(H3,127.303,(r)) (Mean_Node,277.176,(dr)) (150-quincunx,8')\n(H4,156.462,(r)) (Moon,66.634,(dp)) (square,10')", "(Moon,280.026,(r)) (Moon,160.052,(dr)) (trine,2')\n(Venus,118.335,(r)) (Moon,28.080,(cr)) (square,15')", "(Moon,280.026,(r)) (Moon,160.052,(dr)) (trine,2')\n(H8,281.045,(r)) (Venus,146.114,(dp)) (135-sesquisquare,4')\n(Venus,118.335,(r)) (Moon,28.080,(cr)) (square,15')", "(H1,75.085,(r)) (Jupiter,75.219,(dp)) (conjunction,8')\n(H1,75.085,(r)) (Mean_Node,45.008,(dp)) (30-semisextile,5')\n(H1,75.085,(r)) (Jupiter,75.067,(dr)) (conjunction,1')\n(H1,75.085,(r)) (Mean_Node,45.100,(dr)) (30-semisextile,1')\n(H9,307.303,(r)) (Venus,127.240,(dr)) (opposition,4')\n(Neptune,123.897,(r)) (Moon,3.598,(cp)) (trine,18')", "(Neptune,123.897,(r)) (Moon,94.036,(dp)) (30-semisextile,8')\n(Pluto,94.273,(r)) (Moon,94.036,(dp)) (conjunction,14')\n(Mean_Node,296.505,(r)) (Moon,116.196,(cp)) (opposition,19')\n(H10,336.462,(r)) (Mean_Node,21.342,(cp)) (45-semisquare,7')\n(H10,336.462,(r)) (Mean_Node,21.375,(cr)) (45-semisquare,5')", "(H10,336.462,(r)) (Venus,201.278,(dp)) (135-sesquisquare,11')", "(Mars,208.946,(r)) (Moon,359.211,(dr)) (150-quincunx,16')\n(Saturn,116.901,(r)) (Moon,207.084,(cp)) (square,11')", "(H10,336.462,(r)) (Pluto,126.482,(dp)) (150-quincunx,1')\n(H10,336.462,(r)) (Pluto,126.445,(dr)) (150-quincunx,1')\n(H7,255.085,(r)) (Venus,210.213,(cp)) (45-semisquare,8')", "(Venus,118.335,(r)) (Moon,253.208,(dr)) (135-sesquisquare,8')\n(H1,75.085,(r)) (Jupiter,135.153,(dp)) (sextile,4')\n(H1,75.085,(r)) (Jupiter,134.899,(dr)) (sextile,11')\n(H5,189.257,(r)) (Mercury,189.063,(dp)) (conjunction,12')", "(H1,75.085,(r)) (Venus,165.318,(dr)) (square,14')", "(H1,75.085,(r)) (Moon,345.079,(cr)) (square,0')", "(Sun,164.170,(r)) (Moon,343.984,(dr)) (opposition,11')\n(Mars,208.946,(r)) (Moon,343.984,(dr)) (135-sesquisquare,2')\n(H1,75.085,(r)) (Mars,120.111,(dr)) (45-semisquare,2')\n(H4,156.462,(r)) (Venus,201.313,(dr)) (45-semisquare,9')", "(H1,75.085,(r)) (Moon,255.140,(dp)) (opposition,3')\n(H5,189.257,(r)) (Moon,324.502,(cp)) (135-sesquisquare,15')", "(Mean_Node,296.505,(r)) (Moon,161.507,(dp)) (135-sesquisquare,0')\n(H5,189.257,(r)) (Moon,54.231,(cp)) (135-sesquisquare,2')", "(H1,75.085,(r)) (Moon,254.568,(dr)) (opposition,31')\n(H1,75.085,(r)) (Venus,210.287,(dr)) (135-sesquisquare,12')\n(H4,156.462,(r)) (Jupiter,336.666,(dp)) (opposition,12')\n(H5,189.257,(r)) (Moon,309.547,(cp)) (trine,17')", "(Venus,118.335,(r)) (Moon,268.361,(cr)) (150-quincunx,2')\n(H4,156.462,(r)) (Venus,156.417,(cr)) (conjunction,3')", "(Pluto,94.273,(r)) (Moon,334.265,(cr)) (trine,0')", 46]
['1916-09-07 03:58:15', "(H7,260.782,(r)) (Uranus,320.839,(dp)) (sextile,3')\n(H7,260.782,(r)) (Uranus,320.855,(dr)) (sextile,4')\n(Venus,118.351,(r)) (Moon,148.128,(cp)) (30-semisextile,13')\n(H3,133.122,(r)) (Venus,163.141,(cp)) (30-semisextile,1')", "(Moon,280.265,(r)) (Moon,160.249,(dr)) (trine,1')\n(H9,313.122,(r)) (Uranus,357.959,(dp)) (45-semisquare,10')\n(H9,313.122,(r)) (Mean_Node,103.034,(dp)) (150-quincunx,5')\n(H9,313.122,(r)) (Uranus,358.022,(dr)) (45-semisquare,6')\n(H9,313.122,(r)) (Mean_Node,103.120,(dr)) (150-quincunx,0')\n(H10,342.894,(r)) (Mean_Node,103.034,(dp)) (trine,8')\n(H10,342.894,(r)) (Mean_Node,103.120,(dr)) (trine,14')\n(Venus,118.351,(r)) (Moon,28.285,(cr)) (square,4')", "(Moon,280.265,(r)) (Moon,160.249,(dr)) (trine,1')\n(H1,80.782,(r)) (Saturn,230.971,(dr)) (150-quincunx,11')\n(H4,162.894,(r)) (Mean_Node,103.034,(dp)) (sextile,8')\n(H4,162.894,(r)) (Mean_Node,103.120,(dr)) (sextile,14')\n(H8,286.528,(r)) (Mars,46.521,(dp)) (trine,0')\n(Venus,118.351,(r)) (Moon,28.285,(cr)) (square,4')", "(Neptune,123.897,(r)) (Moon,3.804,(cp)) (trine,6')\n(H10,342.894,(r)) (Moon,342.552,(cr)) (conjunction,21')", "(Pluto,94.274,(r)) (Moon,94.268,(dp)) (conjunction,0')\n(Saturn,116.903,(r)) (Moon,116.432,(cp)) (conjunction,28')\n(Mean_Node,296.504,(r)) (Moon,116.432,(cp)) (opposition,4')\n(H3,133.122,(r)) (Mars,163.027,(cr)) (30-semisextile,6')\n(H10,342.894,(r)) (Mars,163.027,(cr)) (opposition,8')", "(H1,80.782,(r)) (Venus,200.706,(dr)) (trine,5')\n(H3,133.122,(r)) (Jupiter,342.952,(cr)) (150-quincunx,10')\n(H10,342.894,(r)) (Jupiter,342.886,(cp)) (conjunction,0')\n(H10,342.894,(r)) (Jupiter,342.952,(cr)) (conjunction,3')", '6', '7', "(Venus,118.351,(r)) (Moon,253.436,(dr)) (135-sesquisquare,5')\n(H1,80.782,(r)) (Venus,125.955,(cp)) (45-semisquare,10')\n(H1,80.782,(r)) (Moon,290.534,(cr)) (150-quincunx,15')", "(Jupiter,35.136,(r)) (Moon,79.967,(dp)) (45-semisquare,10')\n(H5,195.987,(r)) (Mars,105.914,(dr)) (square,4')\n(H5,195.987,(r)) (Jupiter,165.872,(cp)) (30-semisextile,7')\n(H5,195.987,(r)) (Venus,196.028,(cr)) (conjunction,2')", '10', "(Sun,164.186,(r)) (Moon,344.186,(dr)) (opposition,0')\n(Mars,208.957,(r)) (Moon,344.186,(dr)) (135-sesquisquare,14')\n(Jupiter,35.136,(r)) (Moon,349.966,(dp)) (45-semisquare,10')\n(H4,162.894,(r)) (Moon,222.903,(cp)) (sextile,1')\n(H5,195.987,(r)) (Pluto,61.210,(cp)) (135-sesquisquare,13')\n(H5,195.987,(r)) (Pluto,61.211,(cr)) (135-sesquisquare,13')", "(H4,162.894,(r)) (Mars,132.826,(dr)) (30-semisextile,4')\n(H1,80.782,(r)) (Mars,80.775,(cp)) (conjunction,0')\n(H1,80.782,(r)) (Moon,306.047,(cr)) (135-sesquisquare,16')", "(Mean_Node,296.504,(r)) (Moon,161.704,(dp)) (135-sesquisquare,12')\n(H5,195.987,(r)) (Moon,45.803,(cr)) (150-quincunx,11')", "(H1,80.782,(r)) (Venus,140.867,(cp)) (sextile,5')\n(H4,162.894,(r)) (Mars,118.079,(cr)) (45-semisquare,11')\n(H5,195.987,(r)) (Mean_Node,106.182,(cp)) (square,12')", "(Venus,118.351,(r)) (Moon,268.563,(cr)) (150-quincunx,13')", "(Pluto,94.274,(r)) (Moon,229.056,(dp)) (135-sesquisquare,13')\n(Pluto,94.274,(r)) (Moon,334.512,(cr)) (trine,14')\n(H8,286.528,(r)) (Uranus,46.588,(cp)) (trine,4')\n(H8,286.528,(r)) (Uranus,46.589,(cr)) (trine,4')", 55]
['1916-09-06 23:15:44', "(Venus,118.170,(r)) (Moon,58.195,(dr)) (sextile,2')\n(Pluto,94.272,(r)) (Moon,64.294,(dp)) (30-semisextile,1')\n(H3,66.996,(r)) (Mean_Node,277.161,(dp)) (150-quincunx,10')\n(H3,66.996,(r)) (Mean_Node,277.185,(dr)) (150-quincunx,11')\n(H7,184.132,(r)) (Moon,64.294,(dp)) (trine,10')\n(H7,184.132,(r)) (Mercury,183.921,(dp)) (conjunction,13')\n(H7,184.132,(r)) (Mercury,183.992,(dr)) (conjunction,8')\n(Mercury,190.659,(r)) (Moon,145.569,(cp)) (45-semisquare,5')\n(H4,93.126,(r)) (Pluto,93.185,(cp)) (conjunction,4')\n(H4,93.126,(r)) (Mercury,183.246,(cr)) (square,7')\n(H4,93.126,(r)) (Pluto,93.181,(cr)) (conjunction,3')\n(H7,184.132,(r)) (Mercury,183.946,(cp)) (conjunction,11')", "(H1,4.132,(r)) (Jupiter,319.339,(dp)) (45-semisquare,12')\n(H9,246.996,(r)) (Jupiter,97.008,(cp)) (150-quincunx,1')\n(H9,246.996,(r)) (Jupiter,96.770,(cr)) (150-quincunx,14')", "(Saturn,116.883,(r)) (Moon,177.146,(dp)) (sextile,16')\n(H8,218.037,(r)) (Moon,157.921,(dr)) (sextile,7')", "(Sun,163.996,(r)) (Moon,223.889,(dp)) (sextile,6')\n(H9,246.996,(r)) (Venus,127.027,(dr)) (trine,2')", "(Uranus,316.695,(r)) (Moon,91.541,(dp)) (135-sesquisquare,9')", '5', "(Saturn,116.883,(r)) (Moon,356.965,(dr)) (trine,5')", "(Pluto,94.272,(r)) (Moon,139.101,(dp)) (45-semisquare,10')\n(H5,119.592,(r)) (Moon,119.582,(dr)) (conjunction,1')\n(H7,184.132,(r)) (Moon,139.101,(dp)) (45-semisquare,2')\n(H10,273.126,(r)) (Jupiter,303.065,(cp)) (30-semisextile,4')\n(H10,273.126,(r)) (Jupiter,303.176,(cr)) (30-semisextile,3')", "(Mercury,190.659,(r)) (Moon,250.756,(dr)) (sextile,6')\n(H1,4.132,(r)) (Venus,124.287,(cr)) (trine,9')", "(Mercury,190.659,(r)) (Moon,130.938,(cp)) (sextile,17')\n(Venus,118.170,(r)) (Moon,118.632,(cr)) (conjunction,28')\n(Mars,208.827,(r)) (Moon,118.632,(cr)) (square,12')\n(H4,93.126,(r)) (Pluto,63.115,(cp)) (30-semisextile,1')\n(H4,93.126,(r)) (Pluto,63.116,(cr)) (30-semisextile,1')", "(Mercury,190.659,(r)) (Moon,220.825,(dp)) (30-semisextile,10')", "(Mean_Node,296.515,(r)) (Moon,341.812,(dr)) (45-semisquare,18')\n(Mercury,190.659,(r)) (Moon,220.600,(cp)) (30-semisextile,4')\n(Jupiter,35.145,(r)) (Moon,214.925,(cr)) (opposition,13')", "(H4,93.126,(r)) (Moon,303.115,(cr)) (150-quincunx,1')", '13', "(Mars,208.827,(r)) (Moon,268.674,(dp)) (sextile,9')\n(Moon,277.451,(r)) (Moon,307.205,(cp)) (30-semisextile,15')\n(H1,4.132,(r)) (Venus,139.062,(cr)) (135-sesquisquare,4')", "(Venus,118.170,(r)) (Moon,298.254,(dp)) (opposition,5')\n(H7,184.132,(r)) (Mean_Node,273.986,(dp)) (square,9')\n(H7,184.132,(r)) (Mean_Node,274.087,(dr)) (square,3')\n(H8,218.037,(r)) (Mars,38.009,(dr)) (opposition,2')\n(H5,119.592,(r)) (Mercury,149.519,(cp)) (30-semisextile,4')\n(H5,119.592,(r)) (Mercury,149.813,(cr)) (30-semisextile,13')\n(H7,184.132,(r)) (Mean_Node,318.943,(cp)) (135-sesquisquare,11')\n(H7,184.132,(r)) (Mean_Node,319.044,(cr)) (135-sesquisquare,5')", "(Uranus,316.695,(r)) (Moon,226.438,(dp)) (square,15')", 50]
['1916-09-06 13:09:59', '0', "(H1,210.891,(r)) (Mercury,150.847,(dr)) (sextile,3')\n(H9,89.652,(r)) (Mercury,149.799,(cp)) (sextile,9')", "(H8,60.426,(r)) (Pluto,105.639,(dp)) (45-semisquare,13')\n(H8,60.426,(r)) (Pluto,105.615,(dr)) (45-semisquare,11')", "(Jupiter,35.162,(r)) (Moon,335.057,(cr)) (sextile,6')\n(H10,119.400,(r)) (Venus,179.207,(cp)) (sextile,12')", "(H1,210.891,(r)) (Mercury,151.001,(dp)) (sextile,7')\n(H1,210.891,(r)) (Saturn,30.748,(dp)) (opposition,9')\n(H1,210.891,(r)) (Saturn,30.774,(dr)) (opposition,7')\n(H3,269.652,(r)) (Mercury,149.870,(dr)) (trine,13')\n(H1,210.891,(r)) (Mercury,150.694,(cp)) (sextile,12')\n(H3,269.652,(r)) (Mercury,149.552,(cr)) (trine,6')\n(H10,119.400,(r)) (Mercury,149.552,(cr)) (30-semisextile,9')", "(Moon,271.446,(r)) (Moon,1.414,(dp)) (square,2')\n(Uranus,316.709,(r)) (Moon,1.414,(dp)) (45-semisquare,18')\n(H3,269.652,(r)) (Mercury,179.542,(dr)) (square,7')\n(H10,119.400,(r)) (Mercury,179.542,(dr)) (sextile,9')\n(Uranus,316.709,(r)) (Moon,196.693,(cp)) (trine,1')", "(H1,210.891,(r)) (Mercury,180.812,(dp)) (30-semisextile,5')", "(Jupiter,35.162,(r)) (Moon,80.121,(cp)) (45-semisquare,2')\n(H5,330.381,(r)) (Moon,60.161,(cr)) (square,13')\n(H10,119.400,(r)) (Venus,209.576,(cp)) (square,11')", "(Jupiter,35.162,(r)) (Moon,245.051,(dr)) (150-quincunx,7')\n(H4,299.400,(r)) (Moon,299.445,(cp)) (conjunction,3')", "(Mean_Node,296.537,(r)) (Moon,71.424,(dp)) (135-sesquisquare,7')\n(H4,299.400,(r)) (Venus,164.571,(dr)) (135-sesquisquare,10')\n(H5,330.381,(r)) (Mars,105.528,(dr)) (135-sesquisquare,9')\n(H1,210.891,(r)) (Jupiter,165.739,(cp)) (45-semisquare,9')\n(H5,330.381,(r)) (Venus,195.283,(cr)) (135-sesquisquare,6')", "(Jupiter,35.162,(r)) (Moon,214.949,(dp)) (opposition,13')\n(Uranus,316.709,(r)) (Moon,346.626,(cp)) (30-semisextile,5')", "(Venus,117.782,(r)) (Moon,342.568,(dp)) (135-sesquisquare,13')\n(Jupiter,35.162,(r)) (Moon,215.665,(cp)) (opposition,30')", "(Pluto,94.267,(r)) (Moon,229.305,(dr)) (135-sesquisquare,2')\n(Mean_Node,296.537,(r)) (Moon,296.861,(cr)) (conjunction,19')\n(H4,299.400,(r)) (Pluto,59.305,(cp)) (trine,6')\n(H4,299.400,(r)) (Pluto,59.308,(cr)) (trine,6')", "(Pluto,94.267,(r)) (Moon,154.396,(dp)) (sextile,8')\n(H1,210.891,(r)) (Mean_Node,300.873,(dp)) (square,1')\n(H1,210.891,(r)) (Mean_Node,300.912,(dr)) (square,1')\n(H4,299.400,(r)) (Mercury,164.466,(dp)) (135-sesquisquare,4')", "(H1,210.891,(r)) (Venus,210.924,(dp)) (conjunction,2')\n(Moon,271.446,(r)) (Moon,301.695,(cp)) (30-semisextile,15')", "(H5,330.381,(r)) (Moon,270.577,(dr)) (sextile,12')\n(H8,60.426,(r)) (Moon,270.577,(dr)) (150-quincunx,9')\n(H4,299.400,(r)) (Mercury,149.538,(cp)) (150-quincunx,8')", "(H8,60.426,(r)) (Venus,210.237,(dp)) (150-quincunx,11')\n(H8,60.426,(r)) (Pluto,195.353,(dp)) (135-sesquisquare,4')\n(H8,60.426,(r)) (Pluto,195.350,(dr)) (135-sesquisquare,5')\n(Mean_Node,296.537,(r)) (Moon,326.517,(cp)) (30-semisextile,1')\n(H4,299.400,(r)) (Neptune,344.602,(cp)) (45-semisquare,12')\n(H4,299.400,(r)) (Neptune,344.604,(cr)) (45-semisquare,12')", 52]
['1916-09-06 19:28:55', "(H3,7.384,(r)) (Mean_Node,277.169,(dp)) (square,13')\n(H3,7.384,(r)) (Mean_Node,277.193,(dr)) (square,11')", "(Sun,163.843,(r)) (Moon,43.707,(cp)) (trine,8')", "(Sun,163.843,(r)) (Moon,43.707,(cp)) (trine,8')\n(H4,38.942,(r)) (Pluto,83.722,(cp)) (45-semisquare,13')\n(H4,38.942,(r)) (Pluto,83.711,(cr)) (45-semisquare,14')", "(H10,218.942,(r)) (Venus,128.888,(dp)) (square,3')\n(H10,218.942,(r)) (Mercury,189.137,(dr)) (30-semisextile,12')\n(H1,299.433,(r)) (Moon,359.432,(cp)) (sextile,0')", '4', "(Sun,163.843,(r)) (Moon,193.882,(cr)) (30-semisextile,2')", "(H1,299.433,(r)) (Mercury,179.520,(dr)) (trine,5')\n(Mercury,190.490,(r)) (Moon,190.498,(cr)) (conjunction,0')\n(H10,218.942,(r)) (Neptune,69.058,(cp)) (150-quincunx,7')\n(H10,218.942,(r)) (Pluto,68.857,(cp)) (150-quincunx,5')\n(H10,218.942,(r)) (Neptune,69.055,(cr)) (150-quincunx,7')\n(H10,218.942,(r)) (Pluto,68.856,(cr)) (150-quincunx,5')", "(Venus,118.024,(r)) (Moon,117.674,(dr)) (conjunction,21')\n(Uranus,316.700,(r)) (Moon,137.152,(dp)) (opposition,27')\n(H5,66.648,(r)) (Pluto,126.475,(dp)) (sextile,10')\n(H5,66.648,(r)) (Pluto,126.437,(dr)) (sextile,13')\n(H10,218.942,(r)) (Mars,174.105,(dp)) (45-semisquare,10')", "(H4,38.942,(r)) (Mercury,188.964,(dp)) (150-quincunx,1')\n(H4,38.942,(r)) (Uranus,68.830,(dp)) (30-semisextile,7')\n(H4,38.942,(r)) (Uranus,68.822,(dr)) (30-semisextile,7')\n(H4,38.942,(r)) (Mean_Node,98.773,(cr)) (sextile,10')\n(H5,66.648,(r)) (Mercury,186.759,(cp)) (trine,7')", "(Mean_Node,296.523,(r)) (Moon,116.313,(cr)) (opposition,13')", "(H9,187.384,(r)) (Mean_Node,37.561,(dp)) (150-quincunx,11')\n(H9,187.384,(r)) (Mean_Node,37.599,(dr)) (150-quincunx,13')\n(H10,218.942,(r)) (Moon,218.634,(dp)) (conjunction,18')\n(Mercury,190.490,(r)) (Moon,340.513,(cr)) (150-quincunx,1')\n(Jupiter,35.151,(r)) (Moon,350.199,(cp)) (45-semisquare,3')", "(H5,66.648,(r)) (Venus,201.485,(dp)) (135-sesquisquare,10')\n(H4,38.942,(r)) (Moon,218.752,(cp)) (opposition,11')\n(H4,38.942,(r)) (Venus,159.129,(cr)) (trine,11')", "(Mercury,190.490,(r)) (Moon,250.394,(dp)) (sextile,6')\n(Pluto,94.270,(r)) (Moon,319.433,(cp)) (135-sesquisquare,10')\n(H1,299.433,(r)) (Pluto,59.304,(cp)) (trine,8')\n(H1,299.433,(r)) (Pluto,59.307,(cr)) (trine,8')", "(Mars,208.722,(r)) (Moon,148.829,(dr)) (sextile,6')\n(Moon,275.198,(r)) (Moon,50.248,(cp)) (135-sesquisquare,3')", "(Mercury,190.490,(r)) (Moon,250.317,(dr)) (sextile,10')\n(Mean_Node,296.523,(r)) (Moon,266.632,(dp)) (30-semisextile,7')\n(H5,66.648,(r)) (Jupiter,336.709,(dp)) (square,4')\n(H5,66.648,(r)) (Mean_Node,126.761,(dp)) (sextile,7')\n(H5,66.648,(r)) (Jupiter,336.875,(dr)) (square,14')\n(H5,66.648,(r)) (Mean_Node,126.829,(dr)) (sextile,11')\n(Moon,275.198,(r)) (Moon,305.146,(cp)) (30-semisextile,3')\n(Jupiter,35.151,(r)) (Moon,305.146,(cp)) (square,0')\n(H4,38.942,(r)) (Jupiter,84.146,(cp)) (45-semisquare,12')\n(H4,38.942,(r)) (Jupiter,83.996,(cr)) (45-semisquare,3')", "(Neptune,123.887,(r)) (Moon,273.692,(dr)) (150-quincunx,12')\n(Mean_Node,296.523,(r)) (Moon,296.362,(dp)) (conjunction,10')\n(H7,119.433,(r)) (Mercury,149.523,(cp)) (30-semisextile,5')", "(H1,299.433,(r)) (Neptune,344.595,(cp)) (45-semisquare,10')\n(H1,299.433,(r)) (Moon,329.280,(cr)) (30-semisextile,9')\n(H1,299.433,(r)) (Neptune,344.597,(cr)) (45-semisquare,10')", 57]
['1916-09-07 03:01:12', "(H7,247.041,(r)) (Mean_Node,277.152,(dp)) (30-semisextile,7')\n(H7,247.041,(r)) (Mean_Node,277.177,(dr)) (30-semisextile,8')\n(H4,147.741,(r)) (Moon,147.610,(cp)) (conjunction,8')", "(Moon,279.696,(r)) (Moon,159.779,(dr)) (trine,5')\n(H10,327.741,(r)) (Uranus,357.961,(dp)) (30-semisextile,13')\n(H1,67.041,(r)) (Jupiter,97.031,(cp)) (30-semisextile,1')\n(H10,327.741,(r)) (Moon,27.796,(cr)) (sextile,3')", "(Moon,279.696,(r)) (Moon,159.779,(dr)) (trine,5')\n(Mars,208.930,(r)) (Moon,179.004,(dp)) (30-semisextile,4')\n(H4,147.741,(r)) (Uranus,357.961,(dp)) (150-quincunx,13')\n(H4,147.741,(r)) (Moon,27.796,(cr)) (trine,3')", "(H1,67.041,(r)) (Venus,127.213,(dr)) (sextile,10')", "(Neptune,123.896,(r)) (Moon,93.716,(dp)) (30-semisextile,11')\n(Uranus,316.689,(r)) (Moon,106.887,(cr)) (150-quincunx,12')", '5', "(Mars,208.930,(r)) (Moon,358.924,(dr)) (150-quincunx,0')\n(Sun,164.148,(r)) (Moon,194.222,(cr)) (30-semisextile,4')\n(Saturn,116.899,(r)) (Moon,206.812,(cp)) (square,5')", "(H10,327.741,(r)) (Venus,147.521,(dp)) (opposition,13')\n(H7,247.041,(r)) (Moon,67.506,(cr)) (opposition,28')", "(H5,179.919,(r)) (Moon,269.989,(dp)) (square,4')\n(H5,179.919,(r)) (Jupiter,135.148,(dp)) (45-semisquare,14')\n(H5,179.919,(r)) (Jupiter,134.895,(dr)) (45-semisquare,1')\n(H1,67.041,(r)) (Mercury,187.198,(cp)) (trine,9')\n(H1,67.041,(r)) (Pluto,66.932,(cp)) (conjunction,7')\n(H1,67.041,(r)) (Pluto,66.932,(cr)) (conjunction,7')", "(H1,67.041,(r)) (Mercury,157.043,(cp)) (square,0')", "(H10,327.741,(r)) (Uranus,177.612,(cp)) (150-quincunx,8')\n(H10,327.741,(r)) (Uranus,177.568,(cr)) (150-quincunx,10')", "(Sun,164.148,(r)) (Moon,343.707,(dr)) (opposition,26')\n(Mars,208.930,(r)) (Moon,343.707,(dr)) (135-sesquisquare,13')\n(H1,67.041,(r)) (Venus,201.857,(dp)) (135-sesquisquare,11')\n(H5,179.919,(r)) (Mars,120.097,(dr)) (sextile,11')\n(H1,67.041,(r)) (Moon,216.772,(cr)) (150-quincunx,16')", "(H1,67.041,(r)) (Venus,157.227,(dp)) (square,11')", "(Mean_Node,296.506,(r)) (Moon,161.235,(dp)) (135-sesquisquare,16')\n(H1,67.041,(r)) (Uranus,111.961,(dp)) (45-semisquare,5')\n(H1,67.041,(r)) (Uranus,111.930,(dr)) (45-semisquare,7')\n(H1,67.041,(r)) (Jupiter,336.890,(cp)) (square,9')\n(H1,67.041,(r)) (Mean_Node,292.132,(cp)) (135-sesquisquare,5')\n(H1,67.041,(r)) (Jupiter,336.985,(cr)) (square,3')\n(H1,67.041,(r)) (Mean_Node,292.170,(cr)) (135-sesquisquare,8')", "(Sun,164.148,(r)) (Moon,254.277,(dr)) (square,8')\n(H1,67.041,(r)) (Jupiter,336.834,(dr)) (square,12')\n(H1,67.041,(r)) (Mean_Node,126.812,(dr)) (sextile,14')", "(H5,179.919,(r)) (Moon,300.139,(dp)) (trine,13')\n(H7,247.041,(r)) (Venus,202.259,(dr)) (45-semisquare,13')\n(H8,273.486,(r)) (Pluto,183.573,(dp)) (square,5')\n(H8,273.486,(r)) (Pluto,183.504,(dr)) (square,1')\n(Venus,118.314,(r)) (Moon,268.081,(cr)) (150-quincunx,14')\n(H4,147.741,(r)) (Mars,147.613,(cr)) (conjunction,8')\n(H5,179.919,(r)) (Mercury,149.769,(cr)) (30-semisextile,9')", "(H1,67.041,(r)) (Mars,202.143,(dp)) (135-sesquisquare,6')\n(H1,67.041,(r)) (Mars,202.095,(dr)) (135-sesquisquare,3')\n(H8,273.486,(r)) (Moon,228.526,(dp)) (45-semisquare,2')\n(Neptune,123.896,(r)) (Moon,333.926,(cr)) (150-quincunx,2')\n(H8,273.486,(r)) (Venus,138.677,(cp)) (135-sesquisquare,11')\n(H8,273.486,(r)) (Pluto,33.541,(cp)) (trine,3')\n(H8,273.486,(r)) (Venus,138.587,(cr)) (135-sesquisquare,6')\n(H8,273.486,(r)) (Pluto,33.541,(cr)) (trine,3')", 59]
