['Time', '0: 2017-09-22', '1: 2024-10-25', '2: 2018-02-19', '3: 2021-04-06', '4: 2016-05-26', '5: 2022-01-01', 'Count']
['2014-03-24 01:46:31', "(H10,238.386,(r)) (Mars,208.358,(d)) (30-semisextile,2')", "(H3,26.369,(r)) (Venus,326.317,(d)) (sextile,3')\n(H10,238.386,(r)) (Sun,13.432,(d)) (135-sesquisquare,3')", '2', "(Neptune,336.089,(r)) (H1,335.930,(d)) (conjunction,10')\n(H1,329.805,(r)) (Neptune,329.844,(c)) (conjunction,2')", '4', "(Mercury,337.678,(r)) (H6,127.642,(d)) (150-quincunx,2')\n(H6,120.774,(r)) (Mercury,330.705,(c)) (150-quincunx,4')", 94]
['2014-03-24 01:07:59', "(Mars,204.380,(r)) (H1,324.357,(d)) (trine,1')", '1', "(Moon,272.970,(r)) (H7,137.990,(c)) (135-sesquisquare,1')", "(H4,48.937,(r)) (Uranus,19.007,(d)) (30-semisextile,4')\n(H8,167.123,(r)) (Mars,212.064,(d)) (45-semisquare,4')\n(Uranus,11.941,(r)) (H4,41.985,(c)) (30-semisextile,3')", "(H8,167.123,(r)) (Mean_Node,212.084,(d)) (45-semisquare,2')", "(H6,112.166,(r)) (Mean_Node,202.120,(c)) (square,3')", 72]
['2014-03-24 01:42:47', '0', '1', '2', "(Neptune,336.089,(r)) (H12,306.146,(d)) (30-semisextile,3')\n(Saturn,232.938,(r)) (H1,322.904,(c)) (square,2')", '4', '5', 26]
['2014-03-24 01:14:55', '0', '1', "(Venus,316.795,(r)) (H4,46.832,(c)) (square,2')", "(Mean_Node,209.923,(r)) (H12,299.895,(d)) (square,2')\n(Venus,316.795,(r)) (H1,316.824,(c)) (conjunction,2')\n(H1,322.861,(r)) (Mean_Node,202.891,(c)) (trine,2')", "(Saturn,232.938,(r)) (H10,232.766,(d)) (conjunction,10')\n(H1,322.861,(r)) (Mars,202.911,(c)) (trine,3')", '5', 122]
['2014-03-24 01:16:23', "(Mars,204.379,(r)) (H10,234.404,(d)) (30-semisextile,1')", '1', "(Mercury,337.650,(r)) (H3,22.688,(d)) (45-semisquare,2')\n(H7,143.182,(r)) (Uranus,8.223,(c)) (135-sesquisquare,2')", "(H1,323.182,(r)) (Venus,323.148,(d)) (conjunction,2')", "(H10,231.020,(r)) (Moon,275.995,(d)) (45-semisquare,1')", "(Pluto,283.456,(r)) (H10,238.493,(d)) (45-semisquare,2')\n(Mean_Node,209.923,(r)) (H1,329.903,(d)) (trine,1')\n(Pluto,283.456,(r)) (H10,223.377,(c)) (sextile,5')", 101]
['2014-03-24 01:51:20', '0', '1', "(H7,150.864,(r)) (Uranus,15.816,(d)) (135-sesquisquare,3')\n(H4,59.545,(r)) (Sun,359.620,(c)) (sextile,5')", "(Neptune,336.090,(r)) (H4,66.159,(d)) (square,4')\n(Saturn,232.938,(r)) (H4,52.810,(c)) (opposition,8')", "(H1,330.864,(r)) (Pluto,285.778,(d)) (45-semisquare,5')\n(Mean_Node,209.922,(r)) (H12,299.935,(c)) (square,1')", "(Mercury,337.682,(r)) (H1,337.643,(d)) (conjunction,2')\n(H1,330.864,(r)) (Saturn,240.845,(d)) (square,1')\n(H1,330.864,(r)) (Mercury,330.714,(c)) (conjunction,9')", 147]
['2014-03-24 00:19:04', '0', '1', "(Moon,272.493,(r)) (H4,32.557,(c)) (trine,4')\n(H7,130.706,(r)) (Pluto,280.706,(c)) (150-quincunx,0')", "(Venus,316.756,(r)) (H1,316.710,(d)) (conjunction,3')", "(H8,155.546,(r)) (Sun,5.458,(d)) (150-quincunx,5')", '5', 59]
['2014-03-24 01:06:56', '0', '1', '2', '3', "(Saturn,232.939,(r)) (H1,322.982,(d)) (square,3')\n(Mean_Node,209.923,(r)) (H8,164.836,(c)) (45-semisquare,5')", '5', 28]
['2014-03-24 00:31:20', '0', "(H1,313.364,(r)) (Moon,283.321,(d)) (30-semisextile,3')", "(Venus,316.765,(r)) (H7,136.704,(d)) (opposition,4')\n(H3,7.414,(r)) (Moon,277.381,(d)) (square,2')\n(H3,7.414,(r)) (Jupiter,97.400,(c)) (square,1')", "(Venus,316.765,(r)) (H4,46.694,(d)) (square,4')\n(Mean_Node,209.925,(r)) (H8,164.984,(d)) (45-semisquare,4')\n(Moon,272.613,(r)) (H4,32.550,(c)) (trine,4')", "(Uranus,11.939,(r)) (H10,221.873,(d)) (150-quincunx,4')", "(H1,313.364,(r)) (Neptune,343.302,(d)) (30-semisextile,4')\n(H6,103.971,(r)) (Neptune,328.998,(c)) (135-sesquisquare,2')", 129]
['2014-03-24 00:20:23', "(H1,310.995,(r)) (Mercury,341.002,(d)) (30-semisextile,0')\n(H1,310.995,(r)) (Pluto,281.063,(c)) (30-semisextile,4')", "(Moon,272.506,(r)) (H10,227.454,(d)) (45-semisquare,3')", "(Mercury,337.597,(r)) (H7,127.670,(c)) (150-quincunx,4')", "(H4,36.888,(r)) (Mean_Node,217.030,(d)) (opposition,9')\n(H1,310.995,(r)) (Venus,310.922,(c)) (conjunction,4')", "(Pluto,283.456,(r)) (H12,283.438,(d)) (conjunction,1')\n(H8,155.859,(r)) (Moon,275.790,(d)) (trine,4')", "(H1,310.995,(r)) (Sun,11.044,(d)) (sextile,3')", 126]
