['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 06:48:56', "(Neptune,305.682,(r)) (H4,125.518,(d)) (opposition,9.86')", '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', "(Pluto,252.897,(r)) (POF,72.854,(c)) (opposition,2.61')", '13', '14', '15', 2]
['2000-03-11 10:25:59', '0', '1', '2', '3', "(H9,318.964,(r)) (Neptune,319.015,(d)) (conjunction,3.08')\n(Neptune,305.687,(r)) (H9,305.785,(c)) (conjunction,5.91')\n(H9,318.964,(r)) (Mercury,318.830,(c)) (conjunction,8.03')", '5', '6', '7', "(H10,353.389,(r)) (Pluto,263.327,(d)) (square,3.75')", "(Jupiter,34.735,(r)) (H10,334.820,(c)) (sextile,5.12')", '10', '11', "(H10,353.389,(r)) (Mercury,353.535,(d)) (conjunction,8.75')", '13', '14', "(H1,73.607,(r)) (Jupiter,13.587,(c)) (sextile,1.23')", 7]
['2000-03-11 08:15:44', '0', '1', '2', "(Moon,55.623,(r)) (H1,55.591,(d)) (conjunction,1.90')", '4', '5', "(Mercury,333.431,(r)) (H7,213.343,(c)) (trine,5.27')\n(H4,138.847,(r)) (Mercury,318.821,(c)) (opposition,1.55')", '7', "(Neptune,305.684,(r)) (POF,125.707,(d)) (opposition,1.38')\n(POF,109.950,(r)) (Neptune,290.122,(c)) (opposition,10.28')", '9', '10', "(Mean_Node,121.342,(r)) (H4,121.353,(c)) (conjunction,0.69')", '12', '13', "(Mercury,333.431,(r)) (H1,63.524,(d)) (square,5.59')", '15', 7]
['2000-03-11 08:47:52', "(Neptune,305.685,(r)) (POF,125.561,(d)) (opposition,7.43')\n(POF,117.199,(r)) (Neptune,297.321,(c)) (opposition,7.36')", '1', '2', '3', '4', "(Saturn,43.327,(r)) (H10,313.306,(c)) (square,1.27')", '6', "(Pluto,252.897,(r)) (H4,162.989,(d)) (square,5.53')", "(H10,327.122,(r)) (Saturn,57.117,(d)) (square,0.31')", '9', '10', '11', '12', "(H4,147.122,(r)) (Neptune,327.266,(d)) (opposition,8.65')", "(Uranus,318.701,(r)) (POF,138.746,(d)) (opposition,2.70')", "(Mercury,333.423,(r)) (H1,33.346,(c)) (sextile,4.63')\n(POF,117.199,(r)) (Uranus,297.186,(c)) (opposition,0.73')", 9]
['2000-03-11 08:08:48', '0', '1', "(H1,43.888,(r)) (Jupiter,43.845,(d)) (conjunction,2.60')\n(Jupiter,34.715,(r)) (H1,34.861,(c)) (conjunction,8.75')\n(Jupiter,34.715,(r)) (H3,94.696,(c)) (sextile,1.15')\n(H10,317.087,(r)) (Venus,317.219,(c)) (conjunction,7.94')", "(Mercury,333.433,(r)) (H9,273.355,(c)) (sextile,4.65')\n(H9,284.381,(r)) (Moon,44.295,(c)) (trine,5.17')", '4', '5', '6', "(H8,253.196,(r)) (Venus,343.208,(d)) (square,0.71')", "(Mean_Node,121.342,(r)) (H10,301.325,(c)) (opposition,1.06')", "(Mean_Node,121.342,(r)) (H3,121.173,(d)) (conjunction,10.18')", '10', "(H3,104.381,(r)) (Mean_Node,104.402,(c)) (conjunction,1.23')", "(H1,43.888,(r)) (Mercury,313.889,(c)) (square,0.03')", '13', '14', '15', 11]
['2000-03-11 13:13:11', '0', '1', '2', '3', '4', '5', '6', '7', "(Mars,21.489,(r)) (H10,21.496,(c)) (conjunction,0.46')", '9', '10', '11', "(POF,180.105,(r)) (Mars,0.283,(c)) (opposition,10.68')", '13', '14', "(H9,6.851,(r)) (Mercury,306.765,(c)) (sextile,5.19')", 3]
['2000-03-11 13:08:39', '0', '1', '2', "(H9,5.521,(r)) (Sun,5.549,(d)) (conjunction,1.65')", '4', '5', "(Mars,21.486,(r)) (H3,201.563,(d)) (opposition,4.59')", "(H8,328.574,(r)) (Saturn,58.512,(d)) (square,3.71')\n(Mars,21.486,(r)) (H4,201.337,(c)) (opposition,8.93')", '8', "(Jupiter,34.758,(r)) (H1,94.765,(c)) (sextile,0.47')", '10', '11', '12', '13', '14', "(POF,178.889,(r)) (Mercury,358.812,(d)) (opposition,4.63')\n(Mercury,333.357,(r)) (POF,153.214,(c)) (opposition,8.55')", 7]
['2000-03-11 09:21:04', '0', '1', "(H3,122.030,(r)) (Sun,2.036,(d)) (trine,0.37')", '3', '4', '5', '6', '7', '8', '9', '10', '11', "(Saturn,43.329,(r)) (H1,43.190,(c)) (conjunction,8.32')", '13', '14', '15', 2]
['2000-03-11 10:28:31', '0', '1', '2', "(H9,319.648,(r)) (Mercury,319.604,(c)) (conjunction,2.64')", "(Mercury,333.397,(r)) (H9,333.530,(d)) (conjunction,7.98')", '5', '6', '7', "(H8,285.433,(r)) (Mean_Node,105.499,(c)) (opposition,3.94')", "(H3,139.648,(r)) (Mean_Node,139.794,(d)) (conjunction,8.80')", '10', "(Mean_Node,121.337,(r)) (POF,121.510,(c)) (conjunction,10.39')\n(Mean_Node,121.337,(r)) (H3,121.252,(c)) (conjunction,5.13')", '12', '13', '14', '15', 6]
['2000-03-11 06:40:16', '0', "(H7,204.443,(r)) (Mercury,324.442,(c)) (trine,0.09')", '2', "(Jupiter,34.702,(r)) (H1,34.847,(d)) (conjunction,8.68')\n(Jupiter,34.702,(r)) (H9,274.681,(d)) (trine,1.27')", '4', '5', '6', '7', '8', '9', '10', '11', '12', "(H7,204.443,(r)) (Saturn,24.315,(c)) (opposition,7.72')", '14', '15', 4]
['2000-03-11 13:49:35', '0', "(Venus,327.643,(r)) (H3,207.597,(d)) (trine,2.78')", '2', "(Moon,58.871,(r)) (H10,59.005,(d)) (conjunction,8.04')\n(H10,47.434,(r)) (Jupiter,47.471,(d)) (conjunction,2.21')\n(H9,17.462,(r)) (Mercury,317.466,(c)) (sextile,0.25')", "(Jupiter,34.764,(r)) (H10,34.669,(c)) (conjunction,5.69')\n(H10,47.434,(r)) (Moon,47.446,(c)) (conjunction,0.71')", '5', "(Uranus,318.712,(r)) (H7,318.684,(d)) (conjunction,1.68')\n(Mercury,333.347,(r)) (H4,213.363,(c)) (trine,0.97')\n(Mean_Node,121.330,(r)) (H3,181.334,(c)) (sextile,0.26')", '7', "(Sun,351.298,(r)) (POF,171.176,(c)) (opposition,7.31')", '9', '10', '11', '12', '13', '14', '15', 10]
['2000-03-11 07:46:39', '0', '1', '2', '3', "(Sun,351.046,(r)) (H9,291.097,(d)) (sextile,3.03')", '5', "(Sun,351.046,(r)) (H7,231.051,(d)) (trine,0.32')", '7', '8', '9', '10', '11', '12', '13', "(Mars,21.320,(r)) (H10,291.243,(c)) (square,4.59')", '15', 3]
['2000-03-11 10:23:51', '0', "(H3,138.389,(r)) (Venus,318.429,(c)) (opposition,2.39')", '2', '3', "(POF,138.854,(r)) (Mercury,318.851,(c)) (opposition,0.15')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', 2]
['2000-03-11 06:30:00', '0', "(Mean_Node,121.346,(r)) (H4,121.425,(d)) (conjunction,4.73')\n(H4,112.945,(r)) (Mean_Node,112.943,(c)) (conjunction,0.10')", '2', '3', '4', '5', "(H7,202.161,(r)) (Jupiter,22.143,(c)) (opposition,1.12')", '7', '8', '9', '10', '11', '12', '13', "(Saturn,43.318,(r)) (H10,313.328,(d)) (square,0.63')", '15', 4]
['2000-03-11 14:18:40', "(Mean_Node,121.329,(r)) (H7,301.438,(c)) (opposition,6.56')", '1', '2', '3', '4', '5', '6', "(H1,130.887,(r)) (Venus,310.819,(c)) (opposition,4.06')", '8', "(H1,130.887,(r)) (Mercury,310.867,(c)) (opposition,1.15')", '10', '11', "(Neptune,305.691,(r)) (H10,35.639,(c)) (square,3.14')", '13', "(Uranus,318.713,(r)) (H9,48.678,(d)) (square,2.06')\n(H9,25.786,(r)) (Uranus,295.706,(c)) (square,4.82')", "(H1,130.887,(r)) (Jupiter,10.905,(c)) (trine,1.11')", 7]
['2000-03-11 08:50:07', '0', "(Uranus,318.701,(r)) (H4,138.574,(c)) (opposition,7.63')", '2', '3', '4', '5', '6', '7', '8', '9', '10', "(H3,114.340,(r)) (Pluto,234.338,(c)) (trine,0.11')", '12', "(H7,232.842,(r)) (Mean_Node,142.839,(d)) (square,0.16')", "(H10,327.713,(r)) (Neptune,327.565,(d)) (conjunction,8.90')\n(H9,294.340,(r)) (Saturn,24.256,(c)) (square,5.02')", "(H9,294.340,(r)) (Jupiter,54.364,(d)) (trine,1.45')", 6]
['2000-03-11 05:36:39', '0', '1', "(Uranus,318.694,(r)) (H3,78.763,(d)) (trine,4.11')", '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', 1]
['2000-03-11 10:11:59', '0', "(H7,250.551,(r)) (Mean_Node,130.598,(d)) (trine,2.84')", "(Venus,327.457,(r)) (POF,147.394,(d)) (opposition,3.76')", '3', '4', '5', "(Jupiter,34.733,(r)) (H4,154.736,(c)) (trine,0.18')", '7', '8', '9', '10', '11', '12', '13', '14', '15', 3]
['2000-03-11 09:24:39', '0', "(H3,122.939,(r)) (Moon,62.997,(d)) (sextile,3.46')", '2', '3', "(Uranus,318.702,(r)) (POF,138.585,(d)) (opposition,7.04')", '5', "(H4,156.823,(r)) (Sun,336.662,(c)) (opposition,9.70')", '7', '8', "(Uranus,318.702,(r)) (H10,318.864,(c)) (conjunction,9.71')", "(Uranus,318.702,(r)) (H10,318.845,(c)) (conjunction,8.55')", '11', '12', '13', '14', "(POF,125.476,(r)) (Venus,305.448,(c)) (opposition,1.66')", 6]
['2000-03-11 11:59:36', '0', '1', "(H3,165.272,(r)) (Jupiter,45.230,(d)) (trine,2.52')\n(Mercury,333.374,(r)) (H3,153.409,(c)) (opposition,2.13')", '3', '4', '5', "(Mercury,333.374,(r)) (H4,213.457,(d)) (trine,4.99')", '7', "(Neptune,305.688,(r)) (H10,35.676,(d)) (square,0.73')", '9', '10', "(Uranus,318.708,(r)) (H7,258.678,(c)) (sextile,1.76')", "(POF,161.297,(r)) (Uranus,341.334,(d)) (opposition,2.19')", '13', '14', '15', 6]
['2000-03-11 12:58:31', '0', "(Pluto,252.898,(r)) (H3,192.935,(d)) (sextile,2.24')", '2', '3', '4', '5', "(Uranus,318.710,(r)) (H3,198.650,(d)) (trine,3.62')\n(H7,289.090,(r)) (Jupiter,49.082,(d)) (trine,0.49')", '7', '8', '9', '10', '11', '12', '13', '14', '15', 3]
['2000-03-11 14:36:56', '0', '1', '2', '3', '4', '5', '6', "(H4,239.054,(r)) (Pluto,239.230,(c)) (conjunction,10.55')", "(Saturn,43.350,(r)) (H10,43.311,(c)) (conjunction,2.33')", '9', '10', "(H4,239.054,(r)) (Uranus,299.115,(c)) (sextile,3.65')", '12', "(Pluto,252.898,(r)) (H7,342.964,(d)) (square,3.95')", '14', '15', 4]
['2000-03-11 15:16:47', '0', '1', '2', '3', '4', '5', '6', '7', "(H1,148.732,(r)) (Pluto,238.809,(c)) (square,4.58')", "(Moon,59.720,(r)) (H3,239.721,(d)) (opposition,0.04')", '10', '11', '12', '13', '14', '15', 2]
['2000-03-11 09:29:20', '0', '1', '2', "(Uranus,318.702,(r)) (POF,138.879,(d)) (opposition,10.60')", '4', "(Pluto,252.897,(r)) (H1,73.042,(d)) (opposition,8.67')", "(Uranus,318.702,(r)) (H3,138.564,(d)) (opposition,8.33')", '7', '8', '9', "(Mars,21.373,(r)) (H12,21.316,(c)) (conjunction,3.40')", "(H4,158.069,(r)) (Uranus,338.083,(d)) (opposition,0.88')", '12', "(Saturn,43.330,(r)) (H7,223.385,(c)) (opposition,3.30')", "(Saturn,43.330,(r)) (H1,43.162,(c)) (conjunction,10.04')", "(Venus,327.420,(r)) (H9,327.348,(d)) (conjunction,4.31')", 8]
['2000-03-11 15:20:47', '0', "(H3,222.925,(r)) (Mercury,342.883,(d)) (trine,2.51')\n(Mercury,333.325,(r)) (H3,213.262,(c)) (trine,3.75')\n(Uranus,318.715,(r)) (H7,318.852,(c)) (conjunction,8.22')", "(Moon,59.759,(r)) (H10,59.665,(c)) (conjunction,5.65')", '3', '4', '5', "(Venus,327.722,(r)) (H3,207.752,(c)) (trine,1.84')", "(Mars,21.555,(r)) (POF,201.521,(c)) (opposition,1.99')", "(Sun,351.361,(r)) (H1,171.443,(d)) (opposition,4.95')", '9', '10', "(H4,249.503,(r)) (Mercury,309.451,(c)) (sextile,3.12')", '12', '13', '14', '15', 8]
['2000-03-11 15:00:31', "(Saturn,43.352,(r)) (H7,313.383,(c)) (square,1.91')", '1', '2', '3', "(H10,64.709,(r)) (Uranus,304.747,(c)) (trine,2.30')", '5', "(Sun,351.347,(r)) (H4,231.346,(c)) (trine,0.06')", "(Neptune,305.692,(r)) (H1,125.739,(c)) (opposition,2.80')\n(H8,3.495,(r)) (Mars,3.598,(c)) (conjunction,6.21')", '8', '9', '10', '11', '12', '13', '14', '15', 5]
['2000-03-11 14:01:28', '0', '1', '2', '3', "(POF,193.627,(r)) (Venus,313.662,(c)) (trine,2.09')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', "(H1,125.946,(r)) (Mercury,306.003,(c)) (opposition,3.41')", 2]
['2000-03-11 10:47:11', '0', "(Jupiter,34.738,(r)) (H3,154.658,(d)) (trine,4.74')", "(Venus,327.487,(r)) (H1,87.538,(d)) (trine,3.04')\n(H3,144.739,(r)) (Jupiter,24.788,(c)) (trine,2.91')", '3', '4', '5', '6', "(Pluto,252.897,(r)) (H4,162.917,(c)) (square,1.19')", '8', '9', '10', '11', '12', '13', '14', '15', 4]
['2000-03-11 10:15:11', '0', '1', "(Venus,327.459,(r)) (H3,147.320,(d)) (opposition,8.34')\n(POF,136.883,(r)) (Venus,316.903,(c)) (opposition,1.21')", '3', '4', '5', "(H3,136.068,(r)) (Mean_Node,135.929,(d)) (conjunction,8.35')", "(Mean_Node,121.338,(r)) (POF,121.388,(c)) (conjunction,3.04')", '8', "(H1,71.248,(r)) (Moon,71.291,(d)) (conjunction,2.61')", "(Mercury,333.400,(r)) (H12,63.370,(d)) (square,1.78')", '11', '12', '13', '14', '15', 6]
['2000-03-11 07:27:51', '0', '1', '2', "(Uranus,318.698,(r)) (H10,318.659,(d)) (conjunction,2.32')", '4', '5', '6', "(H1,34.950,(r)) (Mars,34.929,(d)) (conjunction,1.26')\n(H8,244.057,(r)) (Uranus,334.072,(d)) (square,0.94')", '8', "(Sun,351.033,(r)) (H3,111.075,(d)) (trine,2.50')", '10', '11', '12', '13', '14', "(H1,34.950,(r)) (Moon,34.904,(c)) (conjunction,2.79')", 5]
['2000-03-11 13:22:31', "(H4,220.604,(r)) (Mean_Node,130.685,(d)) (square,4.90')", "(H4,220.604,(r)) (Sun,340.562,(c)) (trine,2.49')", '2', '3', "(Venus,327.620,(r)) (H10,27.587,(c)) (sextile,2.01')", '5', '6', "(Sun,351.279,(r)) (H8,351.344,(d)) (conjunction,3.93')", "(Mars,21.493,(r)) (POF,201.476,(d)) (opposition,1.03')", '9', '10', '11', '12', '13', '14', "(H1,115.307,(r)) (Uranus,295.247,(c)) (opposition,3.59')", 6]
['2000-03-11 12:32:15', '0', "(H7,282.543,(r)) (Mercury,342.453,(d)) (sextile,5.45')", '2', '3', '4', '5', "(Mercury,333.366,(r)) (POF,153.345,(c)) (opposition,1.24')", "(H8,317.946,(r)) (Mean_Node,138.111,(d)) (opposition,9.88')", '8', '9', '10', '11', "(H9,354.821,(r)) (Mercury,354.698,(d)) (conjunction,7.38')", '13', '14', "(H9,354.821,(r)) (Venus,354.803,(d)) (conjunction,1.08')", 5]
['2000-03-11 09:30:56', '0', '1', "(Venus,327.421,(r)) (H10,327.572,(c)) (conjunction,9.05')", "(POF,126.886,(r)) (Uranus,306.857,(c)) (opposition,1.77')", "(H9,304.531,(r)) (Sun,4.447,(d)) (sextile,5.01')", '5', '6', "(H4,158.496,(r)) (Moon,68.423,(d)) (square,4.39')", '8', '9', '10', '11', "(Uranus,318.703,(r)) (H10,318.777,(c)) (conjunction,4.46')", "(H7,241.651,(r)) (Saturn,61.723,(d)) (opposition,4.35')", '14', '15', 6]
['2000-03-11 09:39:19', '0', '1', '2', "(H10,340.747,(r)) (Venus,340.669,(d)) (conjunction,4.72')\n(H9,306.680,(r)) (Uranus,306.825,(c)) (conjunction,8.70')", "(Venus,327.429,(r)) (H10,327.464,(c)) (conjunction,2.10')", '5', '6', '7', '8', '9', '10', '11', '12', '13', "(Uranus,318.703,(r)) (H10,318.778,(c)) (conjunction,4.49')", '15', 4]
['2000-03-11 08:00:24', '0', "(H7,222.061,(r)) (Sun,342.143,(c)) (trine,4.94')", "(Sun,351.056,(r)) (H1,51.027,(d)) (sextile,1.69')", '3', "(H10,314.967,(r)) (Venus,315.058,(c)) (conjunction,5.45')", '5', "(Mean_Node,121.343,(r)) (H4,121.363,(c)) (conjunction,1.22')\n(H3,102.394,(r)) (Moon,42.442,(c)) (sextile,2.87')", '7', '8', '9', '10', '11', '12', '13', '14', "(H10,314.967,(r)) (Jupiter,14.930,(c)) (sextile,2.18')", 6]
['2000-03-11 14:43:52', '0', '1', "(H1,138.406,(r)) (Mercury,318.540,(c)) (opposition,8.08')", "(Mercury,333.334,(r)) (H1,153.347,(d)) (opposition,0.78')", "(Uranus,318.714,(r)) (H9,18.650,(c)) (sextile,3.85')", "(H10,60.724,(r)) (Pluto,240.670,(c)) (opposition,3.24')", '6', '7', '8', "(Sun,351.335,(r)) (H3,231.332,(d)) (trine,0.18')", '10', '11', "(Pluto,252.898,(r)) (H1,162.814,(d)) (square,5.02')", '13', '14', '15', 6]
['2000-03-11 12:17:04', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', 0]
['2000-03-11 12:29:28', '0', "(Mercury,333.366,(r)) (H7,273.405,(c)) (sextile,2.34')", '2', '3', '4', '5', '6', '7', "(Saturn,43.342,(r)) (H10,43.314,(d)) (conjunction,1.66')", '9', '10', '11', '12', '13', '14', '15', 2]
['2000-03-11 13:34:39', '0', "(Jupiter,34.761,(r)) (H4,214.604,(c)) (opposition,9.46')", "(H3,193.128,(r)) (Mean_Node,133.058,(d)) (sextile,4.17')", '3', '4', '5', '6', "(Uranus,318.711,(r)) (H8,318.689,(c)) (conjunction,1.35')\n(H1,118.545,(r)) (Saturn,28.577,(c)) (square,1.91')", '8', '9', '10', "(Uranus,318.711,(r)) (H7,318.818,(d)) (conjunction,6.40')\n(H3,193.128,(r)) (Sun,12.994,(d)) (opposition,8.05')", '12', '13', '14', '15', 6]
['2000-03-11 07:48:31', '0', '1', '2', '3', '4', '5', '6', "(Venus,327.334,(r)) (H4,147.244,(d)) (opposition,5.39')\n(Moon,55.358,(r)) (H8,235.296,(c)) (opposition,3.74')", "(H8,248.670,(r)) (Moon,68.610,(d)) (opposition,3.58')", '9', '10', '11', '12', "(Mars,21.321,(r)) (H7,201.201,(c)) (opposition,7.21')", "(Mercury,333.438,(r)) (H10,333.566,(d)) (conjunction,7.68')\n(H10,311.995,(r)) (Mercury,312.085,(c)) (conjunction,5.44')", '15', 6]
