['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 14:06:56', "(POF,195.230,(r)) (Mars,15.175,(c)) (opposition,3.29')", "(Pluto,252.898,(r)) (H3,192.818,(c)) (sextile,4.80')\n(Pluto,252.854,(c)) (H3,192.818,(c)) (sextile,2.21')", "(Mercury,333.343,(r)) (H3,213.243,(p)) (trine,5.95')\n(Uranus,318.712,(r)) (H1,138.831,(p)) (opposition,7.13')\n(Moon,282.342,(c)) (H10,42.003,(c)) (trine,20.33')\n(Mercury,341.921,(c)) (H10,42.003,(c)) (sextile,4.91')", "(Jupiter,34.766,(r)) (H9,34.722,(p)) (conjunction,2.65')", '4', '5', '6', "(H8,346.482,(r)) (Venus,346.445,(p)) (conjunction,2.25')\n(Moon,59.040,(r)) (H8,329.087,(c)) (square,2.85')", "(Moon,275.087,(p)) (H8,5.216,(p)) (square,7.75')", '9', '10', '11', '12', '13', '14', "(H1,127.500,(r)) (POF,127.648,(p)) (conjunction,8.91')\n(Jupiter,30.579,(c)) (H10,30.563,(c)) (conjunction,0.95')", 13]
['2000-03-11 14:27:28', '0', "(H3,208.272,(r)) (Mars,28.207,(p)) (opposition,3.89')\n(Uranus,318.713,(r)) (H3,198.771,(c)) (trine,3.48')", "(Moon,205.403,(p)) (H1,145.220,(p)) (sextile,11.02')", '3', "(Venus,327.676,(r)) (H1,147.812,(p)) (opposition,8.16')", '5', '6', "(H8,352.973,(r)) (Moon,263.400,(p)) (square,25.65')", '8', "(Mercury,333.338,(r)) (H1,153.417,(p)) (opposition,4.77')", '10', '11', '12', "(Mars,21.527,(r)) (H7,291.666,(c)) (square,8.33')", "(Mercury,345.082,(p)) (H10,75.185,(p)) (square,6.17')\n(Mars,21.527,(r)) (H1,111.408,(c)) (square,7.13')", '15', 9]
['2000-03-11 06:48:56', "(H4,117.448,(r)) (Mars,27.580,(p)) (square,7.90')", "(Mercury,333.454,(r)) (H3,93.398,(p)) (trine,3.33')\n(Mercury,333.454,(r)) (H7,213.630,(p)) (trine,10.57')\n(Mercury,333.454,(r)) (POF,333.483,(c)) (conjunction,1.77')\n(Uranus,318.219,(c)) (H3,78.209,(c)) (trine,0.63')", "(Moon,54.779,(r)) (POF,234.604,(p)) (opposition,10.47')\n(Jupiter,34.704,(r)) (H1,34.821,(p)) (conjunction,7.01')\n(Jupiter,34.704,(r)) (H3,94.653,(p)) (sextile,3.02')\n(Mercury,334.970,(p)) (H1,34.821,(p)) (sextile,8.95')", "(Mercury,335.918,(p)) (H1,35.993,(p)) (sextile,4.53')\n(Mercury,335.918,(p)) (H9,275.894,(p)) (sextile,1.42')", "(Mercury,336.469,(p)) (H1,36.605,(p)) (sextile,8.18')\n(Mercury,336.469,(p)) (H9,276.543,(p)) (sextile,4.47')", '5', "(Mercury,337.463,(p)) (H3,97.624,(p)) (trine,9.65')\n(Mercury,337.463,(p)) (H7,217.621,(p)) (trine,9.47')\n(Jupiter,37.688,(p)) (H3,97.624,(p)) (sextile,3.80')\n(Jupiter,37.688,(p)) (H7,217.621,(p)) (opposition,3.99')", "(Moon,222.489,(c)) (H8,222.527,(c)) (conjunction,2.28')", '8', "(Mercury,340.616,(p)) (H3,100.579,(p)) (trine,2.20')", '10', "(Mercury,341.046,(p)) (H3,100.946,(p)) (trine,6.02')", '12', "(Saturn,43.319,(r)) (H7,223.195,(p)) (opposition,7.44')", "(Saturn,43.319,(r)) (H1,43.401,(p)) (conjunction,4.90')", "(Moon,344.733,(p)) (H9,284.603,(p)) (sextile,7.79')\n(Moon,127.112,(c)) (H9,246.785,(c)) (trine,19.65')\n(Mercury,346.178,(c)) (POF,166.154,(c)) (opposition,1.44')", 25]
['2000-03-11 10:25:59', '0', "(Mars,28.084,(p)) (H3,147.981,(p)) (trine,6.17')", '2', '3', "(POF,139.340,(r)) (Uranus,319.322,(p)) (opposition,1.11')\n(H1,73.607,(r)) (Moon,254.004,(c)) (opposition,23.79')", '5', "(POF,139.340,(r)) (Uranus,319.379,(p)) (opposition,2.34')", '7', '8', '9', '10', "(H4,173.389,(r)) (Moon,293.793,(p)) (trine,24.23')", '12', '13', '14', '15', 5]
['2000-03-11 08:15:44', '0', '1', '2', "(Uranus,318.700,(r)) (POF,318.683,(c)) (conjunction,1.01')\n(H10,318.847,(r)) (POF,318.683,(c)) (conjunction,9.83')", "(Moon,55.623,(r)) (H1,55.451,(p)) (conjunction,10.31')", '5', "(H7,225.394,(r)) (Mercury,345.341,(c)) (trine,3.17')", "(Venus,327.357,(r)) (H1,57.373,(p)) (square,0.94')", "(Mean_Node,122.201,(c)) (H1,32.201,(c)) (square,0.05')", '9', '10', "(Mean_Node,122.292,(c)) (H4,122.224,(c)) (conjunction,4.14')", "(H1,45.394,(r)) (Saturn,45.334,(p)) (conjunction,3.60')", '13', '14', "(H1,45.394,(r)) (Moon,345.518,(p)) (sextile,7.43')\n(H9,286.030,(r)) (Moon,345.518,(p)) (sextile,30.70')\n(H9,286.030,(r)) (Mercury,346.212,(c)) (sextile,10.96')", 11]
['2000-03-11 08:47:52', '0', "(Moon,182.469,(p)) (H3,121.958,(p)) (sextile,30.61')\n(Uranus,318.701,(r)) (H4,138.538,(c)) (opposition,9.80')", '2', '3', '4', '5', "(Sun,5.043,(p)) (POF,304.886,(p)) (sextile,9.44')\n(Moon,246.538,(p)) (H3,126.591,(p)) (trine,3.19')\n(Mean_Node,122.084,(c)) (POF,301.905,(c)) (opposition,10.73')", '7', "(Pluto,252.897,(r)) (H10,342.779,(p)) (square,7.07')\n(Pluto,252.861,(p)) (H10,342.779,(p)) (square,4.90')", '9', '10', '11', '12', '13', "(Saturn,43.327,(r)) (H9,313.492,(p)) (square,9.89')\n(Neptune,304.995,(c)) (H1,34.968,(c)) (square,1.61')", '15', 9]
['2000-03-11 08:08:48', '0', "(Sun,351.061,(r)) (H7,231.023,(p)) (trine,2.29')", '2', "(H10,317.087,(r)) (POF,317.109,(c)) (conjunction,1.35')", "(Moon,55.555,(r)) (H9,295.604,(p)) (trine,2.96')\n(Mercury,333.433,(r)) (H1,33.545,(c)) (sextile,6.75')\n(Mercury,333.433,(r)) (H9,273.309,(c)) (sextile,7.42')\n(H9,284.381,(r)) (Mercury,344.319,(c)) (sextile,3.74')", '5', '6', "(Mean_Node,121.342,(r)) (H1,31.510,(c)) (square,10.08')", "(Mean_Node,122.201,(c)) (H10,302.139,(c)) (opposition,3.70')", "(Mercury,333.433,(r)) (H10,333.606,(p)) (conjunction,10.36')", '10', "(Mean_Node,120.392,(p)) (H3,120.282,(p)) (conjunction,6.61')", '12', '13', '14', '15', 10]
['2000-03-11 13:13:11', '0', "(POF,180.105,(r)) (Sun,0.254,(p)) (opposition,8.98')\n(Mean_Node,121.809,(c)) (POF,61.902,(c)) (sextile,5.60')", '2', '3', "(H1,112.861,(r)) (Moon,233.169,(p)) (trine,18.53')", "(H3,186.851,(r)) (POF,6.899,(p)) (opposition,2.83')", '6', '7', '8', '9', '10', "(Mercury,347.081,(c)) (H3,167.213,(c)) (opposition,7.91')", '12', '13', '14', "(Moon,58.516,(r)) (H10,58.344,(p)) (conjunction,10.36')\n(POF,180.105,(r)) (Venus,300.185,(c)) (trine,4.82')", 7]
['2000-03-11 13:08:39', '0', "(Sun,0.251,(p)) (H7,300.420,(p)) (sextile,10.12')", "(H10,37.051,(r)) (Jupiter,36.977,(p)) (conjunction,4.44')\n(Sun,1.732,(p)) (H1,121.906,(p)) (trine,10.46')\n(Moon,281.860,(c)) (H1,101.931,(c)) (opposition,4.24')\n(Mercury,341.963,(c)) (H1,101.931,(c)) (trine,1.90')", '3', '4', "(H3,185.521,(r)) (POF,5.583,(p)) (opposition,3.70')", "(H4,217.051,(r)) (Sun,337.205,(c)) (trine,9.26')", '7', "(Sun,335.016,(c)) (POF,334.999,(c)) (conjunction,1.00')", '9', '10', "(H3,185.521,(r)) (Venus,305.439,(c)) (trine,4.93')", '12', "(H4,217.051,(r)) (Mars,36.992,(p)) (opposition,3.55')", "(H10,37.051,(r)) (Mars,37.181,(p)) (conjunction,7.81')\n(H9,5.521,(r)) (Mars,5.456,(c)) (conjunction,3.89')", '15', 12]
['2000-03-11 09:21:04', '0', '1', "(Sun,351.112,(r)) (H1,51.116,(c)) (sextile,0.27')", "(H10,335.865,(r)) (Mercury,335.991,(p)) (conjunction,7.60')\n(Sun,351.112,(r)) (H9,291.050,(c)) (sextile,3.68')\n(Mercury,333.414,(r)) (POF,333.396,(c)) (conjunction,1.09')", "(H9,302.030,(r)) (Mean_Node,122.015,(c)) (opposition,0.87')", '5', '6', "(Moon,260.880,(p)) (H4,170.788,(p)) (square,5.56')", '8', "(Uranus,318.702,(r)) (H3,138.645,(p)) (opposition,3.42')\n(POF,352.992,(p)) (H10,353.067,(p)) (conjunction,4.50')\n(Uranus,318.702,(r)) (H10,318.851,(c)) (conjunction,8.92')", "(Uranus,318.702,(r)) (H10,318.832,(c)) (conjunction,7.81')", "(Moon,293.258,(p)) (H4,173.493,(p)) (trine,14.09')", '12', '13', '14', '15', 11]
