['Time', '0: 1883-07-05', '1: 1895-01-24', '2: 1899-11-15', '3: 1898-12-01', '4: 1900-06-05', '5: 1909-07-11', '6: 1911-05-28', '7: 1914-10-07', '8: 1918-11-15', '9: 1921-06-29', '10: 1922-09-15', '11: 1941-12-12', '12: 1944-09-05', '13: 1953-06-24', '14: 1963-10-19', 'Count']
['1874-11-30 00:55:28', "(Mean_Node,24.369,(r)) (H8,24.311,(p)) (conjunction,3.49')", '1', "(Mercury,260.907,(p)) (H12,170.998,(p)) (square,5.42')", '3', '4', "(Moon,149.314,(r)) (H1,149.188,(c)) (conjunction,7.51')\n(Moon,48.775,(c)) (H4,228.443,(c)) (opposition,19.94')", '6', "(Moon,302.407,(p)) (H4,302.838,(p)) (conjunction,25.85')\n(Venus,262.039,(r)) (H5,262.150,(c)) (conjunction,6.64')", '8', "(Pluto,51.425,(r)) (H1,141.331,(c)) (square,5.62')", "(Mars,225.087,(p)) (H5,345.031,(p)) (trine,3.39')", "(Venus,227.242,(c)) (H9,347.169,(c)) (trine,4.34')", '12', '13', "(Saturn,309.592,(r)) (H8,309.734,(c)) (conjunction,8.52')\n(Venus,204.078,(c)) (H1,114.157,(c)) (square,4.72')", 11]
['1874-11-30 01:37:59', '0', '1', '2', '3', '4', '5', '6', '7', "(Mercury,290.889,(p)) (H5,351.028,(p)) (sextile,8.39')", "(Pluto,50.807,(p)) (H4,320.674,(p)) (square,7.98')", "(Venus,262.026,(r)) (H4,322.003,(p)) (sextile,1.38')\n(Mean_Node,21.837,(p)) (H4,322.003,(p)) (sextile,9.95')", '11', '12', "(Saturn,308.378,(c)) (H1,128.516,(c)) (opposition,8.29')", '14', 5]
['1874-11-30 02:34:24', '0', '1', '2', "(Venus,249.982,(p)) (H10,129.996,(p)) (trine,0.81')\n(Venus,262.008,(r)) (H10,81.869,(c)) (opposition,8.38')\n(Venus,261.759,(c)) (H10,81.869,(c)) (opposition,6.56')", '4', '5', "(Mercury,227.628,(r)) (H5,287.509,(c)) (sextile,7.18')", '7', '8', '9', "(Sun,247.765,(r)) (H5,7.833,(p)) (trine,4.12')", '11', "(Sun,247.765,(r)) (H9,7.713,(c)) (trine,3.12')", '13', "(Venus,291.491,(p)) (H4,21.370,(p)) (square,7.25')", 7]
['1874-11-30 02:25:52', "(Moon,27.754,(c)) (H8,27.609,(c)) (conjunction,8.68')", '1', '2', '3', "(Venus,249.687,(p)) (H10,129.537,(p)) (trine,9.02')\n(Jupiter,198.557,(c)) (H10,78.513,(c)) (trine,2.61')", '5', '6', '7', "(Moon,150.104,(r)) (H4,330.165,(p)) (opposition,3.67')", '9', '10', "(Moon,301.041,(p)) (H1,240.540,(p)) (sextile,30.02')", '12', "(Neptune,30.419,(c)) (H10,30.453,(c)) (conjunction,2.08')", '14', 6]
['1874-11-30 00:42:24', "(Mars,201.764,(p)) (H8,21.721,(p)) (opposition,2.58')", '1', '2', "(Moon,103.212,(p)) (H10,103.222,(p)) (conjunction,0.61')\n(Venus,250.000,(p)) (H1,190.090,(p)) (sextile,5.41')", '4', "(Moon,149.199,(r)) (H5,329.051,(p)) (opposition,8.92')\n(Jupiter,208.930,(p)) (H5,329.051,(p)) (trine,7.26')", "(Venus,262.043,(r)) (H5,262.074,(c)) (conjunction,1.83')", "(Mean_Node,22.260,(p)) (H1,202.331,(p)) (opposition,4.26')\n(Jupiter,203.561,(r)) (H1,143.438,(c)) (sextile,7.42')", "(Uranus,135.229,(r)) (H5,255.283,(c)) (trine,3.23')\n(Moon,276.031,(c)) (H4,216.173,(c)) (sextile,8.52')", '9', '10', "(Uranus,133.814,(c)) (H10,13.879,(c)) (trine,3.89')", '12', "(Neptune,28.434,(r)) (H1,118.576,(c)) (square,8.50')", '14', 12]
['1874-11-30 01:29:44', "(Mars,196.549,(r)) (H8,16.479,(c)) (opposition,4.25')", '1', '2', '3', '4', '5', "(Sun,247.719,(r)) (H4,307.624,(p)) (sextile,5.69')", "(Venus,251.393,(p)) (H4,311.257,(p)) (sextile,8.14')", "(Mean_Node,26.695,(c)) (H5,266.582,(c)) (trine,6.80')", '9', '10', '11', '12', '13', "(Neptune,30.599,(c)) (H1,120.420,(c)) (square,10.73')", 5]
['1874-11-30 02:06:24', '0', '1', '2', "(Uranus,135.229,(r)) (H10,75.383,(c)) (sextile,9.22')", "(Moon,125.187,(p)) (H10,124.752,(p)) (conjunction,26.08')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', 2]
['1874-11-30 01:54:15', '0', '1', '2', '3', '4', '5', '6', "(Pluto,50.860,(p)) (H5,350.677,(p)) (sextile,10.97')", "(Venus,262.021,(r)) (H4,321.957,(p)) (sextile,3.81')\n(Mean_Node,22.040,(p)) (H4,321.957,(p)) (sextile,4.93')", '9', "(Moon,230.319,(c)) (H4,230.733,(c)) (conjunction,24.83')", "(Mercury,227.606,(r)) (H10,167.434,(p)) (sextile,10.30')\n(Sun,180.805,(c)) (H9,0.717,(c)) (opposition,5.29')", '12', '13', "(Pluto,51.424,(r)) (H8,321.296,(c)) (square,7.68')", 7]
['1874-11-30 00:30:08', "(Sun,247.677,(r)) (H10,67.560,(c)) (opposition,7.02')", '1', "(Pluto,51.425,(r)) (H10,51.481,(c)) (conjunction,3.34')", '3', "(Moon,170.829,(c)) (H10,50.940,(c)) (trine,6.67')", '5', "(Jupiter,203.560,(r)) (H1,143.521,(c)) (sextile,2.31')", '7', '8', '9', "(Moon,149.092,(r)) (H4,209.270,(c)) (sextile,10.67')", '11', '12', "(Saturn,318.019,(p)) (H1,228.040,(p)) (square,1.29')", '14', 6]
['1874-11-30 00:53:12', "(Mean_Node,23.914,(p)) (H8,23.862,(p)) (conjunction,3.12')", '1', '2', "(Jupiter,203.563,(r)) (H9,23.623,(c)) (opposition,3.59')", '4', "(Moon,236.599,(p)) (H4,296.775,(p)) (sextile,10.60')\n(Mean_Node,26.201,(c)) (H5,266.302,(c)) (trine,6.03')", '6', "(Mean_Node,24.369,(r)) (H1,204.220,(p)) (opposition,8.93')\n(Moon,302.386,(p)) (H4,302.288,(p)) (conjunction,5.90')", '8', '9', "(Jupiter,210.317,(p)) (H1,210.201,(p)) (conjunction,6.97')\n(Uranus,134.596,(c)) (H5,254.439,(c)) (trine,9.42')", '11', "(Venus,224.453,(c)) (H9,344.401,(c)) (trine,3.12')", "(Neptune,30.420,(c)) (H1,120.531,(c)) (square,6.65')", "(Moon,149.294,(r)) (H1,239.116,(p)) (square,10.69')", 11]
['1874-11-30 01:48:23', '0', "(Uranus,134.880,(p)) (H8,44.783,(p)) (square,5.79')", '2', '3', '4', "(Moon,149.776,(r)) (H1,209.859,(p)) (sextile,4.95')", '6', '7', '8', "(Sun,247.732,(r)) (H8,67.840,(p)) (opposition,6.49')", "(Mercury,297.254,(p)) (H5,357.219,(p)) (sextile,2.10')\n(Moon,149.776,(r)) (H1,149.775,(c)) (conjunction,0.07')", '11', '12', "(Moon,188.842,(c)) (H12,99.329,(c)) (square,29.21')", '14', 6]
['1874-11-30 01:56:07', '0', '1', "(Sun,273.124,(p)) (H12,183.118,(p)) (square,0.36')\n(Mars,211.654,(p)) (H10,121.663,(p)) (square,0.50')", "(Mean_Node,23.096,(p)) (H9,82.986,(p)) (sextile,6.59')", "(Mean_Node,24.367,(r)) (H9,84.492,(p)) (sextile,7.54')", '5', "(Mercury,227.607,(r)) (H5,347.728,(p)) (trine,7.30')", '7', '8', "(Venus,262.020,(r)) (H8,351.940,(c)) (square,4.79')\n(Pluto,52.260,(c)) (H4,232.301,(c)) (opposition,2.41')", '10', '11', '12', '13', '14', 7]
['1874-11-30 00:11:28', '0', '1', '2', '3', '4', "(Venus,262.053,(r)) (H5,322.110,(p)) (sextile,3.43')\n(Mars,196.516,(r)) (H5,256.358,(c)) (sextile,9.46')", "(Uranus,134.373,(p)) (H1,194.333,(p)) (sextile,2.43')\n(Venus,254.419,(c)) (H5,254.600,(c)) (conjunction,10.88')", '7', "(Sun,247.664,(r)) (H5,247.539,(c)) (conjunction,7.52')\n(Uranus,135.230,(r)) (H1,135.351,(c)) (conjunction,7.29')", "(Mean_Node,21.905,(p)) (H1,202.002,(p)) (opposition,5.85')", "(Mean_Node,24.370,(r)) (H4,204.336,(c)) (opposition,2.09')", '11', '12', '13', "(Moon,231.421,(p)) (H1,231.679,(p)) (conjunction,15.45')", 9]
['1874-11-30 00:26:23', '0', "(Mars,208.736,(p)) (H8,28.637,(p)) (opposition,5.96')", '2', '3', "(Moon,124.236,(p)) (H9,64.606,(p)) (sextile,22.15')", '5', '6', "(Uranus,135.230,(r)) (H5,255.138,(c)) (trine,5.50')", '8', "(Pluto,51.425,(r)) (H8,51.451,(p)) (conjunction,1.55')\n(Moon,243.995,(c)) (H8,334.106,(c)) (square,6.67')\n(Neptune,29.640,(c)) (H4,209.469,(c)) (opposition,10.28')", "(Sun,247.674,(r)) (H5,247.717,(c)) (conjunction,2.56')", "(Jupiter,189.638,(c)) (H10,9.538,(c)) (opposition,6.02')", "(Mercury,227.556,(r)) (H9,107.688,(p)) (trine,7.90')", '13', '14', 9]
['1874-11-30 00:00:00', "(Sun,247.656,(r)) (H1,157.712,(c)) (square,3.38')", "(Mean_Node,23.304,(p)) (H8,23.413,(p)) (conjunction,6.55')", '2', '3', "(Moon,123.985,(p)) (H1,183.802,(p)) (sextile,11.01')", '5', '6', '7', "(Moon,148.828,(r)) (H5,328.671,(p)) (opposition,9.42')", "(Moon,148.828,(r)) (H8,328.893,(c)) (opposition,3.88')", '10', '11', "(Moon,337.034,(p)) (H1,216.741,(p)) (trine,17.63')", '13', '14', 6]
['1874-11-30 02:17:04', "(Saturn,310.294,(p)) (H8,40.404,(p)) (square,6.62')", "(Mars,196.569,(r)) (H8,16.450,(c)) (opposition,7.18')", '2', '3', "(Jupiter,207.744,(p)) (H1,207.855,(p)) (conjunction,6.63')", '5', '6', '7', "(Moon,276.855,(c)) (H1,157.268,(c)) (trine,24.80')", '9', '10', '11', '12', '13', "(Mars,196.569,(r)) (H4,16.716,(p)) (opposition,8.77')\n(Mean_Node,24.366,(r)) (H8,114.245,(p)) (square,7.23')\n(Saturn,308.920,(c)) (H1,128.855,(c)) (opposition,3.91')", 7]
['1874-11-30 01:35:04', '0', '1', '2', "(Mercury,259.498,(p)) (H1,199.339,(p)) (sextile,9.53')", '4', '5', '6', "(Moon,330.963,(c)) (H5,271.368,(c)) (sextile,24.31')", '8', "(Mars,167.749,(c)) (H8,347.740,(c)) (opposition,0.56')", "(Mean_Node,24.367,(r)) (H5,264.500,(c)) (trine,7.95')", "(Uranus,135.229,(r)) (H1,135.259,(c)) (conjunction,1.78')", "(Uranus,133.686,(c)) (H1,133.544,(c)) (conjunction,8.54')", "(Moon,149.660,(r)) (H1,239.574,(p)) (square,5.16')", "(Mercury,227.595,(r)) (H8,317.523,(c)) (square,4.34')", 8]
['1874-11-30 00:52:08', '0', '1', "(Mars,196.533,(r)) (H10,106.473,(p)) (square,3.61')\n(Saturn,308.134,(c)) (H12,128.305,(c)) (opposition,10.29')", "(Jupiter,203.563,(r)) (H9,23.380,(c)) (opposition,10.96')", "(Venus,262.040,(r)) (H9,22.019,(c)) (trine,1.26')", "(Moon,236.590,(p)) (H4,296.521,(p)) (sextile,4.14')\n(Mean_Node,26.201,(c)) (H5,266.053,(c)) (trine,8.90')", "(Mean_Node,24.369,(r)) (H5,264.372,(c)) (trine,0.20')", "(Moon,302.376,(p)) (H4,302.029,(p)) (conjunction,20.82')", '8', '9', '10', '11', "(Uranus,133.685,(c)) (H10,13.862,(c)) (trine,10.63')", "(Neptune,30.420,(c)) (H1,120.338,(c)) (square,4.90')", "(Saturn,308.923,(c)) (H8,309.077,(c)) (conjunction,9.21')", 11]
