['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-06 19:28:55', '0', "(Mercury,190.490,(r)) (H1,310.495,(d)) (trine,0')\n(H9,187.384,(r)) (Mean_Node,307.418,(d)) (trine,2')", '2', "(H10,218.942,(r)) (Mercury,174.017,(c)) (45-semisquare,4')", "(Mean_Node,296.523,(r)) (H3,341.571,(c)) (45-semisquare,3')\n(Mean_Node,296.523,(r)) (H12,251.466,(c)) (45-semisquare,3')", "(H1,299.433,(r)) (Moon,299.472,(d)) (conjunction,2')", "(Mean_Node,296.523,(r)) (H1,326.461,(d)) (30-semisextile,4')\n(Moon,275.198,(r)) (H1,275.130,(c)) (conjunction,4')", '7', "(Mars,208.722,(r)) (H1,328.807,(d)) (trine,5')\n(Uranus,316.700,(r)) (H5,91.685,(d)) (135-sesquisquare,1')\n(H4,38.942,(r)) (Mercury,219.053,(d)) (opposition,7')\n(Mercury,190.490,(r)) (H5,40.553,(c)) (150-quincunx,4')\n(H4,38.942,(r)) (Mercury,158.914,(c)) (trine,2')\n(H5,66.648,(r)) (Jupiter,6.597,(c)) (sextile,3')", "(Moon,275.198,(r)) (H5,95.132,(d)) (opposition,4')\n(Jupiter,35.151,(r)) (H5,95.132,(d)) (sextile,1')", "(H10,218.942,(r)) (Neptune,159.025,(d)) (sextile,5')\n(Jupiter,35.151,(r)) (H10,185.075,(c)) (150-quincunx,5')", "(Moon,275.198,(r)) (H1,335.223,(d)) (sextile,2')\n(Jupiter,35.151,(r)) (H1,335.223,(d)) (sextile,4')\n(Jupiter,35.151,(r)) (H5,35.023,(c)) (conjunction,8')", "(Venus,118.024,(r)) (H4,73.089,(d)) (45-semisquare,4')", "(Mercury,190.490,(r)) (H5,100.556,(d)) (square,4')\n(H1,299.433,(r)) (Uranus,359.386,(d)) (sextile,3')\n(H4,38.942,(r)) (Pluto,128.971,(d)) (square,2')\n(H5,66.648,(r)) (Venus,156.674,(d)) (square,2')", '14', "(H4,38.942,(r)) (Mercury,248.866,(d)) (150-quincunx,5')\n(Moon,275.198,(r)) (H8,95.110,(c)) (opposition,5')", "(Pluto,94.270,(r)) (H12,334.252,(d)) (trine,1')\n(H4,38.942,(r)) (Moon,219.036,(c)) (opposition,6')", 424]
['1916-09-06 10:59:19', "(Moon,270.155,(r)) (H4,270.016,(d)) (conjunction,8')\n(Venus,117.699,(r)) (H4,267.787,(c)) (150-quincunx,5')\n(Venus,117.699,(r)) (H7,357.614,(c)) (trine,5')\n(H4,268.902,(r)) (Moon,269.035,(c)) (conjunction,8')", '1', '2', '3', '4', "(H3,239.382,(r)) (Jupiter,59.246,(d)) (opposition,8')\n(Jupiter,35.165,(r)) (H3,215.151,(c)) (opposition,1')", '6', "(H7,358.815,(r)) (Pluto,118.796,(d)) (trine,1')\n(H5,298.361,(r)) (Mercury,163.317,(c)) (135-sesquisquare,3')", '8', "(Venus,117.699,(r)) (H4,297.691,(d)) (opposition,0')\n(Mars,208.488,(r)) (H5,328.567,(d)) (trine,5')\n(H4,268.902,(r)) (Moon,298.980,(d)) (30-semisextile,5')\n(Mars,208.488,(r)) (H1,148.527,(c)) (sextile,2')\n(H1,178.815,(r)) (Venus,88.799,(c)) (square,1')\n(H4,268.902,(r)) (Venus,88.799,(c)) (opposition,6')", "(Sun,163.500,(r)) (H10,118.576,(d)) (45-semisquare,5')\n(Moon,270.155,(r)) (H1,210.064,(d)) (sextile,5')\n(H10,88.902,(r)) (H9,88.862,(d)) (conjunction,2')\n(Venus,117.699,(r)) (H1,147.641,(c)) (30-semisextile,3')", '11', "(H1,178.815,(r)) (Mercury,223.878,(d)) (45-semisquare,4')\n(H4,268.902,(r)) (Mercury,223.878,(d)) (45-semisquare,1')", '13', "(Sun,163.500,(r)) (H1,223.419,(d)) (sextile,5')", "(Neptune,123.876,(r)) (H4,213.927,(c)) (square,3')\n(Neptune,123.876,(r)) (H7,304.040,(c)) (opposition,10')", "(Moon,270.155,(r)) (H12,210.227,(d)) (sextile,4')\n(Venus,117.699,(r)) (H4,327.768,(d)) (150-quincunx,4')\n(H1,178.815,(r)) (Venus,178.879,(d)) (conjunction,4')\n(H4,268.902,(r)) (Sun,223.943,(d)) (45-semisquare,2')\n(H4,268.902,(r)) (Venus,178.879,(d)) (square,1')\n(H8,29.090,(r)) (Moon,329.142,(d)) (sextile,3')", 452]
['1916-09-06 11:18:56', "(Jupiter,35.165,(r)) (H3,245.137,(d)) (150-quincunx,2')", '1', '2', "(Uranus,316.711,(r)) (H9,76.660,(d)) (trine,3')\n(H1,183.677,(r)) (Jupiter,48.608,(d)) (135-sesquisquare,4')\n(Jupiter,35.165,(r)) (H1,170.163,(c)) (135-sesquisquare,0')\n(H1,183.677,(r)) (Uranus,303.761,(c)) (trine,5')", "(Mean_Node,296.541,(r)) (H12,176.632,(d)) (trine,5')\n(H1,183.677,(r)) (Mean_Node,318.736,(d)) (135-sesquisquare,4')", "(Mean_Node,296.541,(r)) (H10,116.579,(d)) (opposition,2')\n(H3,244.002,(r)) (Mercury,214.059,(d)) (30-semisextile,3')\n(Mercury,190.121,(r)) (H3,220.055,(c)) (30-semisextile,4')\n(H10,93.410,(r)) (Mean_Node,273.540,(c)) (opposition,8')", "(Mars,208.497,(r)) (H1,208.319,(d)) (conjunction,11')\n(Saturn,116.832,(r)) (H10,116.844,(d)) (conjunction,1')\n(Mercury,190.121,(r)) (H10,70.177,(c)) (trine,3')\n(H10,93.410,(r)) (Saturn,93.567,(c)) (conjunction,9')\n(H10,93.410,(r)) (Mean_Node,273.285,(c)) (opposition,7')", "(H5,303.004,(r)) (Venus,92.916,(c)) (150-quincunx,5')", "(Moon,270.349,(r)) (H1,210.297,(d)) (sextile,3')", "(H5,303.004,(r)) (Uranus,348.007,(d)) (45-semisquare,0')\n(H5,303.004,(r)) (Pluto,123.156,(d)) (opposition,9')\n(Pluto,94.266,(r)) (H5,274.294,(c)) (opposition,2')", "(H10,93.410,(r)) (H9,93.374,(d)) (conjunction,2')\n(Neptune,123.876,(r)) (H10,63.827,(c)) (sextile,3')\n(H9,64.002,(r)) (H10,63.827,(c)) (conjunction,10')\n(H10,93.410,(r)) (Jupiter,3.385,(c)) (square,2')", "(H1,183.677,(r)) (Pluto,63.733,(c)) (trine,3')", "(Moon,270.349,(r)) (H5,270.496,(c)) (conjunction,9')", "(H1,183.677,(r)) (Venus,153.590,(d)) (30-semisextile,5')\n(H4,273.410,(r)) (Mars,243.467,(d)) (30-semisextile,3')\n(Venus,117.711,(r)) (H1,147.619,(c)) (30-semisextile,6')", "(H1,183.677,(r)) (Uranus,3.569,(d)) (opposition,6')", "(Mercury,190.121,(r)) (H5,250.032,(c)) (sextile,5')\n(H4,273.410,(r)) (Mean_Node,243.466,(c)) (30-semisextile,3')", "(H1,183.677,(r)) (Pluto,153.708,(d)) (30-semisextile,2')", 484]
['1916-09-07 01:52:39', "(Moon,279.013,(r)) (H4,129.099,(c)) (150-quincunx,5')", '1', '2', "(Moon,279.013,(r)) (H10,324.102,(d)) (45-semisquare,5')", "(Neptune,123.895,(r)) (H10,333.827,(d)) (150-quincunx,4')\n(H3,103.461,(r)) (Pluto,73.376,(c)) (30-semisextile,5')", '5', "(H3,103.461,(r)) (Uranus,343.429,(d)) (trine,2')\n(H10,310.297,(r)) (Mercury,160.351,(c)) (150-quincunx,3')", '7', "(Uranus,316.691,(r)) (H1,76.755,(d)) (trine,4')\n(H1,49.458,(r)) (Jupiter,4.399,(c)) (45-semisquare,4')", "(Mercury,190.776,(r)) (H4,100.831,(c)) (square,3')\n(H4,130.297,(r)) (Moon,250.281,(c)) (trine,1')", "(Venus,118.270,(r)) (H10,343.332,(d)) (135-sesquisquare,4')\n(Sun,164.102,(r)) (H9,254.058,(c)) (square,3')", "(Sun,164.102,(r)) (H4,164.270,(d)) (conjunction,10')\n(Moon,279.013,(r)) (H4,99.173,(c)) (opposition,10')", "(H4,130.297,(r)) (Venus,85.306,(c)) (45-semisquare,1')", '13', "(Pluto,94.273,(r)) (H1,94.153,(d)) (conjunction,7')", "(Mercury,190.776,(r)) (H4,190.739,(d)) (conjunction,2')\n(H4,130.297,(r)) (Mercury,250.225,(d)) (trine,4')\n(H4,130.297,(r)) (H8,310.269,(d)) (opposition,2')\n(Uranus,316.691,(r)) (H4,76.769,(c)) (trine,5')\n(H4,130.297,(r)) (H12,310.328,(c)) (opposition,2')\n(H5,160.662,(r)) (Neptune,70.688,(c)) (square,2')", "(Sun,164.102,(r)) (H8,314.094,(d)) (150-quincunx,0')", 301]
['1916-09-06 11:38:15', "(H3,248.518,(r)) (Mercury,188.563,(c)) (sextile,3')\n(H7,8.466,(r)) (Mercury,188.563,(c)) (opposition,6')", '1', "(H8,38.653,(r)) (Mars,218.825,(d)) (opposition,10')\n(Venus,117.724,(r)) (H12,147.664,(c)) (30-semisextile,4')", '3', "(Uranus,316.711,(r)) (H3,226.695,(c)) (square,1')\n(Uranus,316.711,(r)) (H10,76.726,(c)) (trine,1')", '5', "(Uranus,316.711,(r)) (H3,271.645,(d)) (45-semisquare,4')\n(Neptune,123.877,(r)) (H12,183.808,(d)) (sextile,4')\n(Sun,163.526,(r)) (H1,163.621,(c)) (conjunction,6')\n(Sun,163.526,(r)) (H12,133.616,(c)) (30-semisextile,5')", "(Sun,163.526,(r)) (H10,73.540,(c)) (square,1')\n(Mars,208.506,(r)) (H10,73.540,(c)) (135-sesquisquare,2')", "(Venus,117.724,(r)) (H4,252.786,(c)) (135-sesquisquare,4')\n(Mean_Node,296.540,(r)) (H1,161.608,(c)) (135-sesquisquare,4')", '9', "(H10,97.865,(r)) (H9,97.845,(d)) (conjunction,1')\n(H9,68.518,(r)) (H10,68.411,(c)) (conjunction,6')", "(Mercury,190.135,(r)) (H1,220.181,(d)) (30-semisextile,3')", "(H1,188.466,(r)) (Jupiter,68.454,(d)) (trine,1')", "(H5,307.634,(r)) (Sun,127.696,(c)) (opposition,4')", '14', "(Uranus,316.711,(r)) (H8,91.661,(d)) (135-sesquisquare,3')\n(H8,38.653,(r)) (Uranus,263.621,(c)) (135-sesquisquare,2')", '16', 282]
['1916-09-06 23:47:04', '0', "(H9,254.441,(r)) (Neptune,134.533,(d)) (trine,6')", "(H8,226.422,(r)) (Mars,196.391,(c)) (30-semisextile,2')\n(H8,226.422,(r)) (Mean_Node,286.407,(c)) (sextile,1')", "(H1,13.610,(r)) (Mean_Node,283.593,(c)) (square,1')\n(H9,254.441,(r)) (Venus,104.491,(c)) (150-quincunx,3')", '4', '5', "(Moon,277.762,(r)) (H3,97.665,(d)) (opposition,6')\n(H1,13.610,(r)) (Sun,193.495,(d)) (opposition,7')\n(H3,74.441,(r)) (Uranus,344.441,(d)) (square,0')", "(Sun,164.017,(r)) (H7,223.994,(d)) (sextile,1')\n(Jupiter,35.144,(r)) (H5,155.080,(d)) (trine,4')\n(H7,193.610,(r)) (Moon,253.524,(c)) (sextile,5')", '8', "(Moon,277.762,(r)) (H5,97.693,(c)) (opposition,4')", "(Mercury,190.682,(r)) (H10,310.701,(d)) (trine,1')", "(Pluto,94.272,(r)) (H1,334.265,(c)) (trine,0')", "(H5,127.365,(r)) (Pluto,127.198,(d)) (conjunction,10')", "(Uranus,316.694,(r)) (H5,166.606,(d)) (150-quincunx,5')\n(H1,13.610,(r)) (Jupiter,73.687,(d)) (sextile,5')", "(H5,127.365,(r)) (Jupiter,82.300,(d)) (45-semisquare,4')\n(Pluto,94.272,(r)) (H1,319.258,(c)) (135-sesquisquare,1')", "(Uranus,316.694,(r)) (H4,46.607,(c)) (square,5')\n(Mean_Node,296.513,(r)) (H8,161.575,(c)) (135-sesquisquare,4')\n(H4,100.352,(r)) (Neptune,70.411,(c)) (30-semisextile,3')\n(H5,127.365,(r)) (H7,127.254,(c)) (conjunction,7')", "(H4,100.352,(r)) (Sun,100.173,(c)) (conjunction,11')", 336]
['1916-09-06 21:26:39', "(H4,67.844,(r)) (Moon,277.767,(d)) (150-quincunx,5')\n(H4,67.844,(r)) (Mercury,187.840,(c)) (trine,0')", "(Sun,163.922,(r)) (H1,343.977,(d)) (opposition,3')\n(H1,331.443,(r)) (Sun,151.539,(c)) (opposition,6')", "(Sun,163.922,(r)) (H1,343.977,(d)) (opposition,3')\n(H1,331.443,(r)) (Sun,151.539,(c)) (opposition,6')", '3', "(Mars,208.776,(r)) (H1,358.846,(d)) (150-quincunx,4')", '5', "(Moon,276.366,(r)) (H12,276.473,(c)) (conjunction,6')\n(Neptune,123.889,(r)) (H1,303.881,(c)) (opposition,0')", "(Mars,208.776,(r)) (H5,118.687,(d)) (square,5')", '8', "(Moon,276.366,(r)) (H4,96.458,(d)) (opposition,5')\n(Venus,118.100,(r)) (H1,297.965,(c)) (opposition,8')\n(H1,331.443,(r)) (Jupiter,1.509,(c)) (30-semisextile,4')", "(H10,247.844,(r)) (Jupiter,67.961,(d)) (opposition,7')", "(Mercury,190.578,(r)) (H1,10.688,(d)) (opposition,7')\n(H1,331.443,(r)) (Venus,151.375,(d)) (opposition,4')\n(H4,67.844,(r)) (Sun,202.835,(d)) (135-sesquisquare,1')\n(H1,331.443,(r)) (Mercury,151.478,(c)) (opposition,2')", '12', '13', "(H4,67.844,(r)) (Sun,217.824,(d)) (150-quincunx,1')", '15', '16', 328]
['1916-09-06 11:49:36', "(Mercury,190.144,(r)) (H7,10.071,(c)) (opposition,4')\n(H3,251.149,(r)) (Venus,116.142,(c)) (135-sesquisquare,0')", "(H10,100.484,(r)) (Moon,280.543,(d)) (opposition,4')\n(Moon,270.652,(r)) (H1,180.739,(c)) (square,5')\n(Moon,270.652,(r)) (H10,90.685,(c)) (opposition,2')", "(H4,280.484,(r)) (Moon,280.543,(d)) (conjunction,4')\n(Moon,270.652,(r)) (H1,180.739,(c)) (square,5')\n(Moon,270.652,(r)) (H4,270.685,(c)) (conjunction,2')", "(H10,100.484,(r)) (Venus,130.414,(d)) (30-semisextile,4')\n(Venus,117.731,(r)) (H1,177.759,(c)) (sextile,2')", '4', "(Uranus,316.711,(r)) (H1,166.683,(c)) (150-quincunx,2')", "(Pluto,94.267,(r)) (H3,274.257,(d)) (opposition,1')\n(Pluto,94.267,(r)) (H10,124.240,(d)) (30-semisextile,2')\n(H10,100.484,(r)) (Neptune,100.342,(c)) (conjunction,9')", "(H5,310.374,(r)) (Sun,190.361,(d)) (trine,1')", "(H1,191.268,(r)) (Sun,191.181,(d)) (conjunction,5')", "(Mean_Node,296.540,(r)) (H5,341.506,(d)) (45-semisquare,2')", "(H10,100.484,(r)) (H9,100.479,(d)) (conjunction,0')\n(H9,71.149,(r)) (H10,71.076,(c)) (conjunction,4')", "(Sun,163.533,(r)) (H5,343.377,(d)) (opposition,9')", '12', "(Uranus,316.711,(r)) (H1,226.648,(d)) (square,4')", "(Mercury,190.144,(r)) (H1,235.095,(d)) (45-semisquare,3')\n(Mercury,190.144,(r)) (H4,325.096,(d)) (135-sesquisquare,3')\n(Venus,117.731,(r)) (H4,237.701,(c)) (trine,2')", "(Pluto,94.267,(r)) (H8,94.278,(d)) (conjunction,1')\n(Moon,270.652,(r)) (H7,315.698,(c)) (45-semisquare,3')\n(Uranus,316.711,(r)) (H4,226.748,(c)) (square,2')", '16', 438]
['1916-09-07 03:01:12', "(Venus,118.314,(r)) (H3,118.279,(c)) (conjunction,2')\n(Mean_Node,296.506,(r)) (H4,146.481,(c)) (150-quincunx,1')", "(H10,327.741,(r)) (Uranus,327.712,(d)) (conjunction,2')\n(Uranus,316.689,(r)) (H10,316.818,(c)) (conjunction,8')", "(H1,67.041,(r)) (Saturn,126.977,(d)) (sextile,4')\n(H4,147.741,(r)) (Uranus,327.712,(d)) (opposition,2')\n(Uranus,316.689,(r)) (H4,136.818,(c)) (opposition,8')", "(Jupiter,35.138,(r)) (H1,80.182,(d)) (45-semisquare,3')\n(H1,67.041,(r)) (Moon,292.072,(d)) (135-sesquisquare,2')\n(Uranus,316.689,(r)) (H9,286.695,(c)) (30-semisextile,0')\n(H9,299.420,(r)) (Sun,149.385,(c)) (150-quincunx,2')", "(Mars,208.930,(r)) (H1,88.838,(d)) (trine,6')", "(H1,67.041,(r)) (Mercury,217.114,(d)) (150-quincunx,4')", "(Mercury,190.826,(r)) (H1,40.799,(c)) (150-quincunx,2')", '7', '8', "(Pluto,94.273,(r)) (H1,34.308,(c)) (sextile,2')", "(H9,299.420,(r)) (Jupiter,359.450,(c)) (sextile,2')", "(H5,179.919,(r)) (Venus,149.942,(d)) (30-semisextile,1')\n(H4,147.741,(r)) (Venus,87.789,(c)) (sextile,3')", "(H1,67.041,(r)) (Moon,246.875,(c)) (opposition,10')", "(H1,67.041,(r)) (Mars,247.079,(d)) (opposition,2')", '14', "(Mars,208.930,(r)) (H4,209.101,(d)) (conjunction,10')\n(Mars,208.930,(r)) (H5,119.005,(c)) (square,5')\n(H7,247.041,(r)) (Mercury,127.015,(c)) (trine,2')\n(H8,273.486,(r)) (Mean_Node,243.432,(c)) (30-semisextile,3')", "(H4,147.741,(r)) (Mean_Node,357.677,(d)) (150-quincunx,4')\n(Mars,208.930,(r)) (H4,88.880,(c)) (trine,3')\n(H1,67.041,(r)) (Neptune,67.017,(c)) (conjunction,1')", 402]
['1916-09-06 05:12:47', "(H7,277.074,(r)) (Jupiter,37.112,(d)) (trine,2')", "(Uranus,316.720,(r)) (H1,106.714,(d)) (150-quincunx,0')\n(H10,2.106,(r)) (Sun,152.126,(c)) (150-quincunx,1')", "(Uranus,316.720,(r)) (H1,106.714,(d)) (150-quincunx,0')\n(Moon,266.743,(r)) (H12,56.731,(c)) (150-quincunx,1')\n(Saturn,116.806,(r)) (H12,56.731,(c)) (sextile,4')\n(H4,182.106,(r)) (Sun,152.126,(c)) (30-semisextile,1')", '3', "(Saturn,116.806,(r)) (H10,26.856,(d)) (square,3')\n(H1,97.074,(r)) (Mars,232.132,(d)) (135-sesquisquare,3')", "(Jupiter,35.175,(r)) (H10,335.215,(c)) (sextile,2')", "(Moon,266.743,(r)) (H12,41.653,(c)) (135-sesquisquare,5')", "(H7,277.074,(r)) (Mercury,217.133,(d)) (sextile,3')\n(Venus,117.478,(r)) (H7,252.492,(c)) (135-sesquisquare,1')", "(H1,97.074,(r)) (Mean_Node,322.146,(d)) (135-sesquisquare,4')", "(Jupiter,35.175,(r)) (H1,125.162,(d)) (square,1')\n(Jupiter,35.175,(r)) (H4,215.193,(d)) (opposition,1')\n(H1,97.074,(r)) (Jupiter,67.014,(d)) (30-semisextile,4')\n(H5,215.281,(r)) (H4,215.193,(d)) (conjunction,5')", '10', '11', '12', '13', '14', '15', "(Neptune,123.869,(r)) (H12,123.891,(d)) (conjunction,1')\n(H4,182.106,(r)) (Sun,227.094,(d)) (45-semisquare,1')", 240]
