Row 37: {'time': '2000-03-11 12:29:20', 'p_a_conj': 9, 'p_a_maj': 26, 'p_a_allm': 35, 'p_a_min': 30, 'e': 1, 'all_conj': 9}
Row 38: {'time': '2000-03-11 15:51:20', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_allm': 30, 'p_a_min': 29, 'e': 1, 'all_conj': 8}
Row 39: {'time': '2000-03-11 11:26:47', 'p_a_conj': 8, 'p_a_maj': 25, 'p_a_allm': 33, 'p_a_min': 30, 'e': 1, 'all_conj': 8}
Row 40: {'time': '2000-03-11 07:49:19', 'p_a_conj': 6, 'p_a_maj': 20, 'p_a_allm': 26, 'p_a_min': 28, 'e': 2, 'all_conj': 6}
Row 41: {'time': '2000-03-11 07:41:20', 'p_a_conj': 4, 'p_a_maj': 27, 'p_a_allm': 31, 'p_a_min': 37, 'e': 0, 'all_conj': 4}
Row 42: {'time': '2000-03-11 07:25:19', 'p_a_conj': 7, 'p_a_maj': 19, 'p_a_allm': 26, 'p_a_min': 30, 'e': 0, 'all_conj': 7}
Row 43: {'time': '2000-03-11 10:02:31', 'p_a_conj': 7, 'p_a_maj': 19, 'p_a_allm': 26, 'p_a_min': 26, 'e': 1, 'all_conj': 7}
Row 44: {'time': '2000-03-11 15:10:00', 'p_a_conj': 5, 'p_a_maj': 22, 'p_a_allm': 27, 'p_a_min': 38, 'e': 0, 'all_conj': 5}
Row 45: {'time': '2000-03-11 14:07:04', 'p_a_conj': 7, 'p_a_maj': 27, 'p_a_allm': 34, 'p_a_min': 38, 'e': 0, 'all_conj': 7}
Row 46: {'time': '2000-03-11 09:25:35', 'p_a_conj': 8, 'p_a_maj': 24, 'p_a_allm': 32, 'p_a_min': 29, 'e': 1, 'all_conj': 8}
Row 47: {'time': '2000-03-11 10:28:31', 'p_a_conj': 9, 'p_a_maj': 11, 'p_a_allm': 20, 'p_a_min': 28, 'e': 0, 'all_conj': 9}
Row 48: {'time': '2000-03-11 09:05:04', 'p_a_conj': 9, 'p_a_maj': 26, 'p_a_allm': 35, 'p_a_min': 30, 'e': 1, 'all_conj': 9}
Row 49: {'time': '2000-03-11 08:15:12', 'p_a_conj': 8, 'p_a_maj': 21, 'p_a_allm': 29, 'p_a_min': 28, 'e': 1, 'all_conj': 8}
Row 50: {'time': '2000-03-11 10:24:15', 'p_a_conj': 9, 'p_a_maj': 23, 'p_a_allm': 32, 'p_a_min': 31, 'e': 1, 'all_conj': 9}
Row 51: {'time': '2000-03-11 11:39:36', 'p_a_conj': 6, 'p_a_maj': 25, 'p_a_allm': 31, 'p_a_min': 26, 'e': 2, 'all_conj': 6}
Row 52: {'time': '2000-03-11 09:01:59', 'p_a_conj': 11, 'p_a_maj': 25, 'p_a_allm': 36, 'p_a_min': 31, 'e': 1, 'all_conj': 11}
Row 53: {'time': '2000-03-11 09:29:12', 'p_a_conj': 10, 'p_a_maj': 20, 'p_a_allm': 30, 'p_a_min': 28, 'e': 2, 'all_conj': 10}
