Row 37: {'time': '1813-05-22 20:16:23', 'p_a_conj': 4, 'p_a_maj': 8, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 34}
Row 38: {'time': '1813-05-22 21:45:44', 'p_a_conj': 5, 'p_a_maj': 9, 'p_a_min': 12, 'a_p_conj': 0, 'e': 2, 'total_count': 26}
Row 39: {'time': '1813-05-22 00:51:12', 'p_a_conj': 3, 'p_a_maj': 13, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 34}
Row 40: {'time': '1813-05-22 21:23:44', 'p_a_conj': 7, 'p_a_maj': 11, 'p_a_min': 7, 'a_p_conj': 0, 'e': 0, 'total_count': 25}
Row 41: {'time': '1813-05-22 22:49:59', 'p_a_conj': 7, 'p_a_maj': 11, 'p_a_min': 14, 'a_p_conj': 0, 'e': 1, 'total_count': 32}
Row 42: {'time': '1813-05-21 23:01:20', 'p_a_conj': 2, 'p_a_maj': 12, 'p_a_min': 16, 'a_p_conj': 0, 'e': 0, 'total_count': 30}
Row 43: {'time': '1813-05-22 04:59:11', 'p_a_conj': 7, 'p_a_maj': 16, 'p_a_min': 14, 'a_p_conj': 0, 'e': 0, 'total_count': 37}
Row 44: {'time': '1813-05-22 14:10:47', 'p_a_conj': 4, 'p_a_maj': 17, 'p_a_min': 14, 'a_p_conj': 0, 'e': 1, 'total_count': 35}
Row 45: {'time': '1813-05-22 14:48:39', 'p_a_conj': 3, 'p_a_maj': 12, 'p_a_min': 19, 'a_p_conj': 0, 'e': 0, 'total_count': 34}
Row 46: {'time': '1813-05-22 14:46:31', 'p_a_conj': 4, 'p_a_maj': 11, 'p_a_min': 19, 'a_p_conj': 0, 'e': 0, 'total_count': 34}
Row 47: {'time': '1813-05-22 17:04:23', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_min': 14, 'a_p_conj': 0, 'e': 1, 'total_count': 32}
Row 48: {'time': '1813-05-22 20:30:08', 'p_a_conj': 4, 'p_a_maj': 11, 'p_a_min': 8, 'a_p_conj': 0, 'e': 0, 'total_count': 23}
Row 49: {'time': '1813-05-22 15:50:31', 'p_a_conj': 1, 'p_a_maj': 12, 'p_a_min': 18, 'a_p_conj': 0, 'e': 1, 'total_count': 31}
Row 50: {'time': '1813-05-22 02:45:20', 'p_a_conj': 2, 'p_a_maj': 11, 'p_a_min': 13, 'a_p_conj': 0, 'e': 1, 'total_count': 26}
Row 51: {'time': '1813-05-22 03:45:59', 'p_a_conj': 3, 'p_a_maj': 9, 'p_a_min': 16, 'a_p_conj': 0, 'e': 1, 'total_count': 28}
Row 52: {'time': '1813-05-22 15:31:28', 'p_a_conj': 3, 'p_a_maj': 15, 'p_a_min': 15, 'a_p_conj': 0, 'e': 0, 'total_count': 33}
Row 53: {'time': '1813-05-21 23:34:00', 'p_a_conj': 3, 'p_a_maj': 10, 'p_a_min': 16, 'a_p_conj': 0, 'e': 1, 'total_count': 29}
Row 54: {'time': '1813-05-22 04:26:23', 'p_a_conj': 2, 'p_a_maj': 19, 'p_a_min': 19, 'a_p_conj': 0, 'e': 1, 'total_count': 40}
Row 55: {'time': '1813-05-21 23:14:47', 'p_a_conj': 4, 'p_a_maj': 10, 'p_a_min': 13, 'a_p_conj': 0, 'e': 1, 'total_count': 27}
Row 56: {'time': '1813-05-22 00:54:23', 'p_a_conj': 2, 'p_a_maj': 11, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 30}
Row 57: {'time': '1813-05-21 23:40:08', 'p_a_conj': 5, 'p_a_maj': 12, 'p_a_min': 11, 'a_p_conj': 0, 'e': 1, 'total_count': 28}
Row 58: {'time': '1813-05-22 20:47:12', 'p_a_conj': 4, 'p_a_maj': 9, 'p_a_min': 15, 'a_p_conj': 0, 'e': 0, 'total_count': 28}
Row 59: {'time': '1813-05-22 12:50:47', 'p_a_conj': 6, 'p_a_maj': 10, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 38}
Row 60: {'time': '1813-05-21 23:32:24', 'p_a_conj': 3, 'p_a_maj': 9, 'p_a_min': 20, 'a_p_conj': 0, 'e': 0, 'total_count': 32}
Row 61: {'time': '1813-05-22 06:42:00', 'p_a_conj': 4, 'p_a_maj': 13, 'p_a_min': 15, 'a_p_conj': 0, 'e': 1, 'total_count': 32}
Row 62: {'time': '1813-05-22 11:06:24', 'p_a_conj': 5, 'p_a_maj': 14, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 36}
Row 63: {'time': '1813-05-22 14:01:52', 'p_a_conj': 6, 'p_a_maj': 7, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 31}
Row 64: {'time': '1813-05-22 11:19:36', 'p_a_conj': 2, 'p_a_maj': 10, 'p_a_min': 16, 'a_p_conj': 0, 'e': 0, 'total_count': 28}
Row 65: {'time': '1813-05-22 01:42:31', 'p_a_conj': 1, 'p_a_maj': 9, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 28}
Row 66: {'time': '1813-05-22 02:11:20', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_min': 12, 'a_p_conj': 0, 'e': 0, 'total_count': 30}
Row 67: {'time': '1813-05-22 16:44:39', 'p_a_conj': 7, 'p_a_maj': 13, 'p_a_min': 15, 'a_p_conj': 0, 'e': 0, 'total_count': 35}
