['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 00:13:28', '0', "(Neptune,254.575,(r)) (H8,104.646,(c)) (150-quincunx,4')", "(Mars,303.826,(r)) (H12,303.951,(d)) (conjunction,8')", '3', '4', "(H4,76.178,(r)) (Neptune,286.259,(d)) (150-quincunx,5')", "(Mars,303.826,(r)) (H4,123.807,(d)) (opposition,1')\n(Jupiter,123.668,(r)) (H4,123.807,(d)) (conjunction,8')\n(H1,326.303,(r)) (Pluto,86.348,(d)) (trine,3')\n(Uranus,235.748,(r)) (H4,25.725,(c)) (150-quincunx,1')", "(Mars,303.826,(r)) (H8,123.744,(c)) (opposition,5')\n(H8,205.005,(r)) (H4,24.896,(c)) (opposition,6')", "(Pluto,350.505,(r)) (H4,125.588,(d)) (135-sesquisquare,5')\n(Pluto,350.505,(r)) (H1,260.584,(c)) (square,5')\n(H4,76.178,(r)) (Mean_Node,76.314,(c)) (conjunction,8')", "(Jupiter,123.668,(r)) (H1,258.724,(c)) (135-sesquisquare,3')", 203]
['1813-05-22 04:43:12', '0', '1', "(Saturn,288.920,(r)) (H8,289.048,(d)) (conjunction,8')\n(H1,85.713,(r)) (Neptune,265.693,(d)) (opposition,1')\n(H8,282.156,(r)) (Saturn,282.070,(c)) (conjunction,5')", "(H7,265.713,(r)) (Sun,85.673,(d)) (opposition,2')\n(H7,265.713,(r)) (Venus,85.570,(d)) (opposition,9')\n(H7,265.713,(r)) (Sun,25.702,(c)) (trine,1')", "(Sun,60.640,(r)) (H7,285.686,(d)) (135-sesquisquare,3')", '5', '6', '7', "(Moon,316.910,(r)) (H4,196.903,(d)) (trine,0')", '9', 152]
['1813-05-22 00:53:04', '0', "(Sun,60.486,(r)) (H12,240.436,(c)) (opposition,3')", "(H1,347.973,(r)) (Mean_Node,123.001,(c)) (135-sesquisquare,2')", "(Mars,303.836,(r)) (H7,123.813,(c)) (opposition,1')\n(Jupiter,123.672,(r)) (H7,123.813,(c)) (conjunction,8')", "(Mars,303.836,(r)) (H10,243.752,(c)) (sextile,5')\n(Jupiter,123.672,(r)) (H10,243.752,(c)) (trine,5')", "(Venus,59.570,(r)) (H12,269.610,(c)) (150-quincunx,2')\n(Mean_Node,134.348,(r)) (H8,164.388,(c)) (30-semisextile,2')\n(H1,347.973,(r)) (Sun,18.056,(c)) (30-semisextile,5')\n(H8,220.099,(r)) (Neptune,220.117,(c)) (conjunction,1')", '6', "(Mean_Node,134.348,(r)) (H4,134.367,(d)) (conjunction,1')", "(Uranus,235.747,(r)) (H5,55.906,(c)) (opposition,10')\n(H1,347.973,(r)) (Moon,258.034,(c)) (square,4')", '9', 210]
['1813-05-22 00:57:28', '0', '1', "(Mars,303.838,(r)) (H10,273.906,(d)) (30-semisextile,4')\n(H8,221.679,(r)) (Pluto,41.684,(d)) (opposition,0')\n(Mars,303.838,(r)) (H10,258.760,(c)) (45-semisquare,5')", "(Mercury,35.463,(r)) (H7,125.496,(c)) (square,2')", "(H7,170.554,(r)) (Uranus,260.576,(d)) (square,1')", "(Venus,59.574,(r)) (H1,59.527,(d)) (conjunction,3')", "(H5,104.745,(r)) (Uranus,164.825,(c)) (sextile,5')", "(Venus,59.574,(r)) (H12,29.658,(d)) (30-semisextile,5')\n(Neptune,254.575,(r)) (H12,29.658,(d)) (135-sesquisquare,5')", "(Mercury,35.463,(r)) (H4,35.342,(c)) (conjunction,7')", '9', 135]
['1813-05-22 13:26:39', "(Venus,60.214,(r)) (H5,0.247,(d)) (sextile,2')", "(Mean_Node,134.321,(r)) (H1,134.396,(c)) (conjunction,5')\n(Mean_Node,134.321,(r)) (H12,104.267,(c)) (30-semisextile,3')\n(H8,26.977,(r)) (H10,27.050,(c)) (conjunction,4')", "(Pluto,350.512,(r)) (H8,20.439,(c)) (30-semisextile,4')\n(H10,93.514,(r)) (Uranus,228.474,(c)) (135-sesquisquare,2')", '3', '4', "(Pluto,350.512,(r)) (H4,305.596,(d)) (45-semisquare,5')\n(H4,273.514,(r)) (Pluto,318.507,(c)) (45-semisquare,0')", '6', "(Pluto,350.512,(r)) (H12,200.568,(d)) (150-quincunx,3')\n(H4,273.514,(r)) (Neptune,303.449,(d)) (30-semisextile,4')\n(Mean_Node,134.321,(r)) (H4,224.372,(c)) (square,3')", '8', "(H4,273.514,(r)) (Mean_Node,183.450,(d)) (square,4')\n(H5,309.160,(r)) (Moon,9.230,(d)) (sextile,4')", 167]
['1813-05-22 12:37:43', "(Mars,304.026,(r)) (H5,348.936,(d)) (45-semisquare,5')\n(Jupiter,123.745,(r)) (H7,33.770,(d)) (square,1')\n(H10,82.251,(r)) (Venus,112.214,(d)) (30-semisextile,2')\n(Mean_Node,134.322,(r)) (H7,314.414,(c)) (opposition,5')", "(H10,82.251,(r)) (Moon,262.396,(c)) (opposition,9')\n(H10,82.251,(r)) (Pluto,292.180,(c)) (150-quincunx,4')", "(H10,82.251,(r)) (Neptune,262.152,(d)) (opposition,6')\n(Uranus,235.727,(r)) (H8,10.660,(c)) (135-sesquisquare,4')\n(Neptune,254.562,(r)) (H10,74.635,(c)) (opposition,4')", "(Sun,60.956,(r)) (H10,60.915,(c)) (conjunction,3')", '4', '5', '6', "(Uranus,235.727,(r)) (H12,190.790,(d)) (45-semisquare,4')\n(H4,262.251,(r)) (Pluto,22.221,(d)) (trine,2')\n(H5,298.406,(r)) (Mean_Node,178.406,(d)) (trine,0')", '8', "(Mean_Node,134.322,(r)) (H4,314.329,(d)) (opposition,0')\n(H4,262.251,(r)) (Mars,352.211,(d)) (square,2')\n(H4,262.251,(r)) (Jupiter,172.303,(d)) (square,3')", 259]
['1813-05-22 11:43:20', '0', "(Sun,60.920,(r)) (H8,60.816,(d)) (conjunction,6')\n(Mean_Node,134.324,(r)) (H10,134.185,(d)) (conjunction,8')", "(H8,6.344,(r)) (Pluto,336.270,(c)) (30-semisextile,4')", '3', "(Sun,60.920,(r)) (H10,91.007,(d)) (30-semisextile,5')", "(H8,6.344,(r)) (Pluto,6.510,(d)) (conjunction,10')\n(Moon,320.661,(r)) (H1,140.486,(c)) (opposition,10')\n(Pluto,350.511,(r)) (H1,140.486,(c)) (150-quincunx,1')", "(Pluto,350.511,(r)) (H1,200.500,(d)) (150-quincunx,1')\n(H5,286.444,(r)) (Jupiter,166.518,(d)) (trine,4')", '7', "(Uranus,235.728,(r)) (H5,235.627,(c)) (conjunction,6')\n(H5,286.444,(r)) (Jupiter,76.474,(c)) (150-quincunx,2')", "(Sun,60.920,(r)) (H4,300.940,(d)) (trine,1')", 174]
['1813-05-22 19:08:47', '0', '1', "(Sun,61.217,(r)) (H8,106.300,(d)) (45-semisquare,5')\n(Pluto,350.514,(r)) (H10,170.593,(c)) (opposition,5')", "(Mercury,36.326,(r)) (H5,6.278,(c)) (30-semisextile,3')", "(Moon,324.671,(r)) (H10,204.587,(d)) (trine,5')\n(H10,179.560,(r)) (Sun,44.479,(c)) (135-sesquisquare,5')\n(H10,179.560,(r)) (Moon,299.499,(c)) (trine,4')", "(H1,243.251,(r)) (Moon,288.337,(c)) (45-semisquare,5')", "(H5,27.140,(r)) (H1,207.089,(c)) (opposition,3')", "(H7,63.251,(r)) (Pluto,303.165,(c)) (trine,5')", "(Mars,304.131,(r)) (H4,304.291,(c)) (conjunction,10')\n(Uranus,235.716,(r)) (H1,205.806,(c)) (30-semisextile,5')", "(H5,27.140,(r)) (Mean_Node,207.246,(d)) (opposition,6')", 179]
['1813-05-22 22:57:59', "(Venus,60.702,(r)) (H10,180.672,(c)) (trine,2')", '1', "(Sun,61.370,(r)) (H1,286.319,(c)) (135-sesquisquare,3')", "(Mercury,36.510,(r)) (H7,156.499,(d)) (trine,1')\n(H5,77.960,(r)) (Jupiter,167.971,(d)) (square,1')\n(Sun,61.370,(r)) (H7,91.304,(c)) (30-semisextile,4')\n(Mercury,36.510,(r)) (H10,216.595,(c)) (opposition,5')\n(H10,239.269,(r)) (Mean_Node,104.253,(c)) (135-sesquisquare,1')", "(H5,77.960,(r)) (Uranus,257.971,(d)) (opposition,1')", "(Saturn,288.892,(r)) (H8,228.823,(d)) (sextile,4')\n(Mean_Node,134.300,(r)) (H12,314.408,(d)) (opposition,6')", "(H5,77.960,(r)) (Pluto,77.782,(d)) (conjunction,11')\n(Mercury,36.510,(r)) (H4,6.442,(c)) (30-semisextile,4')\n(H5,77.960,(r)) (Mean_Node,77.875,(c)) (conjunction,5')", "(H5,77.960,(r)) (Saturn,17.989,(d)) (sextile,2')", "(Mercury,36.510,(r)) (H1,246.570,(c)) (150-quincunx,4')\n(H1,296.593,(r)) (Jupiter,71.532,(c)) (135-sesquisquare,4')", "(Pluto,350.516,(r)) (H4,110.608,(d)) (trine,6')", 230]
['1813-05-22 02:27:12', "(H7,220.456,(r)) (Jupiter,70.521,(c)) (150-quincunx,4')", "(Mars,303.862,(r)) (H12,78.925,(d)) (135-sesquisquare,4')\n(Saturn,288.924,(r)) (H12,78.925,(d)) (150-quincunx,0')", "(H1,40.456,(r)) (Sun,70.428,(d)) (30-semisextile,2')", "(Mercury,35.533,(r)) (H5,155.494,(d)) (trine,2')\n(H7,220.456,(r)) (Sun,85.529,(d)) (135-sesquisquare,4')\n(H7,220.456,(r)) (Venus,85.414,(d)) (135-sesquisquare,3')\n(H10,287.073,(r)) (Mars,332.101,(d)) (45-semisquare,2')", "(Mean_Node,134.345,(r)) (H7,254.257,(d)) (trine,5')\n(Uranus,235.744,(r)) (H10,265.721,(c)) (30-semisextile,1')", "(Uranus,235.744,(r)) (H1,85.760,(d)) (150-quincunx,1')\n(H4,107.073,(r)) (Neptune,287.252,(d)) (opposition,11')\n(Moon,315.701,(r)) (H4,75.609,(c)) (trine,6')", "(Uranus,235.744,(r)) (H1,100.787,(d)) (135-sesquisquare,3')\n(Venus,59.651,(r)) (H4,59.572,(c)) (conjunction,5')", '7', '8', "(Uranus,235.744,(r)) (H4,55.611,(c)) (opposition,8')", 178]
