['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 07:03:59', '0', "(H3,89.284,(r)) (Mars,29.306,(d)) (sextile,1.36')", "(H10,301.069,(r)) (Sun,1.161,(d)) (sextile,5.50')", '3', '4', '5', '6', "(H1,29.698,(r)) (Saturn,29.679,(c)) (conjunction,1.10')", "(Pluto,252.897,(r)) (H8,252.959,(d)) (conjunction,3.73')", '9', '10', "(Uranus,318.697,(r)) (H4,138.547,(d)) (opposition,9.02')", '12', '13', '14', '15', 5]
['2000-03-11 07:37:11', '0', '1', "(Venus,327.324,(r)) (H3,87.415,(c)) (trine,5.48')", '3', '4', '5', '6', '7', '8', '9', "(H1,36.996,(r)) (Mars,37.065,(d)) (conjunction,4.19')", "(H3,96.958,(r)) (Uranus,336.951,(d)) (trine,0.42')\n(H7,216.996,(r)) (Uranus,336.951,(d)) (trine,2.66')", '12', "(Mean_Node,121.343,(r)) (POF,121.227,(d)) (conjunction,6.96')", '14', '15', 5]
['2000-03-11 06:56:39', "(Mars,21.294,(r)) (H4,111.361,(c)) (square,4.00')", "(H3,87.600,(r)) (Uranus,327.667,(d)) (trine,4.02')", '2', '3', '4', '5', '6', '7', "(H8,237.077,(r)) (Saturn,57.233,(d)) (opposition,9.37')\n(H8,237.077,(r)) (Pluto,236.993,(c)) (conjunction,5.05')", '9', "(Saturn,43.320,(r)) (H1,43.194,(d)) (conjunction,7.54')", "(H3,87.600,(r)) (Pluto,267.457,(d)) (opposition,8.57')", '12', "(Pluto,252.897,(r)) (POF,72.937,(c)) (opposition,2.37')", '14', '15', 7]
['2000-03-11 07:42:23', '0', '1', "(H1,38.133,(r)) (Venus,338.157,(d)) (sextile,1.45')\n(H3,98.171,(r)) (Venus,338.157,(d)) (trine,0.79')", "(Venus,327.328,(r)) (H9,267.280,(c)) (sextile,2.93')", '4', '5', '6', '7', '8', "(H10,310.469,(r)) (Venus,310.558,(c)) (conjunction,5.36')", '10', '11', "(Mars,21.318,(r)) (H1,21.477,(c)) (conjunction,9.56')", '13', "(H10,310.469,(r)) (Mars,40.482,(d)) (square,0.82')", '15', 6]
['2000-03-11 07:38:39', "(H4,129.543,(r)) (Mean_Node,129.595,(d)) (conjunction,3.12')\n(Mean_Node,121.343,(r)) (H4,121.381,(c)) (conjunction,2.27')", '1', '2', '3', '4', '5', "(H3,97.300,(r)) (Sun,337.370,(c)) (trine,4.21')\n(H7,217.317,(r)) (Sun,337.370,(c)) (trine,3.22')", '7', '8', '9', '10', "(Venus,327.325,(r)) (H4,147.475,(d)) (opposition,9.00')", "(Mars,21.316,(r)) (H10,291.337,(c)) (square,1.26')", "(POF,101.538,(r)) (Mean_Node,101.647,(c)) (conjunction,6.51')", '14', '15', 7]
['2000-03-11 07:55:59', "(H4,133.862,(r)) (Neptune,313.983,(d)) (opposition,7.31')\n(Neptune,305.684,(r)) (H4,125.596,(c)) (opposition,5.25')", '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', "(Mercury,333.436,(r)) (H10,333.320,(d)) (conjunction,6.97')\n(H10,313.862,(r)) (Mercury,314.035,(c)) (conjunction,10.40')", "(Neptune,305.684,(r)) (POF,125.803,(d)) (opposition,7.16')", "(POF,105.480,(r)) (Neptune,285.468,(c)) (opposition,0.73')", "(H10,313.862,(r)) (Moon,73.812,(d)) (trine,2.99')", 7]
['2000-03-11 05:55:04', '0', '1', '2', '3', '4', '5', '6', "(H8,223.148,(r)) (Venus,313.169,(c)) (square,1.23')", '8', '9', '10', "(Mean_Node,121.347,(r)) (H4,121.461,(d)) (conjunction,6.83')\n(Mean_Node,121.347,(r)) (POF,61.407,(c)) (sextile,3.57')\n(H4,104.751,(r)) (Mean_Node,104.894,(c)) (conjunction,8.61')", '12', '13', '14', "(Mercury,333.468,(r)) (H9,273.518,(d)) (sextile,2.99')\n(H1,14.360,(r)) (Jupiter,14.509,(c)) (conjunction,8.91')", 6]
['2000-03-11 07:14:47', '0', '1', "(H10,303.687,(r)) (Moon,63.623,(d)) (trine,3.86')", '3', '4', '5', '6', '7', '8', '9', "(H1,32.078,(r)) (Uranus,302.122,(c)) (square,2.64')", '11', '12', '13', '14', '15', 2]
['2000-03-11 07:53:51', '0', '1', "(H1,40.637,(r)) (Sun,340.708,(c)) (sextile,4.28')", '3', '4', '5', '6', '7', '8', "(Moon,55.410,(r)) (H1,55.562,(d)) (conjunction,9.14')", '10', '11', '12', '13', "(Neptune,305.684,(r)) (POF,125.543,(d)) (opposition,8.43')\n(H1,40.637,(r)) (Mars,40.594,(d)) (conjunction,2.56')", '15', 4]
['2000-03-11 06:35:51', "(H7,203.466,(r)) (Mean_Node,113.424,(c)) (square,2.53')", '1', '2', '3', "(Jupiter,34.702,(r)) (H1,34.545,(d)) (conjunction,9.39')\n(H1,23.466,(r)) (Jupiter,23.312,(c)) (conjunction,9.25')", '5', '6', '7', '8', '9', '10', '11', '12', "(H4,114.335,(r)) (Saturn,24.291,(c)) (square,2.64')", '14', "(H9,262.840,(r)) (Mean_Node,142.886,(d)) (trine,2.78')", 5]
