['Time', '0: 2017-01-31', '1: 2018-10-10', '2: 2018-04-15', '3: 2018-01-28', '4: 2016-10-05', '5: 2016-01-28', '6: 2015-11-04', '7: 2015-03-27', '8: 2015-03-16', '9: 2011-12-07', 'Count']
['2000-03-11 14:06:56', "(H3,202.446,(r)) (Jupiter,203.088,(p)) (conjunction,38.52')\n(H1,127.500,(r)) (Venus,68.450,(c)) (sextile,57.00')\n(H1,127.500,(r)) (Uranus,248.538,(c)) (trine,62.31')", "(H1,127.500,(r)) (Jupiter,187.887,(c)) (sextile,23.25')\n(H10,51.735,(r)) (Venus,171.760,(c)) (trine,1.47')", "(H10,51.735,(r)) (Jupiter,231.160,(p)) (opposition,34.54')\n(H1,127.500,(r)) (Mercury,306.716,(c)) (opposition,47.03')", "(H1,127.500,(r)) (Sun,308.511,(p)) (opposition,60.66')\n(H10,51.735,(r)) (Jupiter,230.869,(p)) (opposition,52.01')", "(H3,202.446,(r)) (Uranus,22.910,(p)) (opposition,27.83')\n(H1,127.500,(r)) (Moon,246.644,(c)) (trine,51.34')\n(H3,202.446,(r)) (Sun,143.229,(c)) (sextile,46.99')\n(H3,202.446,(r)) (Mean_Node,81.800,(c)) (trine,38.73')", "(H1,127.500,(r)) (Sun,307.988,(p)) (opposition,29.27')\n(H10,51.735,(r)) (Jupiter,172.581,(p)) (trine,50.71')", "(H3,202.446,(r)) (Moon,142.790,(p)) (sextile,20.67')", "(POF,195.230,(r)) (Uranus,15.880,(p)) (opposition,39.03')\n(H1,127.500,(r)) (Sun,6.500,(p)) (trine,60.01')", "(POF,195.230,(r)) (Uranus,15.267,(p)) (opposition,2.25')\n(H3,202.446,(r)) (Venus,21.575,(c)) (opposition,52.24')", "(H1,127.500,(r)) (Mercury,247.762,(p)) (trine,15.72')\n(H9,22.446,(r)) (Mercury,81.514,(c)) (sextile,55.89')\n(H10,51.735,(r)) (Jupiter,52.597,(c)) (conjunction,51.71')", 23]
['2000-03-11 14:27:28', "(POF,201.390,(r)) (Uranus,21.026,(p)) (opposition,21.82')\n(H10,56.761,(r)) (Venus,357.433,(p)) (sextile,40.32')\n(H3,208.272,(r)) (Mean_Node,88.047,(c)) (trine,13.53')", "(H10,56.761,(r)) (Uranus,236.075,(c)) (opposition,41.19')", "(H3,208.272,(r)) (Uranus,28.308,(p)) (opposition,2.16')", "(H1,133.474,(r)) (Venus,313.103,(p)) (opposition,22.24')", "(H1,133.474,(r)) (Sun,192.675,(p)) (sextile,47.94')\n(H10,56.761,(r)) (Mercury,177.071,(p)) (trine,18.58')", "(H1,133.474,(r)) (Uranus,253.015,(c)) (trine,27.53')", '6', "(H1,133.474,(r)) (Jupiter,132.825,(p)) (conjunction,38.93')", "(H1,133.474,(r)) (Jupiter,133.433,(p)) (conjunction,2.46')\n(H3,208.272,(r)) (Venus,28.881,(p)) (opposition,36.51')\n(POF,201.390,(r)) (Venus,21.582,(c)) (opposition,11.52')\n(H10,56.761,(r)) (Moon,175.679,(c)) (trine,64.96')", "(POF,201.390,(r)) (Venus,81.138,(c)) (trine,15.07')\n(H9,28.272,(r)) (Moon,87.651,(c)) (sextile,37.25')\n(H9,28.272,(r)) (Uranus,269.278,(c)) (trine,60.36')", 17]
['2000-03-11 06:48:56', "(H10,297.448,(r)) (Venus,357.433,(p)) (sextile,0.89')", '1', "(H1,26.366,(r)) (Sun,25.467,(p)) (conjunction,53.89')\n(H3,85.828,(r)) (Sun,25.467,(p)) (sextile,21.65')", "(H1,26.366,(r)) (Moon,85.691,(p)) (sextile,40.45')\n(H3,85.828,(r)) (Moon,85.691,(p)) (conjunction,8.21')\n(H3,85.828,(r)) (Uranus,24.859,(p)) (sextile,58.14')", "(H10,297.448,(r)) (Mercury,177.071,(p)) (trine,22.63')", "(H10,297.448,(r)) (Moon,178.515,(p)) (trine,64.02')", '6', '7', '8', "(POF,90.138,(r)) (Uranus,269.304,(c)) (opposition,50.06')", 9]
['2000-03-11 10:25:59', "(H10,353.389,(r)) (Moon,354.458,(p)) (conjunction,64.13')", "(H10,353.389,(r)) (Jupiter,233.901,(p)) (trine,30.73')\n(POF,139.340,(r)) (Sun,138.592,(c)) (conjunction,44.85')\n(POF,139.340,(r)) (Mercury,139.797,(c)) (conjunction,27.44')\n(H3,138.964,(r)) (Sun,138.592,(c)) (conjunction,22.28')\n(H3,138.964,(r)) (Mercury,139.797,(c)) (conjunction,50.00')", "(H3,138.964,(r)) (Moon,18.097,(p)) (trine,52.02')\n(H10,353.389,(r)) (Venus,293.983,(c)) (sextile,35.64')", "(H1,73.607,(r)) (Venus,313.103,(p)) (trine,30.23')", "(H1,73.607,(r)) (Sun,192.675,(p)) (trine,55.93')", "(H10,353.389,(r)) (Jupiter,172.581,(p)) (opposition,48.52')\n(H1,73.607,(r)) (Uranus,253.025,(c)) (opposition,34.95')\n(H3,138.964,(r)) (Venus,19.127,(c)) (trine,9.76')", '6', "(H1,73.607,(r)) (Jupiter,132.825,(p)) (sextile,46.91')\n(H10,353.389,(r)) (Mercury,353.465,(p)) (conjunction,4.56')", "(H1,73.607,(r)) (Jupiter,133.433,(p)) (sextile,10.45')", "(H10,353.389,(r)) (Jupiter,52.530,(c)) (sextile,51.57')", 17]
['2000-03-11 08:15:44', "(POF,109.950,(r)) (Mercury,290.154,(p)) (opposition,12.23')", "(H10,318.847,(r)) (Sun,138.419,(c)) (opposition,25.68')\n(H10,318.847,(r)) (Mercury,139.430,(c)) (opposition,35.00')", "(H10,318.847,(r)) (Moon,18.097,(p)) (sextile,45.00')", "(H1,45.394,(r)) (Mercury,45.279,(c)) (conjunction,6.90')\n(H3,106.030,(r)) (Mercury,45.279,(c)) (sextile,45.03')", "(H1,45.394,(r)) (Venus,224.474,(p)) (opposition,55.21')", "(H1,45.394,(r)) (Mercury,285.333,(p)) (trine,3.66')\n(H3,106.030,(r)) (Mercury,285.333,(p)) (opposition,41.80')\n(H10,318.847,(r)) (Venus,18.904,(c)) (sextile,3.42')", '6', '7', "(H3,106.030,(r)) (Sun,346.553,(c)) (trine,31.40')\n(H10,318.847,(r)) (Uranus,257.876,(c)) (sextile,58.26')", '9', 12]
['2000-03-11 08:47:52', "(H3,113.785,(r)) (Moon,354.458,(p)) (trine,40.37')\n(POF,117.199,(r)) (Moon,117.738,(c)) (conjunction,32.35')", "(H3,113.785,(r)) (Jupiter,233.901,(p)) (trine,6.97')\n(H10,327.122,(r)) (Moon,266.076,(c)) (sextile,62.79')", "(H3,113.785,(r)) (Venus,294.015,(c)) (opposition,13.76')", '3', '4', "(H1,52.352,(r)) (Jupiter,172.581,(p)) (trine,13.71')\n(H3,113.785,(r)) (Mean_Node,174.153,(p)) (sextile,22.05')", "(H3,113.785,(r)) (Sun,114.816,(c)) (conjunction,61.84')", "(H3,113.785,(r)) (Mercury,353.465,(p)) (trine,19.20')", '8', "(H1,52.352,(r)) (Jupiter,52.500,(c)) (conjunction,8.86')", 10]
['2000-03-11 08:08:48', '0', "(H10,317.087,(r)) (Sun,197.131,(p)) (trine,2.63')", "(H10,317.087,(r)) (Moon,18.097,(p)) (sextile,60.60')\n(H10,317.087,(r)) (Sun,316.036,(c)) (conjunction,63.03')", "(H3,104.381,(r)) (Mercury,45.260,(c)) (sextile,52.75')", "(H1,43.888,(r)) (Venus,224.474,(p)) (opposition,35.16')\n(H3,104.381,(r)) (Venus,224.474,(p)) (trine,5.58')", "(H3,104.381,(r)) (Mercury,285.333,(p)) (opposition,57.12')\n(H10,317.087,(r)) (Uranus,17.032,(p)) (sextile,3.28')\n(H1,43.888,(r)) (Jupiter,282.894,(c)) (trine,59.67')", "(H10,317.087,(r)) (Uranus,17.593,(p)) (sextile,30.40')\n(H10,317.087,(r)) (Mercury,137.590,(c)) (opposition,30.17')", "(H10,317.087,(r)) (Venus,16.819,(c)) (sextile,16.07')\n(H10,317.087,(r)) (Uranus,257.670,(c)) (sextile,34.97')", "(H10,317.087,(r)) (Uranus,257.876,(c)) (sextile,47.33')", "(H1,43.888,(r)) (Venus,283.604,(p)) (trine,17.07')\n(H9,284.381,(r)) (Venus,283.604,(p)) (conjunction,46.65')", 16]
['2000-03-11 13:13:11', '0', "(H1,112.861,(r)) (Jupiter,233.901,(p)) (trine,62.45')\n(H3,186.851,(r)) (Jupiter,187.874,(c)) (conjunction,61.38')", "(H1,112.861,(r)) (Venus,293.932,(c)) (opposition,64.27')\n(H3,186.851,(r)) (Mercury,306.790,(c)) (trine,3.68')", '3', '4', "(H1,112.861,(r)) (Jupiter,172.581,(p)) (sextile,16.80')", '6', "(H1,112.861,(r)) (Mercury,353.465,(p)) (trine,36.29')\n(H3,186.851,(r)) (Sun,6.500,(p)) (opposition,21.11')\n(H10,38.216,(r)) (Moon,98.571,(p)) (sextile,21.28')", "(POF,180.105,(r)) (Mercury,1.064,(c)) (opposition,57.56')\n(H3,186.851,(r)) (Jupiter,306.339,(c)) (trine,30.75')", "(POF,180.105,(r)) (Uranus,0.645,(p)) (opposition,32.45')\n(H9,6.851,(r)) (Mercury,247.762,(p)) (trine,54.62')\n(H1,112.861,(r)) (Jupiter,52.581,(c)) (sextile,16.78')", 13]
['2000-03-11 13:08:39', '0', "(H1,111.686,(r)) (Venus,171.663,(c)) (sextile,1.36')", "(H1,111.686,(r)) (Jupiter,231.160,(p)) (trine,31.55')\n(H3,185.521,(r)) (Mercury,4.778,(p)) (opposition,44.58')", "(H1,111.686,(r)) (Jupiter,230.869,(p)) (trine,49.02')", "(H3,185.521,(r)) (Jupiter,185.608,(p)) (conjunction,5.21')\n(H3,185.521,(r)) (Moon,245.632,(c)) (sextile,6.64')\n(H3,185.521,(r)) (Uranus,245.072,(c)) (sextile,26.93')\n(H10,37.051,(r)) (Venus,156.343,(c)) (trine,42.47')", "(POF,178.889,(r)) (Moon,178.515,(p)) (conjunction,22.42')\n(H1,111.686,(r)) (Jupiter,172.581,(p)) (sextile,53.69')", '6', "(H3,185.521,(r)) (Sun,6.500,(p)) (opposition,58.71')", "(H3,185.521,(r)) (Jupiter,306.338,(c)) (trine,49.00')", "(H1,111.686,(r)) (Jupiter,52.579,(c)) (sextile,53.63')", 13]
['2000-03-11 09:21:04', '0', "(H3,122.030,(r)) (Mean_Node,121.936,(p)) (conjunction,5.61')", "(H10,335.865,(r)) (Moon,95.091,(c)) (trine,46.41')", "(H10,335.865,(r)) (Jupiter,215.809,(c)) (trine,3.36')", "(H3,122.030,(r)) (Moon,241.761,(p)) (trine,16.14')\n(H3,122.030,(r)) (Moon,241.657,(c)) (trine,22.35')\n(H3,122.030,(r)) (Jupiter,241.559,(c)) (trine,28.27')\n(H10,335.865,(r)) (Venus,156.493,(c)) (opposition,37.69')", "(H1,59.520,(r)) (Moon,178.515,(p)) (trine,60.31')\n(H10,335.865,(r)) (Venus,275.714,(p)) (sextile,9.03')", "(H10,335.865,(r)) (Jupiter,275.898,(c)) (sextile,1.98')", "(POF,124.666,(r)) (Jupiter,303.945,(c)) (opposition,43.29')\n(H10,335.865,(r)) (Sun,335.608,(c)) (conjunction,15.38')", "(H3,122.030,(r)) (Moon,301.065,(p)) (opposition,57.88')\n(H10,335.865,(r)) (Mercury,335.078,(p)) (conjunction,47.21')\n(H1,59.520,(r)) (Mercury,0.491,(c)) (sextile,58.25')", '9', 15]
