['Time', '0: 2017-01-31', '1: 2018-10-10', '2: 2018-04-15', '3: 2018-01-28', '4: 2016-10-05', '5: 2016-01-28', '6: 2015-11-04', '7: 2015-03-27', '8: 2015-03-16', '9: 2011-12-07', 'Count']
['2000-03-11 14:06:56', '0', "(Uranus,318.712,(r)) (POF,318.890,(c)) (conjunction,10.68')\n(Moon,182.713,(c)) (H3,182.263,(c)) (conjunction,26.99')\n(Mean_Node,122.313,(c)) (H3,182.263,(c)) (sextile,3.00')", "(Jupiter,34.766,(r)) (H10,34.666,(c)) (conjunction,5.99')", "(Jupiter,34.766,(r)) (H10,34.874,(c)) (conjunction,6.49')", "(Moon,279.323,(p)) (H3,219.273,(p)) (sextile,3.00')", "(Sun,351.310,(r)) (H1,111.471,(c)) (trine,9.65')", '6', '7', '8', '9', 7]
['2000-03-11 14:27:28', "(Mercury,346.781,(c)) (POF,346.683,(c)) (conjunction,5.89')", "(Jupiter,34.769,(r)) (H1,154.694,(p)) (trine,4.49')", '2', '3', '4', "(Moon,271.374,(p)) (H1,151.479,(p)) (trine,6.32')", "(H3,208.272,(r)) (Moon,268.622,(p)) (sextile,20.99')", '7', '8', "(H9,28.272,(r)) (Moon,268.007,(c)) (trine,15.90')", 5]
['2000-03-11 06:48:56', "(Moon,279.556,(p)) (H1,39.888,(p)) (trine,19.94')\n(Moon,279.556,(p)) (H3,100.050,(p)) (opposition,29.65')\n(Mercury,340.009,(p)) (H1,39.888,(p)) (sextile,7.24')\n(Mercury,340.009,(p)) (H3,100.050,(p)) (trine,2.47')", '1', "(Mercury,341.199,(p)) (H3,101.075,(p)) (trine,7.48')", "(Mercury,340.986,(p)) (H3,100.895,(p)) (trine,5.46')", "(Mercury,339.700,(p)) (H1,39.632,(p)) (sextile,4.10')\n(Mercury,339.700,(p)) (H3,99.775,(p)) (trine,4.48')", "(Mercury,339.061,(p)) (H1,39.087,(p)) (sextile,1.57')\n(Mercury,339.061,(p)) (H3,99.191,(p)) (trine,7.78')", "(Mercury,338.850,(p)) (H1,38.903,(p)) (sextile,3.16')\n(Mercury,338.850,(p)) (H3,98.993,(p)) (trine,8.59')", "(Mercury,338.312,(p)) (H1,38.421,(p)) (sextile,6.53')\n(Mercury,338.312,(p)) (H3,98.478,(p)) (trine,9.94')\n(Moon,224.559,(c)) (H10,284.264,(c)) (sextile,17.68')", "(Mercury,338.286,(p)) (H1,38.397,(p)) (sextile,6.66')\n(Mercury,338.286,(p)) (H3,98.452,(p)) (trine,9.97')", "(Mercury,335.749,(p)) (H1,35.797,(p)) (sextile,2.88')\n(Mercury,335.749,(p)) (H9,275.686,(p)) (sextile,3.77')", 19]
['2000-03-11 10:25:59', "(Venus,327.469,(r)) (H1,87.300,(p)) (trine,10.14')", "(Jupiter,34.735,(r)) (H10,334.684,(c)) (sextile,3.04')\n(Moon,180.625,(c)) (H3,120.911,(c)) (sextile,17.16')", "(Mean_Node,121.337,(r)) (H3,121.378,(c)) (conjunction,2.43')", "(H10,353.389,(r)) (Moon,293.076,(p)) (sextile,18.79')", '4', '5', "(Jupiter,34.735,(r)) (H3,154.746,(p)) (trine,0.71')\n(Moon,266.643,(p)) (H1,86.275,(p)) (opposition,22.08')", "(H3,138.964,(r)) (Moon,259.429,(p)) (trine,27.89')", "(H3,138.964,(r)) (Moon,259.070,(p)) (trine,6.38')", '9', 9]
['2000-03-11 08:15:44', "(Jupiter,34.716,(r)) (H10,334.845,(p)) (sextile,7.75')\n(Jupiter,31.463,(c)) (H1,31.632,(c)) (conjunction,10.14')\n(Jupiter,31.463,(c)) (H3,91.302,(c)) (sextile,9.66')", "(Moon,300.336,(p)) (H1,60.016,(p)) (trine,19.21')", '2', '3', "(Venus,327.357,(r)) (POF,327.358,(p)) (conjunction,0.08')\n(Jupiter,34.716,(r)) (H10,334.534,(p)) (sextile,10.92')\n(Jupiter,31.521,(c)) (H3,91.585,(c)) (sextile,3.83')", "(Uranus,319.457,(p)) (POF,319.379,(p)) (conjunction,4.64')", '6', "(H3,106.030,(r)) (Venus,345.938,(p)) (trine,5.50')\n(H10,318.847,(r)) (Moon,258.354,(p)) (sextile,29.54')\n(H1,45.394,(r)) (Moon,225.306,(c)) (opposition,5.27')\n(H3,106.030,(r)) (Mercury,346.013,(c)) (trine,1.01')", "(H3,106.030,(r)) (Venus,345.901,(p)) (trine,7.73')\n(H1,45.394,(r)) (Moon,225.678,(c)) (opposition,17.04')\n(H3,106.030,(r)) (Moon,225.678,(c)) (trine,21.09')\n(H3,106.030,(r)) (Mercury,345.995,(c)) (trine,2.10')", '9', 16]
['2000-03-11 08:47:52', '0', '1', '2', "(H1,52.352,(r)) (Moon,292.268,(p)) (trine,5.06')", '4', '5', '6', '7', '8', "(Moon,218.150,(p)) (H10,338.423,(p)) (trine,16.37')\n(Mercury,343.365,(c)) (H9,283.328,(c)) (sextile,2.26')", 3]
['2000-03-11 08:08:48', '0', "(Jupiter,34.715,(r)) (H10,334.633,(p)) (sextile,4.91')\n(Moon,55.555,(r)) (POF,235.588,(c)) (opposition,1.94')", "(Mean_Node,120.384,(p)) (H3,120.419,(p)) (conjunction,2.09')", "(Mercury,341.041,(p)) (POF,341.093,(p)) (conjunction,3.10')\n(Mean_Node,120.395,(p)) (H3,120.227,(p)) (conjunction,10.09')", '4', '5', '6', "(Jupiter,31.796,(c)) (H1,31.649,(c)) (conjunction,8.82')", "(Moon,55.555,(r)) (H1,55.722,(p)) (conjunction,9.99')\n(Jupiter,31.802,(c)) (H1,31.674,(c)) (conjunction,7.65')", '9', 8]
['2000-03-11 13:13:11', "(Venus,327.612,(r)) (POF,327.469,(c)) (conjunction,8.60')\n(H3,186.851,(r)) (Venus,306.741,(c)) (trine,6.64')", '1', "(Mercury,347.106,(c)) (H3,167.046,(c)) (opposition,3.63')", "(Moon,294.455,(p)) (H10,54.524,(p)) (trine,4.14')", "(H10,38.216,(r)) (Jupiter,38.307,(p)) (conjunction,5.43')", "(H10,38.216,(r)) (Jupiter,38.154,(p)) (conjunction,3.72')", "(H3,186.851,(r)) (Sun,6.824,(p)) (opposition,1.64')\n(H10,38.216,(r)) (Jupiter,38.103,(p)) (conjunction,6.82')", '7', '8', "(Uranus,319.281,(p)) (H9,19.304,(p)) (sextile,1.41')\n(Moon,267.397,(c)) (H10,26.880,(c)) (trine,31.02')", 10]
['2000-03-11 13:08:39', '0', "(Jupiter,34.758,(r)) (H1,94.649,(c)) (sextile,6.53')\n(Uranus,318.710,(r)) (H10,18.774,(c)) (sextile,3.82')", '2', "(H3,185.521,(r)) (Venus,305.513,(c)) (trine,0.47')", '4', "(H10,37.051,(r)) (Moon,217.381,(c)) (opposition,19.83')\n(Moon,217.381,(c)) (H1,97.071,(c)) (trine,18.58')", "(Sun,351.269,(r)) (H10,51.417,(p)) (sextile,8.87')", '7', '8', '9', 6]
['2000-03-11 09:21:04', '0', "(Uranus,319.574,(p)) (H3,139.691,(p)) (opposition,7.02')\n(H1,59.520,(r)) (Moon,180.009,(c)) (trine,29.34')\n(Uranus,317.693,(c)) (H10,317.817,(c)) (conjunction,7.44')", '2', '3', "(Mercury,346.741,(c)) (H3,106.890,(c)) (trine,8.96')", "(H10,335.865,(r)) (Moon,215.388,(c)) (trine,28.61')", "(Sun,351.112,(r)) (H10,351.223,(p)) (conjunction,6.70')", "(H10,335.865,(r)) (Sun,336.032,(c)) (conjunction,10.08')", '8', "(H10,335.865,(r)) (Mercury,335.821,(p)) (conjunction,2.61')\n(Sun,351.112,(r)) (H9,291.274,(c)) (sextile,9.76')", 9]
