['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2013-12-12', '3: 2014-03-24', '4: 2015-05-27', '5: 2017-09-15', '6: 2018-02-19', '7: 2019-05-22', '8: 2019-08-13', '9: 2021-04-06', '10: 2021-07-10', '11: 2022-01-03', '12: 2022-05-25', '13: 2024-02-28', '14: 2024-03-08', '15: 1994-07-02', '16: 1997-08-13', '17: 1997-11-16', '18: 2021-02-20', 'Count']
['2000-03-11 17:09:28', "(H3,250.479,(r)) (Sun,340.412,(c)) (square,4')", "(Venus,327.815,(r)) (H4,282.852,(d)) (45-semisquare,2')\n(Pluto,252.898,(r)) (H4,282.852,(d)) (30-semisextile,3')\n(H3,250.479,(r)) (Mean_Node,130.436,(d)) (trine,3')", "(Saturn,43.360,(r)) (H12,133.369,(c)) (square,1')", '3', "(H3,250.479,(r)) (Mars,40.452,(d)) (150-quincunx,2')\n(Mean_Node,121.322,(r)) (H1,166.333,(c)) (45-semisquare,1')", "(Uranus,318.719,(r)) (H10,78.790,(c)) (trine,4')", "(Moon,60.817,(r)) (H7,30.740,(d)) (30-semisextile,5')", "(Mars,21.611,(r)) (H3,231.660,(c)) (150-quincunx,3')", "(Saturn,43.360,(r)) (H3,268.430,(d)) (135-sesquisquare,4')\n(Sun,351.436,(r)) (H3,231.429,(c)) (trine,0')", '9', "(H1,187.018,(r)) (Saturn,67.106,(d)) (trine,5')", "(H3,250.479,(r)) (Mean_Node,100.491,(c)) (150-quincunx,1')", '12', "(Jupiter,34.792,(r)) (H1,154.742,(c)) (trine,3')\n(H4,274.657,(r)) (Mercury,304.641,(c)) (30-semisextile,1')", "(Jupiter,34.792,(r)) (H1,154.710,(c)) (trine,5')\n(H10,94.657,(r)) (Mercury,304.615,(c)) (150-quincunx,3')", "(Neptune,305.695,(r)) (H12,155.785,(d)) (150-quincunx,5')\n(H1,187.018,(r)) (Mean_Node,127.034,(d)) (sextile,1')\n(Sun,351.436,(r)) (H8,36.345,(c)) (45-semisquare,5')", "(H1,187.018,(r)) (Uranus,322.037,(d)) (135-sesquisquare,1')", '17', "(H4,274.657,(r)) (Pluto,274.819,(d)) (conjunction,10')\n(Neptune,305.695,(r)) (H12,125.632,(c)) (opposition,4')", 293]
['2000-03-11 02:52:08', '0', '1', "(H3,30.332,(r)) (Saturn,30.274,(c)) (conjunction,3')\n(H10,242.236,(r)) (Pluto,242.073,(c)) (conjunction,10')", "(Uranus,318.688,(r)) (H4,48.776,(c)) (square,5')", "(Mean_Node,121.354,(r)) (H10,256.323,(d)) (135-sesquisquare,2')", "(Uranus,318.688,(r)) (H1,348.707,(d)) (30-semisextile,1')\n(H1,333.341,(r)) (Uranus,303.369,(c)) (30-semisextile,2')", "(H4,62.236,(r)) (Jupiter,17.170,(c)) (45-semisquare,4')", "(Uranus,318.688,(r)) (H3,48.596,(d)) (square,6')\n(H1,333.341,(r)) (Sun,333.325,(c)) (conjunction,1')", "(Saturn,43.303,(r)) (H10,223.463,(c)) (opposition,10')\n(H10,242.236,(r)) (Mars,2.203,(c)) (trine,2')", "(H3,30.332,(r)) (Uranus,300.293,(c)) (square,2')\n(H10,242.236,(r)) (Neptune,287.198,(c)) (45-semisquare,2')", "(H9,210.332,(r)) (Mars,0.326,(c)) (150-quincunx,0')", "(Moon,52.479,(r)) (H1,352.508,(d)) (sextile,2')", '12', '13', '14', '15', "(Neptune,305.677,(r)) (H1,335.587,(d)) (30-semisextile,5')\n(H1,333.341,(r)) (Neptune,303.428,(c)) (30-semisextile,5')", "(H1,333.341,(r)) (Mean_Node,123.402,(d)) (150-quincunx,4')\n(Mean_Node,121.354,(r)) (H1,331.327,(c)) (150-quincunx,2')", "(H4,62.236,(r)) (Neptune,287.306,(c)) (135-sesquisquare,4')", 252]
['2000-03-11 09:23:36', '0', '1', "(Sun,351.113,(r)) (H10,351.124,(d)) (conjunction,1')", "(H4,156.539,(r)) (Sun,336.669,(c)) (opposition,8')", "(Pluto,252.897,(r)) (H1,73.038,(d)) (opposition,8')", "(Uranus,318.702,(r)) (H10,318.593,(c)) (conjunction,7')", "(Sun,351.113,(r)) (H3,141.171,(d)) (150-quincunx,3')\n(H3,122.670,(r)) (Sun,332.705,(c)) (150-quincunx,2')", "(H1,60.067,(r)) (Saturn,60.018,(d)) (conjunction,3')\n(Mercury,333.413,(r)) (H12,18.417,(c)) (45-semisquare,0')", "(H1,60.067,(r)) (Saturn,60.216,(d)) (conjunction,9')\n(H3,122.670,(r)) (Mars,2.593,(c)) (trine,5')", '9', "(H1,60.067,(r)) (Neptune,285.010,(c)) (135-sesquisquare,3')", "(Uranus,318.702,(r)) (H1,78.752,(d)) (trine,3')\n(H10,336.539,(r)) (Moon,36.455,(c)) (sextile,5')", "(H9,302.670,(r)) (Saturn,62.637,(d)) (trine,2')", '13', '14', "(H1,60.067,(r)) (Moon,60.129,(d)) (conjunction,4')\n(H8,270.110,(r)) (Moon,60.129,(d)) (150-quincunx,1')", '16', "(H1,60.067,(r)) (Mercury,330.141,(c)) (square,4')", '18', 277]
['2000-03-11 16:08:47', "(Saturn,43.356,(r)) (H10,88.376,(d)) (45-semisquare,1')\n(Pluto,252.898,(r)) (H10,72.934,(c)) (opposition,2')", '1', '2', "(Mercury,333.313,(r)) (H4,273.393,(d)) (sextile,5')\n(H7,346.036,(r)) (Mean_Node,136.081,(d)) (150-quincunx,3')\n(Venus,327.763,(r)) (H7,327.711,(c)) (conjunction,3')", '4', '5', "(Pluto,252.898,(r)) (H3,252.852,(d)) (conjunction,3')", "(Mercury,333.313,(r)) (H12,153.473,(d)) (opposition,10')\n(Sun,351.394,(r)) (H1,141.315,(c)) (150-quincunx,5')", "(Sun,351.394,(r)) (H12,111.484,(c)) (trine,5')", "(Neptune,305.693,(r)) (H12,155.722,(d)) (150-quincunx,2')\n(H3,235.460,(r)) (Mars,355.382,(c)) (trine,5')", "(Uranus,318.717,(r)) (H1,138.730,(c)) (opposition,1')\n(H10,80.686,(r)) (Saturn,20.775,(c)) (sextile,5')", '11', "(H1,166.036,(r)) (Uranus,346.119,(d)) (opposition,5')\n(Uranus,318.717,(r)) (H12,108.768,(c)) (150-quincunx,3')", "(Moon,60.226,(r)) (H3,210.265,(c)) (150-quincunx,2')\n(H4,260.686,(r)) (Sun,320.636,(c)) (sextile,3')", "(Moon,60.226,(r)) (H3,210.237,(c)) (150-quincunx,1')\n(H10,80.686,(r)) (Sun,320.606,(c)) (trine,5')", "(H10,80.686,(r)) (Saturn,50.612,(d)) (30-semisextile,4')", "(Pluto,252.898,(r)) (H8,27.966,(d)) (135-sesquisquare,4')\n(H8,24.885,(r)) (Sun,354.859,(d)) (30-semisextile,2')\n(H8,24.885,(r)) (Mars,24.857,(d)) (conjunction,2')", "(Pluto,252.898,(r)) (H1,162.934,(c)) (square,2')", "(Mean_Node,121.325,(r)) (H4,241.342,(c)) (trine,1')\n(H8,24.885,(r)) (Pluto,234.928,(c)) (150-quincunx,3')", 364]
['2000-03-11 09:44:23', "(Sun,351.128,(r)) (H10,351.148,(d)) (conjunction,1')\n(H10,342.109,(r)) (Sun,342.256,(c)) (conjunction,9')\n(H10,342.109,(r)) (Neptune,297.160,(c)) (45-semisquare,3')", "(H4,162.109,(r)) (Mercury,342.127,(d)) (opposition,1')", "(Mean_Node,121.339,(r)) (H1,76.347,(d)) (45-semisquare,0')\n(H1,64.562,(r)) (Mars,34.600,(d)) (30-semisextile,2')\n(H3,127.985,(r)) (Mars,7.968,(c)) (trine,1')", "(Venus,327.433,(r)) (H4,147.474,(c)) (opposition,2')", "(Saturn,43.331,(r)) (H10,358.358,(d)) (45-semisquare,2')", "(Moon,56.485,(r)) (H3,146.413,(d)) (square,4')", "(Mean_Node,121.339,(r)) (H4,181.296,(d)) (sextile,3')", "(Sun,351.128,(r)) (H1,81.083,(d)) (square,3')\n(H10,342.109,(r)) (Moon,72.132,(d)) (square,1')", '8', '9', "(H10,342.109,(r)) (Uranus,341.989,(d)) (conjunction,7')\n(Mars,21.381,(r)) (H12,21.348,(c)) (conjunction,2')", "(H10,342.109,(r)) (Uranus,297.187,(c)) (45-semisquare,5')", '12', "(Mercury,333.408,(r)) (H3,153.516,(d)) (opposition,6')\n(H3,127.985,(r)) (Mercury,308.032,(c)) (opposition,3')", "(Mercury,333.408,(r)) (H3,153.543,(d)) (opposition,8')\n(H3,127.985,(r)) (Mercury,308.008,(c)) (opposition,1')", "(Neptune,305.686,(r)) (H12,35.710,(c)) (square,1')", "(Saturn,43.331,(r)) (H12,43.175,(d)) (conjunction,9')", "(Moon,56.485,(r)) (H5,191.398,(c)) (135-sesquisquare,5')", '18', 384]
['2000-03-11 09:21:04', "(Saturn,43.329,(r)) (H12,43.155,(d)) (conjunction,10')\n(H1,59.520,(r)) (Mars,29.470,(d)) (30-semisextile,3')", '1', "(Uranus,318.702,(r)) (H3,108.722,(c)) (150-quincunx,1')", "(Mercury,333.414,(r)) (H3,108.458,(c)) (135-sesquisquare,3')", "(H10,335.865,(r)) (Mars,35.788,(d)) (sextile,5')\n(Mars,21.369,(r)) (H12,21.522,(c)) (conjunction,9')\n(H1,59.520,(r)) (Saturn,29.602,(c)) (30-semisextile,5')\n(H10,335.865,(r)) (Neptune,290.780,(c)) (45-semisquare,5')", "(H1,59.520,(r)) (Mean_Node,104.528,(c)) (45-semisquare,0')", '6', "(Moon,56.258,(r)) (H10,356.266,(d)) (sextile,0')\n(Saturn,43.329,(r)) (H1,43.190,(c)) (conjunction,8')", "(Saturn,43.329,(r)) (H3,103.409,(c)) (sextile,5')", "(Saturn,43.329,(r)) (H10,358.280,(d)) (45-semisquare,3')\n(H1,59.520,(r)) (Sun,329.585,(c)) (square,4')", '10', "(Moon,56.258,(r)) (H3,101.190,(c)) (45-semisquare,4')\n(H1,59.520,(r)) (Jupiter,14.576,(c)) (45-semisquare,3')\n(H10,335.865,(r)) (Venus,305.851,(c)) (30-semisextile,1')", "(Saturn,43.329,(r)) (H10,313.301,(c)) (square,2')", "(Mean_Node,121.340,(r)) (H4,181.391,(d)) (sextile,3')", "(Mean_Node,121.340,(r)) (H10,1.418,(d)) (trine,5')", '15', "(Venus,327.413,(r)) (H1,57.334,(c)) (square,5')", "(Mercury,333.414,(r)) (H4,153.449,(c)) (opposition,2')", '18', 309]
['2000-03-11 15:24:56', "(H10,70.475,(r)) (Sun,340.436,(c)) (square,2')", "(Uranus,318.715,(r)) (H4,258.743,(d)) (sextile,2')\n(H4,250.475,(r)) (Venus,340.407,(d)) (square,4')", "(H3,224.029,(r)) (Moon,74.003,(d)) (150-quincunx,2')", '3', "(Sun,351.364,(r)) (H1,171.510,(d)) (opposition,9')\n(Mars,21.557,(r)) (H1,171.510,(d)) (150-quincunx,3')\n(Moon,59.799,(r)) (H12,104.767,(c)) (45-semisquare,2')", "(H3,224.029,(r)) (Mean_Node,103.982,(c)) (trine,3')", '6', "(Mercury,333.324,(r)) (H3,243.389,(d)) (square,4')\n(H1,151.365,(r)) (Sun,16.341,(d)) (135-sesquisquare,1')\n(H1,151.365,(r)) (Pluto,271.369,(d)) (trine,0')", "(H3,224.029,(r)) (Mars,43.864,(d)) (opposition,10')", '9', "(Neptune,305.693,(r)) (H1,125.832,(c)) (opposition,8')\n(H9,44.029,(r)) (Neptune,284.074,(c)) (trine,3')", "(H10,70.475,(r)) (Jupiter,10.437,(c)) (sextile,2')", '12', '13', '14', "(Neptune,305.693,(r)) (H12,125.688,(d)) (opposition,0')\n(H8,11.234,(r)) (Uranus,326.142,(d)) (45-semisquare,6')\n(H10,70.475,(r)) (Mean_Node,115.524,(c)) (45-semisquare,3')", "(Pluto,252.898,(r)) (H4,252.849,(d)) (conjunction,3')", '17', "(Sun,351.364,(r)) (H8,36.406,(d)) (45-semisquare,3')", 284]
['2000-03-11 04:03:03', "(Pluto,252.897,(r)) (H12,312.838,(c)) (sextile,4')", "(Venus,327.140,(r)) (H4,87.089,(d)) (trine,3')\n(Venus,327.140,(r)) (H7,177.150,(d)) (150-quincunx,1')", "(Mean_Node,121.351,(r)) (H1,1.342,(d)) (trine,1')\n(Mean_Node,121.351,(r)) (H10,271.371,(d)) (150-quincunx,1')\n(H10,258.905,(r)) (Mars,33.971,(d)) (135-sesquisquare,4')\n(Mars,21.204,(r)) (H10,246.248,(c)) (135-sesquisquare,3')", '3', '4', "(Jupiter,34.680,(r)) (H1,4.670,(d)) (30-semisextile,1')\n(Jupiter,34.680,(r)) (H10,274.772,(d)) (trine,6')", "(Mercury,333.499,(r)) (H7,153.425,(c)) (opposition,4')\n(H3,47.517,(r)) (Mercury,317.590,(c)) (square,4')", "(H10,258.905,(r)) (Mean_Node,138.917,(d)) (trine,1')", "(H1,349.171,(r)) (Mean_Node,139.129,(d)) (150-quincunx,3')", '9', '10', '11', '12', "(H1,349.171,(r)) (Venus,349.038,(d)) (conjunction,8')", "(H1,349.171,(r)) (Venus,349.061,(d)) (conjunction,7')", "(H1,349.171,(r)) (Pluto,259.113,(d)) (square,3')\n(H10,258.905,(r)) (Saturn,48.856,(d)) (150-quincunx,3')", "(Mars,21.204,(r)) (H4,81.247,(d)) (sextile,3')", "(Mars,21.204,(r)) (H1,351.216,(d)) (30-semisextile,1')\n(H4,78.905,(r)) (Sun,348.838,(c)) (square,4')", '18', 293]
['2000-03-11 13:18:56', "(Mercury,333.354,(r)) (H1,123.375,(d)) (150-quincunx,1')\n(H10,39.685,(r)) (Uranus,309.722,(c)) (square,2')", "(Uranus,318.711,(r)) (H4,228.632,(d)) (square,5')\n(H7,294.359,(r)) (Venus,339.296,(d)) (45-semisquare,4')", '2', '3', '4', '5', "(Sun,351.276,(r)) (H4,201.207,(c)) (150-quincunx,4')", "(Moon,58.572,(r)) (H10,58.444,(d)) (conjunction,8')\n(Neptune,305.690,(r)) (H1,95.626,(c)) (150-quincunx,4')\n(Mean_Node,121.331,(r)) (H3,166.394,(c)) (45-semisquare,4')", "(Moon,58.572,(r)) (H10,58.660,(d)) (conjunction,5')\n(H3,188.532,(r)) (Mean_Node,143.514,(d)) (45-semisquare,1')\n(H1,114.359,(r)) (Saturn,24.320,(c)) (square,2')\n(H1,114.359,(r)) (Pluto,234.418,(c)) (trine,4')\n(H10,39.685,(r)) (Mercury,309.648,(c)) (square,2')", '9', "(Uranus,318.711,(r)) (H1,93.655,(c)) (135-sesquisquare,3')", "(Uranus,318.711,(r)) (H1,138.662,(d)) (opposition,3')", "(Pluto,252.898,(r)) (H9,342.961,(c)) (square,4')", "(Sun,351.276,(r)) (H1,141.265,(d)) (150-quincunx,1')\n(Mean_Node,121.331,(r)) (H1,91.245,(c)) (30-semisextile,5')\n(H3,188.532,(r)) (Sun,323.485,(c)) (135-sesquisquare,3')\n(H4,219.685,(r)) (Jupiter,9.765,(c)) (150-quincunx,5')", "(Sun,351.276,(r)) (H1,141.296,(d)) (150-quincunx,1')\n(H3,188.532,(r)) (Sun,323.458,(c)) (135-sesquisquare,4')\n(H10,39.685,(r)) (Jupiter,9.738,(c)) (30-semisextile,3')", '15', "(H1,114.359,(r)) (Sun,354.360,(d)) (trine,0')\n(H1,114.359,(r)) (Mars,24.394,(d)) (square,2')\n(H8,331.657,(r)) (Venus,331.499,(d)) (conjunction,10')\n(Moon,58.572,(r)) (H8,328.614,(c)) (square,3')\n(H4,219.685,(r)) (Pluto,249.607,(c)) (30-semisextile,5')", "(Mercury,333.354,(r)) (H5,243.446,(c)) (square,5')", "(Uranus,318.711,(r)) (H12,108.718,(d)) (150-quincunx,0')", 364]
['2000-03-11 08:16:23', '0', '1', "(Mercury,333.431,(r)) (H3,93.505,(c)) (trine,4')\n(Neptune,305.684,(r)) (H10,305.520,(c)) (conjunction,10')\n(H10,319.017,(r)) (Mercury,319.088,(c)) (conjunction,4')", "(Mercury,333.431,(r)) (H4,153.349,(d)) (opposition,5')\n(Mercury,333.431,(r)) (H7,213.490,(c)) (trine,4')", '4', "(H10,319.017,(r)) (Mean_Node,138.863,(d)) (opposition,9')\n(H10,319.017,(r)) (Jupiter,19.024,(c)) (sextile,0')", "(Mercury,333.431,(r)) (H3,123.519,(d)) (150-quincunx,5')\n(H3,106.189,(r)) (Venus,346.140,(d)) (trine,3')\n(Mean_Node,121.342,(r)) (H4,121.515,(c)) (conjunction,10')", '7', "(Saturn,43.325,(r)) (H3,88.372,(c)) (45-semisquare,3')", "(Mercury,333.431,(r)) (H1,63.447,(d)) (square,1')\n(H1,45.539,(r)) (Neptune,285.603,(c)) (trine,4')", "(H9,286.189,(r)) (Saturn,61.219,(d)) (135-sesquisquare,2')", '11', "(H1,45.539,(r)) (Mars,0.607,(c)) (45-semisquare,4')", '13', '14', "(Moon,55.629,(r)) (H12,25.642,(d)) (30-semisextile,1')\n(Saturn,43.325,(r)) (H10,313.366,(c)) (square,2')", "(Saturn,43.325,(r)) (H1,43.338,(c)) (conjunction,1')\n(H4,139.017,(r)) (Mars,18.957,(c)) (trine,4')", "(Mars,21.335,(r)) (H4,141.343,(d)) (trine,0')\n(H5,171.299,(r)) (Uranus,321.242,(d)) (150-quincunx,3')", "(Uranus,318.700,(r)) (H8,273.616,(d)) (45-semisquare,5')", 340]
['2000-03-11 13:49:51', '0', "(Venus,327.644,(r)) (H3,207.672,(d)) (trine,2')\n(Pluto,252.898,(r)) (H7,312.843,(d)) (sextile,3')", "(Mercury,333.347,(r)) (H1,108.392,(c)) (135-sesquisquare,3')", "(Uranus,318.712,(r)) (H7,318.765,(d)) (conjunction,3')\n(Mercury,333.347,(r)) (H4,213.432,(c)) (trine,5')\n(Mean_Node,121.330,(r)) (H3,181.412,(c)) (sextile,5')", '4', '5', "(Jupiter,34.764,(r)) (H4,244.682,(d)) (150-quincunx,5')", "(H1,122.700,(r)) (Saturn,62.688,(d)) (sextile,1')", "(Pluto,252.898,(r)) (H1,102.845,(c)) (150-quincunx,3')\n(Pluto,252.898,(r)) (H10,27.882,(c)) (135-sesquisquare,1')", '9', '10', '11', '12', '13', '14', "(H10,47.500,(r)) (Pluto,257.518,(d)) (150-quincunx,1')", "(Neptune,305.691,(r)) (H1,125.530,(d)) (opposition,10')\n(H1,122.700,(r)) (Neptune,302.673,(c)) (opposition,2')", "(H1,122.700,(r)) (Jupiter,32.762,(c)) (square,4')", '18', 198]
['2000-03-11 15:29:28', "(H10,71.538,(r)) (Mars,11.471,(c)) (sextile,4')", "(Jupiter,34.778,(r)) (H4,259.793,(d)) (135-sesquisquare,1')\n(H3,225.234,(r)) (Jupiter,45.166,(d)) (opposition,4')", '2', "(Sun,351.367,(r)) (H7,351.481,(d)) (conjunction,7')", '4', '5', "(Mercury,333.323,(r)) (H3,243.293,(d)) (square,2')\n(H3,225.234,(r)) (Pluto,270.319,(d)) (45-semisquare,5')\n(H4,251.538,(r)) (Uranus,341.453,(d)) (square,5')", '7', '8', '9', "(Mars,21.559,(r)) (H9,66.565,(d)) (45-semisquare,0')", "(Mean_Node,121.326,(r)) (H10,91.383,(d)) (30-semisextile,3')", '12', "(Mercury,333.323,(r)) (H4,273.329,(d)) (sextile,0')\n(H1,152.846,(r)) (Mercury,302.802,(c)) (150-quincunx,3')", "(Mercury,333.323,(r)) (H10,93.352,(d)) (trine,2')\n(H1,152.846,(r)) (Mercury,302.775,(c)) (150-quincunx,4')", "(H8,12.664,(r)) (Uranus,312.748,(c)) (sextile,5')", "(H1,152.846,(r)) (Neptune,302.817,(c)) (150-quincunx,2')\n(H4,251.538,(r)) (Pluto,251.671,(c)) (conjunction,8')", "(Moon,59.843,(r)) (H1,149.880,(c)) (square,2')\n(Mercury,333.323,(r)) (H5,273.355,(c)) (sextile,2')\n(H1,152.846,(r)) (Jupiter,32.817,(c)) (trine,2')", '18', 269]
['2000-03-11 02:21:28', '0', "(H7,146.575,(r)) (Uranus,326.480,(d)) (opposition,6')\n(Uranus,318.687,(r)) (H7,138.811,(c)) (opposition,7')", '2', "(H3,22.710,(r)) (Sun,337.781,(c)) (45-semisquare,4')", "(H3,22.710,(r)) (Moon,67.756,(d)) (45-semisquare,3')", '5', '6', "(Saturn,43.301,(r)) (H1,343.317,(d)) (sextile,1')\n(Pluto,252.897,(r)) (H10,252.828,(d)) (conjunction,4')\n(H3,22.710,(r)) (Neptune,322.654,(d)) (sextile,3')\n(Sun,350.821,(r)) (H10,215.853,(c)) (135-sesquisquare,2')\n(Mercury,333.527,(r)) (H3,3.606,(c)) (30-semisextile,5')\n(Uranus,318.687,(r)) (H3,3.606,(c)) (45-semisquare,5')", "(Pluto,252.897,(r)) (H10,253.037,(d)) (conjunction,8')\n(Neptune,305.677,(r)) (H10,215.622,(c)) (square,3')", "(H3,22.710,(r)) (Saturn,22.730,(c)) (conjunction,1')", "(Saturn,43.301,(r)) (H9,223.283,(d)) (opposition,1')\n(H9,202.710,(r)) (Mercury,352.699,(d)) (150-quincunx,1')", "(H3,22.710,(r)) (Uranus,337.778,(d)) (45-semisquare,4')", '12', '13', "(H3,22.710,(r)) (Mean_Node,142.629,(d)) (trine,5')", '15', "(Moon,52.181,(r)) (H4,52.337,(c)) (conjunction,9')", "(Venus,327.053,(r)) (H4,57.038,(d)) (square,1')", "(H8,172.813,(r)) (Saturn,22.856,(c)) (150-quincunx,3')", 287]
['2000-03-11 06:31:28', "(Mean_Node,121.346,(r)) (H10,301.272,(d)) (opposition,4')\n(H10,293.292,(r)) (Mean_Node,113.433,(c)) (opposition,8')", '1', '2', "(Jupiter,34.701,(r)) (H7,214.683,(d)) (opposition,1')", "(Moon,54.609,(r)) (H12,9.656,(d)) (45-semisquare,3')\n(Neptune,305.682,(r)) (H1,35.696,(d)) (square,1')", '5', '6', "(Saturn,43.318,(r)) (H12,13.390,(d)) (30-semisextile,4')\n(H3,81.835,(r)) (Mercury,351.811,(d)) (square,1')\n(Neptune,305.682,(r)) (H10,275.707,(c)) (30-semisextile,1')", "(H3,81.835,(r)) (Moon,36.806,(c)) (45-semisquare,2')", "(Neptune,305.682,(r)) (H12,335.688,(c)) (30-semisextile,0')", "(Uranus,318.696,(r)) (H1,3.693,(c)) (45-semisquare,0')\n(Uranus,318.696,(r)) (H10,273.773,(c)) (45-semisquare,5')", "(H1,22.488,(r)) (Mean_Node,142.463,(d)) (trine,1')\n(H3,81.835,(r)) (Venus,306.912,(c)) (135-sesquisquare,5')", "(H9,261.835,(r)) (Pluto,231.809,(c)) (30-semisextile,2')\n(H10,293.292,(r)) (Saturn,23.235,(c)) (square,3')", "(Mean_Node,121.346,(r)) (H1,1.359,(c)) (trine,1')\n(Mean_Node,121.346,(r)) (H4,91.388,(c)) (30-semisextile,3')", "(Mean_Node,121.346,(r)) (H1,1.337,(c)) (trine,1')\n(Mean_Node,121.346,(r)) (H10,271.365,(c)) (150-quincunx,1')", '15', '16', "(Venus,327.267,(r)) (H5,147.284,(d)) (opposition,1')\n(H4,113.292,(r)) (Mars,23.300,(d)) (square,0')\n(H5,145.054,(r)) (Venus,325.217,(c)) (opposition,10')", "(Saturn,43.318,(r)) (H4,133.318,(d)) (square,0')", 328]
['2000-03-11 13:41:12', "(H3,195.028,(r)) (Neptune,315.114,(d)) (trine,5')\n(Mars,21.503,(r)) (H1,111.469,(c)) (square,2')", "(H3,195.028,(r)) (Uranus,330.075,(d)) (135-sesquisquare,3')\n(Sun,351.292,(r)) (H4,216.294,(c)) (135-sesquisquare,0')", "(Moon,58.789,(r)) (H10,58.656,(d)) (conjunction,8')", "(Moon,58.789,(r)) (H4,238.921,(d)) (opposition,8')\n(Moon,58.789,(r)) (H3,178.863,(c)) (trine,4')\n(H4,225.329,(r)) (Mercury,315.258,(c)) (square,4')", "(Uranus,318.711,(r)) (H12,108.645,(d)) (150-quincunx,4')\n(Neptune,305.691,(r)) (H12,80.658,(c)) (135-sesquisquare,2')\n(H3,195.028,(r)) (Moon,44.990,(c)) (150-quincunx,2')", "(H1,120.317,(r)) (Moon,75.402,(d)) (45-semisquare,5')\n(H10,45.329,(r)) (Moon,75.402,(d)) (30-semisextile,4')\n(Venus,327.636,(r)) (H1,102.560,(c)) (135-sesquisquare,5')\n(Venus,327.636,(r)) (H10,27.575,(c)) (sextile,4')", "(H3,195.028,(r)) (Sun,329.995,(c)) (135-sesquisquare,2')", '7', "(H3,195.028,(r)) (Sun,14.869,(d)) (opposition,10')\n(H10,45.329,(r)) (Neptune,285.415,(c)) (trine,5')", "(H1,120.317,(r)) (Neptune,330.397,(d)) (150-quincunx,5')\n(Neptune,305.691,(r)) (H3,170.741,(c)) (135-sesquisquare,3')", '10', '11', "(H10,45.329,(r)) (Mars,45.421,(d)) (conjunction,6')", '13', '14', '15', "(Venus,327.636,(r)) (H1,117.577,(c)) (150-quincunx,4')", "(Pluto,252.898,(r)) (H5,252.738,(d)) (conjunction,10')\n(Pluto,252.898,(r)) (H1,117.852,(c)) (135-sesquisquare,3')", "(H1,120.317,(r)) (Neptune,330.241,(d)) (150-quincunx,5')", 302]
['2000-03-11 17:53:52', "(H1,202.150,(r)) (Mercury,322.104,(c)) (trine,3')", '1', "(H10,104.929,(r)) (Saturn,59.973,(d)) (45-semisquare,3')\n(Uranus,318.720,(r)) (H1,183.664,(c)) (135-sesquisquare,3')\n(H1,202.150,(r)) (Neptune,292.217,(c)) (square,4')", "(Venus,327.853,(r)) (H4,297.945,(d)) (30-semisextile,6')\n(Uranus,318.720,(r)) (H3,273.762,(d)) (45-semisquare,3')\n(Pluto,252.898,(r)) (H4,297.945,(d)) (45-semisquare,3')\n(H4,284.929,(r)) (Venus,344.973,(d)) (sextile,3')\n(Mercury,333.289,(r)) (H7,3.284,(c)) (30-semisextile,0')", '4', "(Moon,61.250,(r)) (H10,121.236,(d)) (sextile,1')\n(Mean_Node,121.321,(r)) (H10,121.236,(d)) (conjunction,5')", "(H4,284.929,(r)) (Moon,44.954,(c)) (trine,1')", "(H1,202.150,(r)) (Saturn,22.269,(c)) (opposition,7')", "(H1,202.150,(r)) (Moon,82.180,(d)) (trine,2')\n(H3,261.011,(r)) (Mean_Node,140.933,(d)) (trine,5')\n(H1,202.150,(r)) (Saturn,21.986,(c)) (opposition,10')", '9', "(H10,104.929,(r)) (Neptune,285.091,(c)) (opposition,10')", '11', "(Neptune,305.696,(r)) (H10,125.720,(d)) (opposition,1')", "(Sun,351.467,(r)) (H1,231.520,(d)) (trine,3')\n(Jupiter,34.798,(r)) (H1,169.752,(c)) (135-sesquisquare,3')\n(H1,202.150,(r)) (Sun,322.114,(c)) (trine,2')", "(Sun,351.467,(r)) (H1,231.548,(d)) (trine,5')\n(Jupiter,34.798,(r)) (H1,169.719,(c)) (135-sesquisquare,5')\n(H1,202.150,(r)) (Sun,322.085,(c)) (trine,4')", "(Neptune,305.696,(r)) (H12,155.673,(c)) (150-quincunx,1')", "(Uranus,318.720,(r)) (H1,198.747,(c)) (trine,2')", "(Venus,327.853,(r)) (H4,282.811,(c)) (45-semisquare,3')\n(Pluto,252.898,(r)) (H4,282.811,(c)) (30-semisextile,5')", '18', 416]
