['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 10:10:06', "(H5,265.349,(r)) (Venus,130.380,(p)) (135-sesquisquare,2')\n(Sun,60.858,(r)) (Moon,286.052,(c)) (135-sesquisquare,12')\n(Moon,319.826,(r)) (H10,349.711,(c)) (30-semisextile,7')\n(Venus,349.418,(c)) (H7,289.376,(c)) (sextile,3')", "(Mean_Node,134.328,(r)) (H8,44.250,(p)) (square,5')\n(Uranus,233.893,(p)) (H10,113.846,(p)) (trine,3')\n(Uranus,235.731,(r)) (H8,295.848,(c)) (sextile,7')\n(Mean_Node,134.328,(r)) (Moon,133.855,(c)) (conjunction,28')\n(H1,148.019,(r)) (Mars,267.996,(c)) (trine,1')\n(H8,347.648,(r)) (Saturn,287.658,(c)) (sextile,1')", "(Mars,303.986,(r)) (H1,153.939,(p)) (150-quincunx,3')\n(Saturn,288.912,(r)) (H1,153.939,(p)) (135-sesquisquare,2')\n(Pluto,350.510,(r)) (Moon,80.411,(p)) (square,6')\n(Mars,306.982,(p)) (H12,126.869,(p)) (opposition,7')\n(Uranus,235.388,(p)) (H10,55.356,(p)) (opposition,2')\n(Moon,218.355,(c)) (H10,38.649,(c)) (opposition,18')", "(Mean_Node,134.328,(r)) (Moon,268.874,(p)) (135-sesquisquare,27')\n(Mars,293.682,(c)) (H10,23.778,(c)) (square,6')", "(Mars,303.986,(r)) (Moon,273.520,(p)) (30-semisextile,28')\n(Jupiter,123.730,(r)) (Moon,273.520,(p)) (150-quincunx,13')\n(Mercury,74.769,(p)) (H7,344.906,(p)) (square,8')\n(H7,328.019,(r)) (Moon,13.143,(c)) (45-semisquare,7')\n(Mars,293.492,(c)) (H10,23.392,(c)) (square,6')", "(H4,227.028,(r)) (Saturn,286.959,(p)) (sextile,4')\n(Moon,319.826,(r)) (Moon,229.957,(c)) (square,8')\n(H8,347.648,(r)) (Mars,287.779,(c)) (sextile,8')\n(Uranus,237.101,(c)) (H4,192.210,(c)) (45-semisquare,7')", "(H4,227.028,(r)) (Moon,287.047,(p)) (sextile,1')\n(Mean_Node,134.328,(r)) (Moon,359.366,(c)) (135-sesquisquare,2')\n(H4,227.028,(r)) (Mean_Node,137.076,(c)) (square,3')", "(H8,347.648,(r)) (Moon,347.746,(c)) (conjunction,6')", "(Mean_Node,134.328,(r)) (H5,314.445,(p)) (opposition,7')\n(H5,265.349,(r)) (Moon,310.417,(p)) (45-semisquare,4')\n(Mercury,134.440,(p)) (H5,314.445,(p)) (opposition,0')\n(Uranus,234.033,(p)) (H4,279.023,(p)) (45-semisquare,1')\n(Sun,60.858,(r)) (H5,210.859,(c)) (150-quincunx,0')", "(Mercury,35.896,(r)) (H4,170.912,(c)) (135-sesquisquare,1')\n(Venus,350.926,(c)) (H4,170.912,(c)) (opposition,1')", 38]
['1813-05-21 23:51:44', "(Moon,350.954,(p)) (H10,305.971,(p)) (45-semisquare,1')\n(Uranus,235.749,(r)) (Moon,280.686,(c)) (45-semisquare,4')\n(H10,251.105,(r)) (Moon,280.686,(c)) (30-semisextile,25')", "(Mars,303.820,(r)) (H12,33.913,(p)) (square,6')\n(H1,315.992,(r)) (Moon,166.283,(p)) (150-quincunx,17')\n(H8,196.131,(r)) (Moon,166.283,(p)) (30-semisextile,9')\n(Uranus,233.894,(p)) (H1,83.867,(p)) (150-quincunx,2')\n(Mean_Node,130.658,(p)) (H8,280.550,(p)) (150-quincunx,7')", "(Moon,314.324,(r)) (Moon,73.933,(p)) (trine,23')\n(Mars,303.820,(r)) (H10,258.953,(p)) (45-semisquare,8')\n(Saturn,288.927,(r)) (H10,258.953,(p)) (30-semisextile,2')\n(Neptune,254.576,(r)) (H8,209.725,(p)) (45-semisquare,9')\n(Mean_Node,134.351,(r)) (Moon,73.933,(p)) (sextile,25')\n(Moon,213.236,(c)) (H10,243.286,(c)) (30-semisextile,3')", "(Jupiter,127.537,(p)) (H7,187.570,(p)) (sextile,2')\n(Moon,314.324,(r)) (H7,104.268,(c)) (150-quincunx,3')\n(Mean_Node,134.351,(r)) (H7,104.268,(c)) (30-semisextile,5')\n(H10,251.105,(r)) (Mercury,26.262,(c)) (135-sesquisquare,9')", '4', "(Mars,303.820,(r)) (H1,33.960,(p)) (square,8')\n(Moon,314.324,(r)) (Moon,224.842,(c)) (square,31')\n(Neptune,254.576,(r)) (Moon,224.842,(c)) (30-semisextile,16')\n(Mean_Node,134.351,(r)) (Moon,224.842,(c)) (square,29')\n(Venus,16.854,(c)) (H12,256.862,(c)) (trine,0')", "(Venus,123.258,(p)) (H1,63.368,(p)) (sextile,7')\n(H5,89.196,(r)) (Jupiter,119.066,(c)) (30-semisextile,8')", "(Venus,59.518,(r)) (H8,119.663,(c)) (sextile,9')\n(Mars,303.820,(r)) (H7,78.708,(c)) (135-sesquisquare,7')\n(Neptune,254.576,(r)) (H8,119.663,(c)) (135-sesquisquare,5')\n(H4,71.105,(r)) (Moon,341.547,(c)) (square,27')\n(Saturn,288.640,(c)) (H7,78.708,(c)) (150-quincunx,4')", "(Mercury,35.412,(r)) (Moon,304.964,(p)) (square,27')\n(Moon,314.324,(r)) (H5,44.301,(c)) (square,1')\n(Mean_Node,134.351,(r)) (H5,44.301,(c)) (square,3')", "(H4,71.105,(r)) (Mars,311.018,(p)) (trine,5')\n(H5,89.196,(r)) (Jupiter,134.115,(p)) (45-semisquare,5')\n(Sun,113.975,(p)) (H1,68.822,(p)) (45-semisquare,9')\n(Moon,334.712,(p)) (H4,124.774,(p)) (150-quincunx,4')\n(Uranus,235.749,(r)) (Moon,296.029,(c)) (sextile,17')\n(H4,71.105,(r)) (Moon,296.029,(c)) (135-sesquisquare,5')", 39]
['1813-05-22 02:35:28', "(Sun,115.246,(p)) (H5,205.400,(p)) (square,9')\n(H10,289.009,(r)) (Venus,349.026,(c)) (sextile,1')\n(Mean_Node,137.377,(c)) (H5,77.558,(c)) (sextile,11')", "(Moon,129.750,(c)) (H12,264.638,(c)) (135-sesquisquare,7')\n(Saturn,287.635,(c)) (H10,227.711,(c)) (sextile,5')", "(Moon,315.775,(r)) (Moon,75.652,(p)) (trine,7')\n(Pluto,350.588,(p)) (H8,260.708,(p)) (square,7')\n(Sun,60.555,(r)) (H12,330.708,(c)) (square,9')", "(H5,130.528,(r)) (Moon,265.070,(p)) (135-sesquisquare,27')\n(Venus,59.658,(r)) (Moon,14.141,(c)) (45-semisquare,31')\n(Mean_Node,134.345,(r)) (Moon,14.141,(c)) (trine,12')\n(H7,224.225,(r)) (Moon,14.141,(c)) (150-quincunx,5')", "(Venus,59.658,(r)) (Moon,269.703,(p)) (150-quincunx,3')\n(Mean_Node,134.345,(r)) (Moon,269.703,(p)) (135-sesquisquare,21')\n(H7,224.225,(r)) (Moon,269.703,(p)) (45-semisquare,29')\n(H7,224.225,(r)) (Mercury,74.107,(p)) (150-quincunx,7')", "(Moon,315.775,(r)) (Moon,226.197,(c)) (square,25')\n(H8,252.017,(r)) (Sun,27.036,(c)) (135-sesquisquare,1')", "(Mean_Node,134.345,(r)) (H1,104.253,(p)) (30-semisextile,5')\n(Jupiter,123.683,(r)) (H4,63.508,(c)) (sextile,10')\n(H5,130.528,(r)) (Venus,355.678,(c)) (135-sesquisquare,9')", '7', "(Moon,315.775,(r)) (H1,105.739,(p)) (150-quincunx,2')\n(Sun,60.555,(r)) (H1,300.404,(c)) (trine,9')\n(Mercury,35.539,(r)) (H5,80.401,(c)) (45-semisquare,8')\n(Pluto,350.507,(r)) (H5,80.401,(c)) (square,6')", "(H1,44.225,(r)) (Jupiter,134.139,(p)) (square,5')\n(Mercury,137.457,(p)) (H1,107.549,(p)) (30-semisextile,5')\n(Uranus,234.005,(p)) (H5,203.839,(p)) (30-semisextile,10')\n(Jupiter,123.683,(r)) (H5,78.541,(c)) (45-semisquare,9')\n(Moon,297.492,(c)) (H1,297.478,(c)) (conjunction,1')", 30]
['1813-05-22 00:57:28', "(H10,266.345,(r)) (Mean_Node,131.316,(p)) (135-sesquisquare,2')\n(Uranus,235.747,(r)) (Moon,281.254,(c)) (45-semisquare,30')\n(Mean_Node,134.348,(r)) (H7,89.261,(c)) (45-semisquare,5')\n(Moon,281.254,(c)) (H5,55.993,(c)) (135-sesquisquare,16')", "(Uranus,233.894,(p)) (H1,98.761,(p)) (135-sesquisquare,8')\n(Saturn,288.926,(r)) (H12,244.049,(c)) (45-semisquare,7')\n(Sun,352.365,(c)) (H10,202.369,(c)) (150-quincunx,0')", "(Moon,314.906,(r)) (Moon,74.623,(p)) (trine,17')\n(Saturn,288.926,(r)) (H12,319.004,(p)) (30-semisextile,5')\n(Uranus,235.747,(r)) (H1,10.573,(p)) (135-sesquisquare,10')\n(Neptune,254.575,(r)) (Moon,74.623,(p)) (opposition,3')\n(Mean_Node,134.348,(r)) (Moon,74.623,(p)) (sextile,17')\n(H1,350.554,(r)) (Pluto,350.588,(p)) (conjunction,2')\n(Uranus,235.404,(p)) (H1,10.573,(p)) (135-sesquisquare,10')\n(Mars,303.838,(r)) (Moon,213.780,(c)) (square,3')\n(Mars,303.838,(r)) (H10,258.716,(c)) (45-semisquare,7')\n(Moon,213.780,(c)) (H10,258.716,(c)) (45-semisquare,4')", "(Moon,264.252,(p)) (H5,129.493,(p)) (135-sesquisquare,14')\n(Mercury,35.463,(r)) (H10,245.409,(c)) (150-quincunx,3')\n(H10,266.345,(r)) (Mercury,26.242,(c)) (trine,6')", "(Mean_Node,134.348,(r)) (Moon,268.881,(p)) (135-sesquisquare,28')\n(Venus,88.468,(p)) (H7,223.300,(p)) (135-sesquisquare,10')\n(Mercury,35.463,(r)) (H7,125.345,(c)) (square,7')\n(H10,266.345,(r)) (Mercury,26.414,(c)) (trine,4')\n(Sun,37.796,(c)) (Moon,7.420,(c)) (30-semisextile,23')\n(Mars,293.301,(c)) (H5,83.379,(c)) (150-quincunx,5')", "(Venus,59.574,(r)) (H4,119.460,(p)) (sextile,7')\n(Neptune,254.575,(r)) (H4,119.460,(p)) (135-sesquisquare,7')\n(Moon,314.906,(r)) (Moon,225.386,(c)) (square,29')\n(Mars,287.576,(c)) (H8,167.629,(c)) (trine,3')", "(H1,350.554,(r)) (Pluto,350.587,(p)) (conjunction,2')\n(Mars,303.838,(r)) (H1,273.827,(c)) (30-semisextile,1')\n(Jupiter,123.673,(r)) (H1,273.827,(c)) (150-quincunx,9')", "(H7,170.554,(r)) (Pluto,350.581,(p)) (opposition,2')\n(H8,221.679,(r)) (Mars,311.584,(p)) (square,6')\n(Venus,59.574,(r)) (H5,59.637,(c)) (conjunction,4')\n(H8,221.679,(r)) (Moon,342.202,(c)) (trine,31')", "(Mercury,35.463,(r)) (Moon,305.542,(p)) (square,5')\n(Pluto,350.506,(r)) (Moon,305.542,(p)) (45-semisquare,2')\n(H1,350.554,(r)) (Moon,305.542,(p)) (45-semisquare,1')\n(H1,350.554,(r)) (Venus,125.593,(p)) (135-sesquisquare,2')\n(H1,350.554,(r)) (Pluto,350.572,(p)) (conjunction,1')\n(H4,86.345,(r)) (Mars,311.416,(p)) (135-sesquisquare,4')\n(H4,86.345,(r)) (Mercury,26.514,(c)) (sextile,10')\n(Mean_Node,137.194,(c)) (H1,272.219,(c)) (135-sesquisquare,1')", "(Mercury,35.463,(r)) (Moon,335.312,(p)) (sextile,9')\n(H1,350.554,(r)) (Pluto,350.551,(p)) (conjunction,0')\n(H4,86.345,(r)) (Mean_Node,131.381,(p)) (45-semisquare,2')\n(Mercury,35.463,(r)) (H4,35.448,(c)) (conjunction,1')\n(Pluto,350.506,(r)) (H4,35.448,(c)) (45-semisquare,3')\n(H1,350.554,(r)) (Venus,350.450,(c)) (conjunction,6')\n(H4,86.345,(r)) (Moon,296.616,(c)) (150-quincunx,16')\n(Moon,296.616,(c)) (H5,56.962,(c)) (trine,21')\n(Venus,350.450,(c)) (H4,35.448,(c)) (45-semisquare,0')", 54]
['1813-05-22 19:08:46', "(Venus,60.506,(r)) (H10,240.568,(p)) (opposition,4')\n(Mars,304.131,(r)) (H5,79.161,(p)) (135-sesquisquare,2')\n(H10,179.556,(r)) (Jupiter,134.544,(p)) (45-semisquare,1')\n(Mercury,22.479,(c)) (H5,337.531,(c)) (45-semisquare,3')", "(H8,97.942,(r)) (Sun,127.824,(p)) (30-semisextile,7')\n(Saturn,288.898,(r)) (Moon,138.691,(c)) (150-quincunx,12')\n(Mars,268.218,(c)) (H8,43.043,(c)) (135-sesquisquare,10')", "(Uranus,235.716,(r)) (Moon,86.015,(p)) (150-quincunx,18')\n(Pluto,350.514,(r)) (H10,170.520,(c)) (opposition,0')\n(Pluto,350.410,(c)) (H10,170.520,(c)) (opposition,7')", "(Jupiter,123.786,(r)) (Moon,273.396,(p)) (150-quincunx,23')\n(H7,63.248,(r)) (Moon,273.396,(p)) (150-quincunx,9')\n(Moon,273.396,(p)) (H5,48.283,(p)) (135-sesquisquare,7')\n(Moon,324.670,(r)) (Moon,24.570,(c)) (sextile,6')\n(Mercury,36.325,(r)) (H5,6.481,(c)) (30-semisextile,9')", "(Uranus,235.716,(r)) (H10,205.536,(p)) (30-semisextile,11')\n(H10,179.556,(r)) (Venus,89.396,(p)) (square,10')\n(Mercury,36.325,(r)) (H5,6.146,(c)) (30-semisextile,11')\n(H7,63.248,(r)) (Moon,18.773,(c)) (45-semisquare,31')", "(Moon,324.670,(r)) (Moon,234.410,(c)) (square,16')\n(Moon,234.410,(c)) (H4,323.914,(c)) (square,30')", "(Mean_Node,134.308,(r)) (H5,74.352,(p)) (sextile,3')\n(Moon,291.689,(p)) (H1,291.303,(p)) (conjunction,23')\n(H4,359.556,(r)) (Mercury,29.712,(c)) (30-semisextile,9')", "(H8,97.942,(r)) (Mars,278.085,(c)) (opposition,9')", "(Mercury,36.325,(r)) (H4,306.354,(c)) (square,2')", "(Mercury,36.325,(r)) (Moon,306.478,(c)) (square,9')\n(Uranus,235.716,(r)) (H1,205.825,(c)) (30-semisextile,7')\n(Sun,6.694,(c)) (Moon,306.478,(c)) (sextile,13')\n(Pluto,349.437,(c)) (H4,304.317,(c)) (45-semisquare,7')", 30]
['1813-05-21 23:18:24', "(Mercury,35.386,(r)) (Moon,350.643,(p)) (45-semisquare,15')\n(Uranus,235.750,(r)) (Moon,280.398,(c)) (45-semisquare,21')\n(Venus,348.857,(c)) (H5,34.006,(c)) (45-semisquare,9')", "(Sun,60.423,(r)) (H1,240.516,(c)) (opposition,6')\n(Mean_Node,134.352,(r)) (H12,224.349,(c)) (square,0')", "(Moon,314.029,(r)) (Moon,73.583,(p)) (trine,27')\n(H10,243.221,(r)) (Moon,212.960,(c)) (30-semisextile,16')\n(Moon,212.960,(c)) (H8,167.932,(c)) (45-semisquare,2')", "(Mercury,35.386,(r)) (H7,95.514,(c)) (sextile,8')", "(Moon,314.029,(r)) (H5,103.974,(p)) (150-quincunx,3')\n(Mars,303.811,(r)) (H7,168.705,(p)) (135-sesquisquare,6')\n(Jupiter,123.663,(r)) (H7,168.705,(p)) (45-semisquare,3')\n(Uranus,235.750,(r)) (H10,265.621,(p)) (30-semisextile,8')\n(Mercury,73.820,(p)) (H5,103.974,(p)) (30-semisextile,9')", "(Moon,56.336,(p)) (H8,236.065,(p)) (opposition,16')\n(Neptune,254.576,(r)) (Moon,224.566,(c)) (30-semisextile,1')\n(Mean_Node,134.352,(r)) (Moon,224.566,(c)) (square,13')", "(H4,63.221,(r)) (Venus,123.230,(p)) (sextile,1')", "(H5,81.640,(r)) (Moon,291.310,(p)) (150-quincunx,20')\n(Mars,277.615,(c)) (H5,37.731,(c)) (trine,7')", "(H5,81.640,(r)) (Sun,111.760,(p)) (30-semisextile,7')\n(Uranus,234.040,(p)) (H1,53.980,(p)) (opposition,4')\n(Moon,326.287,(c)) (H4,11.322,(c)) (45-semisquare,2')\n(Mercury,26.421,(c)) (H1,251.354,(c)) (135-sesquisquare,4')\n(Mars,277.011,(c)) (H5,36.868,(c)) (trine,9')", "(Uranus,235.750,(r)) (Moon,295.732,(c)) (sextile,1')", 26]
['1813-05-21 23:32:24', "(Mercury,35.397,(r)) (Moon,350.773,(p)) (45-semisquare,23')\n(Uranus,235.749,(r)) (H5,145.744,(p)) (square,0')\n(H5,84.793,(r)) (Venus,129.838,(p)) (45-semisquare,3')\n(Uranus,235.749,(r)) (Moon,280.519,(c)) (45-semisquare,14')", "(Mars,303.815,(r)) (H1,78.880,(p)) (135-sesquisquare,4')\n(Saturn,288.928,(r)) (H1,78.880,(p)) (150-quincunx,3')\n(H1,307.812,(r)) (Mars,307.750,(p)) (conjunction,4')\n(Moon,314.153,(r)) (H10,179.304,(c)) (135-sesquisquare,9')\n(Mean_Node,134.351,(r)) (H10,179.304,(c)) (45-semisquare,3')\n(H1,307.812,(r)) (Moon,128.091,(c)) (opposition,17')\n(H8,187.992,(r)) (Moon,128.091,(c)) (sextile,6')\n(Moon,128.091,(c)) (H8,97.714,(c)) (30-semisextile,23')", "(Moon,314.153,(r)) (Moon,73.730,(p)) (trine,25')\n(Neptune,254.576,(r)) (H10,254.462,(p)) (conjunction,7')\n(Mean_Node,134.351,(r)) (H10,254.462,(p)) (trine,7')\n(Neptune,254.355,(p)) (H10,254.462,(p)) (conjunction,6')\n(Uranus,235.749,(r)) (H1,295.717,(c)) (sextile,2')", '3', "(H5,84.793,(r)) (Uranus,234.831,(p)) (150-quincunx,2')\n(H7,127.812,(r)) (Sun,82.940,(p)) (45-semisquare,8')\n(Moon,314.153,(r)) (H10,224.266,(c)) (square,7')\n(Mean_Node,134.351,(r)) (H10,224.266,(c)) (square,5')\n(H7,127.812,(r)) (Sun,37.739,(c)) (square,4')\n(H10,246.550,(r)) (Moon,6.544,(c)) (trine,0')", "(Sun,60.433,(r)) (H8,240.365,(p)) (opposition,4')\n(Uranus,234.473,(p)) (H4,99.461,(p)) (135-sesquisquare,1')\n(Moon,314.153,(r)) (Moon,224.682,(c)) (square,32')\n(Mars,303.815,(r)) (H4,33.634,(c)) (square,11')\n(Neptune,254.576,(r)) (Moon,224.682,(c)) (30-semisextile,6')\n(Neptune,254.576,(r)) (H8,134.689,(c)) (trine,7')\n(Mean_Node,134.351,(r)) (Moon,224.682,(c)) (square,20')\n(Moon,224.682,(c)) (H8,134.689,(c)) (square,0')", "(Moon,281.584,(p)) (H1,56.464,(p)) (135-sesquisquare,7')\n(H1,307.812,(r)) (Moon,352.838,(c)) (45-semisquare,2')\n(Mean_Node,137.099,(c)) (H4,16.932,(c)) (trine,10')", "(Pluto,350.505,(r)) (H8,260.552,(p)) (square,3')\n(H4,66.550,(r)) (Moon,291.431,(p)) (135-sesquisquare,7')\n(Pluto,350.581,(p)) (H8,260.552,(p)) (square,2')\n(Venus,59.501,(r)) (H12,239.398,(c)) (opposition,6')\n(Moon,341.355,(c)) (H5,40.857,(c)) (sextile,30')", "(Moon,314.153,(r)) (H1,254.074,(c)) (sextile,5')\n(Jupiter,119.041,(c)) (H1,254.074,(c)) (135-sesquisquare,2')", "(Uranus,235.749,(r)) (Moon,295.857,(c)) (sextile,6')\n(Uranus,237.706,(c)) (H4,12.859,(c)) (135-sesquisquare,9')", 43]
['1813-05-22 02:19:44', "(Sun,60.544,(r)) (H7,285.430,(p)) (135-sesquisquare,7')\n(Mean_Node,134.345,(r)) (H10,344.204,(p)) (150-quincunx,8')\n(H7,216.901,(r)) (Moon,352.336,(p)) (135-sesquisquare,26')\n(Jupiter,119.023,(c)) (H5,74.070,(c)) (45-semisquare,3')", "(H8,247.704,(r)) (Mars,307.719,(p)) (sextile,1')\n(Mean_Node,130.653,(p)) (H8,310.666,(p)) (opposition,1')", "(Moon,315.635,(r)) (Moon,75.487,(p)) (trine,9')\n(H1,36.901,(r)) (Mars,306.875,(p)) (square,2')\n(H10,285.331,(r)) (Moon,75.487,(p)) (150-quincunx,9')\n(Sun,52.504,(c)) (H10,277.668,(c)) (135-sesquisquare,10')", "(Mean_Node,134.345,(r)) (Moon,13.977,(c)) (trine,22')\n(Venus,31.175,(c)) (H7,166.097,(c)) (135-sesquisquare,5')", "(Venus,59.644,(r)) (Moon,269.571,(p)) (150-quincunx,4')\n(Mean_Node,134.345,(r)) (Moon,269.571,(p)) (135-sesquisquare,14')\n(Mean_Node,133.100,(p)) (H7,253.108,(p)) (trine,0')\n(Sun,37.852,(c)) (Moon,8.268,(c)) (30-semisextile,25')", "(Moon,315.635,(r)) (Moon,226.067,(c)) (square,26')\n(Neptune,254.573,(r)) (H4,74.644,(c)) (opposition,4')\n(H4,105.331,(r)) (Neptune,255.321,(c)) (150-quincunx,1')", "(Moon,283.014,(p)) (H5,193.271,(p)) (square,15')\n(Mercury,130.973,(p)) (H1,101.083,(p)) (30-semisextile,7')\n(Jupiter,133.260,(p)) (H5,193.271,(p)) (sextile,1')\n(Venus,59.644,(r)) (H4,59.737,(c)) (conjunction,6')", "(Mean_Node,134.345,(r)) (H5,194.329,(p)) (sextile,1')\n(H8,247.704,(r)) (Moon,292.878,(p)) (45-semisquare,10')\n(Mars,311.576,(p)) (H7,281.739,(p)) (30-semisextile,10')\n(Mean_Node,131.556,(p)) (H7,281.739,(p)) (150-quincunx,11')\n(H8,247.704,(r)) (Mars,277.686,(c)) (30-semisextile,1')\n(Venus,354.682,(c)) (H8,174.574,(c)) (opposition,6')", "(Moon,315.635,(r)) (H5,195.739,(p)) (trine,6')\n(H5,126.123,(r)) (Moon,306.266,(p)) (opposition,9')\n(H1,36.901,(r)) (Mars,277.083,(c)) (trine,11')\n(Moon,328.034,(c)) (H4,58.112,(c)) (square,5')", "(Venus,59.644,(r)) (H1,104.462,(p)) (45-semisquare,11')\n(Mean_Node,134.345,(r)) (H1,104.462,(p)) (30-semisextile,7')\n(H5,126.123,(r)) (Moon,336.065,(p)) (150-quincunx,3')\n(H5,126.123,(r)) (Sun,5.999,(c)) (trine,7')", 37]
['1813-05-22 20:33:28', "(Mercury,140.315,(p)) (H10,260.475,(p)) (trine,10')\n(H10,202.517,(r)) (Mercury,22.571,(c)) (opposition,3')", "(H1,259.604,(r)) (Moon,139.448,(c)) (trine,9')", "(Sun,61.274,(r)) (H10,211.436,(p)) (150-quincunx,10')\n(Moon,86.892,(p)) (H1,266.789,(p)) (opposition,6')\n(Moon,86.892,(p)) (H8,131.809,(p)) (45-semisquare,5')\n(Moon,223.511,(c)) (H1,252.985,(c)) (30-semisextile,32')\n(Moon,223.511,(c)) (H10,193.607,(c)) (30-semisextile,6')", "(Mars,304.153,(r)) (Moon,274.108,(p)) (30-semisextile,3')\n(Jupiter,123.795,(r)) (Moon,274.108,(p)) (150-quincunx,19')\n(Moon,325.437,(r)) (Moon,25.465,(c)) (sextile,2')\n(Uranus,235.713,(r)) (Moon,25.465,(c)) (150-quincunx,15')\n(Moon,25.465,(c)) (H5,25.918,(c)) (conjunction,27')\n(Mercury,25.909,(c)) (H5,25.918,(c)) (conjunction,1')\n(Venus,32.113,(c)) (H7,62.262,(c)) (30-semisextile,9')", "(Moon,325.437,(r)) (H5,25.588,(c)) (sextile,9')\n(Uranus,235.713,(r)) (H5,25.588,(c)) (150-quincunx,7')\n(H7,79.604,(r)) (Moon,19.662,(c)) (sextile,3')", "(Uranus,235.713,(r)) (H1,295.785,(p)) (sextile,4')\n(Moon,325.437,(r)) (Moon,235.110,(c)) (square,20')", "(H4,22.517,(r)) (Moon,292.422,(p)) (square,6')", "(Mars,304.153,(r)) (H5,94.248,(p)) (150-quincunx,6')\n(Uranus,234.043,(p)) (H12,294.155,(p)) (sextile,7')", "(H4,22.517,(r)) (Sun,112.602,(p)) (square,5')\n(H5,46.123,(r)) (Moon,315.953,(p)) (square,10')\n(Sun,9.023,(c)) (Moon,338.729,(c)) (30-semisextile,18')\n(Uranus,237.638,(c)) (H4,327.779,(c)) (square,8')", "(H5,46.123,(r)) (Moon,346.140,(p)) (sextile,1')\n(Moon,325.437,(r)) (H4,325.610,(c)) (conjunction,10')\n(Uranus,235.713,(r)) (H4,325.610,(c)) (square,6')\n(Sun,6.752,(c)) (Moon,307.254,(c)) (sextile,30')", 31]
['1813-05-22 20:42:08', "(Moon,325.515,(r)) (H5,100.668,(p)) (135-sesquisquare,9')\n(Uranus,235.713,(r)) (H5,100.668,(p)) (135-sesquisquare,3')\n(H5,48.042,(r)) (Moon,2.711,(p)) (45-semisquare,20')\n(Sun,115.964,(p)) (H7,160.848,(p)) (45-semisquare,7')\n(Venus,130.917,(p)) (H7,160.848,(p)) (30-semisextile,4')\n(Mars,310.605,(p)) (H5,100.668,(p)) (150-quincunx,4')\n(H7,81.401,(r)) (Moon,291.599,(c)) (150-quincunx,12')\n(Jupiter,119.024,(c)) (H5,359.024,(c)) (trine,0')", '1', "(Mean_Node,133.862,(p)) (H1,268.729,(p)) (135-sesquisquare,8')\n(Neptune,254.553,(r)) (H1,254.683,(c)) (conjunction,8')\n(Neptune,254.765,(c)) (H1,254.683,(c)) (conjunction,5')\n(Mean_Node,134.747,(c)) (H1,254.683,(c)) (trine,4')", "(Mars,304.155,(r)) (Moon,274.181,(p)) (30-semisextile,2')\n(Jupiter,123.796,(r)) (Moon,274.181,(p)) (150-quincunx,23')\n(H10,204.825,(r)) (Uranus,234.814,(p)) (30-semisextile,1')\n(Moon,274.181,(p)) (H10,229.130,(p)) (45-semisquare,3')\n(Moon,325.515,(r)) (Moon,25.556,(c)) (sextile,2')\n(Venus,60.586,(r)) (H10,180.459,(c)) (trine,8')\n(Jupiter,123.796,(r)) (H7,63.856,(c)) (sextile,4')\n(Uranus,235.713,(r)) (Moon,25.556,(c)) (150-quincunx,9')\n(Mean_Node,135.529,(c)) (H10,180.459,(c)) (45-semisquare,4')", "(Mean_Node,134.305,(r)) (H7,104.334,(p)) (30-semisextile,2')\n(H10,204.825,(r)) (Uranus,234.800,(p)) (30-semisextile,1')\n(Moon,278.847,(p)) (H5,69.153,(p)) (150-quincunx,18')", "(H4,24.825,(r)) (Moon,69.631,(p)) (45-semisquare,12')\n(Neptune,253.637,(p)) (H1,298.752,(p)) (45-semisquare,7')\n(Moon,325.515,(r)) (Moon,235.181,(c)) (square,20')\n(Saturn,288.896,(r)) (H4,348.720,(c)) (sextile,11')\n(Uranus,235.713,(r)) (Moon,235.181,(c)) (conjunction,32')\n(H4,24.825,(r)) (Moon,235.181,(c)) (150-quincunx,21')", "(Mercury,36.401,(r)) (Moon,5.898,(c)) (30-semisextile,30')", "(Mean_Node,134.305,(r)) (H7,44.342,(c)) (square,2')\n(Mean_Node,134.305,(r)) (H8,74.227,(c)) (sextile,5')", "(Mars,304.155,(r)) (H4,79.208,(p)) (135-sesquisquare,3')\n(Sun,9.029,(c)) (Moon,338.815,(c)) (30-semisextile,13')\n(Mean_Node,137.151,(c)) (H5,1.974,(c)) (135-sesquisquare,11')", "(Mercury,36.401,(r)) (H4,81.348,(p)) (45-semisquare,3')\n(H4,24.825,(r)) (Sun,114.801,(p)) (square,1')\n(Venus,129.422,(p)) (H5,99.497,(p)) (30-semisextile,5')\n(H1,261.401,(r)) (Venus,351.471,(c)) (square,4')\n(Uranus,237.688,(c)) (H4,327.865,(c)) (square,11')", 41]
