['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['1929-07-28 19:41:52', '0', '1', '2', '3', '4', '5', '6', '7', '8', "(Pluto,107.568,(c)) (H5,347.696,(c)) (trine,7.71')", "(Pluto,108.379,(r)) (H5,48.372,(p)) (sextile,0.40')\n(Mars,164.856,(r)) (H5,345.001,(c)) (opposition,8.66')", "(Sun,125.207,(r)) (H7,35.036,(c)) (square,10.25')\n(Mars,164.856,(r)) (H5,344.995,(c)) (opposition,8.34')", '12', '13', '14', '15', '16', '17', '18', "(Uranus,10.281,(c)) (H1,190.101,(c)) (opposition,10.83')", 6]
['1929-07-28 16:20:15', '0', '1', '2', '3', '4', "(Moon,27.196,(c)) (H8,27.003,(c)) (conjunction,11.56')", '6', '7', '8', "(Mercury,178.258,(p)) (H5,358.146,(p)) (opposition,6.73')\n(Mean_Node,45.557,(p)) (H1,225.660,(p)) (opposition,6.23')", '10', '11', '12', "(Saturn,264.657,(r)) (H1,174.486,(c)) (square,10.26')", "(Mean_Node,47.215,(r)) (H9,107.064,(p)) (sextile,9.09')", '15', '16', "(Sun,125.073,(r)) (H5,5.089,(p)) (trine,0.99')", '18', "(Neptune,150.137,(r)) (H1,150.191,(c)) (conjunction,3.29')", 7]
['1929-07-28 13:29:28', '0', "(Mars,150.995,(c)) (H7,330.852,(c)) (opposition,8.61')", "(Moon,337.848,(p)) (H10,97.615,(p)) (trine,13.97')\n(Uranus,10.908,(p)) (H5,311.044,(p)) (sextile,8.16')", "(Uranus,11.331,(r)) (H5,311.201,(p)) (sextile,7.77')", "(Uranus,11.331,(r)) (H5,311.384,(p)) (sextile,3.19')", '5', '6', '7', "(Uranus,10.755,(p)) (H1,190.608,(p)) (opposition,8.79')", '9', '10', '11', '12', '13', '14', '15', '16', "(Mercury,74.020,(c)) (H5,253.918,(c)) (opposition,6.11')", '18', "(Uranus,10.271,(c)) (H10,10.220,(c)) (conjunction,3.06')", 8]
['1929-07-28 01:30:47', '0', '1', "(Mercury,120.908,(r)) (H7,121.075,(c)) (conjunction,10.02')", "(Mercury,120.908,(r)) (H7,120.839,(c)) (conjunction,4.15')", "(Moon,60.135,(c)) (H7,120.565,(c)) (sextile,25.83')", '5', '6', "(Sun,124.482,(r)) (H5,124.316,(p)) (conjunction,10.01')", "(Venus,80.999,(r)) (H3,81.143,(p)) (conjunction,8.68')", '9', '10', '11', "(Pluto,108.360,(r)) (H7,108.412,(c)) (conjunction,3.10')", "(Mercury,120.908,(r)) (H1,30.954,(p)) (square,2.77')", '14', '15', '16', "(Jupiter,74.944,(p)) (H5,135.010,(p)) (sextile,3.97')\n(Jupiter,61.427,(c)) (H5,61.448,(c)) (conjunction,1.27')", "(Mars,137.052,(c)) (H8,137.055,(c)) (conjunction,0.18')", '19', 10]
['1929-07-28 02:00:47', "(Venus,81.021,(r)) (H1,21.051,(p)) (sextile,1.76')", '1', "(Mars,164.401,(r)) (H10,284.443,(p)) (trine,2.55')", "(Mercury,120.952,(r)) (H10,241.060,(c)) (trine,6.50')", "(Mercury,120.952,(r)) (H10,240.847,(c)) (trine,6.33')\n(Moon,60.441,(c)) (H10,240.847,(c)) (opposition,24.34')", "(Mars,147.965,(c)) (H10,237.917,(c)) (square,2.85')", '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', "(Mean_Node,47.247,(r)) (H1,47.340,(p)) (conjunction,5.59')", "(Moon,230.711,(c)) (H7,111.062,(c)) (trine,21.05')", '18', '19', 8]
['1929-07-28 08:02:15', '0', "(Moon,88.781,(c)) (H10,328.880,(c)) (trine,5.94')", '2', '3', '4', '5', '6', '7', '8', "(Mercury,121.482,(r)) (H5,241.574,(p)) (trine,5.52')", "(Jupiter,69.493,(r)) (H1,129.505,(p)) (sextile,0.69')\n(Uranus,11.333,(r)) (H1,71.246,(c)) (sextile,5.23')\n(Uranus,11.169,(c)) (H1,71.246,(c)) (sextile,4.57')", '11', '12', '13', '14', "(Mean_Node,49.279,(c)) (H9,289.395,(c)) (trine,6.93')", '16', '17', "(Sun,124.742,(r)) (H4,124.670,(c)) (conjunction,4.33')", '19', 7]
['1929-07-28 01:39:51', "(Venus,59.935,(c)) (H10,239.837,(c)) (opposition,5.90')", "(Mercury,120.921,(r)) (H5,121.053,(p)) (conjunction,7.91')\n(Moon,316.410,(p)) (H7,196.048,(p)) (trine,21.68')\n(Venus,57.501,(c)) (H10,237.424,(c)) (opposition,4.65')", "(Venus,56.274,(c)) (H10,236.185,(c)) (opposition,5.34')", "(Moon,63.404,(c)) (H7,123.670,(c)) (sextile,15.92')\n(Venus,56.090,(c)) (H10,235.998,(c)) (opposition,5.52')", "(Venus,55.878,(c)) (H10,235.781,(c)) (opposition,5.76')", '5', '6', '7', "(Moon,350.307,(c)) (H10,230.569,(c)) (trine,15.69')", '9', '10', "(Pluto,108.360,(r)) (H4,108.362,(p)) (conjunction,0.12')", '12', "(Pluto,109.142,(p)) (H10,289.086,(p)) (opposition,3.37')", '14', '15', "(Neptune,149.021,(c)) (H8,149.127,(c)) (conjunction,6.41')", '17', '18', '19', 12]
['1929-07-28 01:24:39', "(Uranus,11.335,(r)) (H9,251.500,(p)) (trine,9.87')", "(Jupiter,69.444,(r)) (H7,189.524,(p)) (trine,4.80')\n(Mercury,120.899,(r)) (H7,120.756,(c)) (conjunction,8.57')", '2', '3', "(Moon,336.603,(p)) (H10,276.425,(p)) (sextile,10.66')", '5', "(Pluto,108.360,(r)) (H1,18.242,(p)) (square,7.09')", '7', '8', '9', "(Mean_Node,47.248,(r)) (H1,287.085,(c)) (trine,9.82')", '11', '12', '13', '14', '15', '16', '17', '18', '19', 6]
['1929-07-28 10:21:28', '0', '1', "(Jupiter,64.877,(c)) (H10,5.058,(c)) (sextile,10.83')", "(Sun,124.835,(r)) (H10,4.849,(c)) (trine,0.84')\n(Jupiter,64.838,(c)) (H10,4.849,(c)) (sextile,0.63')", '4', '5', '6', "(Mean_Node,48.729,(c)) (H1,108.909,(c)) (sextile,10.78')", '8', "(Sun,154.930,(p)) (H1,154.853,(p)) (conjunction,4.61')\n(Sun,154.930,(p)) (H5,274.881,(p)) (trine,2.94')", '10', '11', '12', '13', '14', "(Moon,21.118,(r)) (H9,321.068,(c)) (sextile,2.96')", '16', '17', '18', "(Mars,164.616,(r)) (H1,74.653,(c)) (square,2.26')", 8]
['1929-07-28 08:06:08', '0', '1', '2', '3', '4', '5', "(Moon,9.933,(c)) (H8,279.672,(c)) (square,15.70')", '7', '8', '9', "(Pluto,107.487,(c)) (H5,167.631,(c)) (sextile,8.62')", '11', "(Neptune,151.370,(p)) (H8,331.371,(p)) (opposition,0.07')\n(Mean_Node,47.234,(r)) (H4,137.285,(c)) (square,3.06')", '13', '14', '15', '16', "(Moon,189.660,(p)) (H5,249.737,(p)) (sextile,4.64')", '18', "(Pluto,106.781,(c)) (H10,286.907,(c)) (opposition,7.54')", 6]
['1929-07-28 15:00:31', "(Sun,105.886,(c)) (H9,45.917,(c)) (sextile,1.87')", "(Moon,23.676,(r)) (H7,23.675,(p)) (conjunction,0.04')\n(Moon,323.219,(p)) (H7,23.675,(p)) (sextile,27.36')", '2', '3', '4', '5', '6', "(Uranus,11.330,(r)) (H4,251.391,(c)) (trine,3.63')\n(Uranus,11.265,(c)) (H4,251.391,(c)) (trine,7.52')", "(Sun,97.092,(c)) (H3,217.127,(c)) (trine,2.12')", '9', '10', '11', '12', '13', "(Uranus,11.330,(r)) (H10,71.423,(c)) (sextile,5.54')\n(Sun,98.016,(c)) (H9,38.061,(c)) (sextile,2.72')\n(Uranus,11.266,(c)) (H10,71.423,(c)) (sextile,9.40')", "(Sun,88.166,(c)) (H9,28.004,(c)) (sextile,9.70')", '16', '17', '18', '19', 10]
['1929-07-28 13:17:20', "(Venus,81.533,(r)) (H9,21.697,(c)) (sextile,9.82')", '1', '2', '3', '4', '5', '6', '7', '8', "(Jupiter,69.532,(r)) (H1,189.691,(p)) (trine,9.55')", '10', "(Mean_Node,49.024,(c)) (H7,319.135,(c)) (square,6.64')", "(Mean_Node,49.039,(c)) (H7,318.902,(c)) (square,8.25')", '13', "(Sun,124.951,(r)) (H9,65.003,(p)) (sextile,3.09')", "(Jupiter,74.934,(p)) (H1,194.930,(p)) (trine,0.22')\n(Moon,243.515,(c)) (H9,3.175,(c)) (trine,20.39')", '16', "(Uranus,11.068,(c)) (H5,250.958,(c)) (trine,6.61')", '18', '19', 8]
['1929-07-28 06:59:20', '0', '1', '2', "(Moon,336.796,(p)) (H5,217.120,(p)) (trine,19.40')", '4', '5', "(Neptune,150.123,(r)) (H1,60.293,(c)) (square,10.15')", '7', '8', '9', '10', '11', "(Mean_Node,47.236,(r)) (H8,317.113,(p)) (square,7.39')", '13', '14', "(Moon,180.767,(p)) (H1,120.378,(p)) (sextile,23.34')", '16', "(Venus,81.247,(r)) (H5,141.236,(c)) (sextile,0.64')", '18', '19', 5]
['1929-07-27 23:45:12', "(Moon,286.118,(p)) (H9,225.660,(p)) (sextile,27.48')", '1', "(Jupiter,73.167,(p)) (H10,253.117,(p)) (opposition,2.98')", "(Jupiter,73.191,(p)) (H10,253.278,(p)) (opposition,5.17')", '4', '5', '6', "(Pluto,107.623,(c)) (H5,47.715,(c)) (sextile,5.47')", "(Venus,80.919,(r)) (H10,200.977,(c)) (trine,3.51')", '9', '10', '11', '12', "(Neptune,150.113,(r)) (H9,240.195,(p)) (square,4.91')", '14', '15', '16', '17', "(Pluto,107.193,(c)) (H8,107.220,(c)) (conjunction,1.61')", '19', 7]
