['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['1929-07-28 16:20:15', '0', "(Sun,125.073,(r)) (H7,5.034,(c)) (trine,2.36')", '2', '3', '4', '5', '6', '7', '8', '9', '10', "(Neptune,150.137,(r)) (H4,329.964,(d)) (opposition,10.36')", "(Neptune,150.137,(r)) (H4,330.261,(d)) (opposition,7.45')", "(Saturn,264.657,(r)) (H10,84.613,(c)) (opposition,2.68')", '14', '15', '16', '17', "(Mars,164.770,(r)) (H4,254.833,(c)) (square,3.80')", '19', 5]
['1929-07-28 13:29:28', '0', '1', '2', '3', '4', "(Uranus,11.331,(r)) (H10,101.386,(d)) (square,3.30')", '6', '7', "(Jupiter,69.534,(r)) (H3,249.557,(d)) (opposition,1.39')", "(Mean_Node,47.222,(r)) (H4,227.283,(c)) (opposition,3.69')", "(Mars,164.696,(r)) (H4,224.623,(c)) (sextile,4.41')", '11', '12', "(Pluto,108.372,(r)) (H10,108.539,(d)) (conjunction,9.99')", '14', '15', '16', '17', '18', '19', 5]
['1929-07-28 01:30:47', '0', '1', "(Moon,16.284,(r)) (H5,76.377,(c)) (sextile,5.59')", "(Mercury,120.908,(r)) (H5,120.868,(d)) (conjunction,2.38')\n(Moon,16.284,(r)) (H5,76.212,(c)) (sextile,4.29')", "(Moon,16.284,(r)) (H7,196.107,(d)) (opposition,10.61')", '5', '6', '7', '8', "(Mean_Node,47.248,(r)) (H4,47.124,(c)) (conjunction,7.46')", "(Mars,164.388,(r)) (H4,44.462,(c)) (trine,4.46')", '11', '12', "(Pluto,108.360,(r)) (H10,288.392,(d)) (opposition,1.93')", '14', '15', '16', "(Mars,164.388,(r)) (H7,104.434,(c)) (sextile,2.78')", '18', '19', 8]
['1929-07-28 02:00:47', "(Moon,16.556,(r)) (H1,316.590,(c)) (sextile,2.05')", '1', '2', '3', '4', "(Pluto,108.360,(r)) (H10,288.225,(d)) (opposition,8.12')\n(Saturn,264.685,(r)) (H8,174.731,(c)) (square,2.75')", "(Sun,124.502,(r)) (H1,34.494,(d)) (square,0.51')", '7', "(Sun,124.502,(r)) (H1,304.344,(c)) (opposition,9.48')", '9', '10', '11', "(Mars,164.401,(r)) (H8,164.451,(c)) (conjunction,3.03')", '13', '14', '15', "(Mean_Node,47.247,(r)) (H10,227.226,(c)) (opposition,1.28')", "(Jupiter,69.448,(r)) (H5,69.415,(c)) (conjunction,1.99')", '18', '19', 8]
['1929-07-28 08:02:15', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', "(Pluto,108.367,(r)) (H10,288.269,(c)) (opposition,5.85')", 1]
['1929-07-28 01:39:51', '0', '1', "(Sun,124.488,(r)) (H7,124.624,(c)) (conjunction,8.14')", "(Sun,124.488,(r)) (H7,124.390,(c)) (conjunction,5.88')", '4', '5', '6', '7', '8', "(Mean_Node,47.248,(r)) (H4,107.244,(d)) (sextile,0.24')", "(Jupiter,69.446,(r)) (H5,69.310,(c)) (conjunction,8.15')", '11', '12', '13', '14', '15', '16', '17', '18', '19', 4]
['1929-07-28 01:24:39', '0', '1', '2', '3', '4', "(Pluto,108.360,(r)) (H1,18.412,(d)) (square,3.14')", '6', '7', '8', '9', '10', "(Pluto,108.360,(r)) (H7,108.240,(c)) (conjunction,7.20')", '12', "(Mercury,120.899,(r)) (H1,30.944,(d)) (square,2.67')", '14', '15', '16', '17', "(Mean_Node,47.248,(r)) (H8,137.257,(c)) (square,0.50')", '19', 4]
['1929-07-28 10:21:28', "(Jupiter,69.510,(r)) (H10,9.584,(c)) (sextile,4.44')", '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', "(Saturn,264.669,(r)) (H4,174.579,(c)) (square,5.42')", '12', '13', '14', '15', '16', '17', '18', '19', 2]
['1929-07-28 08:06:08', '0', '1', "(Mercury,121.488,(r)) (H5,181.567,(c)) (sextile,4.79')", "(Moon,19.881,(r)) (H10,19.727,(d)) (conjunction,9.27')", "(Moon,19.881,(r)) (H10,19.955,(d)) (conjunction,4.42')", '5', '6', '7', '8', '9', "(Uranus,11.333,(r)) (H1,131.424,(d)) (trine,5.47')", '11', '12', '13', '14', '15', '16', '17', "(Saturn,264.673,(r)) (H8,264.571,(c)) (conjunction,6.13')", '19', 5]
['1929-07-28 15:00:31', '0', '1', '2', '3', '4', '5', "(Mars,164.736,(r)) (H1,164.893,(c)) (conjunction,9.47')", '7', "(Sun,125.020,(r)) (H10,125.023,(d)) (conjunction,0.20')", '9', "(Jupiter,69.545,(r)) (H4,309.621,(d)) (trine,4.57')", '11', '12', '13', '14', '15', '16', '17', '18', '19', 3]
