Row 12: {'time': '1813-05-22 04:53:36', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 0, 'p_p_allm': 3, 'e': 5, 'all_conj': 4, 'all_maj': 1, 'a_p_p_a_conj': 1, 'all_m': 5}
Row 13: {'time': '1813-05-22 07:52:07', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_allm': 0, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 0, 'p_p_allm': 2, 'e': 5, 'all_conj': 5, 'all_maj': 1, 'a_p_p_a_conj': 2, 'all_m': 6}
Row 14: {'time': '1813-05-22 20:25:52', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 1, 'p_p_allm': 2, 'e': 1, 'all_conj': 5, 'all_maj': 3, 'a_p_p_a_conj': 3, 'all_m': 8}
Row 15: {'time': '1813-05-22 05:54:00', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 1, 'p_p_allm': 3, 'e': 6, 'all_conj': 4, 'all_maj': 2, 'a_p_p_a_conj': 2, 'all_m': 6}
Row 16: {'time': '1813-05-22 11:43:20', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 0, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 4, 'p_p_allm': 4, 'e': 4, 'all_conj': 5, 'all_maj': 5, 'a_p_p_a_conj': 2, 'all_m': 10}
Row 17: {'time': '1813-05-22 12:43:12', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 0, 'p_p_allm': 3, 'e': 3, 'all_conj': 5, 'all_maj': 4, 'a_p_p_a_conj': 1, 'all_m': 9}
Row 18: {'time': '1813-05-22 19:09:59', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 4, 'p_p_maj': 1, 'p_p_allm': 5, 'e': 2, 'all_conj': 7, 'all_maj': 3, 'a_p_p_a_conj': 1, 'all_m': 10}
Row 19: {'time': '1813-05-22 08:29:20', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_allm': 0, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 2, 'p_p_allm': 5, 'e': 3, 'all_conj': 3, 'all_maj': 5, 'a_p_p_a_conj': 0, 'all_m': 8}
Row 20: {'time': '1813-05-22 08:46:08', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 1, 'p_p_allm': 3, 'e': 3, 'all_conj': 4, 'all_maj': 5, 'a_p_p_a_conj': 1, 'all_m': 9}
Row 21: {'time': '1813-05-22 15:31:28', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 1, 'p_p_maj': 1, 'p_p_allm': 2, 'e': 4, 'all_conj': 3, 'all_maj': 4, 'a_p_p_a_conj': 1, 'all_m': 7}
