['Time', '0: 1883-07-05', '1: 1895-01-24', '2: 1899-11-15', '3: 1898-12-01', '4: 1900-06-05', '5: 1909-07-11', '6: 1911-05-28', '7: 1914-10-07', '8: 1918-11-15', '9: 1921-06-29', '10: 1922-09-15', '11: 1941-12-12', '12: 1944-09-05', '13: 1953-06-24', '14: 1963-10-19', 'Count']
['1874-11-30 00:20:16', "(Mars,196.520,(r)) (H8,16.633,(d)) (opposition,6.80')", '1', "(Neptune,28.434,(r)) (Pluto,28.351,(c)) (conjunction,5.00')", '3', '4', "(Venus,262.050,(r)) (Pluto,82.177,(d)) (opposition,7.65')", '6', "(Uranus,135.230,(r)) (H1,195.236,(d)) (sextile,0.39')", '8', "(H1,167.659,(r)) (Saturn,347.551,(d)) (opposition,6.46')\n(Neptune,28.434,(r)) (H4,208.540,(c)) (opposition,6.35')", "(H5,290.540,(r)) (Moon,110.434,(c)) (opposition,6.37')", '11', '12', "(Pluto,51.425,(r)) (Sun,321.492,(d)) (square,4.01')", "(H8,9.900,(r)) (Mean_Node,99.912,(d)) (square,0.71')\n(H4,253.799,(r)) (Moon,73.621,(c)) (opposition,10.69')", 10]
['1874-11-30 00:55:28', "(POF,75.471,(r)) (Sun,255.429,(d)) (opposition,2.49')\n(Sun,247.695,(r)) (POF,67.635,(c)) (opposition,3.58')", "(Neptune,28.434,(r)) (Uranus,118.507,(c)) (square,4.37')", '2', "(Mercury,227.572,(r)) (Neptune,47.533,(d)) (opposition,2.40')", '4', '5', "(Mercury,227.572,(r)) (Venus,227.693,(c)) (conjunction,7.25')\n(Mercury,227.572,(r)) (Mars,167.595,(c)) (sextile,1.35')\n(H1,173.852,(r)) (Jupiter,173.708,(c)) (conjunction,8.65')", "(Venus,262.039,(r)) (Mercury,261.867,(d)) (conjunction,10.33')\n(H5,298.260,(r)) (Venus,298.360,(d)) (conjunction,6.00')\n(H5,298.260,(r)) (H4,298.414,(d)) (conjunction,9.20')", "(Mean_Node,24.369,(r)) (H1,204.233,(d)) (opposition,8.14')\n(H5,298.260,(r)) (Jupiter,238.309,(d)) (sextile,2.93')\n(Mercury,227.572,(r)) (Jupiter,167.657,(c)) (sextile,5.07')\n(Jupiter,203.563,(r)) (H1,143.584,(c)) (sextile,1.24')", '9', '10', '11', '12', "(Mars,196.535,(r)) (Saturn,16.409,(d)) (opposition,7.57')\n(Neptune,28.434,(r)) (Mercury,298.505,(d)) (square,4.28')", "(Saturn,309.592,(r)) (Mercury,309.566,(d)) (conjunction,1.55')", 17]
['1874-11-30 01:37:59', '0', '1', '2', '3', '4', '5', "(Mars,196.553,(r)) (Pluto,16.726,(c)) (opposition,10.38')", "(Venus,262.026,(r)) (Pluto,81.875,(d)) (opposition,9.05')", "(Mean_Node,24.367,(r)) (Mercury,264.407,(d)) (trine,2.41')", "(H8,25.351,(r)) (Sun,205.407,(c)) (opposition,3.34')", "(H1,181.344,(r)) (Mean_Node,61.315,(d)) (trine,1.75')\n(H5,307.589,(r)) (Moon,187.601,(d)) (trine,0.73')", "(Mercury,227.596,(r)) (H1,227.503,(d)) (conjunction,5.58')\n(Uranus,135.229,(r)) (Jupiter,255.208,(d)) (trine,1.28')\n(Uranus,135.229,(r)) (H1,135.170,(c)) (conjunction,3.53')", "(Jupiter,203.569,(r)) (Neptune,83.593,(d)) (trine,1.48')\n(Mercury,227.596,(r)) (Pluto,347.642,(c)) (trine,2.73')", "(H1,181.344,(r)) (Neptune,91.416,(d)) (square,4.34')", "(Neptune,28.433,(r)) (Saturn,28.355,(d)) (conjunction,4.71')\n(Saturn,309.594,(r)) (Mars,129.773,(c)) (opposition,10.74')\n(Uranus,135.229,(r)) (Mean_Node,315.294,(c)) (opposition,3.87')", 15]
['1874-11-30 02:34:24', '0', '1', "(Sun,247.765,(r)) (Uranus,157.697,(d)) (square,4.03')\n(Neptune,28.433,(r)) (H1,208.467,(d)) (opposition,2.08')", '3', '4', "(Pluto,51.424,(r)) (Venus,231.535,(c)) (opposition,6.71')\n(H4,284.785,(r)) (Uranus,104.851,(c)) (opposition,3.98')", "(Mars,196.577,(r)) (Mercury,256.530,(d)) (sextile,2.82')", '7', "(Venus,262.008,(r)) (Pluto,81.835,(d)) (opposition,10.41')", "(Pluto,51.424,(r)) (POF,51.293,(c)) (conjunction,7.86')", '10', '11', "(Uranus,135.229,(r)) (H9,135.250,(d)) (conjunction,1.26')", '13', '14', 8]
['1874-11-30 02:25:52', "(H1,189.772,(r)) (Mars,189.796,(c)) (conjunction,1.43')", '1', '2', "(H9,66.252,(r)) (Mercury,246.308,(d)) (opposition,3.35')", '4', "(Uranus,135.229,(r)) (Mercury,255.144,(d)) (trine,5.07')\n(Pluto,51.424,(r)) (Venus,231.373,(c)) (opposition,3.03')", "(Pluto,51.424,(r)) (Mean_Node,51.342,(d)) (conjunction,4.88')", '7', "(H4,282.802,(r)) (Venus,222.789,(c)) (sextile,0.78')", "(Moon,150.104,(r)) (H4,240.179,(c)) (square,4.52')", "(Sun,247.759,(r)) (Venus,307.687,(d)) (sextile,4.30')\n(Mercury,227.624,(r)) (Jupiter,167.651,(c)) (sextile,1.66')", "(Jupiter,203.575,(r)) (H1,143.527,(c)) (sextile,2.87')", "(Uranus,135.229,(r)) (Jupiter,255.202,(d)) (trine,1.61')", "(Neptune,28.433,(r)) (H10,28.497,(c)) (conjunction,3.83')", '14', 12]
['1874-11-30 00:42:24', '0', "(Saturn,309.591,(r)) (Jupiter,219.591,(d)) (square,0.01')\n(Sun,247.686,(r)) (H1,157.643,(c)) (square,2.55')", '2', "(H9,43.505,(r)) (Venus,283.592,(d)) (trine,5.21')", "(Mean_Node,24.369,(r)) (Mercury,204.518,(c)) (opposition,8.90')", '5', "(Mercury,227.565,(r)) (Venus,227.398,(c)) (conjunction,10.05')", "(Mercury,227.565,(r)) (Uranus,167.643,(d)) (sextile,4.65')\n(Venus,262.043,(r)) (Mercury,262.194,(d)) (conjunction,9.06')\n(H5,295.397,(r)) (Jupiter,235.440,(d)) (sextile,2.55')\n(H5,295.397,(r)) (H4,295.293,(d)) (conjunction,6.24')\n(Pluto,51.425,(r)) (Mean_Node,351.500,(c)) (sextile,4.53')\n(H1,171.552,(r)) (Mean_Node,351.500,(c)) (opposition,3.08')", "(Moon,149.199,(r)) (Pluto,89.127,(d)) (sextile,4.34')", "(Neptune,28.434,(r)) (POF,28.582,(c)) (conjunction,8.85')\n(H4,258.943,(r)) (Neptune,348.966,(c)) (square,1.43')", "(Moon,149.199,(r)) (Mercury,269.289,(d)) (trine,5.35')", "(Moon,149.199,(r)) (Mean_Node,329.192,(c)) (opposition,0.46')\n(Neptune,28.434,(r)) (Jupiter,148.398,(c)) (trine,2.18')", '12', '13', "(Saturn,309.591,(r)) (Mercury,309.705,(d)) (conjunction,6.84')\n(Mean_Node,24.369,(r)) (Saturn,24.321,(d)) (conjunction,2.89')", 19]
['1874-11-30 01:29:44', '0', '1', "(Mercury,227.592,(r)) (Neptune,47.544,(d)) (opposition,2.89')\n(Uranus,135.229,(r)) (Sun,225.272,(c)) (square,2.55')", '3', '4', "(Pluto,51.424,(r)) (Mean_Node,51.264,(d)) (conjunction,9.61')", "(Pluto,51.424,(r)) (Jupiter,231.365,(d)) (opposition,3.54')", '7', "(Moon,149.613,(r)) (H1,149.559,(c)) (conjunction,3.24')", '9', "(H5,305.773,(r)) (Mercury,185.742,(c)) (trine,1.85')", "(Mercury,227.592,(r)) (Pluto,107.604,(d)) (trine,0.74')", "(Moon,149.613,(r)) (Mean_Node,329.591,(c)) (opposition,1.36')\n(Jupiter,203.567,(r)) (Mars,143.543,(c)) (sextile,1.46')", '13', "(Neptune,28.434,(r)) (H1,118.442,(c)) (square,0.49')", 10]
['1874-11-30 02:06:24', "(H8,30.963,(r)) (Mean_Node,30.842,(d)) (conjunction,7.26')\n(Mean_Node,24.366,(r)) (H8,24.283,(c)) (conjunction,4.99')", "(Saturn,309.596,(r)) (Mean_Node,39.523,(d)) (square,4.33')", '2', '3', "(Uranus,135.229,(r)) (H10,75.155,(c)) (sextile,4.41')", '5', "(Mars,196.565,(r)) (Mercury,196.492,(c)) (conjunction,4.40')\n(Mars,196.565,(r)) (Pluto,16.500,(c)) (opposition,3.88')", '7', "(Jupiter,203.572,(r)) (Pluto,83.648,(d)) (trine,4.55')", "(POF,88.535,(r)) (Saturn,268.520,(c)) (opposition,0.88')", '10', '11', '12', '13', '14', 8]
['1874-11-30 01:54:15', '0', '1', "(Neptune,28.433,(r)) (H10,118.473,(d)) (square,2.42')\n(Pluto,51.424,(r)) (H12,141.510,(c)) (square,5.18')", "(Mercury,227.606,(r)) (H1,167.592,(c)) (sextile,0.82')", "(Mercury,227.606,(r)) (Neptune,47.443,(d)) (opposition,9.74')\n(H9,59.328,(r)) (Venus,239.167,(c)) (opposition,9.66')", '5', "(Mars,196.560,(r)) (Pluto,16.595,(c)) (opposition,2.11')", '7', "(Mean_Node,24.367,(r)) (Pluto,84.437,(d)) (sextile,4.20')", "(Moon,149.828,(r)) (Mean_Node,59.858,(d)) (square,1.80')\n(Venus,262.021,(r)) (H8,352.095,(c)) (square,4.45')", "(Mercury,227.606,(r)) (Mean_Node,347.668,(c)) (trine,3.74')", "(Mean_Node,24.367,(r)) (Moon,204.461,(d)) (opposition,5.64')", "(Moon,149.828,(r)) (Jupiter,149.940,(c)) (conjunction,6.75')", '13', "(Saturn,309.595,(r)) (Pluto,129.460,(d)) (opposition,8.08')", 13]
['1874-11-30 00:30:08', '0', '1', "(Mercury,227.558,(r)) (POF,47.427,(c)) (opposition,7.89')", '3', "(Mean_Node,24.370,(r)) (Mercury,204.329,(c)) (opposition,2.45')", "(Pluto,51.425,(r)) (Jupiter,231.572,(d)) (opposition,8.82')\n(H5,292.707,(r)) (Mean_Node,52.754,(d)) (trine,2.83')\n(Venus,262.047,(r)) (H5,261.958,(c)) (conjunction,5.33')", "(Mean_Node,24.370,(r)) (H5,324.353,(d)) (sextile,0.98')\n(Mean_Node,24.370,(r)) (H1,144.287,(c)) (trine,4.97')", "(Venus,262.047,(r)) (H1,141.982,(c)) (trine,3.89')", "(Mercury,227.558,(r)) (Mean_Node,347.647,(c)) (trine,5.32')", '9', '10', '11', "(Venus,262.047,(r)) (Mean_Node,82.054,(d)) (opposition,0.44')", '13', "(Venus,262.047,(r)) (H8,81.936,(d)) (opposition,6.68')\n(Jupiter,203.560,(r)) (Saturn,23.479,(d)) (opposition,4.86')", 12]
