Row 17: {'time': '1813-05-22 11:43:20', 'p_a_conj': 1, 'p_a_maj': 11, 'p_a_allm': 12, 'p_a_min': 15, 'e': 1, 'all_conj': 1}
Row 18: {'time': '1813-05-22 19:08:47', 'p_a_conj': 7, 'p_a_maj': 13, 'p_a_allm': 20, 'p_a_min': 12, 'e': 1, 'all_conj': 7}
Row 19: {'time': '1813-05-22 22:57:59', 'p_a_conj': 4, 'p_a_maj': 15, 'p_a_allm': 19, 'p_a_min': 12, 'e': 0, 'all_conj': 4}
Row 20: {'time': '1813-05-22 02:27:12', 'p_a_conj': 3, 'p_a_maj': 13, 'p_a_allm': 16, 'p_a_min': 15, 'e': 0, 'all_conj': 3}
Row 21: {'time': '1813-05-22 02:48:23', 'p_a_conj': 4, 'p_a_maj': 10, 'p_a_allm': 14, 'p_a_min': 17, 'e': 0, 'all_conj': 4}
Row 22: {'time': '1813-05-21 23:12:00', 'p_a_conj': 5, 'p_a_maj': 11, 'p_a_allm': 16, 'p_a_min': 19, 'e': 1, 'all_conj': 5}
Row 23: {'time': '1813-05-21 23:18:24', 'p_a_conj': 3, 'p_a_maj': 10, 'p_a_allm': 13, 'p_a_min': 7, 'e': 0, 'all_conj': 3}
Row 24: {'time': '1813-05-22 12:43:12', 'p_a_conj': 7, 'p_a_maj': 14, 'p_a_allm': 21, 'p_a_min': 17, 'e': 0, 'all_conj': 7}
Row 25: {'time': '1813-05-21 23:23:28', 'p_a_conj': 2, 'p_a_maj': 9, 'p_a_allm': 11, 'p_a_min': 13, 'e': 1, 'all_conj': 2}
Row 26: {'time': '1813-05-22 11:21:28', 'p_a_conj': 1, 'p_a_maj': 10, 'p_a_allm': 11, 'p_a_min': 15, 'e': 0, 'all_conj': 1}
Row 27: {'time': '1813-05-22 19:09:59', 'p_a_conj': 3, 'p_a_maj': 14, 'p_a_allm': 17, 'p_a_min': 13, 'e': 1, 'all_conj': 3}
Row 28: {'time': '1813-05-22 15:14:39', 'p_a_conj': 4, 'p_a_maj': 13, 'p_a_allm': 17, 'p_a_min': 15, 'e': 0, 'all_conj': 4}
Row 29: {'time': '1813-05-22 19:19:59', 'p_a_conj': 3, 'p_a_maj': 7, 'p_a_allm': 10, 'p_a_min': 18, 'e': 0, 'all_conj': 3}
Row 30: {'time': '1813-05-22 12:59:35', 'p_a_conj': 3, 'p_a_maj': 10, 'p_a_allm': 13, 'p_a_min': 24, 'e': 1, 'all_conj': 3}
Row 31: {'time': '1813-05-22 08:29:20', 'p_a_conj': 7, 'p_a_maj': 9, 'p_a_allm': 16, 'p_a_min': 12, 'e': 2, 'all_conj': 7}
Row 32: {'time': '1813-05-22 12:11:12', 'p_a_conj': 3, 'p_a_maj': 11, 'p_a_allm': 14, 'p_a_min': 14, 'e': 0, 'all_conj': 3}
Row 33: {'time': '1813-05-22 20:10:56', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_allm': 18, 'p_a_min': 19, 'e': 0, 'all_conj': 5}
Row 34: {'time': '1813-05-22 00:18:47', 'p_a_conj': 5, 'p_a_maj': 8, 'p_a_allm': 13, 'p_a_min': 17, 'e': 0, 'all_conj': 5}
Row 35: {'time': '1813-05-22 07:21:12', 'p_a_conj': 2, 'p_a_maj': 9, 'p_a_allm': 11, 'p_a_min': 20, 'e': 0, 'all_conj': 2}
Row 36: {'time': '1813-05-22 08:46:08', 'p_a_conj': 5, 'p_a_maj': 20, 'p_a_allm': 25, 'p_a_min': 16, 'e': 0, 'all_conj': 5}
Row 37: {'time': '1813-05-22 20:16:23', 'p_a_conj': 4, 'p_a_maj': 8, 'p_a_allm': 12, 'p_a_min': 22, 'e': 0, 'all_conj': 4}
Row 38: {'time': '1813-05-22 21:45:44', 'p_a_conj': 5, 'p_a_maj': 9, 'p_a_allm': 14, 'p_a_min': 12, 'e': 2, 'all_conj': 5}
