Row 37: {'time': '1929-07-28 06:54:39', 'p_a_conj': 8, 'p_a_maj': 29, 'p_a_allm': 37, 'p_a_min': 33, 'e': 1, 'all_conj': 8}
Row 38: {'time': '1929-07-28 11:06:00', 'p_a_conj': 13, 'p_a_maj': 29, 'p_a_allm': 42, 'p_a_min': 27, 'e': 1, 'all_conj': 13}
Row 39: {'time': '1929-07-28 05:43:36', 'p_a_conj': 12, 'p_a_maj': 35, 'p_a_allm': 47, 'p_a_min': 25, 'e': 0, 'all_conj': 12}
Row 40: {'time': '1929-07-28 01:14:23', 'p_a_conj': 15, 'p_a_maj': 14, 'p_a_allm': 29, 'p_a_min': 25, 'e': 2, 'all_conj': 15}
Row 41: {'time': '1929-07-28 03:30:08', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_allm': 18, 'p_a_min': 43, 'e': 1, 'all_conj': 4}
Row 42: {'time': '1929-07-28 12:50:39', 'p_a_conj': 15, 'p_a_maj': 32, 'p_a_allm': 47, 'p_a_min': 23, 'e': 1, 'all_conj': 15}
Row 43: {'time': '1929-07-27 20:52:48', 'p_a_conj': 15, 'p_a_maj': 16, 'p_a_allm': 31, 'p_a_min': 32, 'e': 0, 'all_conj': 15}
Row 44: {'time': '1929-07-28 19:55:20', 'p_a_conj': 13, 'p_a_maj': 23, 'p_a_allm': 36, 'p_a_min': 28, 'e': 0, 'all_conj': 13}
Row 45: {'time': '1929-07-28 07:05:43', 'p_a_conj': 4, 'p_a_maj': 20, 'p_a_allm': 24, 'p_a_min': 35, 'e': 1, 'all_conj': 4}
Row 46: {'time': '1929-07-28 03:34:31', 'p_a_conj': 5, 'p_a_maj': 18, 'p_a_allm': 23, 'p_a_min': 39, 'e': 0, 'all_conj': 5}
Row 47: {'time': '1929-07-28 06:30:32', 'p_a_conj': 10, 'p_a_maj': 29, 'p_a_allm': 39, 'p_a_min': 23, 'e': 0, 'all_conj': 10}
Row 48: {'time': '1929-07-28 14:12:24', 'p_a_conj': 6, 'p_a_maj': 14, 'p_a_allm': 20, 'p_a_min': 36, 'e': 2, 'all_conj': 6}
Row 49: {'time': '1929-07-28 07:42:23', 'p_a_conj': 4, 'p_a_maj': 32, 'p_a_allm': 36, 'p_a_min': 18, 'e': 1, 'all_conj': 4}
Row 50: {'time': '1929-07-28 12:44:31', 'p_a_conj': 12, 'p_a_maj': 22, 'p_a_allm': 34, 'p_a_min': 24, 'e': 0, 'all_conj': 12}
Row 51: {'time': '1929-07-27 21:34:23', 'p_a_conj': 7, 'p_a_maj': 27, 'p_a_allm': 34, 'p_a_min': 26, 'e': 0, 'all_conj': 7}
Row 52: {'time': '1929-07-28 17:15:12', 'p_a_conj': 4, 'p_a_maj': 17, 'p_a_allm': 21, 'p_a_min': 36, 'e': 0, 'all_conj': 4}
Row 53: {'time': '1929-07-27 23:35:44', 'p_a_conj': 9, 'p_a_maj': 21, 'p_a_allm': 30, 'p_a_min': 43, 'e': 0, 'all_conj': 9}
Row 54: {'time': '1929-07-28 05:19:36', 'p_a_conj': 14, 'p_a_maj': 19, 'p_a_allm': 33, 'p_a_min': 45, 'e': 0, 'all_conj': 14}
Row 55: {'time': '1929-07-28 12:05:35', 'p_a_conj': 6, 'p_a_maj': 14, 'p_a_allm': 20, 'p_a_min': 24, 'e': 3, 'all_conj': 6}
Row 56: {'time': '1929-07-27 23:20:32', 'p_a_conj': 8, 'p_a_maj': 17, 'p_a_allm': 25, 'p_a_min': 39, 'e': 1, 'all_conj': 8}
Row 57: {'time': '1929-07-28 07:40:00', 'p_a_conj': 3, 'p_a_maj': 29, 'p_a_allm': 32, 'p_a_min': 19, 'e': 1, 'all_conj': 3}
Row 58: {'time': '1929-07-28 04:19:36', 'p_a_conj': 10, 'p_a_maj': 18, 'p_a_allm': 28, 'p_a_min': 39, 'e': 0, 'all_conj': 10}
