['Time', '0: 1883-07-05', '1: 1895-01-24', '2: 1899-11-15', '3: 1898-12-01', '4: 1900-06-05', '5: 1909-07-11', '6: 1911-05-28', '7: 1914-10-07', '8: 1918-11-15', '9: 1921-06-29', '10: 1922-09-15', '11: 1941-12-12', '12: 1944-09-05', '13: 1953-06-24', '14: 1963-10-19', 'Count']
['1874-11-30 00:20:16', '0', '1', '2', '3', '4', "(Uranus,134.440,(p)) (H1,194.431,(p)) (sextile,0.51')", '6', "(Venus,262.050,(r)) (POF,262.207,(c)) (conjunction,9.44')\n(H4,253.799,(r)) (H5,253.626,(c)) (conjunction,10.35')", '8', "(H1,167.659,(r)) (Mars,167.717,(c)) (conjunction,3.45')", "(Mean_Node,24.370,(r)) (H1,204.449,(p)) (opposition,4.72')\n(H4,253.799,(r)) (Jupiter,193.798,(c)) (sextile,0.06')", "(H10,73.799,(r)) (Uranus,133.814,(c)) (sextile,0.88')", '12', '13', "(H4,253.799,(r)) (Mercury,343.780,(p)) (square,1.14')", 8]
['1874-11-30 00:55:28', "(Mean_Node,24.369,(r)) (H8,24.311,(p)) (conjunction,3.49')", '1', "(Mercury,260.907,(p)) (H12,170.998,(p)) (square,5.42')", "(Jupiter,203.563,(r)) (POF,23.621,(p)) (opposition,3.50')", '4', "(Moon,149.314,(r)) (H1,149.188,(c)) (conjunction,7.51')\n(Moon,48.775,(c)) (H4,228.443,(c)) (opposition,19.94')", "(H1,173.852,(r)) (Mars,174.022,(c)) (conjunction,10.22')", "(Moon,302.407,(p)) (H4,302.838,(p)) (conjunction,25.85')\n(Venus,262.039,(r)) (H5,262.150,(c)) (conjunction,6.64')", "(H5,298.260,(r)) (Moon,357.996,(p)) (sextile,15.84')", "(Pluto,51.425,(r)) (H1,141.331,(c)) (square,5.62')", "(Mars,225.087,(p)) (H5,345.031,(p)) (trine,3.39')", "(Venus,227.242,(c)) (H9,347.169,(c)) (trine,4.34')", '12', '13', "(Saturn,309.592,(r)) (H8,309.734,(c)) (conjunction,8.52')\n(Venus,204.078,(c)) (H1,114.157,(c)) (square,4.72')", 14]
['1874-11-30 01:37:59', '0', '1', "(H1,181.344,(r)) (Mars,181.198,(c)) (conjunction,8.75')", '3', '4', "(H5,307.589,(r)) (H4,307.631,(p)) (conjunction,2.52')", '6', '7', "(Mercury,290.889,(p)) (H5,351.028,(p)) (sextile,8.39')", "(Pluto,50.807,(p)) (H4,320.674,(p)) (square,7.98')", "(Venus,262.026,(r)) (H4,322.003,(p)) (sextile,1.38')\n(Mean_Node,21.837,(p)) (H4,322.003,(p)) (sextile,9.95')", '11', "(H9,55.762,(r)) (Moon,296.085,(c)) (trine,19.40')", "(Mars,147.643,(c)) (POF,147.748,(c)) (conjunction,6.29')\n(Saturn,308.378,(c)) (H1,128.516,(c)) (opposition,8.29')", '14', 9]
['1874-11-30 02:34:24', "(H1,191.273,(r)) (Mars,191.314,(c)) (conjunction,2.45')", "(Mars,184.197,(c)) (POF,184.360,(c)) (conjunction,9.83')", '2', "(H10,104.785,(r)) (Moon,104.321,(p)) (conjunction,27.84')\n(Venus,249.982,(p)) (H10,129.996,(p)) (trine,0.81')\n(Venus,262.008,(r)) (H10,81.869,(c)) (opposition,8.38')\n(Venus,261.759,(c)) (H10,81.869,(c)) (opposition,6.56')", '4', '5', "(H4,284.785,(r)) (Sun,284.903,(p)) (conjunction,7.07')\n(H5,320.064,(r)) (Moon,260.286,(p)) (sextile,13.32')\n(Mercury,227.628,(r)) (H5,287.509,(c)) (sextile,7.18')", "(H1,191.273,(r)) (Venus,251.409,(p)) (sextile,8.20')\n(H4,284.785,(r)) (H5,284.693,(c)) (conjunction,5.51')", '8', '9', "(Sun,247.765,(r)) (H5,7.833,(p)) (trine,4.12')", '11', "(Sun,247.765,(r)) (H9,7.713,(c)) (trine,3.12')", '13', "(Venus,291.491,(p)) (H4,21.370,(p)) (square,7.25')\n(Mean_Node,29.072,(c)) (POF,29.169,(c)) (conjunction,5.85')", 15]
['1874-11-30 02:25:52', "(Moon,27.754,(c)) (H8,27.609,(c)) (conjunction,8.68')", '1', '2', "(H1,189.772,(r)) (Moon,189.701,(c)) (conjunction,4.28')", "(H1,189.772,(r)) (Venus,249.687,(p)) (sextile,5.10')\n(Venus,249.687,(p)) (H10,129.537,(p)) (trine,9.02')\n(Jupiter,198.557,(c)) (H10,78.513,(c)) (trine,2.61')", "(H1,189.772,(r)) (Venus,249.883,(p)) (sextile,6.65')", '6', "(H4,282.802,(r)) (H5,282.801,(c)) (conjunction,0.01')", "(Moon,150.104,(r)) (H4,330.165,(p)) (opposition,3.67')", '9', '10', "(Moon,301.041,(p)) (H1,240.540,(p)) (sextile,30.02')\n(H1,189.772,(r)) (Jupiter,189.656,(c)) (conjunction,6.95')", '12', "(Neptune,30.419,(c)) (H10,30.453,(c)) (conjunction,2.08')", '14', 11]
['1874-11-30 00:42:24', "(Mars,201.764,(p)) (H8,21.721,(p)) (opposition,2.58')", '1', '2', "(H9,43.505,(r)) (Moon,103.212,(p)) (sextile,17.61')\n(Moon,103.212,(p)) (H10,103.222,(p)) (conjunction,0.61')\n(Venus,250.000,(p)) (H1,190.090,(p)) (sextile,5.41')\n(H9,43.505,(r)) (Sun,223.458,(c)) (opposition,2.84')\n(H10,78.943,(r)) (Jupiter,198.854,(c)) (trine,5.30')", '4', "(Moon,149.199,(r)) (H5,329.051,(p)) (opposition,8.92')\n(Jupiter,208.930,(p)) (H5,329.051,(p)) (trine,7.26')", "(Venus,262.043,(r)) (H5,262.074,(c)) (conjunction,1.83')\n(Uranus,134.927,(c)) (POF,314.752,(c)) (opposition,10.48')", "(Mean_Node,22.260,(p)) (H1,202.331,(p)) (opposition,4.26')\n(Jupiter,203.561,(r)) (H1,143.438,(c)) (sextile,7.42')\n(H4,258.943,(r)) (H5,259.027,(c)) (conjunction,5.06')", "(POF,73.066,(r)) (Venus,253.166,(p)) (opposition,6.03')\n(Uranus,135.229,(r)) (H5,255.283,(c)) (trine,3.23')\n(Moon,276.031,(c)) (H4,216.173,(c)) (sextile,8.52')", '9', "(H1,171.552,(r)) (Moon,51.676,(p)) (trine,7.47')", "(Uranus,133.814,(c)) (H10,13.879,(c)) (trine,3.89')", '12', "(Neptune,28.434,(r)) (H1,118.576,(c)) (square,8.50')", '14', 19]
['1874-11-30 01:29:44', "(Mars,196.549,(r)) (H8,16.479,(c)) (opposition,4.25')", '1', '2', "(POF,81.782,(r)) (Venus,261.740,(c)) (opposition,2.52')", "(POF,81.782,(r)) (Mercury,261.785,(p)) (opposition,0.20')", "(H5,305.773,(r)) (H4,305.603,(p)) (conjunction,10.21')", "(Sun,247.719,(r)) (H4,307.624,(p)) (sextile,5.69')", "(Venus,251.393,(p)) (H4,311.257,(p)) (sextile,8.14')", "(H4,269.853,(r)) (Jupiter,209.962,(p)) (sextile,6.49')\n(Mean_Node,26.695,(c)) (H5,266.582,(c)) (trine,6.80')", '9', '10', "(H10,89.853,(r)) (Venus,269.920,(p)) (opposition,4.03')", '12', '13', "(Neptune,30.599,(c)) (H1,120.420,(c)) (square,10.73')", 10]
['1874-11-30 02:06:24', '0', '1', '2', "(Uranus,135.229,(r)) (H10,75.383,(c)) (sextile,9.22')", "(Moon,125.187,(p)) (H10,124.752,(p)) (conjunction,26.08')", '5', '6', "(H4,278.296,(r)) (H5,278.460,(c)) (conjunction,9.81')", '8', '9', "(H5,313.850,(r)) (Jupiter,193.814,(c)) (trine,2.17')", '11', "(H10,98.296,(r)) (Moon,338.258,(p)) (trine,2.29')", '13', "(Venus,204.133,(c)) (POF,23.978,(c)) (opposition,9.25')", 6]
['1874-11-30 01:54:15', '0', "(H1,184.209,(r)) (Mars,184.179,(c)) (conjunction,1.81')", "(Mercury,227.606,(r)) (POF,47.743,(p)) (opposition,8.23')", '3', '4', '5', '6', "(Pluto,50.860,(p)) (H5,350.677,(p)) (sextile,10.97')", "(Venus,262.021,(r)) (H4,321.957,(p)) (sextile,3.81')\n(Mean_Node,22.040,(p)) (H4,321.957,(p)) (sextile,4.93')", '9', "(Moon,230.319,(c)) (H4,230.733,(c)) (conjunction,24.83')", "(Mercury,227.606,(r)) (H10,167.434,(p)) (sextile,10.30')\n(Sun,180.805,(c)) (H9,0.717,(c)) (opposition,5.29')", '12', '13', "(Pluto,51.424,(r)) (H8,321.296,(c)) (square,7.68')", 9]
['1874-11-30 00:30:08', "(Sun,247.677,(r)) (H10,67.560,(c)) (opposition,7.02')", '1', "(Pluto,51.425,(r)) (H10,51.481,(c)) (conjunction,3.34')", '3', "(Moon,170.829,(c)) (H10,50.940,(c)) (trine,6.67')", '5', "(Jupiter,203.560,(r)) (H1,143.521,(c)) (sextile,2.31')\n(H4,256.097,(r)) (Jupiter,196.228,(c)) (sextile,7.89')", "(H4,256.097,(r)) (H5,256.052,(c)) (conjunction,2.68')", '8', '9', "(Moon,149.092,(r)) (H4,209.270,(c)) (sextile,10.67')\n(H1,169.394,(r)) (Moon,229.626,(c)) (sextile,13.93')", '11', '12', "(Saturn,318.019,(p)) (H1,228.040,(p)) (square,1.29')", '14', 9]
