['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 07:38:39', "(H4,129.543,(r)) (Mean_Node,129.595,(d)) (conjunction,3.12')\n(Mercury,333.441,(r)) (H12,3.451,(c)) (30-semisextile,0.61')\n(Mean_Node,121.343,(r)) (H4,121.381,(c)) (conjunction,2.27')", '1', '2', "(Mercury,333.441,(r)) (H9,288.437,(d)) (45-semisquare,0.21')\n(H10,309.543,(r)) (Venus,339.624,(d)) (30-semisextile,4.85')\n(H1,37.317,(r)) (Uranus,307.258,(c)) (square,3.50')\n(H9,277.300,(r)) (Uranus,307.258,(c)) (30-semisextile,2.50')", "(Venus,327.325,(r)) (H10,297.347,(c)) (30-semisextile,1.29')", '5', "(H3,97.300,(r)) (Sun,337.370,(c)) (trine,4.21')\n(H7,217.317,(r)) (Sun,337.370,(c)) (trine,3.22')", '7', "(Neptune,305.683,(r)) (H8,260.737,(d)) (45-semisquare,3.23')\n(H8,246.467,(r)) (Mars,6.499,(c)) (trine,1.87')", '9', '10', "(Venus,327.325,(r)) (H4,147.475,(d)) (opposition,9.00')\n(Sun,351.041,(r)) (H3,81.069,(c)) (square,1.70')", "(H1,37.317,(r)) (Mercury,352.257,(d)) (45-semisquare,3.60')\n(Mars,21.316,(r)) (H10,291.337,(c)) (square,1.26')", "(Moon,55.262,(r)) (H7,235.300,(d)) (opposition,2.26')", "(Mars,21.316,(r)) (H12,351.377,(c)) (30-semisextile,3.68')\n(Uranus,318.699,(r)) (H1,18.772,(c)) (sextile,4.43')", '15', 19]
['2000-03-11 07:05:51', '0', "(H3,89.713,(r)) (Sun,359.730,(d)) (square,1.01')", "(Sun,351.018,(r)) (H1,20.943,(c)) (30-semisextile,4.50')", '3', "(H10,301.520,(r)) (Uranus,331.435,(d)) (30-semisextile,5.08')", "(H10,301.520,(r)) (Mercury,346.597,(d)) (45-semisquare,4.62')", "(Mercury,333.449,(r)) (H4,108.397,(c)) (135-sesquisquare,3.12')", "(Saturn,43.320,(r)) (H1,43.207,(d)) (conjunction,6.79')", "(Saturn,43.320,(r)) (H8,253.377,(d)) (150-quincunx,3.38')\n(Uranus,318.697,(r)) (H12,18.768,(d)) (sextile,4.23')", "(Uranus,318.697,(r)) (H10,318.592,(d)) (conjunction,6.33')", "(Uranus,318.697,(r)) (H10,318.611,(d)) (conjunction,5.18')", '11', "(H9,269.713,(r)) (Saturn,59.744,(d)) (150-quincunx,1.87')\n(Saturn,43.320,(r)) (H1,13.312,(c)) (30-semisextile,0.48')", "(H7,210.110,(r)) (Pluto,270.132,(d)) (sextile,1.33')", "(H10,301.520,(r)) (Saturn,61.586,(d)) (trine,3.96')", '15', 14]
['2000-03-11 05:52:32', "(Mars,21.261,(r)) (H7,201.250,(d)) (opposition,0.63')\n(H7,193.792,(r)) (Mars,13.680,(c)) (opposition,6.71')", "(Sun,350.967,(r)) (H3,81.045,(d)) (square,4.69')", "(H1,13.792,(r)) (Uranus,328.801,(d)) (45-semisquare,0.53')\n(Mercury,333.469,(r)) (H3,63.459,(c)) (square,0.60')", "(Moon,54.231,(r)) (H1,24.310,(d)) (30-semisextile,4.75')", "(Mean_Node,121.347,(r)) (H9,241.421,(c)) (trine,4.44')", "(Mercury,333.469,(r)) (H12,333.302,(c)) (conjunction,10.05')", "(Venus,327.234,(r)) (H4,117.157,(d)) (150-quincunx,4.62')\n(Mean_Node,121.347,(r)) (H4,91.416,(c)) (30-semisextile,4.10')\n(Mean_Node,121.347,(r)) (H7,181.386,(c)) (sextile,2.34')", '7', "(Mean_Node,121.347,(r)) (H12,1.294,(d)) (trine,3.20')\n(Pluto,252.897,(r)) (H8,207.833,(c)) (45-semisquare,3.81')", "(H10,284.161,(r)) (Venus,344.140,(d)) (sextile,1.27')", "(H1,13.792,(r)) (Saturn,58.860,(d)) (45-semisquare,4.04')\n(Saturn,43.315,(r)) (H1,358.288,(c)) (45-semisquare,1.66')\n(Saturn,43.315,(r)) (H10,268.251,(c)) (135-sesquisquare,3.85')", '11', '12', '13', '14', "(H1,13.792,(r)) (Moon,73.877,(d)) (sextile,5.07')\n(Moon,54.231,(r)) (H1,354.153,(c)) (sextile,4.67')", 19]
['2000-03-11 06:50:47', '0', "(Jupiter,34.704,(r)) (H7,214.600,(d)) (opposition,6.22')\n(H7,206.779,(r)) (Mercury,341.870,(d)) (135-sesquisquare,5.44')\n(H7,206.779,(r)) (Jupiter,26.679,(c)) (opposition,6.03')", '2', '3', '4', "(Pluto,252.897,(r)) (H12,12.900,(d)) (trine,0.20')", '6', "(H4,117.895,(r)) (Pluto,237.955,(c)) (trine,3.63')", "(Pluto,252.897,(r)) (H10,282.889,(c)) (30-semisextile,0.49')", "(Venus,327.284,(r)) (H3,102.221,(d)) (135-sesquisquare,3.81')", '10', '11', "(Saturn,43.319,(r)) (H1,43.339,(d)) (conjunction,1.19')", "(H4,117.895,(r)) (Moon,72.841,(d)) (45-semisquare,3.24')", "(Uranus,318.697,(r)) (H10,318.577,(d)) (conjunction,7.21')", "(H10,297.895,(r)) (Uranus,297.925,(c)) (conjunction,1.83')", 11]
['2000-03-11 07:16:47', '0', "(Pluto,252.897,(r)) (H4,132.928,(d)) (trine,1.86')\n(H4,124.174,(r)) (Pluto,259.169,(d)) (135-sesquisquare,0.27')", '2', '3', "(Neptune,305.683,(r)) (H9,260.734,(c)) (45-semisquare,3.07')", "(Mars,21.304,(r)) (H10,291.224,(c)) (square,4.80')", "(Sun,351.025,(r)) (H4,110.966,(c)) (trine,3.58')", "(H4,124.174,(r)) (Uranus,304.292,(c)) (opposition,7.09')", "(Mars,21.304,(r)) (H12,21.351,(d)) (conjunction,2.81')\n(Sun,351.025,(r)) (H12,350.963,(c)) (conjunction,3.76')", "(Mercury,333.447,(r)) (H3,108.406,(d)) (135-sesquisquare,2.46')\n(H10,304.174,(r)) (Sun,334.190,(c)) (30-semisextile,0.95')", '10', '11', '12', "(Moon,55.050,(r)) (H4,144.987,(d)) (square,3.73')\n(Mean_Node,121.344,(r)) (H12,346.410,(c)) (135-sesquisquare,3.97')", "(Pluto,252.897,(r)) (H9,253.037,(c)) (conjunction,8.40')", '15', 13]
['2000-03-11 06:52:32', "(H7,207.163,(r)) (Uranus,327.121,(d)) (trine,2.53')", "(H3,86.653,(r)) (Jupiter,26.683,(c)) (sextile,1.80')", "(H10,298.310,(r)) (Mercury,343.343,(d)) (45-semisquare,1.98')\n(Mercury,333.453,(r)) (H10,288.517,(c)) (45-semisquare,3.84')", '3', '4', "(Saturn,43.319,(r)) (H12,13.313,(d)) (30-semisextile,0.39')", '6', "(Pluto,252.897,(r)) (H4,132.944,(d)) (trine,2.80')", "(Saturn,43.319,(r)) (H10,283.291,(c)) (trine,1.68')\n(Pluto,252.897,(r)) (H1,12.954,(c)) (trine,3.39')", '9', "(H1,27.163,(r)) (Pluto,267.153,(d)) (trine,0.57')", '11', "(Mercury,333.453,(r)) (H12,18.389,(d)) (45-semisquare,3.81')", "(Uranus,318.697,(r)) (H4,138.757,(d)) (opposition,3.63')", '14', '15', 11]
['2000-03-11 07:25:59', '0', "(Pluto,252.897,(r)) (H4,117.829,(c)) (135-sesquisquare,4.07')", '2', "(Moon,55.139,(r)) (H10,295.048,(c)) (trine,5.47')", "(H10,306.423,(r)) (Uranus,306.571,(c)) (conjunction,8.92')", "(Mars,21.309,(r)) (H12,21.244,(d)) (conjunction,3.94')\n(H10,306.423,(r)) (Moon,66.459,(d)) (trine,2.20')", "(H3,94.358,(r)) (Mercury,319.289,(c)) (135-sesquisquare,4.14')", "(Mars,21.309,(r)) (H1,21.315,(c)) (conjunction,0.36')", "(Sun,351.032,(r)) (H10,291.117,(c)) (sextile,5.11')", "(H10,306.423,(r)) (Uranus,336.406,(d)) (30-semisextile,0.99')", "(H10,306.423,(r)) (Uranus,336.426,(d)) (30-semisextile,0.19')", "(Sun,351.032,(r)) (H3,111.032,(d)) (trine,0.01')", "(Mercury,333.444,(r)) (H10,288.360,(c)) (45-semisquare,5.03')", "(Venus,327.314,(r)) (H4,147.378,(d)) (opposition,3.82')", '14', "(Moon,55.139,(r)) (H9,295.118,(d)) (trine,1.24')", 14]
['2000-03-11 05:59:28', '0', '1', '2', "(H1,15.345,(r)) (Jupiter,45.306,(d)) (30-semisextile,2.38')\n(H1,15.345,(r)) (Uranus,330.262,(d)) (45-semisquare,5.00')\n(Jupiter,34.697,(r)) (H1,4.760,(c)) (30-semisextile,3.83')", "(H1,15.345,(r)) (Mercury,345.395,(d)) (30-semisextile,2.94')\n(H1,15.345,(r)) (Venus,315.419,(c)) (sextile,4.41')", '5', '6', "(H4,105.776,(r)) (Mean_Node,135.777,(d)) (30-semisextile,0.05')", '8', "(H1,15.345,(r)) (Mean_Node,105.268,(c)) (square,4.65')", '10', '11', "(Neptune,305.681,(r)) (H12,5.758,(d)) (sextile,4.59')\n(H1,15.345,(r)) (Saturn,60.268,(d)) (45-semisquare,4.65')\n(Saturn,43.316,(r)) (H1,358.377,(c)) (45-semisquare,3.70')\n(Saturn,43.316,(r)) (H10,268.343,(c)) (135-sesquisquare,1.63')\n(H1,15.345,(r)) (Mercury,315.310,(c)) (sextile,2.13')", "(Neptune,305.681,(r)) (H4,125.520,(d)) (opposition,9.66')", "(Uranus,318.695,(r)) (H9,273.742,(d)) (45-semisquare,2.79')\n(Neptune,305.681,(r)) (H10,305.770,(d)) (conjunction,5.35')", "(Jupiter,34.697,(r)) (H1,34.710,(d)) (conjunction,0.80')\n(Moon,54.298,(r)) (H9,234.384,(c)) (opposition,5.18')\n(H9,254.531,(r)) (Jupiter,14.544,(c)) (trine,0.79')", 18]
['2000-03-11 07:03:59', '0', "(H3,89.284,(r)) (Mars,29.306,(d)) (sextile,1.36')\n(H7,209.698,(r)) (Sun,359.720,(d)) (150-quincunx,1.33')", "(H10,301.069,(r)) (Sun,1.161,(d)) (sextile,5.50')", '3', '4', '5', '6', "(H1,29.698,(r)) (Saturn,29.679,(c)) (conjunction,1.10')", "(Pluto,252.897,(r)) (H8,252.959,(d)) (conjunction,3.73')\n(H8,238.720,(r)) (Saturn,28.787,(c)) (150-quincunx,3.96')", '9', '10', "(Uranus,318.697,(r)) (H4,138.547,(d)) (opposition,9.02')", "(H1,29.698,(r)) (Saturn,59.758,(d)) (30-semisextile,3.64')\n(Saturn,43.320,(r)) (H10,283.229,(c)) (trine,5.45')\n(Pluto,252.897,(r)) (H1,12.894,(c)) (trine,0.20')", "(Saturn,43.320,(r)) (H12,343.370,(c)) (sextile,3.00')", '14', "(Uranus,318.697,(r)) (H1,48.770,(d)) (square,4.36')", 12]
['2000-03-11 07:55:59', "(H4,133.862,(r)) (Neptune,313.983,(d)) (opposition,7.31')\n(Neptune,305.684,(r)) (H4,125.596,(c)) (opposition,5.25')", '1', "(H10,313.862,(r)) (Jupiter,43.775,(d)) (square,5.21')", '3', "(H10,313.862,(r)) (Mean_Node,133.905,(d)) (opposition,2.63')\n(Mean_Node,121.343,(r)) (H10,301.514,(c)) (opposition,10.30')", '5', "(H4,133.862,(r)) (Venus,313.836,(c)) (opposition,1.56')", "(Pluto,252.897,(r)) (H1,27.974,(c)) (135-sesquisquare,4.61')\n(Mean_Node,121.343,(r)) (H12,1.276,(c)) (trine,4.03')", '8', "(Moon,55.431,(r)) (H3,85.416,(c)) (30-semisextile,0.86')", "(H1,41.102,(r)) (Pluto,266.148,(d)) (135-sesquisquare,2.76')", '11', "(Mercury,333.436,(r)) (H10,333.320,(d)) (conjunction,6.97')\n(H10,313.862,(r)) (Mercury,314.035,(c)) (conjunction,10.40')", '13', '14', "(H10,313.862,(r)) (Moon,73.812,(d)) (trine,2.99')\n(H1,41.102,(r)) (Mercury,311.164,(c)) (square,3.69')", 14]
