['Time', '0: 1954-07-30', '1: 1955-05-01', '2: 1956-01-28', '3: 1956-09-09', '4: 1958-03-24', '5: 1958-08-14', '6: 1958-10-01', '7: 1959-06-01', '8: 1960-03-05', '9: 1967-05-01', '10: 1968-02-01', '11: 1972-08-15', '12: 1977-08-16', '13: 1979-06-26', 'Count']
['1935-01-08 08:15:44', "(Moon,330.598,(r)) (H1,240.618,(p)) (square,1')\n(H10,139.758,(r)) (Venus,274.674,(c)) (135-sesquisquare,5')", "(Sun,287.134,(r)) (Moon,227.582,(p)) (sextile,27')\n(Jupiter,228.054,(r)) (Moon,227.582,(p)) (conjunction,28')\n(Uranus,27.499,(r)) (H10,162.448,(p)) (135-sesquisquare,3')\n(Uranus,27.499,(r)) (H10,117.638,(c)) (square,8')\n(H10,139.758,(r)) (Mercury,259.669,(c)) (trine,5')\n(Uranus,27.641,(c)) (H10,117.638,(c)) (square,0')", "(Uranus,27.499,(r)) (Moon,237.429,(p)) (150-quincunx,4')\n(Mean_Node,301.863,(r)) (H1,241.900,(p)) (sextile,2')\n(Sun,265.679,(c)) (Moon,55.695,(c)) (150-quincunx,1')", "(Jupiter,228.054,(r)) (Moon,47.701,(c)) (opposition,21')", "(Moon,267.267,(p)) (H12,222.034,(p)) (45-semisquare,14')\n(Mercury,292.147,(r)) (H1,202.232,(c)) (square,5')", "(Moon,22.167,(c)) (H1,201.871,(c)) (opposition,18')", "(H10,139.758,(r)) (Moon,274.828,(p)) (135-sesquisquare,4')", "(Sun,287.134,(r)) (H10,166.973,(p)) (trine,10')\n(Mean_Node,301.863,(r)) (H10,166.973,(p)) (135-sesquisquare,7')\n(H3,285.449,(r)) (Mercury,330.280,(p)) (45-semisquare,10')\n(H1,223.458,(r)) (Mercury,253.325,(c)) (30-semisextile,8')\n(H1,223.458,(r)) (Venus,268.592,(c)) (45-semisquare,8')", "(Moon,330.598,(r)) (Moon,0.953,(c)) (30-semisextile,21')\n(H1,223.458,(r)) (Jupiter,223.589,(c)) (conjunction,8')", "(Moon,40.954,(p)) (H7,71.431,(p)) (30-semisextile,29')\n(Moon,40.954,(p)) (H10,175.628,(p)) (135-sesquisquare,20')\n(Jupiter,228.054,(r)) (Moon,258.344,(c)) (30-semisextile,17')", "(H5,352.239,(r)) (Jupiter,232.121,(p)) (trine,7')\n(Sun,320.743,(p)) (Moon,50.965,(p)) (square,13')\n(Mercury,292.147,(r)) (Moon,247.534,(c)) (45-semisquare,23')\n(H1,223.458,(r)) (Sun,253.465,(c)) (30-semisextile,0')", "(Uranus,27.499,(r)) (H12,162.513,(c)) (135-sesquisquare,1')", "(Mean_Node,301.863,(r)) (Moon,166.420,(p)) (135-sesquisquare,27')\n(Mean_Node,301.863,(r)) (H8,31.947,(c)) (square,5')", "(Saturn,325.733,(r)) (H8,115.815,(p)) (150-quincunx,5')\n(Moon,188.725,(p)) (H10,188.526,(p)) (conjunction,12')\n(Neptune,164.451,(r)) (Moon,104.636,(c)) (sextile,11')", 36]
['1935-01-08 12:09:52', "(Mercury,324.447,(p)) (H1,294.468,(p)) (30-semisextile,1')\n(Sun,287.299,(r)) (Moon,76.840,(c)) (150-quincunx,28')\n(Mean_Node,301.854,(r)) (Moon,76.840,(c)) (135-sesquisquare,1')", "(Mercury,325.505,(p)) (H1,295.325,(p)) (30-semisextile,11')\n(Mercury,292.416,(r)) (Moon,67.326,(c)) (135-sesquisquare,5')\n(H10,202.564,(r)) (Moon,67.326,(c)) (135-sesquisquare,14')", "(Venus,299.448,(r)) (Moon,239.605,(p)) (sextile,9')\n(Uranus,27.499,(r)) (Moon,57.797,(c)) (30-semisextile,18')\n(Uranus,27.499,(r)) (H10,177.370,(c)) (150-quincunx,8')\n(Moon,57.797,(c)) (H10,177.370,(c)) (trine,26')\n(Uranus,27.651,(c)) (H1,252.786,(c)) (135-sesquisquare,8')", "(H10,202.564,(r)) (Moon,247.977,(p)) (45-semisquare,25')", "(Pluto,115.600,(c)) (H1,250.768,(c)) (135-sesquisquare,10')", "(Venus,329.006,(p)) (H1,299.116,(p)) (30-semisextile,7')\n(Neptune,164.034,(p)) (H1,299.116,(p)) (135-sesquisquare,5')\n(Moon,24.358,(c)) (H4,354.303,(c)) (30-semisextile,3')", "(Venus,299.448,(r)) (H1,299.269,(p)) (conjunction,11')\n(Neptune,164.449,(r)) (H1,299.269,(p)) (135-sesquisquare,11')\n(Venus,329.171,(p)) (H1,299.269,(p)) (30-semisextile,6')\n(Mercury,292.416,(r)) (Moon,22.593,(c)) (square,11')\n(H10,202.564,(r)) (Moon,22.593,(c)) (opposition,2')\n(Sun,263.123,(c)) (Moon,22.593,(c)) (trine,32')", "(Sun,287.299,(r)) (Moon,287.011,(p)) (conjunction,17')\n(Venus,330.002,(p)) (H1,300.046,(p)) (30-semisextile,3')\n(H10,202.564,(r)) (Sun,262.446,(c)) (sextile,7')", "(Venus,330.953,(p)) (H1,300.939,(p)) (30-semisextile,1')\n(Moon,332.995,(r)) (Moon,3.198,(c)) (30-semisextile,12')\n(Mercury,292.416,(r)) (H10,172.430,(c)) (trine,1')\n(Jupiter,228.080,(r)) (Moon,3.198,(c)) (135-sesquisquare,7')\n(H1,273.420,(r)) (Moon,3.198,(c)) (square,13')", "(Mars,192.857,(r)) (Moon,43.122,(p)) (150-quincunx,16')\n(Sun,320.142,(p)) (H5,79.997,(p)) (trine,9')\n(Sun,287.299,(r)) (H7,62.396,(c)) (135-sesquisquare,6')", "(Mars,192.857,(r)) (H4,57.685,(p)) (135-sesquisquare,10')\n(H1,273.420,(r)) (Mercury,333.415,(p)) (sextile,0')\n(H4,22.564,(r)) (Moon,53.082,(p)) (30-semisextile,31')\n(Mars,192.857,(r)) (H4,343.031,(c)) (150-quincunx,10')\n(Pluto,115.133,(r)) (Moon,249.854,(c)) (135-sesquisquare,17')\n(Mean_Node,301.854,(r)) (H1,241.712,(c)) (sextile,9')\n(Uranus,27.897,(c)) (H4,343.031,(c)) (45-semisquare,8')", "(Mean_Node,301.854,(r)) (H4,61.972,(p)) (trine,7')\n(Uranus,27.499,(r)) (H7,57.644,(c)) (30-semisextile,9')\n(H4,22.564,(r)) (Saturn,322.603,(c)) (sextile,2')", "(H10,202.564,(r)) (Mars,172.483,(c)) (30-semisextile,5')\n(Moon,128.760,(c)) (H8,83.398,(c)) (45-semisquare,22')", "(Saturn,325.750,(r)) (Moon,190.690,(p)) (135-sesquisquare,4')\n(Pluto,115.133,(r)) (H1,325.046,(p)) (150-quincunx,5')\n(Mars,204.433,(p)) (H12,294.428,(p)) (square,0')\n(Sun,242.077,(c)) (Moon,106.606,(c)) (135-sesquisquare,28')\n(Mars,171.486,(c)) (H1,231.610,(c)) (sextile,7')\n(Mars,171.486,(c)) (H8,81.632,(c)) (square,9')", 51]
['1935-01-08 06:00:31', "(Sun,306.944,(p)) (Moon,216.658,(p)) (square,17')\n(Moon,216.658,(p)) (H10,126.758,(p)) (square,6')\n(Venus,299.126,(r)) (Moon,73.604,(c)) (135-sesquisquare,31')\n(Sun,267.107,(c)) (H1,177.187,(c)) (square,5')\n(Sun,267.107,(c)) (H10,86.932,(c)) (opposition,11')", "(H10,106.860,(r)) (Moon,226.360,(p)) (trine,30')\n(Sun,266.341,(c)) (H1,176.484,(c)) (square,9')\n(Sun,266.341,(c)) (H10,86.166,(c)) (opposition,11')", "(Sun,265.583,(c)) (H10,85.408,(c)) (opposition,11')", "(Moon,244.480,(p)) (H1,214.534,(p)) (30-semisextile,3')\n(H3,254.223,(r)) (Jupiter,224.240,(c)) (30-semisextile,1')\n(H10,106.860,(r)) (Moon,46.472,(c)) (sextile,23')\n(Sun,264.956,(c)) (H10,84.781,(c)) (opposition,11')", "(Saturn,325.723,(r)) (Moon,265.926,(p)) (sextile,12')\n(Moon,265.926,(p)) (H10,130.463,(p)) (135-sesquisquare,28')\n(Saturn,325.723,(r)) (Moon,26.158,(c)) (sextile,26')\n(Moon,26.158,(c)) (H12,146.275,(c)) (trine,7')", "(Mean_Node,301.868,(r)) (Moon,271.560,(p)) (30-semisextile,18')\n(Saturn,325.723,(r)) (H12,145.891,(c)) (opposition,10')\n(Sun,262.995,(c)) (H4,262.819,(c)) (conjunction,11')\n(Saturn,323.556,(c)) (H1,173.422,(c)) (150-quincunx,8')", "(Jupiter,228.039,(r)) (Moon,273.466,(p)) (45-semisquare,26')\n(H9,74.223,(r)) (Mercury,254.210,(c)) (opposition,1')\n(Sun,262.861,(c)) (H10,82.686,(c)) (opposition,11')", "(H1,195.358,(r)) (Mercury,330.184,(p)) (135-sesquisquare,10')\n(Mercury,291.992,(r)) (H10,82.009,(c)) (150-quincunx,1')\n(Sun,262.184,(c)) (H10,82.009,(c)) (opposition,11')", "(Moon,329.211,(r)) (Moon,359.655,(c)) (30-semisextile,27')\n(Mercury,291.992,(r)) (H1,171.975,(c)) (trine,1')\n(Venus,299.126,(r)) (Moon,359.655,(c)) (sextile,32')", "(Mercury,291.992,(r)) (H5,352.172,(p)) (sextile,11')\n(Jupiter,232.050,(p)) (H5,352.172,(p)) (trine,7')\n(Sun,287.038,(r)) (Moon,256.990,(c)) (30-semisextile,3')\n(Venus,299.126,(r)) (H10,73.959,(c)) (135-sesquisquare,10')\n(Mean_Node,301.868,(r)) (Moon,256.990,(c)) (45-semisquare,7')\n(H10,106.860,(r)) (Moon,256.990,(c)) (150-quincunx,8')\n(Sun,254.137,(c)) (H10,73.959,(c)) (opposition,11')\n(Moon,256.990,(c)) (H5,286.573,(c)) (30-semisextile,25')", "(H5,319.351,(r)) (Moon,49.737,(p)) (square,23')\n(Mars,202.948,(p)) (H5,352.915,(p)) (150-quincunx,2')\n(Sun,253.369,(c)) (H4,253.191,(c)) (conjunction,11')", "(Pluto,115.138,(r)) (H4,325.037,(p)) (150-quincunx,6')\n(H7,15.358,(r)) (Mercury,330.276,(p)) (45-semisquare,5')", "(Moon,329.211,(r)) (H12,209.083,(p)) (trine,8')\n(H1,195.358,(r)) (Sun,330.280,(p)) (135-sesquisquare,5')\n(H1,195.358,(r)) (Moon,165.306,(p)) (30-semisextile,3')\n(Sun,243.697,(c)) (H10,63.515,(c)) (opposition,11')\n(Moon,125.720,(c)) (H1,156.103,(c)) (30-semisextile,23')", "(Sun,287.038,(r)) (H10,151.952,(p)) (135-sesquisquare,5')\n(Mean_Node,301.868,(r)) (H10,151.952,(p)) (150-quincunx,5')\n(H8,43.333,(r)) (Moon,103.496,(c)) (sextile,10')\n(H10,106.860,(r)) (Sun,241.816,(c)) (135-sesquisquare,3')\n(Sun,241.816,(c)) (H10,61.634,(c)) (opposition,11')", 53]
['1935-01-08 23:20:00', "(Moon,339.815,(r)) (H1,129.857,(p)) (150-quincunx,3')\n(Mean_Node,301.829,(r)) (H10,31.857,(p)) (square,2')\n(H10,9.642,(r)) (Venus,324.535,(p)) (45-semisquare,6')\n(Mercury,293.187,(r)) (Moon,82.676,(c)) (150-quincunx,31')\n(H1,112.646,(r)) (Moon,82.676,(c)) (30-semisextile,2')", "(Sun,287.774,(r)) (H9,317.592,(c)) (30-semisextile,11')\n(Jupiter,228.153,(r)) (H1,93.263,(c)) (135-sesquisquare,7')", "(H3,159.130,(r)) (Sun,309.197,(p)) (150-quincunx,4')\n(Jupiter,224.494,(c)) (H10,344.352,(c)) (trine,9')", "(Mean_Node,301.829,(r)) (H3,181.852,(p)) (trine,1')\n(H10,9.642,(r)) (Sun,309.823,(p)) (sextile,11')\n(Mean_Node,301.829,(r)) (H1,91.899,(c)) (150-quincunx,4')\n(Sun,265.693,(c)) (Moon,55.871,(c)) (150-quincunx,11')", "(Mars,193.045,(r)) (H1,132.940,(p)) (sextile,6')\n(Saturn,328.393,(p)) (H12,103.285,(p)) (135-sesquisquare,6')", "(Sun,311.780,(p)) (Moon,282.084,(p)) (30-semisextile,18')\n(Venus,300.032,(r)) (H1,89.951,(c)) (150-quincunx,5')", "(Neptune,164.443,(r)) (Moon,284.026,(p)) (trine,25')\n(Jupiter,223.985,(c)) (H9,314.042,(c)) (square,3')", "(H3,159.130,(r)) (Moon,293.944,(p)) (135-sesquisquare,11')", "(Moon,305.433,(p)) (H3,185.385,(p)) (trine,3')\n(Moon,339.815,(r)) (Moon,9.590,(c)) (30-semisextile,13')\n(H3,159.130,(r)) (Moon,9.590,(c)) (150-quincunx,28')\n(H10,9.642,(r)) (Moon,9.590,(c)) (conjunction,3')\n(Moon,9.590,(c)) (H10,339.479,(c)) (30-semisextile,7')\n(Venus,268.427,(c)) (H1,88.363,(c)) (opposition,4')", "(Sun,320.612,(p)) (H7,320.475,(p)) (conjunction,8')\n(Moon,49.267,(p)) (H5,259.093,(p)) (150-quincunx,10')\n(Uranus,27.500,(r)) (Moon,267.444,(c)) (trine,3')", "(Mean_Node,301.829,(r)) (Moon,256.533,(c)) (45-semisquare,18')", "(Moon,339.815,(r)) (Moon,114.655,(p)) (135-sesquisquare,10')\n(Saturn,325.798,(r)) (H12,115.849,(p)) (150-quincunx,3')\n(Pluto,115.122,(r)) (Moon,114.655,(p)) (conjunction,28')\n(Moon,114.655,(p)) (H7,324.762,(p)) (150-quincunx,6')\n(Venus,300.032,(r)) (H7,255.176,(c)) (45-semisquare,9')\n(Neptune,164.443,(r)) (Moon,194.761,(c)) (30-semisextile,19')\n(Pluto,115.122,(r)) (H4,145.145,(c)) (30-semisextile,1')\n(H7,292.646,(r)) (Saturn,322.631,(c)) (30-semisextile,1')\n(Moon,194.761,(c)) (H7,255.176,(c)) (sextile,25')", "(Pluto,115.122,(r)) (H10,55.001,(p)) (sextile,7')\n(Neptune,164.443,(r)) (Moon,134.265,(c)) (30-semisextile,11')\n(Neptune,164.443,(r)) (H12,29.279,(c)) (135-sesquisquare,10')\n(H1,112.646,(r)) (Mars,172.732,(c)) (sextile,5')\n(H8,314.161,(r)) (Moon,134.265,(c)) (opposition,6')", "(Sun,287.774,(r)) (H10,317.632,(c)) (30-semisextile,9')\n(H1,112.646,(r)) (Moon,112.215,(c)) (conjunction,26')\n(Moon,112.215,(c)) (H1,67.490,(c)) (45-semisquare,16')", 47]
['1935-01-08 16:14:07', "(Moon,222.107,(p)) (H10,281.909,(p)) (sextile,12')\n(Sun,287.472,(r)) (H10,242.554,(c)) (45-semisquare,5')\n(H1,347.839,(r)) (Mean_Node,302.880,(c)) (45-semisquare,2')", "(Jupiter,230.889,(p)) (H1,20.932,(p)) (150-quincunx,3')\n(Mean_Node,301.845,(r)) (H10,241.756,(c)) (sextile,5')", "(Mean_Node,301.845,(r)) (Moon,241.887,(p)) (sextile,3')\n(Jupiter,230.974,(p)) (H3,80.864,(p)) (150-quincunx,7')\n(Venus,299.661,(r)) (Moon,59.984,(c)) (trine,19')\n(Mercury,259.028,(c)) (H3,34.049,(c)) (135-sesquisquare,1')", '3', "(Pluto,115.129,(r)) (H1,25.310,(p)) (square,11')\n(Moon,31.859,(c)) (H3,31.341,(c)) (conjunction,31')", "(Saturn,325.767,(r)) (H1,25.893,(p)) (sextile,8')\n(Uranus,27.500,(r)) (H12,342.635,(p)) (45-semisquare,8')\n(H8,209.339,(r)) (Venus,329.218,(p)) (trine,7')\n(Uranus,27.787,(p)) (H12,342.635,(p)) (45-semisquare,9')", '6', "(Venus,299.661,(r)) (H3,29.837,(c)) (square,11')\n(Uranus,27.500,(r)) (H10,237.406,(c)) (150-quincunx,6')\n(H3,59.048,(r)) (Venus,269.011,(c)) (150-quincunx,2')\n(H10,262.746,(r)) (Sun,262.619,(c)) (conjunction,8')", "(Venus,299.661,(r)) (H12,344.747,(p)) (45-semisquare,5')\n(Moon,335.487,(r)) (Moon,5.533,(c)) (30-semisextile,3')", "(H5,105.380,(r)) (Moon,45.373,(p)) (sextile,0')\n(H10,262.746,(r)) (Mars,202.886,(p)) (sextile,8')\n(Mercury,292.697,(r)) (Moon,263.150,(c)) (30-semisextile,27')\n(Venus,299.661,(r)) (H7,119.729,(c)) (opposition,4')\n(Uranus,27.500,(r)) (H5,72.541,(c)) (45-semisquare,2')\n(H10,262.746,(r)) (Moon,263.150,(c)) (conjunction,24')\n(Sun,254.571,(c)) (H7,119.729,(c)) (135-sesquisquare,9')\n(Venus,259.058,(c)) (H10,228.878,(c)) (30-semisextile,11')", "(Pluto,115.129,(r)) (Moon,55.280,(p)) (sextile,9')\n(Jupiter,228.106,(r)) (H4,48.058,(c)) (opposition,3')\n(Uranus,27.500,(r)) (Moon,252.283,(c)) (135-sesquisquare,13')\n(H5,105.380,(r)) (Mercury,240.506,(c)) (135-sesquisquare,8')\n(Sun,253.803,(c)) (H1,298.788,(c)) (45-semisquare,1')\n(Moon,252.283,(c)) (H5,71.795,(c)) (opposition,29')\n(Venus,258.108,(c)) (H4,48.058,(c)) (150-quincunx,3')", "(Saturn,325.767,(r)) (Moon,190.998,(c)) (135-sesquisquare,14')\n(H4,82.746,(r)) (Saturn,322.613,(c)) (trine,8')", "(Sun,287.472,(r)) (H1,287.623,(c)) (conjunction,9')\n(Uranus,27.500,(r)) (H8,147.383,(c)) (trine,7')\n(H10,262.746,(r)) (Mars,172.574,(c)) (square,10')\n(Mars,172.574,(c)) (H10,217.663,(c)) (45-semisquare,5')", "(Moon,335.487,(r)) (H10,305.351,(p)) (30-semisextile,8')\n(Mars,192.926,(r)) (Moon,192.745,(p)) (conjunction,11')\n(Moon,335.487,(r)) (H10,215.632,(c)) (trine,9')", 45]
['1935-01-08 05:34:47', "(Uranus,27.499,(r)) (H1,207.385,(p)) (opposition,7')\n(Sun,306.926,(p)) (Moon,216.430,(p)) (square,30')", "(H1,189.948,(r)) (Mercury,325.125,(p)) (135-sesquisquare,11')", "(Mean_Node,301.869,(r)) (H10,121.992,(p)) (opposition,7')\n(H3,248.389,(r)) (Sun,308.448,(p)) (sextile,4')\n(H10,100.877,(r)) (Moon,235.940,(p)) (135-sesquisquare,4')\n(Sun,287.020,(r)) (H3,227.050,(c)) (sextile,2')", "(Venus,299.103,(r)) (H1,209.198,(p)) (square,6')\n(Moon,46.238,(c)) (H3,226.414,(c)) (opposition,11')", "(Saturn,325.721,(r)) (Moon,265.671,(p)) (sextile,3')\n(Pluto,115.139,(r)) (Moon,265.671,(p)) (150-quincunx,32')\n(Saturn,325.721,(r)) (Moon,25.918,(c)) (sextile,12')\n(Mercury,254.993,(c)) (H3,224.825,(c)) (30-semisextile,10')", "(H4,280.877,(r)) (Sun,311.031,(p)) (30-semisextile,9')\n(Moon,271.302,(p)) (H1,210.838,(p)) (sextile,28')\n(Sun,287.020,(r)) (H4,256.865,(c)) (30-semisextile,9')\n(Neptune,164.452,(r)) (H8,14.298,(c)) (150-quincunx,9')\n(Mean_Node,301.869,(r)) (H4,256.865,(c)) (45-semisquare,0')\n(Moon,20.659,(c)) (H12,140.191,(c)) (trine,28')\n(Mean_Node,303.118,(c)) (H1,168.003,(c)) (135-sesquisquare,7')", "(Jupiter,228.036,(r)) (Moon,273.207,(p)) (45-semisquare,10')\n(Jupiter,228.036,(r)) (H1,167.882,(c)) (sextile,9')\n(Neptune,164.452,(r)) (H9,44.283,(c)) (trine,10')\n(Mean_Node,301.869,(r)) (H10,76.731,(c)) (135-sesquisquare,8')\n(Mercury,254.182,(c)) (H9,44.283,(c)) (150-quincunx,6')\n(Venus,269.288,(c)) (H9,44.283,(c)) (135-sesquisquare,0')", "(Mean_Node,301.869,(r)) (H3,271.867,(p)) (30-semisextile,0')\n(H1,189.948,(r)) (Moon,9.855,(c)) (opposition,6')\n(Venus,268.452,(c)) (H3,223.594,(c)) (45-semisquare,9')\n(Jupiter,223.714,(c)) (H3,223.594,(c)) (conjunction,7')", "(Moon,328.947,(r)) (Moon,359.407,(c)) (30-semisextile,28')\n(Venus,299.103,(r)) (Moon,359.407,(c)) (sextile,18')", "(H7,9.948,(r)) (Moon,39.456,(p)) (30-semisextile,29')\n(Sun,287.020,(r)) (Moon,256.733,(c)) (30-semisextile,17')\n(Mean_Node,301.869,(r)) (Moon,256.733,(c)) (45-semisquare,8')", "(Mercury,291.962,(r)) (H4,247.144,(c)) (45-semisquare,11')\n(H5,313.299,(r)) (Sun,253.351,(c)) (sextile,3')", "(Moon,185.407,(c)) (H7,335.195,(c)) (150-quincunx,13')", "(Uranus,27.499,(r)) (H10,57.326,(c)) (30-semisextile,10')", "(Pluto,115.139,(r)) (H10,145.227,(p)) (30-semisextile,5')\n(H8,37.657,(r)) (Moon,187.376,(p)) (150-quincunx,17')\n(Moon,328.947,(r)) (H1,149.110,(c)) (opposition,10')\n(Mars,192.746,(r)) (Moon,103.279,(c)) (square,32')", 43]
['1935-01-08 12:25:51', "(Jupiter,228.081,(r)) (H10,228.195,(p)) (conjunction,7')\n(H1,277.224,(r)) (Sun,307.215,(p)) (30-semisextile,1')\n(H3,353.812,(r)) (Venus,323.968,(p)) (30-semisextile,9')\n(Sun,287.311,(r)) (Moon,76.980,(c)) (150-quincunx,20')\n(Mean_Node,301.853,(r)) (Moon,76.980,(c)) (135-sesquisquare,8')", "(Moon,229.852,(p)) (H9,199.804,(p)) (30-semisextile,3')\n(Mercury,292.434,(r)) (Moon,67.468,(c)) (135-sesquisquare,2')\n(Uranus,27.499,(r)) (H9,147.365,(c)) (trine,8')\n(Mean_Node,301.853,(r)) (H1,256.920,(c)) (45-semisquare,4')\n(H1,277.224,(r)) (Moon,67.468,(c)) (150-quincunx,15')", "(Venus,299.462,(r)) (Moon,239.754,(p)) (sextile,18')\n(H3,353.812,(r)) (Sun,308.737,(p)) (45-semisquare,5')\n(Mean_Node,300.739,(p)) (H1,300.718,(p)) (conjunction,1')\n(Uranus,27.499,(r)) (Moon,57.941,(c)) (30-semisextile,26')\n(Mean_Node,301.853,(r)) (H10,181.742,(c)) (trine,7')", '3', "(Moon,333.158,(r)) (H1,303.296,(p)) (30-semisextile,8')\n(Saturn,323.608,(c)) (H3,323.743,(c)) (conjunction,8')", "(H8,134.721,(r)) (Venus,269.813,(c)) (135-sesquisquare,6')", "(Mercury,292.434,(r)) (H10,232.438,(p)) (sextile,0')\n(H1,277.224,(r)) (Moon,277.357,(p)) (conjunction,8')\n(Moon,277.357,(p)) (H10,232.438,(p)) (45-semisquare,5')\n(Mercury,292.434,(r)) (Moon,22.742,(c)) (square,18')\n(Sun,263.134,(c)) (Moon,22.742,(c)) (trine,24')\n(Sun,263.134,(c)) (H9,143.095,(c)) (trine,2')\n(Moon,22.742,(c)) (H9,143.095,(c)) (trine,21')", "(Sun,287.311,(r)) (Moon,287.176,(p)) (conjunction,8')\n(Mercury,292.434,(r)) (H3,322.273,(c)) (30-semisextile,10')\n(Uranus,27.708,(c)) (H10,177.712,(c)) (150-quincunx,0')", "(Moon,333.158,(r)) (Moon,3.351,(c)) (30-semisextile,12')\n(Jupiter,228.081,(r)) (Moon,3.351,(c)) (135-sesquisquare,16')\n(Uranus,27.499,(r)) (H1,252.338,(c)) (135-sesquisquare,10')\n(Mercury,252.417,(c)) (H1,252.338,(c)) (conjunction,5')", "(Mars,192.862,(r)) (Moon,43.270,(p)) (150-quincunx,24')\n(H5,52.921,(r)) (Mars,202.856,(p)) (150-quincunx,4')\n(Jupiter,228.081,(r)) (H10,168.250,(c)) (sextile,10')\n(Venus,258.858,(c)) (H5,18.967,(c)) (trine,7')", "(H1,277.224,(r)) (Jupiter,232.135,(p)) (45-semisquare,5')\n(H5,52.921,(r)) (Moon,53.227,(p)) (conjunction,18')\n(H5,52.921,(r)) (Mars,202.997,(p)) (150-quincunx,5')\n(Pluto,114.431,(p)) (H5,84.316,(p)) (30-semisextile,7')\n(Sun,287.311,(r)) (H4,347.357,(c)) (sextile,3')\n(Moon,333.158,(r)) (H5,18.159,(c)) (45-semisquare,0')\n(Jupiter,228.081,(r)) (H5,18.159,(c)) (150-quincunx,5')\n(Pluto,115.132,(r)) (Moon,250.013,(c)) (135-sesquisquare,7')", "(Moon,188.993,(c)) (H12,219.084,(c)) (30-semisextile,5')\n(Venus,252.203,(c)) (H4,342.050,(c)) (square,9')", "(H1,277.224,(r)) (Saturn,322.325,(c)) (45-semisquare,6')", "(Saturn,325.751,(r)) (Moon,190.825,(p)) (135-sesquisquare,4')\n(Neptune,163.510,(p)) (H12,298.648,(p)) (135-sesquisquare,8')\n(Pluto,115.132,(r)) (H8,85.230,(c)) (30-semisextile,6')\n(H1,277.224,(r)) (Saturn,322.231,(c)) (45-semisquare,0')\n(Sun,242.088,(c)) (Moon,106.740,(c)) (135-sesquisquare,21')\n(Mean_Node,304.207,(c)) (H10,154.229,(c)) (150-quincunx,1')", 53]
