Row 42: {'time': '1935-01-08 20:50:07', 'p_a_allm': 18, 'p_a_min': 19, 'e': 1, 'p_a_maj': 10, 'p_a_conj': 8}
Row 43: {'time': '1935-01-08 05:21:44', 'p_a_allm': 27, 'p_a_min': 23, 'e': 1, 'p_a_maj': 20, 'p_a_conj': 7}
Row 44: {'time': '1935-01-08 13:31:59', 'p_a_allm': 23, 'p_a_min': 20, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 7}
Row 45: {'time': '1935-01-08 22:16:47', 'p_a_allm': 17, 'p_a_min': 26, 'e': 1, 'p_a_maj': 14, 'p_a_conj': 3}
Row 46: {'time': '1935-01-08 10:21:20', 'p_a_allm': 22, 'p_a_min': 27, 'e': 1, 'p_a_maj': 14, 'p_a_conj': 8}
Row 47: {'time': '1935-01-08 05:41:12', 'p_a_allm': 23, 'p_a_min': 23, 'e': 2, 'p_a_maj': 20, 'p_a_conj': 3}
Row 48: {'time': '1935-01-08 13:18:07', 'p_a_allm': 16, 'p_a_min': 22, 'e': 0, 'p_a_maj': 9, 'p_a_conj': 7}
Row 49: {'time': '1935-01-08 09:54:16', 'p_a_allm': 13, 'p_a_min': 21, 'e': 0, 'p_a_maj': 9, 'p_a_conj': 4}
Row 50: {'time': '1935-01-08 15:11:28', 'p_a_allm': 26, 'p_a_min': 24, 'e': 0, 'p_a_maj': 18, 'p_a_conj': 8}
Row 51: {'time': '1935-01-08 07:09:43', 'p_a_allm': 21, 'p_a_min': 21, 'e': 1, 'p_a_maj': 20, 'p_a_conj': 1}
Row 52: {'time': '1935-01-08 05:18:16', 'p_a_allm': 23, 'p_a_min': 18, 'e': 1, 'p_a_maj': 18, 'p_a_conj': 5}
Row 53: {'time': '1935-01-08 12:28:39', 'p_a_allm': 22, 'p_a_min': 27, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 6}
Row 54: {'time': '1935-01-08 17:59:52', 'p_a_allm': 29, 'p_a_min': 20, 'e': 0, 'p_a_maj': 22, 'p_a_conj': 7}
Row 55: {'time': '1935-01-08 21:23:51', 'p_a_allm': 23, 'p_a_min': 32, 'e': 1, 'p_a_maj': 18, 'p_a_conj': 5}
Row 56: {'time': '1935-01-08 15:16:47', 'p_a_allm': 20, 'p_a_min': 16, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 4}
Row 57: {'time': '1935-01-08 11:38:39', 'p_a_allm': 21, 'p_a_min': 26, 'e': 0, 'p_a_maj': 17, 'p_a_conj': 4}
Row 58: {'time': '1935-01-08 08:08:24', 'p_a_allm': 25, 'p_a_min': 17, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 5}
Row 59: {'time': '1935-01-08 19:14:31', 'p_a_allm': 15, 'p_a_min': 21, 'e': 1, 'p_a_maj': 10, 'p_a_conj': 5}
Row 60: {'time': '1935-01-08 10:55:28', 'p_a_allm': 12, 'p_a_min': 28, 'e': 2, 'p_a_maj': 9, 'p_a_conj': 3}
Row 61: {'time': '1935-01-09 01:04:07', 'p_a_allm': 24, 'p_a_min': 20, 'e': 0, 'p_a_maj': 18, 'p_a_conj': 6}
Row 62: {'time': '1935-01-09 04:46:31', 'p_a_allm': 23, 'p_a_min': 24, 'e': 1, 'p_a_maj': 19, 'p_a_conj': 4}
Row 63: {'time': '1935-01-08 19:03:27', 'p_a_allm': 18, 'p_a_min': 19, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 2}
Row 64: {'time': '1935-01-08 19:49:11', 'p_a_allm': 15, 'p_a_min': 23, 'e': 0, 'p_a_maj': 8, 'p_a_conj': 7}
Row 65: {'time': '1935-01-08 13:43:43', 'p_a_allm': 26, 'p_a_min': 20, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 10}
Row 66: {'time': '1935-01-08 21:38:47', 'p_a_allm': 15, 'p_a_min': 28, 'e': 0, 'p_a_maj': 11, 'p_a_conj': 4}
Row 67: {'time': '1935-01-08 21:19:52', 'p_a_allm': 18, 'p_a_min': 33, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 3}
Row 68: {'time': '1935-01-08 07:38:47', 'p_a_allm': 23, 'p_a_min': 11, 'e': 1, 'p_a_maj': 18, 'p_a_conj': 5}
Row 69: {'time': '1935-01-08 05:24:23', 'p_a_allm': 27, 'p_a_min': 23, 'e': 1, 'p_a_maj': 22, 'p_a_conj': 5}
Row 70: {'time': '1935-01-08 23:28:56', 'p_a_allm': 25, 'p_a_min': 18, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 9}
Row 71: {'time': '1935-01-08 20:32:16', 'p_a_allm': 15, 'p_a_min': 21, 'e': 1, 'p_a_maj': 9, 'p_a_conj': 6}
Row 72: {'time': '1935-01-08 21:51:44', 'p_a_allm': 17, 'p_a_min': 16, 'e': 2, 'p_a_maj': 15, 'p_a_conj': 2}
Row 73: {'time': '1935-01-08 07:23:51', 'p_a_allm': 21, 'p_a_min': 18, 'e': 1, 'p_a_maj': 11, 'p_a_conj': 10}
Row 74: {'time': '1935-01-08 21:26:15', 'p_a_allm': 20, 'p_a_min': 25, 'e': 1, 'p_a_maj': 15, 'p_a_conj': 5}
Row 75: {'time': '1935-01-08 19:08:23', 'p_a_allm': 17, 'p_a_min': 22, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 2}
Row 76: {'time': '1935-01-08 14:38:23', 'p_a_allm': 25, 'p_a_min': 13, 'e': 1, 'p_a_maj': 19, 'p_a_conj': 6}
Row 77: {'time': '1935-01-08 14:36:00', 'p_a_allm': 27, 'p_a_min': 19, 'e': 0, 'p_a_maj': 19, 'p_a_conj': 8}
Row 78: {'time': '1935-01-08 07:20:07', 'p_a_allm': 17, 'p_a_min': 17, 'e': 1, 'p_a_maj': 9, 'p_a_conj': 8}
Row 79: {'time': '1935-01-09 02:13:52', 'p_a_allm': 19, 'p_a_min': 15, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 3}
Row 80: {'time': '1935-01-09 03:02:39', 'p_a_allm': 23, 'p_a_min': 24, 'e': 0, 'p_a_maj': 17, 'p_a_conj': 6}
Row 81: {'time': '1935-01-08 09:31:52', 'p_a_allm': 24, 'p_a_min': 17, 'e': 0, 'p_a_maj': 19, 'p_a_conj': 5}
Row 82: {'time': '1935-01-08 22:09:59', 'p_a_allm': 17, 'p_a_min': 27, 'e': 0, 'p_a_maj': 12, 'p_a_conj': 5}
Row 83: {'time': '1935-01-08 13:41:28', 'p_a_allm': 21, 'p_a_min': 16, 'e': 1, 'p_a_maj': 15, 'p_a_conj': 6}
Row 84: {'time': '1935-01-08 06:44:08', 'p_a_allm': 19, 'p_a_min': 20, 'e': 1, 'p_a_maj': 13, 'p_a_conj': 6}
Row 85: {'time': '1935-01-08 21:13:04', 'p_a_allm': 18, 'p_a_min': 20, 'e': 1, 'p_a_maj': 13, 'p_a_conj': 5}
Row 86: {'time': '1935-01-08 19:34:07', 'p_a_allm': 21, 'p_a_min': 13, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 4}
Row 87: {'time': '1935-01-08 21:02:07', 'p_a_allm': 18, 'p_a_min': 19, 'e': 0, 'p_a_maj': 13, 'p_a_conj': 5}
Row 88: {'time': '1935-01-08 06:20:47', 'p_a_allm': 17, 'p_a_min': 18, 'e': 1, 'p_a_maj': 14, 'p_a_conj': 3}
Row 89: {'time': '1935-01-08 14:04:23', 'p_a_allm': 14, 'p_a_min': 23, 'e': 0, 'p_a_maj': 14, 'p_a_conj': 0}
Row 90: {'time': '1935-01-08 17:19:44', 'p_a_allm': 24, 'p_a_min': 21, 'e': 0, 'p_a_maj': 19, 'p_a_conj': 5}
