['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 02:53:20', "(Mercury,21.393,(c)) (H5,81.547,(c)) (sextile,9.23')", '1', "(Sun,60.567,(r)) (H10,285.455,(c)) (135-sesquisquare,6.71')", '3', '4', "(Saturn,288.923,(r)) (H8,288.906,(p)) (conjunction,0.98')\n(Moon,58.557,(p)) (POF,58.043,(p)) (conjunction,30.83')\n(Moon,58.557,(p)) (H4,148.514,(p)) (square,2.58')\n(Pluto,350.506,(r)) (H8,215.466,(c)) (135-sesquisquare,2.40')", "(Uranus,234.068,(p)) (H5,204.184,(p)) (30-semisextile,6.95')", "(Mars,303.869,(r)) (H8,303.887,(p)) (conjunction,1.08')", "(Jupiter,123.685,(r)) (POF,303.866,(p)) (opposition,10.88')", "(Venus,59.673,(r)) (H5,209.496,(p)) (150-quincunx,10.60')", 10]
['1813-05-22 04:53:36', '0', "(Pluto,350.507,(r)) (H10,260.686,(c)) (square,10.74')", "(Mean_Node,134.339,(r)) (H10,314.449,(c)) (opposition,6.58')", "(Uranus,234.836,(p)) (H5,204.728,(p)) (30-semisextile,6.52')", '4', '5', "(Mars,303.901,(r)) (POF,303.931,(p)) (conjunction,1.82')\n(Mean_Node,134.339,(r)) (H1,14.385,(c)) (trine,2.72')", "(Uranus,237.629,(c)) (H7,192.714,(c)) (45-semisquare,5.11')", '8', "(Mars,303.901,(r)) (H5,243.983,(p)) (sextile,4.89')", 7]
['1813-05-22 07:52:07', "(Venus,130.263,(p)) (H10,70.395,(p)) (sextile,7.96')", '1', '2', "(Mercury,35.787,(r)) (H10,35.943,(p)) (conjunction,9.32')", '4', '5', '6', "(Venus,59.928,(r)) (POF,60.082,(c)) (conjunction,9.21')", '8', "(Mean_Node,134.333,(r)) (H1,164.156,(p)) (30-semisextile,10.60')\n(Jupiter,134.185,(p)) (H1,164.156,(p)) (30-semisextile,1.74')", 5]
['1813-05-22 20:25:52', "(Moon,325.368,(r)) (H5,355.261,(c)) (30-semisextile,6.42')\n(Mercury,22.563,(c)) (H10,142.507,(c)) (trine,3.38')", "(Neptune,255.563,(c)) (H1,210.630,(c)) (45-semisquare,4.04')", "(Neptune,254.554,(r)) (H10,209.444,(p)) (45-semisquare,6.60')\n(Neptune,254.332,(p)) (H10,209.444,(p)) (45-semisquare,6.72')\n(Saturn,289.155,(c)) (H8,109.271,(c)) (opposition,7.00')", "(Mercury,25.911,(c)) (H10,176.015,(c)) (150-quincunx,6.23')\n(Jupiter,120.860,(c)) (H7,60.873,(c)) (sextile,0.76')", "(Venus,60.572,(r)) (H7,60.608,(c)) (conjunction,2.20')", "(Pluto,350.671,(p)) (H8,170.723,(p)) (opposition,3.11')", "(Mercury,29.770,(c)) (H5,359.768,(c)) (30-semisextile,0.11')", "(Neptune,254.554,(r)) (H4,74.433,(p)) (opposition,7.23')", "(Moon,315.885,(p)) (H4,75.433,(p)) (trine,27.15')", '9', 13]
['1813-05-22 05:54:00', "(Moon,354.342,(p)) (H7,324.248,(p)) (30-semisextile,5.62')", "(Uranus,233.893,(p)) (H10,53.910,(p)) (opposition,1.03')", '2', '3', "(Venus,59.827,(r)) (H7,299.673,(p)) (trine,9.26')", '5', "(Moon,284.849,(p)) (H5,255.010,(p)) (30-semisextile,9.66')", "(Moon,294.734,(p)) (H8,339.664,(p)) (45-semisquare,4.24')\n(Saturn,288.918,(r)) (H4,108.948,(c)) (opposition,1.78')", '8', '9', 6]
['1813-05-22 11:43:20', '0', "(Mean_Node,134.324,(r)) (H8,314.396,(c)) (opposition,4.30')\n(Moon,134.694,(c)) (H8,314.396,(c)) (opposition,17.86')", "(Pluto,350.510,(r)) (H1,170.378,(p)) (opposition,7.91')\n(Mean_Node,134.767,(c)) (H8,359.703,(c)) (135-sesquisquare,3.83')", "(Mercury,26.054,(c)) (H5,266.109,(c)) (trine,3.31')", "(Jupiter,127.698,(p)) (H5,307.542,(p)) (opposition,9.38')\n(Uranus,235.728,(r)) (H5,265.770,(c)) (30-semisextile,2.54')", "(Moon,230.728,(c)) (H1,141.048,(c)) (square,19.20')", "(Jupiter,123.740,(r)) (H5,333.679,(p)) (150-quincunx,3.66')", '7', '8', "(Uranus,235.728,(r)) (H5,235.693,(c)) (conjunction,2.12')", 10]
['1813-05-22 12:43:12', "(Moon,287.389,(c)) (H7,317.072,(c)) (30-semisextile,19.05')", "(Saturn,288.908,(r)) (H10,19.030,(c)) (square,7.31')", "(Mars,304.027,(r)) (H1,169.148,(c)) (135-sesquisquare,7.24')", '3', '4', "(Moon,64.664,(p)) (H1,200.142,(p)) (135-sesquisquare,28.64')\n(Pluto,350.672,(p)) (POF,170.733,(p)) (opposition,3.69')", '6', "(Pluto,350.510,(r)) (H4,215.372,(c)) (135-sesquisquare,8.31')", "(Moon,334.098,(c)) (H4,214.374,(c)) (trine,16.58')", "(Moon,321.198,(r)) (H5,351.254,(p)) (30-semisextile,3.37')", 8]
['1813-05-22 19:09:59', '0', "(Mars,268.218,(c)) (H8,43.283,(c)) (135-sesquisquare,3.89')", '2', '3', "(Mercury,36.326,(r)) (H5,6.427,(c)) (30-semisextile,6.02')", "(Moon,234.420,(c)) (H4,324.229,(c)) (square,11.47')", "(Uranus,235.715,(r)) (H4,55.621,(p)) (opposition,5.66')", '7', "(Uranus,234.028,(p)) (H1,294.084,(p)) (sextile,3.41')\n(Uranus,237.639,(c)) (H1,207.503,(c)) (30-semisextile,8.15')", "(Mercury,138.474,(p)) (H5,78.343,(p)) (sextile,7.85')", 7]
['1813-05-22 08:29:20', "(Moon,318.925,(r)) (H10,79.064,(p)) (trine,8.32')\n(Sun,115.480,(p)) (H5,295.381,(p)) (opposition,5.94')\n(Moon,355.799,(p)) (H5,295.381,(p)) (sextile,25.12')", '1', "(Saturn,289.167,(c)) (POF,289.187,(c)) (conjunction,1.23')", '3', '4', '5', "(Pluto,350.508,(r)) (H5,290.620,(p)) (sextile,6.68')\n(Pluto,350.584,(p)) (H5,290.620,(p)) (sextile,2.15')", "(Uranus,235.734,(r)) (H8,10.784,(p)) (135-sesquisquare,3.00')\n(Mean_Node,137.122,(c)) (H7,272.082,(c)) (135-sesquisquare,2.37')", "(Moon,318.925,(r)) (H1,169.091,(p)) (150-quincunx,9.96')\n(Sun,112.124,(p)) (H5,292.271,(p)) (opposition,8.87')\n(Moon,331.618,(c)) (H1,91.214,(c)) (trine,24.25')", "(Sun,114.317,(p)) (H5,294.307,(p)) (opposition,0.62')", 12]
['1813-05-22 08:46:08', '0', '1', '2', "(Moon,268.171,(p)) (H5,267.773,(p)) (conjunction,23.88')", "(Jupiter,120.773,(c)) (H10,0.646,(c)) (trine,7.62')", "(Mean_Node,134.331,(r)) (H8,359.297,(p)) (135-sesquisquare,2.05')\n(Saturn,288.914,(r)) (H1,109.095,(c)) (opposition,10.83')\n(Saturn,289.246,(c)) (H1,109.095,(c)) (opposition,9.11')", "(Mercury,35.830,(r)) (H5,185.825,(c)) (150-quincunx,0.30')", '7', "(Jupiter,123.721,(r)) (H5,183.584,(c)) (sextile,8.25')", "(Sun,60.802,(r)) (H5,180.805,(c)) (trine,0.17')\n(Moon,300.822,(c)) (H5,180.805,(c)) (trine,1.06')", 9]
