['Time', '0: 2017-09-22', '1: 2024-10-25', '2: 2018-02-19', '3: 2021-04-06', '4: 2016-05-26', '5: 2022-01-01', 'Count']
['2014-03-24 01:09:59', "(H10,229.434,(r)) (Pluto,289.214,(dp)) (sextile,13')\n(Pluto,283.456,(r)) (Moon,238.611,(cr)) (45-semisquare,9')", "(H10,229.434,(r)) (Venus,49.595,(cp)) (opposition,10')\n(H10,229.434,(r)) (Mercury,19.256,(cr)) (150-quincunx,11')", "(H3,17.217,(r)) (Mercury,17.286,(dr)) (conjunction,4')\n(H4,49.434,(r)) (Pluto,289.220,(dp)) (trine,13')", "(Pluto,283.456,(r)) (Moon,73.547,(cr)) (150-quincunx,5')", "(Neptune,336.089,(r)) (Moon,186.091,(dp)) (150-quincunx,0')\n(H10,229.434,(r)) (Uranus,19.479,(dp)) (150-quincunx,3')\n(H10,229.434,(r)) (Uranus,19.460,(dr)) (150-quincunx,2')\n(Uranus,11.941,(r)) (Moon,11.414,(cr)) (conjunction,32')\n(H10,229.434,(r)) (Uranus,4.452,(cp)) (135-sesquisquare,1')\n(H10,229.434,(r)) (Uranus,4.432,(cr)) (135-sesquisquare,0')", "(Mars,204.380,(r)) (Moon,84.641,(cp)) (trine,16')\n(H10,229.434,(r)) (Mars,319.342,(cr)) (square,6')", 15]
['2014-03-24 00:01:43', "(Uranus,11.938,(r)) (Moon,251.837,(cp)) (trine,6')", "(Mercury,337.580,(r)) (Moon,157.831,(dr)) (opposition,15')\n(H1,306.959,(r)) (Moon,171.794,(dp)) (135-sesquisquare,10')", "(H4,32.046,(r)) (Mean_Node,151.847,(dp)) (trine,12')\n(H4,32.046,(r)) (Mean_Node,151.943,(dr)) (trine,6')\n(H4,32.046,(r)) (Moon,257.323,(cp)) (135-sesquisquare,17')", '3', "(H8,151.485,(r)) (Moon,181.362,(dr)) (30-semisextile,7')\n(H1,306.959,(r)) (Mars,156.732,(cr)) (150-quincunx,14')", '5', 8]
['2014-03-24 01:07:59', "(Pluto,283.456,(r)) (Moon,238.591,(cr)) (45-semisquare,8')\n(H1,321.345,(r)) (Mercury,21.195,(cr)) (sextile,9')", "(H1,321.345,(r)) (Mercury,21.269,(dr)) (sextile,5')\n(H3,16.712,(r)) (Mean_Node,16.533,(dr)) (conjunction,11')", "(H3,16.712,(r)) (Mean_Node,151.844,(dp)) (135-sesquisquare,8')\n(H3,16.712,(r)) (Mean_Node,151.941,(dr)) (135-sesquisquare,14')\n(H7,141.345,(r)) (Moon,321.006,(dp)) (opposition,20')\n(H7,141.345,(r)) (Venus,6.523,(dr)) (135-sesquisquare,11')", "(H1,321.345,(r)) (Neptune,351.119,(dp)) (30-semisextile,14')\n(H1,321.345,(r)) (Neptune,351.116,(dr)) (30-semisextile,14')\n(Pluto,283.456,(r)) (Moon,73.528,(cr)) (150-quincunx,4')\n(H4,48.937,(r)) (Saturn,138.780,(cp)) (square,9')\n(H4,48.937,(r)) (Saturn,138.783,(cr)) (square,9')", "(Neptune,336.088,(r)) (Moon,186.075,(dp)) (150-quincunx,1')\n(H1,321.345,(r)) (Moon,186.075,(dp)) (135-sesquisquare,16')\n(H1,321.345,(r)) (Mean_Node,171.227,(dp)) (150-quincunx,7')\n(H1,321.345,(r)) (Mean_Node,171.246,(dr)) (150-quincunx,6')\n(H8,167.123,(r)) (Pluto,287.319,(dp)) (trine,12')\n(H8,167.123,(r)) (Pluto,287.315,(dr)) (trine,12')", "(H1,321.345,(r)) (Neptune,351.147,(dp)) (30-semisextile,12')\n(Mars,204.380,(r)) (Moon,84.622,(cp)) (trine,14')\n(H10,228.937,(r)) (Saturn,138.747,(cp)) (square,11')\n(H10,228.937,(r)) (Saturn,138.818,(cr)) (square,7')", 23]
['2014-03-24 01:51:20', "(H1,330.864,(r)) (Uranus,0.728,(cp)) (30-semisextile,8')\n(H1,330.864,(r)) (Uranus,0.670,(cr)) (30-semisextile,12')\n(H10,239.545,(r)) (Saturn,194.667,(cp)) (45-semisquare,7')\n(H10,239.545,(r)) (Saturn,194.742,(cr)) (45-semisquare,12')", '1', "(H3,27.561,(r)) (Venus,327.496,(cp)) (sextile,4')\n(H7,150.864,(r)) (Uranus,0.751,(cp)) (150-quincunx,7')\n(H7,150.864,(r)) (Uranus,0.647,(cr)) (150-quincunx,13')", "(Mean_Node,209.922,(r)) (Moon,119.922,(dp)) (square,0')\n(Mean_Node,209.922,(r)) (Moon,74.990,(cp)) (135-sesquisquare,4')", "(Uranus,11.942,(r)) (Moon,11.761,(cr)) (conjunction,11')\n(H1,330.864,(r)) (Moon,15.980,(cp)) (45-semisquare,7')", "(Sun,3.346,(r)) (Moon,63.361,(cr)) (sextile,1')", 12]
['2014-03-24 01:06:56', "(Pluto,283.456,(r)) (Moon,238.581,(cr)) (45-semisquare,7')\n(H1,321.112,(r)) (Mercury,21.195,(cr)) (sextile,5')", "(H1,321.112,(r)) (Mercury,21.268,(dr)) (sextile,9')\n(H3,16.443,(r)) (Mean_Node,16.471,(dp)) (conjunction,2')\n(H3,16.443,(r)) (Mean_Node,16.533,(dr)) (conjunction,5')\n(H1,321.112,(r)) (Mercury,21.078,(cp)) (sextile,2')", "(H7,141.112,(r)) (Moon,320.996,(dp)) (opposition,7')", "(H1,321.112,(r)) (Neptune,351.119,(dp)) (30-semisextile,0')\n(H1,321.112,(r)) (Neptune,351.116,(dr)) (30-semisextile,0')\n(Pluto,283.456,(r)) (Moon,73.518,(cr)) (150-quincunx,4')\n(H1,321.112,(r)) (Neptune,321.041,(cp)) (conjunction,4')\n(H1,321.112,(r)) (Neptune,321.038,(cr)) (conjunction,4')\n(H4,48.672,(r)) (Saturn,138.780,(cp)) (square,6')\n(H4,48.672,(r)) (Saturn,138.784,(cr)) (square,7')", "(Neptune,336.088,(r)) (Moon,186.066,(dp)) (150-quincunx,1')\n(H1,321.112,(r)) (Moon,186.066,(dp)) (135-sesquisquare,3')\n(H1,321.112,(r)) (Mean_Node,171.227,(dp)) (150-quincunx,7')\n(H1,321.112,(r)) (Mean_Node,171.246,(dr)) (150-quincunx,8')", "(H1,321.112,(r)) (Neptune,351.147,(dp)) (30-semisextile,2')\n(H1,321.112,(r)) (Neptune,351.089,(dr)) (30-semisextile,1')\n(Mars,204.381,(r)) (Moon,84.612,(cp)) (trine,14')\n(H1,321.112,(r)) (Neptune,321.062,(cp)) (conjunction,3')\n(H1,321.112,(r)) (Neptune,321.016,(cr)) (conjunction,6')\n(H10,228.672,(r)) (Saturn,138.747,(cp)) (square,5')\n(H10,228.672,(r)) (Saturn,138.818,(cr)) (square,9')", 25]
['2014-03-24 00:31:20', "(H10,219.693,(r)) (Mars,39.527,(dr)) (opposition,10')\n(Uranus,11.939,(r)) (Moon,252.117,(cp)) (trine,11')\n(Pluto,283.456,(r)) (Moon,238.231,(cr)) (45-semisquare,14')", "(Mercury,337.608,(r)) (Moon,158.075,(dr)) (opposition,28')\n(H1,313.364,(r)) (Mean_Node,43.305,(cp)) (square,4')\n(H1,313.364,(r)) (Mean_Node,43.368,(cr)) (square,0')\n(H10,219.693,(r)) (Moon,39.626,(cp)) (opposition,4')", "(H3,7.414,(r)) (Pluto,277.447,(cp)) (square,2')\n(H3,7.414,(r)) (Moon,232.304,(cr)) (135-sesquisquare,7')\n(H3,7.414,(r)) (Pluto,277.431,(cr)) (square,1')\n(H7,133.364,(r)) (Jupiter,13.444,(cp)) (trine,5')", "(H8,158.433,(r)) (Uranus,38.596,(dp)) (trine,10')\n(H8,158.433,(r)) (Uranus,38.592,(dr)) (trine,10')\n(Pluto,283.456,(r)) (Moon,73.171,(cr)) (150-quincunx,17')\n(H1,313.364,(r)) (Moon,73.171,(cr)) (trine,12')", "(H8,158.433,(r)) (Mean_Node,248.601,(cp)) (square,10')\n(H8,158.433,(r)) (Mean_Node,248.620,(cr)) (square,11')\n(H10,219.693,(r)) (Pluto,279.479,(cp)) (sextile,13')\n(H10,219.693,(r)) (Pluto,279.476,(cr)) (sextile,13')", "(Mars,204.388,(r)) (Moon,84.275,(cp)) (trine,7')", 20]
['2014-03-24 01:25:11', "(H10,233.187,(r)) (Uranus,23.281,(dp)) (150-quincunx,6')\n(H10,233.187,(r)) (Uranus,23.227,(dr)) (150-quincunx,2')\n(H10,233.187,(r)) (Mars,353.415,(cp)) (trine,14')", "(H3,21.040,(r)) (Mercury,21.097,(cp)) (conjunction,3')", "(H3,21.040,(r)) (Moon,321.162,(dp)) (sextile,7')\n(H4,53.187,(r)) (Uranus,23.304,(dp)) (30-semisextile,7')\n(H4,53.187,(r)) (Uranus,23.205,(dr)) (30-semisextile,1')\n(H3,21.040,(r)) (Mercury,20.827,(cr)) (conjunction,13')\n(H4,53.187,(r)) (Moon,232.842,(cr)) (opposition,21')\n(H7,145.111,(r)) (Venus,325.290,(cr)) (opposition,11')", "(Mean_Node,209.923,(r)) (Moon,119.688,(dp)) (square,14')\n(H8,171.222,(r)) (Neptune,351.119,(dp)) (opposition,6')\n(H8,171.222,(r)) (Neptune,351.116,(dr)) (opposition,6')\n(Pluto,283.456,(r)) (Moon,73.695,(cr)) (150-quincunx,14')\n(Mean_Node,209.923,(r)) (Moon,74.738,(cp)) (135-sesquisquare,11')\n(H8,171.222,(r)) (Neptune,321.041,(cp)) (150-quincunx,11')\n(H8,171.222,(r)) (Neptune,321.039,(cr)) (150-quincunx,11')", "(Neptune,336.089,(r)) (Moon,186.216,(dp)) (150-quincunx,8')\n(H8,171.222,(r)) (Mean_Node,171.227,(dp)) (conjunction,0')\n(H8,171.222,(r)) (Mean_Node,171.245,(dr)) (conjunction,1')\n(Uranus,11.941,(r)) (Moon,11.541,(cr)) (conjunction,24')", "(H6,116.005,(r)) (Mars,71.129,(dr)) (45-semisquare,7')\n(Sun,3.328,(r)) (Moon,63.101,(cr)) (sextile,14')", 23]
['2014-03-24 01:58:07', '0', '1', "(H7,152.368,(r)) (Mercury,17.345,(dr)) (135-sesquisquare,1')", "(Mean_Node,209.921,(r)) (Moon,119.983,(dp)) (square,4')\n(H8,179.094,(r)) (Moon,119.019,(dr)) (sextile,5')\n(Mean_Node,209.921,(r)) (Moon,75.056,(cp)) (135-sesquisquare,8')\n(H8,179.094,(r)) (Pluto,268.951,(cp)) (square,9')\n(H8,179.094,(r)) (Pluto,268.951,(cr)) (square,9')", "(H1,332.368,(r)) (Pluto,287.320,(dp)) (45-semisquare,3')\n(H1,332.368,(r)) (Moon,182.327,(dr)) (150-quincunx,2')\n(H1,332.368,(r)) (Pluto,287.315,(dr)) (45-semisquare,3')\n(Uranus,11.942,(r)) (Moon,11.818,(cr)) (conjunction,7')\n(H10,241.181,(r)) (Moon,16.036,(cp)) (135-sesquisquare,9')", "(Sun,3.350,(r)) (Moon,63.429,(cr)) (sextile,5')", 12]
['2014-03-24 00:45:04', "(Pluto,283.456,(r)) (Moon,238.366,(cr)) (45-semisquare,5')", "(H1,316.346,(r)) (Mean_Node,16.472,(dp)) (sextile,8')\n(H1,316.346,(r)) (Mean_Node,16.534,(dr)) (sextile,11')\n(H10,223.186,(r)) (Mean_Node,43.304,(cp)) (opposition,7')\n(H10,223.186,(r)) (Mean_Node,43.367,(cr)) (opposition,11')", "(H4,43.186,(r)) (Jupiter,13.008,(cr)) (30-semisextile,11')\n(H4,43.186,(r)) (Mean_Node,268.001,(cr)) (135-sesquisquare,11')", "(H8,161.679,(r)) (Mars,71.590,(dp)) (square,5')\n(H8,161.679,(r)) (Pluto,296.514,(dp)) (135-sesquisquare,10')\n(H8,161.679,(r)) (Mars,71.546,(dr)) (square,8')\n(H8,161.679,(r)) (Pluto,296.513,(dr)) (135-sesquisquare,10')\n(Pluto,283.456,(r)) (Moon,73.305,(cr)) (150-quincunx,9')\n(H4,43.186,(r)) (Moon,73.305,(cr)) (30-semisextile,7')", "(Neptune,336.088,(r)) (Moon,185.886,(dp)) (150-quincunx,12')\n(H1,316.346,(r)) (Saturn,256.403,(dp)) (sextile,3')\n(H1,316.346,(r)) (Saturn,256.402,(dr)) (sextile,3')", "(Mars,204.385,(r)) (Moon,84.405,(cp)) (trine,1')", 17]
['2014-03-24 01:54:07', '0', "(H1,331.483,(r)) (Mean_Node,16.469,(dp)) (45-semisquare,1')\n(H1,331.483,(r)) (Mean_Node,16.532,(dr)) (45-semisquare,3')", "(H3,28.255,(r)) (Moon,298.125,(dr)) (square,8')", "(Mean_Node,209.922,(r)) (Moon,119.947,(dp)) (square,2')\n(H4,60.219,(r)) (Moon,119.947,(dp)) (sextile,16')\n(Mean_Node,209.922,(r)) (Moon,75.017,(cp)) (135-sesquisquare,6')", "(Uranus,11.942,(r)) (Moon,11.785,(cr)) (conjunction,9')", "(Sun,3.348,(r)) (Moon,63.389,(cr)) (sextile,2')", 8]
