['Time', '0: 2017-09-22', '1: 2024-10-25', '2: 2018-02-19', '3: 2021-04-06', '4: 2016-05-26', '5: 2022-01-01', 'Count']
['2014-03-24 01:09:59', "(H1,321.782,(r)) (Saturn,261.812,(p)) (sextile,2')\n(H1,321.782,(r)) (Saturn,186.705,(c)) (135-sesquisquare,5')", "(H1,321.782,(r)) (Jupiter,80.900,(p)) (trine,53')\n(H10,229.434,(r)) (Mean_Node,5.071,(p)) (135-sesquisquare,38')", "(H4,49.434,(r)) (Pluto,290.374,(p)) (trine,56')\n(H7,141.782,(r)) (Jupiter,232.738,(p)) (square,57')\n(H4,49.434,(r)) (Pluto,275.332,(c)) (135-sesquisquare,54')\n(H7,141.782,(r)) (Jupiter,352.678,(c)) (150-quincunx,54')", "(H1,321.782,(r)) (Neptune,351.613,(p)) (30-semisextile,10')\n(H4,49.434,(r)) (Venus,19.760,(p)) (30-semisextile,20')\n(H4,49.434,(r)) (Mars,79.741,(p)) (30-semisextile,18')\n(H1,321.782,(r)) (Venus,21.123,(c)) (sextile,39')\n(H4,49.434,(r)) (Sun,349.627,(c)) (sextile,12')\n(H4,49.434,(r)) (Saturn,139.540,(c)) (square,6')", '4', "(H1,321.782,(r)) (Sun,82.438,(c)) (trine,39')\n(H10,229.434,(r)) (Neptune,319.689,(c)) (square,15')", 16]
['2014-03-24 00:01:43', "(H1,306.959,(r)) (Saturn,261.812,(p)) (45-semisquare,9')\n(H10,212.046,(r)) (Mercury,166.425,(p)) (45-semisquare,37')\n(H1,306.959,(r)) (Saturn,186.694,(c)) (trine,16')\n(H10,212.046,(r)) (Pluto,272.808,(c)) (sextile,46')", "(H1,306.959,(r)) (Jupiter,80.900,(p)) (135-sesquisquare,64')\n(H10,212.046,(r)) (Sun,212.563,(p)) (conjunction,31')\n(H10,212.046,(r)) (Moon,62.157,(c)) (150-quincunx,7')\n(H10,212.046,(r)) (Uranus,330.996,(c)) (trine,63')", "(H4,32.046,(r)) (Mercury,332.406,(p)) (sextile,22')\n(H7,126.959,(r)) (Jupiter,352.658,(c)) (135-sesquisquare,42')", "(H1,306.959,(r)) (Neptune,351.613,(p)) (45-semisquare,21')\n(H4,32.046,(r)) (Mean_Node,346.042,(c)) (45-semisquare,60')", "(H10,212.046,(r)) (Mean_Node,167.850,(p)) (45-semisquare,48')\n(H1,306.959,(r)) (Mars,172.966,(c)) (135-sesquisquare,60')\n(H1,306.959,(r)) (Pluto,277.972,(c)) (30-semisextile,61')\n(H10,212.046,(r)) (Uranus,1.321,(c)) (150-quincunx,43')", "(H1,306.959,(r)) (Sun,82.347,(c)) (135-sesquisquare,23')\n(H1,306.959,(r)) (Mars,125.879,(c)) (opposition,65')", 18]
['2014-03-24 01:07:59', "(H1,321.345,(r)) (Saturn,261.812,(p)) (sextile,28')\n(H1,321.345,(r)) (Saturn,186.705,(c)) (135-sesquisquare,22')", "(H1,321.345,(r)) (Jupiter,80.900,(p)) (trine,27')\n(H10,228.937,(r)) (Mercury,228.038,(p)) (conjunction,54')", "(H7,141.345,(r)) (Pluto,290.374,(p)) (150-quincunx,58')\n(H7,141.345,(r)) (Pluto,275.332,(c)) (135-sesquisquare,61')", "(H1,321.345,(r)) (Neptune,351.613,(p)) (30-semisextile,16')\n(H4,48.937,(r)) (Venus,19.760,(p)) (30-semisextile,49')\n(H4,48.937,(r)) (Mars,79.741,(p)) (30-semisextile,48')\n(H1,321.345,(r)) (Venus,21.120,(c)) (sextile,13')\n(H1,321.345,(r)) (Neptune,320.599,(c)) (conjunction,45')\n(H4,48.937,(r)) (Sun,349.624,(c)) (sextile,41')\n(H4,48.937,(r)) (Saturn,139.540,(c)) (square,36')", '4', "(H1,321.345,(r)) (Neptune,350.678,(p)) (30-semisextile,40')\n(H10,228.937,(r)) (Neptune,319.689,(c)) (square,45')", 15]
['2014-03-24 01:51:20', "(H1,330.864,(r)) (Pluto,286.864,(p)) (45-semisquare,60')\n(H10,239.545,(r)) (Uranus,358.569,(c)) (trine,59')", "(H1,330.864,(r)) (Uranus,330.990,(c)) (conjunction,8')\n(H10,239.545,(r)) (Jupiter,148.530,(c)) (square,61')", "(H7,150.864,(r)) (Sun,330.786,(p)) (opposition,5')\n(H4,59.545,(r)) (Venus,60.539,(c)) (conjunction,60')\n(H4,59.545,(r)) (Uranus,358.707,(c)) (sextile,50')\n(H4,59.545,(r)) (Mean_Node,285.564,(c)) (135-sesquisquare,61')\n(H7,150.864,(r)) (Venus,60.539,(c)) (square,20')\n(H7,150.864,(r)) (Mean_Node,285.564,(c)) (135-sesquisquare,18')", "(H1,330.864,(r)) (Sun,16.904,(p)) (45-semisquare,62')\n(H4,59.545,(r)) (Pluto,268.843,(c)) (150-quincunx,42')", "(H1,330.864,(r)) (Mars,240.377,(p)) (square,29')\n(H10,239.545,(r)) (Moon,298.687,(p)) (sextile,51')\n(H10,239.545,(r)) (Mars,240.377,(p)) (conjunction,50')\n(H1,330.864,(r)) (Uranus,1.326,(c)) (30-semisextile,28')\n(H10,239.545,(r)) (Sun,298.963,(c)) (sextile,35')\n(H10,239.545,(r)) (Saturn,209.192,(c)) (30-semisextile,21')\n(H10,239.545,(r)) (Neptune,329.463,(c)) (square,5')", "(H10,239.545,(r)) (Mercury,298.890,(p)) (sextile,39')\n(H10,239.545,(r)) (Mean_Node,59.504,(p)) (opposition,2')\n(H1,330.864,(r)) (Mercury,106.010,(c)) (135-sesquisquare,9')\n(H1,330.864,(r)) (Mean_Node,0.330,(c)) (30-semisextile,32')\n(H10,239.545,(r)) (Mean_Node,0.330,(c)) (trine,47')", 24]
['2014-03-24 01:06:56', "(H1,321.112,(r)) (Saturn,261.812,(p)) (sextile,42')\n(H1,321.112,(r)) (Saturn,186.705,(c)) (135-sesquisquare,36')\n(H10,228.672,(r)) (Pluto,272.808,(c)) (45-semisquare,52')", "(H1,321.112,(r)) (Jupiter,80.900,(p)) (trine,13')\n(H1,321.112,(r)) (Mean_Node,5.071,(p)) (45-semisquare,62')\n(H10,228.672,(r)) (Mercury,228.038,(p)) (conjunction,38')", "(H7,141.112,(r)) (Pluto,290.374,(p)) (150-quincunx,44')\n(H7,141.112,(r)) (Pluto,275.332,(c)) (135-sesquisquare,47')", "(H1,321.112,(r)) (Neptune,351.613,(p)) (30-semisextile,30')\n(H4,48.672,(r)) (Mars,79.741,(p)) (30-semisextile,64')\n(H1,321.112,(r)) (Venus,21.118,(c)) (sextile,0')\n(H1,321.112,(r)) (Neptune,320.599,(c)) (conjunction,31')\n(H4,48.672,(r)) (Sun,349.623,(c)) (sextile,57')\n(H4,48.672,(r)) (Saturn,139.540,(c)) (square,52')", "(H10,228.672,(r)) (Mean_Node,167.850,(p)) (sextile,49')", "(H1,321.112,(r)) (Neptune,350.678,(p)) (30-semisextile,26')\n(H10,228.672,(r)) (Neptune,319.689,(c)) (square,61')", 17]
['2014-03-24 00:31:20', "(H1,313.364,(r)) (Uranus,358.574,(c)) (45-semisquare,13')", "(H10,219.693,(r)) (Venus,249.282,(p)) (30-semisextile,25')", "(H4,39.693,(r)) (Venus,340.676,(p)) (sextile,59')\n(H7,133.364,(r)) (Moon,12.871,(p)) (trine,30')\n(H7,133.364,(r)) (Mean_Node,134.276,(p)) (conjunction,55')\n(H4,39.693,(r)) (Moon,175.643,(c)) (135-sesquisquare,57')\n(H4,39.693,(r)) (Mercury,40.265,(c)) (conjunction,34')\n(H7,133.364,(r)) (Uranus,358.702,(c)) (135-sesquisquare,20')", "(H1,313.364,(r)) (Moon,312.573,(p)) (conjunction,47')\n(H1,313.364,(r)) (Mean_Node,73.801,(p)) (trine,26')\n(H4,39.693,(r)) (Uranus,39.306,(p)) (conjunction,23')\n(H1,313.364,(r)) (Pluto,268.842,(c)) (45-semisquare,29')\n(H4,39.693,(r)) (Mars,309.476,(c)) (square,13')", "(H1,313.364,(r)) (Saturn,253.690,(p)) (sextile,20')\n(H10,219.693,(r)) (Moon,250.329,(c)) (30-semisextile,38')", "(H1,313.364,(r)) (Mars,253.455,(p)) (sextile,5')\n(H10,219.693,(r)) (Pluto,265.508,(c)) (45-semisquare,49')", 17]
['2014-03-24 01:25:11', '0', "(H1,325.111,(r)) (Uranus,56.150,(p)) (square,62')\n(H1,325.111,(r)) (Mean_Node,54.765,(c)) (square,21')\n(H10,233.187,(r)) (Mercury,173.627,(c)) (sextile,26')", "(H4,53.187,(r)) (Jupiter,232.738,(p)) (opposition,27')\n(H7,145.111,(r)) (Uranus,25.529,(p)) (trine,25')\n(H4,53.187,(r)) (Jupiter,352.682,(c)) (sextile,30')", '3', "(H10,233.187,(r)) (Uranus,22.932,(p)) (150-quincunx,15')\n(H10,233.187,(r)) (Mars,172.972,(c)) (sextile,13')\n(H10,233.187,(r)) (Pluto,277.976,(c)) (45-semisquare,13')", "(H1,325.111,(r)) (Sun,281.039,(p)) (45-semisquare,56')\n(H1,325.111,(r)) (Pluto,295.951,(p)) (30-semisextile,50')\n(H1,325.111,(r)) (Pluto,265.506,(c)) (sextile,24')\n(H10,233.187,(r)) (Sun,82.458,(c)) (150-quincunx,44')", 13]
['2014-03-24 01:58:07', "(H1,332.368,(r)) (Pluto,286.864,(p)) (45-semisquare,30')\n(H10,241.181,(r)) (Pluto,286.864,(p)) (45-semisquare,41')\n(H1,332.368,(r)) (Pluto,272.808,(c)) (sextile,26')", "(H1,332.368,(r)) (Sun,212.563,(p)) (trine,12')\n(H10,241.181,(r)) (Uranus,330.989,(c)) (square,11')", "(H4,61.181,(r)) (Sun,330.786,(p)) (square,24')\n(H7,152.368,(r)) (Mercury,332.406,(p)) (opposition,2')\n(H4,61.181,(r)) (Venus,60.550,(c)) (conjunction,38')\n(H4,61.181,(r)) (Mean_Node,285.563,(c)) (135-sesquisquare,37')", "(H1,332.368,(r)) (Sun,16.904,(p)) (45-semisquare,28')\n(H4,61.181,(r)) (Sun,16.904,(p)) (45-semisquare,43')\n(H1,332.368,(r)) (Moon,242.690,(c)) (square,19')", "(H1,332.368,(r)) (Pluto,287.144,(p)) (45-semisquare,13')\n(H10,241.181,(r)) (Mars,240.377,(p)) (conjunction,48')\n(H10,241.181,(r)) (Pluto,287.144,(p)) (45-semisquare,58')\n(H1,332.368,(r)) (Uranus,1.327,(c)) (30-semisextile,62')\n(H10,241.181,(r)) (Uranus,1.327,(c)) (trine,9')", "(H10,241.181,(r)) (Mercury,106.023,(c)) (135-sesquisquare,9')\n(H10,241.181,(r)) (Mean_Node,0.330,(c)) (trine,51')", 19]
['2014-03-24 00:45:04', "(H1,316.346,(r)) (Mercury,166.425,(p)) (150-quincunx,5')\n(H1,316.346,(r)) (Pluto,286.864,(p)) (30-semisextile,31')\n(H10,223.186,(r)) (Uranus,358.573,(c)) (135-sesquisquare,23')", "(H1,316.346,(r)) (Moon,135.931,(p)) (opposition,25')", "(H4,43.186,(r)) (Moon,12.871,(p)) (30-semisextile,19')\n(H4,43.186,(r)) (Uranus,358.703,(c)) (45-semisquare,31')\n(H7,136.346,(r)) (Mean_Node,285.569,(c)) (150-quincunx,47')", "(H1,316.346,(r)) (Sun,16.904,(p)) (sextile,33')\n(H4,43.186,(r)) (Moon,312.573,(p)) (square,37')\n(H4,43.186,(r)) (Mean_Node,73.801,(p)) (30-semisextile,37')\n(H1,316.346,(r)) (Mean_Node,346.039,(c)) (30-semisextile,18')\n(H4,43.186,(r)) (Pluto,268.842,(c)) (135-sesquisquare,39')", "(H1,316.346,(r)) (Pluto,287.144,(p)) (30-semisextile,48')\n(H10,223.186,(r)) (Saturn,253.690,(p)) (30-semisextile,30')\n(H1,316.346,(r)) (Uranus,1.323,(c)) (45-semisquare,1')", "(H10,223.186,(r)) (Mars,253.455,(p)) (30-semisextile,16')\n(H1,316.346,(r)) (Mercury,105.887,(c)) (150-quincunx,28')\n(H1,316.346,(r)) (Mean_Node,0.335,(c)) (45-semisquare,61')", 18]
['2014-03-24 01:54:07', "(H1,331.483,(r)) (Pluto,286.864,(p)) (45-semisquare,23')", "(H1,331.483,(r)) (Sun,212.563,(p)) (trine,65')\n(H1,331.483,(r)) (Uranus,330.990,(c)) (conjunction,30')\n(H10,240.219,(r)) (Uranus,330.990,(c)) (square,46')", "(H4,60.219,(r)) (Sun,330.786,(p)) (square,34')\n(H7,151.483,(r)) (Sun,330.786,(p)) (opposition,42')\n(H7,151.483,(r)) (Mercury,332.406,(p)) (opposition,55')\n(H4,60.219,(r)) (Venus,60.544,(c)) (conjunction,19')\n(H4,60.219,(r)) (Mean_Node,285.564,(c)) (135-sesquisquare,21')\n(H7,151.483,(r)) (Venus,60.544,(c)) (square,56')\n(H7,151.483,(r)) (Mean_Node,285.564,(c)) (135-sesquisquare,55')", "(H1,331.483,(r)) (Sun,16.904,(p)) (45-semisquare,25')", "(H1,331.483,(r)) (Pluto,287.144,(p)) (45-semisquare,40')\n(H10,240.219,(r)) (Mars,240.377,(p)) (conjunction,9')\n(H1,331.483,(r)) (Uranus,1.326,(c)) (30-semisextile,9')\n(H10,240.219,(r)) (Saturn,209.192,(c)) (30-semisextile,62')\n(H10,240.219,(r)) (Neptune,329.463,(c)) (square,45')", "(H10,240.219,(r)) (Mean_Node,59.504,(p)) (opposition,43')\n(H1,331.483,(r)) (Mercury,106.015,(c)) (135-sesquisquare,28')\n(H10,240.219,(r)) (Mercury,106.015,(c)) (135-sesquisquare,48')\n(H10,240.219,(r)) (Mean_Node,0.330,(c)) (trine,7')", 21]
