Row 18: {'time': '2000-03-11 04:03:03', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_min': 20, 'a_p_conj': 0, 'e': 5, 'total_count': 50}
Row 19: {'time': '2000-03-11 13:18:56', 'p_a_conj': 5, 'p_a_maj': 31, 'p_a_min': 26, 'a_p_conj': 0, 'e': 2, 'total_count': 62}
Row 20: {'time': '2000-03-11 08:16:23', 'p_a_conj': 5, 'p_a_maj': 24, 'p_a_min': 26, 'a_p_conj': 0, 'e': 4, 'total_count': 55}
Row 21: {'time': '2000-03-11 13:49:51', 'p_a_conj': 5, 'p_a_maj': 23, 'p_a_min': 30, 'a_p_conj': 0, 'e': 4, 'total_count': 58}
Row 22: {'time': '2000-03-11 15:29:28', 'p_a_conj': 8, 'p_a_maj': 24, 'p_a_min': 28, 'a_p_conj': 0, 'e': 2, 'total_count': 60}
Row 23: {'time': '2000-03-11 02:21:28', 'p_a_conj': 9, 'p_a_maj': 26, 'p_a_min': 34, 'a_p_conj': 0, 'e': 1, 'total_count': 69}
Row 24: {'time': '2000-03-11 06:31:28', 'p_a_conj': 8, 'p_a_maj': 28, 'p_a_min': 29, 'a_p_conj': 0, 'e': 1, 'total_count': 65}
Row 25: {'time': '2000-03-11 13:41:12', 'p_a_conj': 6, 'p_a_maj': 22, 'p_a_min': 23, 'a_p_conj': 0, 'e': 3, 'total_count': 51}
Row 26: {'time': '2000-03-11 17:53:52', 'p_a_conj': 10, 'p_a_maj': 22, 'p_a_min': 31, 'a_p_conj': 0, 'e': 0, 'total_count': 63}
Row 27: {'time': '2000-03-11 11:26:47', 'p_a_conj': 7, 'p_a_maj': 24, 'p_a_min': 32, 'a_p_conj': 0, 'e': 1, 'total_count': 63}
Row 28: {'time': '2000-03-11 07:49:19', 'p_a_conj': 6, 'p_a_maj': 22, 'p_a_min': 28, 'a_p_conj': 0, 'e': 0, 'total_count': 56}
Row 29: {'time': '2000-03-11 15:11:59', 'p_a_conj': 3, 'p_a_maj': 15, 'p_a_min': 34, 'a_p_conj': 0, 'e': 2, 'total_count': 52}
Row 30: {'time': '2000-03-11 04:07:04', 'p_a_conj': 10, 'p_a_maj': 28, 'p_a_min': 33, 'a_p_conj': 0, 'e': 6, 'total_count': 71}
Row 31: {'time': '2000-03-11 13:40:00', 'p_a_conj': 7, 'p_a_maj': 21, 'p_a_min': 18, 'a_p_conj': 0, 'e': 2, 'total_count': 46}
Row 32: {'time': '2000-03-11 15:44:39', 'p_a_conj': 9, 'p_a_maj': 17, 'p_a_min': 31, 'a_p_conj': 0, 'e': 1, 'total_count': 57}
Row 33: {'time': '2000-03-11 12:09:04', 'p_a_conj': 6, 'p_a_maj': 24, 'p_a_min': 30, 'a_p_conj': 0, 'e': 2, 'total_count': 60}
Row 34: {'time': '2000-03-11 06:30:16', 'p_a_conj': 9, 'p_a_maj': 24, 'p_a_min': 28, 'a_p_conj': 0, 'e': 1, 'total_count': 61}
Row 35: {'time': '2000-03-11 10:03:43', 'p_a_conj': 4, 'p_a_maj': 20, 'p_a_min': 26, 'a_p_conj': 0, 'e': 3, 'total_count': 50}
