['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2013-12-12', '3: 2014-03-24', '4: 2015-05-27', '5: 2017-09-15', '6: 2018-02-19', '7: 2019-05-22', '8: 2019-08-13', '9: 2021-04-06', '10: 2021-07-10', '11: 2022-01-03', '12: 2022-05-25', '13: 2024-02-28', '14: 2024-03-08', '15: 1994-07-02', '16: 1997-08-13', '17: 1997-11-16', '18: 2021-02-20', 'Count']
['2000-03-11 16:46:23', "(Mars,21.599,(r)) (Moon,81.884,(cp)) (sextile,17')\n(H1,179.018,(r)) (Saturn,314.052,(cp)) (135-sesquisquare,2')\n(H1,179.018,(r)) (Saturn,313.952,(cr)) (135-sesquisquare,4')", "(Mercury,333.305,(r)) (Moon,183.264,(dp)) (150-quincunx,2')\n(Jupiter,34.789,(r)) (Moon,304.708,(cp)) (square,5')\n(H3,244.866,(r)) (Moon,304.708,(cp)) (sextile,9')", "(H1,179.018,(r)) (Mars,359.235,(dr)) (opposition,13')\n(H10,89.349,(r)) (Mars,359.235,(dr)) (square,7')\n(Neptune,305.694,(r)) (Moon,125.208,(cr)) (opposition,29')\n(H1,179.018,(r)) (Mars,44.056,(cp)) (135-sesquisquare,2')", "(H3,244.866,(r)) (Jupiter,334.644,(cp)) (square,13')", "(H1,179.018,(r)) (Mercury,328.789,(dr)) (150-quincunx,14')\n(H3,244.866,(r)) (Saturn,244.927,(dp)) (conjunction,4')\n(H3,244.866,(r)) (Moon,244.589,(dr)) (conjunction,17')\n(H3,244.866,(r)) (Saturn,244.926,(dr)) (conjunction,4')\n(H10,89.349,(r)) (Mercury,329.401,(dp)) (trine,3')", "(Sun,351.420,(r)) (Moon,171.669,(dp)) (opposition,15')", "(Pluto,252.898,(r)) (Moon,312.706,(cr)) (sextile,12')\n(H4,269.349,(r)) (Pluto,209.123,(cr)) (sextile,14')\n(H7,359.018,(r)) (Pluto,209.084,(cp)) (150-quincunx,4')\n(H7,359.018,(r)) (Pluto,209.123,(cr)) (150-quincunx,6')", "(Mean_Node,121.323,(r)) (Moon,61.358,(dp)) (sextile,2')", "(H3,244.866,(r)) (Moon,64.366,(dp)) (opposition,30')", "(H3,244.866,(r)) (Mars,64.671,(dp)) (opposition,12')\n(H3,244.866,(r)) (Moon,335.138,(dr)) (square,16')\n(Mercury,333.305,(r)) (Moon,152.988,(cr)) (opposition,19')\n(H3,244.866,(r)) (Moon,154.644,(cp)) (square,13')", "(H9,64.866,(r)) (Mars,64.826,(dp)) (conjunction,2')", "(Mean_Node,121.323,(r)) (Moon,346.496,(dp)) (135-sesquisquare,10')\n(H10,89.349,(r)) (Jupiter,119.274,(cp)) (30-semisextile,5')\n(H10,89.349,(r)) (Jupiter,119.345,(cr)) (30-semisextile,0')", "(H9,64.866,(r)) (Mars,304.696,(dp)) (trine,10')", '13', "(Venus,327.795,(r)) (Moon,237.848,(cr)) (square,3')", "(Mean_Node,121.323,(r)) (Moon,346.064,(cr)) (135-sesquisquare,16')", "(H1,179.018,(r)) (Mars,178.988,(dr)) (conjunction,2')\n(H4,269.349,(r)) (Neptune,299.275,(dp)) (30-semisextile,4')\n(H4,269.349,(r)) (Mean_Node,179.326,(dp)) (square,1')\n(H4,269.349,(r)) (Neptune,299.253,(dr)) (30-semisextile,6')\n(H4,269.349,(r)) (Mean_Node,179.371,(dr)) (square,1')\n(H1,179.018,(r)) (Mars,179.016,(cr)) (conjunction,0')\n(H1,179.018,(r)) (Neptune,299.251,(cr)) (trine,14')\n(H4,269.349,(r)) (Neptune,299.273,(cp)) (30-semisextile,5')\n(H4,269.349,(r)) (Mean_Node,179.330,(cp)) (square,1')\n(H4,269.349,(r)) (Neptune,299.251,(cr)) (30-semisextile,6')\n(H4,269.349,(r)) (Mean_Node,179.375,(cr)) (square,2')", "(H1,179.018,(r)) (Mars,179.087,(dr)) (conjunction,4')\n(H4,269.349,(r)) (Mean_Node,179.313,(dp)) (square,2')\n(H4,269.349,(r)) (Mean_Node,179.385,(dr)) (square,2')\n(Sun,351.420,(r)) (Moon,21.191,(cr)) (30-semisextile,14')\n(Mars,21.599,(r)) (Moon,21.191,(cr)) (conjunction,24')\n(H1,179.018,(r)) (Mars,179.112,(cr)) (conjunction,6')\n(H4,269.349,(r)) (Mean_Node,179.316,(cp)) (square,2')\n(H4,269.349,(r)) (Mean_Node,179.389,(cr)) (square,2')", "(Neptune,305.694,(r)) (Moon,215.792,(dp)) (square,6')\n(H1,179.018,(r)) (Saturn,299.245,(dp)) (trine,14')\n(H1,179.018,(r)) (Saturn,299.081,(dr)) (trine,4')\n(H4,269.349,(r)) (Saturn,299.245,(dp)) (30-semisextile,6')\n(H8,36.144,(r)) (Moon,215.792,(dp)) (opposition,21')\n(H8,36.144,(r)) (Venus,36.248,(dr)) (conjunction,6')\n(Venus,327.795,(r)) (Moon,267.611,(cr)) (sextile,11')", 60]
['2000-03-11 10:39:19', "(Uranus,318.705,(r)) (Moon,48.900,(dp)) (square,12')\n(H3,142.582,(r)) (Neptune,322.815,(dp)) (opposition,14')\n(H3,142.582,(r)) (Neptune,322.782,(dr)) (opposition,12')\n(H1,76.534,(r)) (Mars,316.687,(cr)) (trine,9')", "(H3,142.582,(r)) (Uranus,352.532,(dp)) (150-quincunx,3')\n(H3,142.582,(r)) (Uranus,352.529,(dr)) (150-quincunx,3')\n(Mean_Node,121.337,(r)) (Moon,301.602,(cp)) (opposition,16')\n(Mean_Node,121.337,(r)) (Moon,301.085,(cr)) (opposition,15')\n(H7,256.534,(r)) (Moon,301.602,(cp)) (45-semisquare,4')", "(H3,142.582,(r)) (Uranus,7.554,(dp)) (135-sesquisquare,2')\n(H3,142.582,(r)) (Uranus,7.471,(dr)) (135-sesquisquare,7')\n(H3,142.582,(r)) (Neptune,277.783,(cp)) (135-sesquisquare,12')\n(H3,142.582,(r)) (Neptune,277.759,(cr)) (135-sesquisquare,11')", '3', "(Mars,21.409,(r)) (Moon,246.657,(dp)) (135-sesquisquare,15')\n(Mean_Node,121.337,(r)) (Moon,241.336,(dr)) (trine,0')\n(H3,142.582,(r)) (Mercury,7.383,(cr)) (135-sesquisquare,12')\n(H10,357.028,(r)) (Mars,27.211,(cr)) (30-semisextile,11')", "(Jupiter,34.736,(r)) (Moon,154.949,(dr)) (trine,13')\n(H3,142.582,(r)) (Uranus,22.645,(dp)) (trine,4')\n(H3,142.582,(r)) (Uranus,22.592,(dr)) (trine,1')\n(H10,357.028,(r)) (Mercury,356.930,(dp)) (conjunction,6')\n(Moon,57.019,(r)) (Moon,327.195,(cp)) (square,11')\n(Venus,327.480,(r)) (Moon,327.195,(cp)) (conjunction,17')\n(H10,357.028,(r)) (Moon,327.195,(cp)) (30-semisextile,10')", "(H3,142.582,(r)) (Uranus,22.667,(dp)) (trine,5')\n(H3,142.582,(r)) (Uranus,22.571,(dr)) (trine,1')", "(H1,76.534,(r)) (Neptune,346.369,(dp)) (square,10')\n(H1,76.534,(r)) (Neptune,346.354,(dr)) (square,11')\n(H3,142.582,(r)) (Pluto,292.699,(dp)) (150-quincunx,7')\n(H3,142.582,(r)) (Pluto,292.691,(dr)) (150-quincunx,7')\n(H10,357.028,(r)) (Mercury,356.833,(dr)) (conjunction,12')\n(H3,142.582,(r)) (Saturn,187.616,(cp)) (45-semisquare,2')\n(H3,142.582,(r)) (Saturn,187.644,(cr)) (45-semisquare,4')", "(Mean_Node,121.337,(r)) (Moon,61.049,(dp)) (sextile,17')\n(H1,76.534,(r)) (Neptune,346.378,(dp)) (square,9')\n(H1,76.534,(r)) (Neptune,346.346,(dr)) (square,11')\n(H3,142.582,(r)) (Pluto,292.704,(dp)) (150-quincunx,7')\n(H3,142.582,(r)) (Pluto,292.687,(dr)) (150-quincunx,6')\n(H10,357.028,(r)) (Mercury,357.012,(dr)) (conjunction,1')\n(H3,142.582,(r)) (Saturn,187.600,(cp)) (45-semisquare,1')\n(H3,142.582,(r)) (Saturn,187.661,(cr)) (45-semisquare,5')", "(Mercury,333.394,(r)) (Moon,333.667,(dp)) (conjunction,16')\n(Mean_Node,121.337,(r)) (Moon,151.619,(cp)) (30-semisextile,17')", "(H9,322.582,(r)) (Mercury,7.720,(cr)) (45-semisquare,8')", "(H3,142.582,(r)) (Moon,322.386,(dr)) (opposition,12')\n(Sun,351.166,(r)) (Moon,141.007,(cr)) (150-quincunx,10')\n(H3,142.582,(r)) (Mercury,7.466,(cr)) (135-sesquisquare,7')", "(H9,322.582,(r)) (Neptune,352.812,(dr)) (30-semisextile,14')\n(H10,357.028,(r)) (Uranus,41.972,(dp)) (45-semisquare,3')\n(H10,357.028,(r)) (Uranus,41.956,(dr)) (45-semisquare,4')\n(Mars,21.409,(r)) (Moon,21.858,(cr)) (conjunction,27')\n(H9,322.582,(r)) (Mars,112.775,(cr)) (150-quincunx,12')", "(Jupiter,34.736,(r)) (Moon,214.993,(dr)) (opposition,15')", "(Jupiter,34.736,(r)) (Moon,214.678,(dr)) (opposition,3')\n(H3,142.582,(r)) (Moon,262.348,(cp)) (trine,14')", "(Neptune,305.687,(r)) (Moon,350.466,(cp)) (45-semisquare,13')\n(Pluto,252.897,(r)) (Moon,342.934,(cr)) (square,2')\n(H8,288.074,(r)) (Mars,333.253,(cr)) (45-semisquare,11')", "(Sun,351.166,(r)) (Moon,21.204,(cr)) (30-semisextile,2')\n(Mars,21.409,(r)) (Moon,21.204,(cr)) (conjunction,12')", "(Mercury,333.394,(r)) (Moon,18.415,(dr)) (45-semisquare,1')\n(Uranus,318.705,(r)) (Moon,18.415,(dr)) (sextile,17')\n(H1,76.534,(r)) (Venus,346.548,(dp)) (square,1')\n(H1,76.534,(r)) (Venus,346.468,(cp)) (square,4')", '18', 64]
['2000-03-11 03:02:07', '0', "(Venus,327.088,(r)) (Moon,297.220,(cr)) (30-semisextile,8')\n(Pluto,252.897,(r)) (Moon,297.755,(cp)) (45-semisquare,8')", "(Mars,21.173,(r)) (Moon,336.187,(dr)) (45-semisquare,1')", "(H3,32.793,(r)) (Venus,3.016,(cp)) (30-semisextile,13')\n(H3,32.793,(r)) (Venus,2.928,(cr)) (30-semisextile,8')\n(H4,64.622,(r)) (Jupiter,334.509,(cp)) (square,7')\n(H4,64.622,(r)) (Jupiter,334.493,(cr)) (square,8')", "(H3,32.793,(r)) (Moon,242.614,(dp)) (150-quincunx,11')\n(H3,32.793,(r)) (Uranus,257.928,(cp)) (135-sesquisquare,8')\n(H3,32.793,(r)) (Uranus,257.923,(cr)) (135-sesquisquare,8')\n(H10,244.622,(r)) (Pluto,214.430,(cp)) (30-semisextile,12')\n(H10,244.622,(r)) (Pluto,214.438,(cr)) (30-semisextile,11')", "(H3,32.793,(r)) (Mean_Node,152.574,(dr)) (trine,13')", "(Jupiter,34.672,(r)) (Moon,169.922,(dp)) (135-sesquisquare,15')\n(H3,32.793,(r)) (Mean_Node,152.596,(dr)) (trine,12')\n(Sun,350.849,(r)) (Moon,305.892,(cr)) (45-semisquare,3')\n(H4,64.622,(r)) (Venus,19.534,(cr)) (45-semisquare,5')", "(Uranus,318.689,(r)) (Moon,48.948,(dr)) (square,16')", "(H3,32.793,(r)) (Moon,62.607,(cp)) (30-semisextile,11')", '9', "(Mercury,333.516,(r)) (Moon,332.990,(dp)) (conjunction,32')\n(H10,244.622,(r)) (Mars,64.491,(dp)) (opposition,8')", "(Uranus,318.689,(r)) (Moon,318.247,(dr)) (conjunction,27')\n(H3,32.793,(r)) (Mean_Node,167.577,(cr)) (135-sesquisquare,13')", '12', "(H3,32.793,(r)) (Moon,257.544,(cp)) (135-sesquisquare,15')\n(H3,32.793,(r)) (Mercury,347.720,(cp)) (45-semisquare,4')", "(H3,32.793,(r)) (Moon,257.890,(cp)) (135-sesquisquare,6')\n(H3,32.793,(r)) (Mercury,347.766,(cp)) (45-semisquare,2')", "(Uranus,318.689,(r)) (Moon,348.544,(dp)) (30-semisextile,9')\n(Mean_Node,121.353,(r)) (Moon,346.606,(cp)) (135-sesquisquare,15')", "(H1,335.559,(r)) (Pluto,245.599,(dp)) (square,2')\n(H1,335.559,(r)) (Pluto,245.601,(dr)) (square,3')\n(H1,335.559,(r)) (Pluto,245.600,(cp)) (square,2')\n(H1,335.559,(r)) (Pluto,245.601,(cr)) (square,3')", "(Mercury,333.516,(r)) (Moon,33.544,(dp)) (sextile,2')\n(H1,335.559,(r)) (Pluto,245.599,(dp)) (square,2')\n(H1,335.559,(r)) (Pluto,245.601,(dr)) (square,3')\n(Pluto,252.897,(r)) (Moon,12.789,(cr)) (trine,6')\n(H1,335.559,(r)) (Pluto,245.599,(cp)) (square,2')\n(H1,335.559,(r)) (Pluto,245.601,(cr)) (square,3')", "(Venus,327.088,(r)) (Moon,207.291,(dp)) (trine,12')\n(Saturn,43.304,(r)) (Moon,178.449,(dr)) (135-sesquisquare,9')\n(H1,335.559,(r)) (Venus,35.632,(dr)) (sextile,4')\n(H4,64.622,(r)) (Mean_Node,94.468,(dp)) (30-semisextile,9')\n(H4,64.622,(r)) (Mean_Node,94.569,(dr)) (30-semisextile,3')\n(H1,335.559,(r)) (Venus,35.761,(cp)) (sextile,12')", 45]
['2000-03-11 12:58:31', "(Sun,351.262,(r)) (Moon,36.156,(dr)) (45-semisquare,6')\n(H1,109.090,(r)) (Saturn,153.924,(dr)) (45-semisquare,10')\n(H3,182.544,(r)) (Mars,92.603,(dp)) (square,4')\n(Mars,21.481,(r)) (Moon,66.460,(cr)) (45-semisquare,1')\n(H3,182.544,(r)) (Mars,317.514,(cp)) (135-sesquisquare,2')\n(H10,34.431,(r)) (Moon,79.712,(cp)) (45-semisquare,17')", "(Mean_Node,121.332,(r)) (Moon,181.093,(dp)) (sextile,14')\n(H3,182.544,(r)) (Moon,302.778,(cp)) (trine,14')\n(H3,182.544,(r)) (Moon,302.267,(cr)) (trine,17')", "(H3,182.544,(r)) (Moon,2.183,(dp)) (opposition,22')\n(Mercury,333.359,(r)) (Moon,123.296,(cr)) (150-quincunx,4')\n(Mars,21.481,(r)) (Moon,141.646,(cp)) (trine,10')", "(Mean_Node,121.332,(r)) (Moon,120.847,(dp)) (conjunction,29')\n(H4,214.431,(r)) (Jupiter,334.607,(cp)) (trine,11')\n(H4,214.431,(r)) (Jupiter,334.591,(cr)) (trine,10')", "(H3,182.544,(r)) (Moon,242.567,(dr)) (sextile,1')\n(Mars,21.481,(r)) (Moon,231.736,(cr)) (150-quincunx,15')\n(H10,34.431,(r)) (Pluto,214.422,(cp)) (opposition,1')\n(H10,34.431,(r)) (Pluto,214.430,(cr)) (opposition,0')", "(Jupiter,34.756,(r)) (Moon,169.630,(dp)) (135-sesquisquare,8')\n(H3,182.544,(r)) (Mean_Node,152.497,(dp)) (30-semisextile,3')\n(H3,182.544,(r)) (Mean_Node,152.552,(dr)) (30-semisextile,0')\n(H10,34.431,(r)) (Moon,169.630,(dp)) (135-sesquisquare,12')\n(Moon,58.373,(r)) (Moon,328.362,(cp)) (square,1')", "(H3,182.544,(r)) (Mean_Node,152.474,(dp)) (30-semisextile,4')\n(H3,182.544,(r)) (Mean_Node,152.574,(dr)) (30-semisextile,2')\n(H7,289.090,(r)) (Pluto,289.029,(dp)) (conjunction,4')\n(H7,289.090,(r)) (Pluto,288.992,(dr)) (conjunction,6')\n(Mercury,333.359,(r)) (Moon,333.509,(cp)) (conjunction,9')", "(H3,182.544,(r)) (Mars,47.588,(dp)) (135-sesquisquare,3')\n(H3,182.544,(r)) (Mars,47.327,(dr)) (135-sesquisquare,13')", "(Sun,351.262,(r)) (Moon,51.395,(dr)) (sextile,8')\n(Mars,21.481,(r)) (Moon,51.395,(dr)) (30-semisextile,5')\n(H3,182.544,(r)) (Moon,62.304,(dp)) (trine,14')\n(H3,182.544,(r)) (Mars,47.742,(dp)) (135-sesquisquare,12')", "(Mercury,333.359,(r)) (Moon,333.107,(dr)) (conjunction,15')\n(H10,34.431,(r)) (Mars,64.579,(dp)) (30-semisextile,9')\n(H10,34.431,(r)) (Mars,64.497,(dr)) (30-semisextile,4')\n(Mean_Node,121.332,(r)) (Moon,151.102,(cr)) (30-semisextile,14')\n(H3,182.544,(r)) (Moon,152.765,(cp)) (30-semisextile,13')", "(H10,34.431,(r)) (Mars,64.346,(dr)) (30-semisextile,5')\n(Neptune,305.690,(r)) (Moon,155.817,(cp)) (150-quincunx,8')", "(H1,109.090,(r)) (Venus,348.981,(dp)) (trine,7')\n(H1,109.090,(r)) (Jupiter,319.232,(dp)) (150-quincunx,9')\n(H1,109.090,(r)) (Jupiter,318.876,(dr)) (150-quincunx,13')", "(Pluto,252.898,(r)) (Moon,102.814,(dp)) (150-quincunx,5')\n(H10,34.431,(r)) (Mars,304.577,(dp)) (square,9')\n(H10,34.431,(r)) (Mars,304.273,(dr)) (square,10')", "(Sun,351.262,(r)) (Moon,216.240,(dr)) (135-sesquisquare,1')\n(Mean_Node,121.332,(r)) (Moon,241.571,(dp)) (trine,14')", "(H1,109.090,(r)) (Mercury,348.860,(dp)) (trine,14')", "(Mean_Node,121.332,(r)) (Moon,346.076,(dr)) (135-sesquisquare,15')\n(H1,109.090,(r)) (Mars,333.939,(dp)) (135-sesquisquare,9')\n(H8,325.567,(r)) (Uranus,295.345,(dp)) (30-semisextile,13')\n(Sun,351.262,(r)) (Moon,351.639,(cp)) (conjunction,23')\n(Mars,21.481,(r)) (Moon,351.639,(cp)) (30-semisextile,9')\n(H8,325.567,(r)) (Uranus,295.339,(cp)) (30-semisextile,14')", "(Neptune,305.690,(r)) (Moon,35.758,(dp)) (square,4')\n(H4,214.431,(r)) (Moon,34.743,(cp)) (opposition,19')", "(Uranus,318.710,(r)) (Moon,18.881,(cr)) (sextile,10')\n(H1,109.090,(r)) (Moon,18.881,(cr)) (square,13')", "(H4,214.431,(r)) (Mean_Node,94.446,(dp)) (trine,1')\n(H4,214.431,(r)) (Mean_Node,94.547,(dr)) (trine,7')\n(Sun,351.262,(r)) (Moon,290.993,(cp)) (sextile,16')\n(H8,325.567,(r)) (Uranus,235.505,(cp)) (square,4')\n(H8,325.567,(r)) (Moon,265.535,(cr)) (sextile,2')\n(H8,325.567,(r)) (Uranus,235.523,(cr)) (square,3')", 67]
['2000-03-11 07:40:00', "(H3,97.611,(r)) (Neptune,322.811,(dp)) (135-sesquisquare,12')\n(H3,97.611,(r)) (Neptune,322.777,(dr)) (135-sesquisquare,10')\n(Mercury,333.440,(r)) (Moon,63.477,(cr)) (square,2')", "(Venus,327.326,(r)) (Moon,177.448,(dr)) (150-quincunx,7')\n(H7,217.608,(r)) (Uranus,352.525,(dp)) (135-sesquisquare,5')\n(H7,217.608,(r)) (Uranus,352.522,(dr)) (135-sesquisquare,5')", "(H1,37.608,(r)) (Uranus,7.547,(dp)) (30-semisextile,4')\n(H1,37.608,(r)) (Uranus,7.464,(dr)) (30-semisextile,9')\n(H3,97.611,(r)) (Uranus,7.547,(dp)) (square,4')\n(H3,97.611,(r)) (Uranus,7.464,(dr)) (square,9')\n(Uranus,318.699,(r)) (Moon,138.937,(cp)) (opposition,14')\n(H1,37.608,(r)) (Neptune,277.781,(cp)) (trine,10')\n(H1,37.608,(r)) (Neptune,277.757,(cr)) (trine,9')\n(H3,97.611,(r)) (Neptune,277.781,(cp)) (opposition,10')\n(H3,97.611,(r)) (Neptune,277.757,(cr)) (opposition,9')\n(H10,309.874,(r)) (Pluto,219.733,(cp)) (square,8')\n(H10,309.874,(r)) (Pluto,219.757,(cr)) (square,7')", "(Venus,327.326,(r)) (Moon,117.411,(dr)) (150-quincunx,5')\n(Mercury,333.440,(r)) (Moon,3.476,(cr)) (30-semisextile,2')\n(Uranus,318.699,(r)) (Moon,3.476,(cr)) (45-semisquare,13')", "(H1,37.608,(r)) (Neptune,337.799,(dp)) (sextile,11')\n(H1,37.608,(r)) (Neptune,337.784,(dr)) (sextile,11')\n(H3,97.611,(r)) (Neptune,337.799,(dp)) (trine,11')\n(H3,97.611,(r)) (Neptune,337.784,(dr)) (trine,10')\n(Uranus,318.699,(r)) (Moon,228.546,(cr)) (square,9')\n(H1,37.608,(r)) (Mercury,7.834,(cp)) (30-semisextile,14')\n(H3,97.611,(r)) (Mercury,7.834,(cp)) (square,13')", "(Mercury,333.440,(r)) (Moon,153.300,(dr)) (opposition,8')\n(H10,309.874,(r)) (Mercury,354.665,(dr)) (45-semisquare,13')", "(Venus,327.326,(r)) (Moon,147.681,(dr)) (opposition,21')\n(H7,217.608,(r)) (Moon,172.406,(dp)) (45-semisquare,12')\n(H4,129.874,(r)) (Mercury,339.671,(cp)) (150-quincunx,12')", "(Mars,21.316,(r)) (Moon,51.424,(dr)) (30-semisextile,6')\n(H1,37.608,(r)) (Saturn,187.625,(cp)) (150-quincunx,1')\n(H1,37.608,(r)) (Saturn,187.654,(cr)) (150-quincunx,3')\n(H3,97.611,(r)) (Saturn,187.625,(cp)) (square,1')\n(H3,97.611,(r)) (Saturn,187.654,(cr)) (square,3')\n(H10,309.874,(r)) (Neptune,264.790,(cp)) (45-semisquare,5')\n(H10,309.874,(r)) (Neptune,264.787,(cr)) (45-semisquare,5')", "(Uranus,318.699,(r)) (Moon,48.557,(dr)) (square,8')\n(H1,37.608,(r)) (Saturn,187.609,(cp)) (150-quincunx,0')\n(H1,37.608,(r)) (Saturn,187.670,(cr)) (150-quincunx,4')\n(H3,97.611,(r)) (Saturn,187.609,(cp)) (square,0')\n(H3,97.611,(r)) (Saturn,187.670,(cr)) (square,4')\n(H10,309.874,(r)) (Neptune,264.792,(cp)) (45-semisquare,5')\n(H10,309.874,(r)) (Neptune,264.785,(cr)) (45-semisquare,5')", "(H1,37.608,(r)) (Mercury,7.785,(cr)) (30-semisextile,11')\n(H3,97.611,(r)) (Mercury,7.785,(cr)) (square,10')\n(H10,309.874,(r)) (Saturn,159.731,(cp)) (150-quincunx,9')\n(H10,309.874,(r)) (Saturn,159.742,(cr)) (150-quincunx,8')", "(Neptune,305.683,(r)) (Moon,335.453,(dp)) (30-semisextile,14')\n(Mercury,333.440,(r)) (Moon,153.190,(cp)) (opposition,15')\n(H1,37.608,(r)) (Mercury,7.659,(cr)) (30-semisextile,3')\n(H9,277.611,(r)) (Mercury,7.659,(cr)) (square,3')\n(H10,309.874,(r)) (Mars,339.782,(cp)) (30-semisextile,5')\n(H10,309.874,(r)) (Saturn,159.711,(cp)) (150-quincunx,10')\n(H10,309.874,(r)) (Saturn,159.763,(cr)) (150-quincunx,7')", "(Sun,351.041,(r)) (Moon,320.765,(dr)) (30-semisextile,17')\n(H1,37.608,(r)) (Mercury,7.396,(cr)) (30-semisextile,13')\n(H3,97.611,(r)) (Mercury,7.396,(cr)) (square,13')", "(H1,37.608,(r)) (Neptune,352.823,(dp)) (45-semisquare,13')\n(H1,37.608,(r)) (Neptune,352.808,(dr)) (45-semisquare,12')", "(Mercury,333.440,(r)) (Moon,213.389,(dr)) (trine,3')\n(H3,97.611,(r)) (Moon,232.759,(cr)) (135-sesquisquare,9')", "(H3,97.611,(r)) (Moon,232.398,(cr)) (135-sesquisquare,13')", "(Sun,351.041,(r)) (Moon,350.888,(dp)) (conjunction,9')\n(Saturn,43.322,(r)) (Moon,343.361,(dr)) (sextile,2')\n(Neptune,305.683,(r)) (Moon,350.888,(dp)) (45-semisquare,12')\n(Uranus,318.699,(r)) (Moon,348.954,(cp)) (30-semisextile,15')", "(H1,37.608,(r)) (Saturn,7.798,(dr)) (30-semisextile,11')\n(Mean_Node,121.343,(r)) (Moon,31.614,(cp)) (square,16')\n(H1,37.608,(r)) (Saturn,7.789,(cr)) (30-semisextile,11')", "(Sun,351.041,(r)) (Moon,36.264,(dp)) (45-semisquare,13')", "(Mean_Node,121.343,(r)) (Moon,181.417,(dr)) (sextile,4')\n(H1,37.608,(r)) (Neptune,262.631,(cp)) (135-sesquisquare,1')\n(H1,37.608,(r)) (Moon,262.649,(cr)) (135-sesquisquare,2')\n(H1,37.608,(r)) (Neptune,262.617,(cr)) (135-sesquisquare,1')", 77]
