['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 02:53:20', "(H5,135.666,(r)) (Sun,315.507,(c)) (opposition,9.56')", "(H10,293.218,(r)) (Pluto,113.324,(d)) (opposition,6.33')\n(Sun,60.567,(r)) (Mars,240.593,(c)) (opposition,1.61')", '2', '3', "(Moon,315.934,(r)) (H10,315.771,(d)) (conjunction,9.77')", '5', "(Sun,60.567,(r)) (Pluto,300.520,(c)) (trine,2.77')\n(H5,135.666,(r)) (Jupiter,75.594,(c)) (sextile,4.33')", "(H4,113.218,(r)) (Moon,23.178,(d)) (square,2.40')", "(Jupiter,123.685,(r)) (H1,303.773,(c)) (opposition,5.31')", '9', 8]
['1813-05-22 04:53:36', '0', "(Mars,303.901,(r)) (Sun,123.738,(d)) (opposition,9.81')", "(Mean_Node,134.339,(r)) (H10,314.501,(c)) (opposition,9.68')", '3', "(Moon,317.002,(r)) (POF,317.003,(c)) (conjunction,0.02')\n(Venus,59.776,(r)) (H10,299.858,(c)) (trine,4.91')", "(Moon,317.002,(r)) (Saturn,317.075,(d)) (conjunction,4.37')", '6', "(Pluto,350.507,(r)) (Neptune,170.371,(c)) (opposition,8.14')", '8', '9', 6]
['1813-05-22 07:52:07', '0', "(Pluto,350.508,(r)) (Mars,350.521,(d)) (conjunction,0.75')", '2', "(H10,10.845,(r)) (Mercury,10.842,(c)) (conjunction,0.16')", '4', "(H8,320.232,(r)) (Pluto,320.175,(c)) (conjunction,3.42')", '6', "(Jupiter,123.716,(r)) (Pluto,303.663,(c)) (opposition,3.17')\n(H7,303.679,(r)) (Pluto,303.663,(c)) (conjunction,0.95')", "(Venus,59.928,(r)) (Moon,359.879,(d)) (sextile,2.95')", '9', 6]
['1813-05-22 20:25:52', "(POF,162.152,(r)) (Mercury,342.037,(c)) (opposition,6.91')", "(Uranus,235.713,(r)) (H8,55.663,(c)) (opposition,3.00')", "(Mean_Node,134.305,(r)) (Mercury,44.295,(d)) (square,0.62')\n(Mars,304.151,(r)) (Mean_Node,124.081,(c)) (opposition,4.18')", "(Venus,60.572,(r)) (H7,60.712,(c)) (conjunction,8.39')", "(Venus,60.572,(r)) (H7,60.437,(c)) (conjunction,8.07')", "(Moon,325.368,(r)) (H4,55.397,(d)) (square,1.75')", "(H4,20.485,(r)) (Sun,20.536,(c)) (conjunction,3.07')", '7', "(POF,162.152,(r)) (Uranus,282.228,(d)) (trine,4.52')", "(H5,44.438,(r)) (Uranus,284.500,(d)) (trine,3.74')", 10]
['1813-05-22 05:54:00', '0', "(Mars,303.917,(r)) (Sun,123.930,(d)) (opposition,0.77')\n(Neptune,254.570,(r)) (POF,74.606,(d)) (opposition,2.15')\n(Mean_Node,134.337,(r)) (Neptune,314.436,(d)) (opposition,5.92')", '2', '3', "(H10,338.735,(r)) (Moon,338.722,(d)) (conjunction,0.78')", "(Mars,303.917,(r)) (H4,123.891,(c)) (opposition,1.62')", '6', '7', '8', "(Uranus,235.738,(r)) (POF,295.745,(c)) (sextile,0.38')\n(Mean_Node,134.337,(r)) (Jupiter,74.332,(c)) (sextile,0.29')\n(H5,193.712,(r)) (Mars,253.709,(c)) (sextile,0.15')", 8]
['1813-05-22 11:43:20', "(Venus,60.125,(r)) (Uranus,180.105,(c)) (trine,1.25')\n(Mars,304.011,(r)) (Venus,3.939,(c)) (sextile,4.34')", "(Sun,60.920,(r)) (H8,60.816,(d)) (conjunction,6.24')\n(Mean_Node,134.324,(r)) (H10,134.185,(d)) (conjunction,8.38')", '2', '3', "(Uranus,235.728,(r)) (Mean_Node,115.640,(c)) (trine,5.26')", "(H8,6.344,(r)) (Pluto,6.510,(d)) (conjunction,9.97')\n(Moon,320.661,(r)) (H1,140.486,(c)) (opposition,10.49')", "(Uranus,235.728,(r)) (Mean_Node,175.681,(d)) (sextile,2.84')\n(H5,286.444,(r)) (Jupiter,166.518,(d)) (trine,4.46')", '7', "(Uranus,235.728,(r)) (H5,235.627,(c)) (conjunction,6.09')", '9', 10]
['1813-05-22 12:43:12', "(H10,83.512,(r)) (Mercury,83.457,(d)) (conjunction,3.27')", "(H8,18.324,(r)) (Moon,18.191,(d)) (conjunction,7.98')", '2', "(H10,83.512,(r)) (Jupiter,143.482,(d)) (sextile,1.81')", "(H7,355.006,(r)) (Mercury,54.914,(d)) (sextile,5.53')", "(Moon,321.198,(r)) (H4,231.229,(c)) (square,1.88')", '6', "(Mars,304.027,(r)) (POF,123.933,(d)) (opposition,5.67')\n(Venus,60.177,(r)) (Saturn,240.158,(c)) (opposition,1.13')\n(Pluto,350.510,(r)) (Mercury,350.464,(c)) (conjunction,2.77')", "(Pluto,350.510,(r)) (Jupiter,170.490,(d)) (opposition,1.23')\n(H5,299.605,(r)) (Mean_Node,179.532,(d)) (trine,4.39')", '9', 10]
['1813-05-22 19:09:59', '0', "(Mean_Node,134.308,(r)) (H1,314.382,(d)) (opposition,4.43')\n(Sun,61.218,(r)) (Mars,241.234,(c)) (opposition,0.93')", "(Mean_Node,134.308,(r)) (Jupiter,134.275,(d)) (conjunction,1.97')", "(H10,179.888,(r)) (Moon,299.883,(c)) (trine,0.30')", '4', "(H8,98.240,(r)) (Mean_Node,98.222,(c)) (conjunction,1.06')", "(Jupiter,123.786,(r)) (Pluto,303.922,(c)) (opposition,8.15')", "(Pluto,350.513,(r)) (Mercury,350.683,(c)) (conjunction,10.17')", "(Mean_Node,134.308,(r)) (H5,74.255,(d)) (sextile,3.18')", "(H5,27.413,(r)) (Mean_Node,207.368,(d)) (opposition,2.69')\n(Mean_Node,134.308,(r)) (Uranus,194.329,(c)) (sextile,1.27')", 10]
['1813-05-22 08:29:20', "(Venus,59.960,(r)) (Pluto,300.015,(c)) (trine,3.31')\n(Pluto,350.508,(r)) (Venus,350.567,(c)) (conjunction,3.52')", "(H8,327.584,(r)) (Mars,237.676,(c)) (square,5.53')", '2', "(Moon,318.925,(r)) (Uranus,258.950,(d)) (sextile,1.48')", "(Mercury,35.817,(r)) (Moon,335.867,(d)) (sextile,2.99')", "(Saturn,288.914,(r)) (Mean_Node,108.947,(c)) (opposition,1.94')", '6', "(Mars,303.959,(r)) (Pluto,303.975,(c)) (conjunction,0.95')", '8', "(Venus,59.960,(r)) (Moon,359.893,(d)) (sextile,4.02')", 8]
['1813-05-22 08:46:08', "(Venus,59.974,(r)) (Moon,0.029,(d)) (sextile,3.31')", '1', "(Mars,303.964,(r)) (H10,33.996,(d)) (square,1.96')", '3', "(Moon,319.076,(r)) (Uranus,259.103,(d)) (sextile,1.66')", "(Venus,59.974,(r)) (H4,239.834,(d)) (opposition,8.38')\n(Mars,303.964,(r)) (H8,303.982,(c)) (conjunction,1.08')", "(Pluto,350.509,(r)) (Mean_Node,170.498,(d)) (opposition,0.65')\n(H5,244.715,(r)) (Pluto,304.784,(c)) (sextile,4.18')", "(Mars,303.964,(r)) (Pluto,304.110,(c)) (conjunction,8.78')", "(Sun,60.802,(r)) (H5,180.709,(c)) (trine,5.60')", '9', 9]
['1813-05-22 15:31:28', '0', "(POF,106.385,(r)) (Mars,16.461,(d)) (square,4.58')", "(Saturn,288.904,(r)) (H1,198.961,(c)) (square,3.42')", "(Mean_Node,134.316,(r)) (Uranus,254.271,(d)) (trine,2.67')", "(H5,337.138,(r)) (Mean_Node,157.192,(d)) (opposition,3.24')", '5', '6', "(Mars,304.072,(r)) (Neptune,304.166,(d)) (conjunction,5.62')\n(POF,106.385,(r)) (Venus,106.553,(d)) (conjunction,10.09')\n(Neptune,254.559,(r)) (H4,254.512,(c)) (conjunction,2.87')", '8', "(Venus,60.320,(r)) (H4,0.384,(d)) (sextile,3.82')\n(Jupiter,123.763,(r)) (H1,243.805,(d)) (trine,2.49')\n(Uranus,235.722,(r)) (POF,55.551,(c)) (opposition,10.24')", 10]
['1813-05-22 00:54:23', "(Moon,314.879,(r)) (Mean_Node,74.816,(c)) (trine,3.77')", '1', "(Sun,60.487,(r)) (H1,330.430,(c)) (square,3.42')", "(H10,265.639,(r)) (POF,265.783,(d)) (conjunction,8.66')", "(Jupiter,123.672,(r)) (H7,123.748,(c)) (conjunction,4.51')", "(Neptune,254.575,(r)) (Pluto,74.468,(d)) (opposition,6.42')\n(Saturn,288.926,(r)) (H1,289.018,(c)) (conjunction,5.51')", '6', "(Moon,314.879,(r)) (H4,134.702,(d)) (opposition,10.58')\n(Mean_Node,134.348,(r)) (Moon,44.273,(d)) (square,4.49')", '8', '9', 8]
['1813-05-21 23:40:08', "(Jupiter,123.665,(r)) (H7,243.579,(d)) (trine,5.17')", '1', "(H10,248.377,(r)) (Sun,68.534,(d)) (opposition,9.40')\n(Sun,60.438,(r)) (H10,240.553,(c)) (opposition,6.90')", '3', "(Venus,59.508,(r)) (H7,179.534,(d)) (trine,1.58')\n(Mercury,35.403,(r)) (Venus,35.251,(c)) (conjunction,9.10')", "(POF,204.760,(r)) (H1,24.844,(d)) (opposition,5.04')\n(H4,68.377,(r)) (POF,248.231,(d)) (opposition,8.77')", "(Uranus,235.749,(r)) (H4,115.785,(d)) (trine,2.15')", "(Neptune,254.576,(r)) (Mars,254.543,(c)) (conjunction,2.00')\n(Neptune,254.576,(r)) (H7,74.693,(c)) (opposition,7.00')", '8', '9', 10]
['1813-05-22 14:01:52', '0', "(Pluto,350.511,(r)) (H10,170.621,(d)) (opposition,6.58')", '2', '3', '4', "(Sun,61.012,(r)) (H8,60.924,(d)) (conjunction,5.33')\n(Mean_Node,134.319,(r)) (H4,314.319,(d)) (opposition,0.00')", '6', "(Jupiter,123.754,(r)) (Neptune,303.634,(d)) (opposition,7.19')", "(Moon,321.905,(r)) (POF,141.756,(d)) (opposition,8.92')\n(Jupiter,123.754,(r)) (Pluto,303.823,(c)) (opposition,4.13')", "(Pluto,350.511,(r)) (Venus,110.580,(d)) (trine,4.12')\n(Pluto,350.511,(r)) (Mercury,350.618,(c)) (conjunction,6.40')", 8]
['1813-05-22 01:42:31', "(Jupiter,123.677,(r)) (H5,63.726,(c)) (sextile,2.92')", "(Mars,303.850,(r)) (Sun,123.871,(d)) (opposition,1.30')\n(H8,236.721,(r)) (Moon,56.613,(d)) (opposition,6.45')\n(H10,276.715,(r)) (Saturn,6.721,(d)) (square,0.37')", "(Mars,303.850,(r)) (Mean_Node,124.003,(c)) (opposition,9.21')", "(Venus,59.612,(r)) (H7,239.462,(d)) (opposition,9.01')", "(Moon,315.305,(r)) (H10,255.393,(c)) (sextile,5.24')", "(Venus,59.612,(r)) (POF,239.738,(c)) (opposition,7.55')", '6', '7', '8', '9', 8]
['1813-05-22 08:18:32', "(Uranus,235.734,(r)) (Mean_Node,175.753,(d)) (sextile,1.12')\n(Mean_Node,134.332,(r)) (H10,74.356,(d)) (sextile,1.46')\n(Venus,59.951,(r)) (Pluto,299.880,(c)) (trine,4.22')", "(Saturn,288.915,(r)) (Pluto,288.995,(c)) (conjunction,4.81')", "(Mean_Node,134.332,(r)) (H1,134.203,(d)) (conjunction,7.71')\n(Moon,318.829,(r)) (H8,318.956,(c)) (conjunction,7.65')\n(H1,128.392,(r)) (Mean_Node,128.274,(c)) (conjunction,7.04')", "(Mercury,35.808,(r)) (Moon,335.739,(d)) (sextile,4.14')\n(H5,237.397,(r)) (Mean_Node,117.399,(c)) (trine,0.13')", '4', '5', '6', "(Mars,303.956,(r)) (Pluto,303.887,(c)) (conjunction,4.19')\n(Jupiter,123.718,(r)) (Pluto,303.887,(c)) (opposition,10.09')", "(Moon,318.829,(r)) (Jupiter,78.745,(c)) (trine,5.03')", "(Moon,318.829,(r)) (H4,138.915,(c)) (opposition,5.13')", 13]
['1813-05-22 15:05:11', "(Moon,322.474,(r)) (Mean_Node,82.565,(c)) (trine,5.48')", '1', "(Saturn,288.904,(r)) (H10,108.735,(c)) (opposition,10.14')\n(H10,116.505,(r)) (Mars,296.658,(c)) (opposition,9.18')", "(Mercury,36.131,(r)) (H7,36.095,(d)) (conjunction,2.15')\n(Jupiter,123.761,(r)) (POF,123.711,(d)) (conjunction,2.98')", "(Jupiter,123.761,(r)) (H7,3.786,(c)) (trine,1.53')", "(Mean_Node,134.317,(r)) (Neptune,224.377,(c)) (square,3.60')", '6', "(Mars,304.065,(r)) (Neptune,304.000,(d)) (conjunction,3.95')", '8', '9', 8]
['1813-05-22 06:50:31', '0', '1', '2', "(Mercury,35.739,(r)) (POF,35.907,(d)) (conjunction,10.09')\n(H5,211.829,(r)) (Sun,31.719,(c)) (opposition,6.61')", '4', "(Mean_Node,134.335,(r)) (Saturn,314.293,(d)) (opposition,2.53')\n(Moon,318.044,(r)) (H4,137.941,(c)) (opposition,6.16')\n(Jupiter,123.709,(r)) (Neptune,213.767,(c)) (square,3.49')", "(Mars,303.933,(r)) (Pluto,304.065,(c)) (conjunction,7.94')\n(Mars,303.933,(r)) (H1,63.998,(c)) (trine,3.95')", '7', '8', '9', 7]
['1813-05-22 04:50:39', "(H10,322.108,(r)) (Mean_Node,82.135,(c)) (trine,1.63')", "(Mars,303.900,(r)) (Sun,123.729,(d)) (opposition,10.31')\n(H8,283.741,(r)) (Pluto,283.771,(c)) (conjunction,1.82')", "(Sun,60.645,(r)) (H10,330.652,(d)) (square,0.41')", '3', "(H5,172.659,(r)) (Mean_Node,112.619,(c)) (sextile,2.44')", "(Saturn,288.920,(r)) (H4,108.779,(c)) (opposition,8.47')", "(Pluto,350.507,(r)) (Jupiter,170.331,(d)) (opposition,10.53')", '7', "(H1,87.505,(r)) (Moon,267.532,(c)) (opposition,1.62')", "(Sun,60.645,(r)) (H5,240.747,(d)) (opposition,6.10')", 9]
['1813-05-21 23:57:12', '0', "(POF,212.395,(r)) (H12,32.274,(d)) (opposition,7.22')\n(H1,318.472,(r)) (Saturn,228.477,(c)) (square,0.35')", '2', '3', '4', "(Mars,303.821,(r)) (H1,33.768,(d)) (square,3.18')", '6', "(Neptune,254.576,(r)) (Mars,254.663,(c)) (conjunction,5.23')", "(Venus,59.523,(r)) (Moon,59.480,(d)) (conjunction,2.54')\n(Moon,314.372,(r)) (POF,134.399,(c)) (opposition,1.61')\n(Mean_Node,134.350,(r)) (POF,134.399,(c)) (conjunction,2.92')", "(Jupiter,123.667,(r)) (H4,123.826,(d)) (conjunction,9.54')", 8]
['1813-05-22 07:47:03', '0', '1', "(Uranus,235.735,(r)) (H8,325.725,(d)) (square,0.60')", '3', '4', '5', '6', "(Jupiter,123.715,(r)) (Pluto,303.619,(c)) (opposition,5.79')\n(Mean_Node,134.333,(r)) (H4,134.301,(c)) (conjunction,1.92')", "(Jupiter,123.715,(r)) (H4,243.684,(d)) (trine,1.86')\n(Pluto,350.508,(r)) (Venus,110.440,(d)) (trine,4.06')", '9', 5]
