Row 37: {'time': '1935-01-08 22:09:59', 'p_a_conj': 5, 'p_a_maj': 12, 'p_a_min': 27, 'a_p_conj': 0, 'e': 0, 'total_count': 44}
Row 38: {'time': '1935-01-08 09:54:16', 'p_a_conj': 4, 'p_a_maj': 9, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 34}
Row 39: {'time': '1935-01-08 13:41:28', 'p_a_conj': 6, 'p_a_maj': 15, 'p_a_min': 16, 'a_p_conj': 0, 'e': 1, 'total_count': 37}
Row 40: {'time': '1935-01-08 17:30:24', 'p_a_conj': 2, 'p_a_maj': 19, 'p_a_min': 26, 'a_p_conj': 0, 'e': 0, 'total_count': 47}
Row 41: {'time': '1935-01-08 15:11:28', 'p_a_conj': 8, 'p_a_maj': 18, 'p_a_min': 24, 'a_p_conj': 0, 'e': 0, 'total_count': 50}
Row 42: {'time': '1935-01-08 13:36:07', 'p_a_conj': 7, 'p_a_maj': 12, 'p_a_min': 17, 'a_p_conj': 0, 'e': 2, 'total_count': 36}
Row 43: {'time': '1935-01-08 06:00:31', 'p_a_conj': 7, 'p_a_maj': 20, 'p_a_min': 19, 'a_p_conj': 0, 'e': 0, 'total_count': 46}
Row 44: {'time': '1935-01-08 13:03:51', 'p_a_conj': 6, 'p_a_maj': 17, 'p_a_min': 16, 'a_p_conj': 0, 'e': 1, 'total_count': 39}
Row 45: {'time': '1935-01-08 07:09:43', 'p_a_conj': 1, 'p_a_maj': 20, 'p_a_min': 21, 'a_p_conj': 0, 'e': 1, 'total_count': 42}
Row 46: {'time': '1935-01-08 06:02:56', 'p_a_conj': 7, 'p_a_maj': 18, 'p_a_min': 24, 'a_p_conj': 0, 'e': 2, 'total_count': 49}
Row 47: {'time': '1935-01-08 05:18:16', 'p_a_conj': 5, 'p_a_maj': 18, 'p_a_min': 18, 'a_p_conj': 0, 'e': 1, 'total_count': 41}
Row 48: {'time': '1935-01-08 10:07:20', 'p_a_conj': 7, 'p_a_maj': 15, 'p_a_min': 18, 'a_p_conj': 0, 'e': 0, 'total_count': 40}
Row 49: {'time': '1935-01-08 16:00:23', 'p_a_conj': 10, 'p_a_maj': 14, 'p_a_min': 23, 'a_p_conj': 0, 'e': 1, 'total_count': 47}
Row 50: {'time': '1935-01-08 12:43:36', 'p_a_conj': 2, 'p_a_maj': 12, 'p_a_min': 19, 'a_p_conj': 0, 'e': 2, 'total_count': 33}
Row 51: {'time': '1935-01-08 21:59:20', 'p_a_conj': 3, 'p_a_maj': 21, 'p_a_min': 19, 'a_p_conj': 0, 'e': 1, 'total_count': 43}
Row 52: {'time': '1935-01-08 12:28:39', 'p_a_conj': 6, 'p_a_maj': 16, 'p_a_min': 27, 'a_p_conj': 0, 'e': 1, 'total_count': 49}
Row 53: {'time': '1935-01-08 15:47:51', 'p_a_conj': 6, 'p_a_maj': 21, 'p_a_min': 31, 'a_p_conj': 0, 'e': 0, 'total_count': 58}
Row 54: {'time': '1935-01-08 05:23:12', 'p_a_conj': 5, 'p_a_maj': 21, 'p_a_min': 22, 'a_p_conj': 0, 'e': 1, 'total_count': 48}
Row 55: {'time': '1935-01-08 13:25:51', 'p_a_conj': 5, 'p_a_maj': 16, 'p_a_min': 22, 'a_p_conj': 0, 'e': 1, 'total_count': 43}
Row 56: {'time': '1935-01-08 23:20:00', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_min': 17, 'a_p_conj': 0, 'e': 3, 'total_count': 35}
Row 57: {'time': '1935-01-08 08:37:36', 'p_a_conj': 5, 'p_a_maj': 17, 'p_a_min': 16, 'a_p_conj': 0, 'e': 1, 'total_count': 38}
Row 58: {'time': '1935-01-08 07:33:27', 'p_a_conj': 4, 'p_a_maj': 20, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 46}
Row 59: {'time': '1935-01-08 21:34:07', 'p_a_conj': 4, 'p_a_maj': 18, 'p_a_min': 26, 'a_p_conj': 0, 'e': 0, 'total_count': 48}
Row 60: {'time': '1935-01-08 20:34:31', 'p_a_conj': 5, 'p_a_maj': 10, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 36}
Row 61: {'time': '1935-01-08 11:05:04', 'p_a_conj': 5, 'p_a_maj': 16, 'p_a_min': 19, 'a_p_conj': 0, 'e': 1, 'total_count': 40}
Row 62: {'time': '1935-01-08 17:59:52', 'p_a_conj': 7, 'p_a_maj': 22, 'p_a_min': 20, 'a_p_conj': 0, 'e': 0, 'total_count': 49}
Row 63: {'time': '1935-01-08 14:07:36', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_min': 23, 'a_p_conj': 0, 'e': 1, 'total_count': 43}
Row 64: {'time': '1935-01-08 06:44:08', 'p_a_conj': 6, 'p_a_maj': 13, 'p_a_min': 20, 'a_p_conj': 0, 'e': 1, 'total_count': 39}
Row 65: {'time': '1935-01-08 21:23:51', 'p_a_conj': 5, 'p_a_maj': 18, 'p_a_min': 32, 'a_p_conj': 0, 'e': 1, 'total_count': 55}
Row 66: {'time': '1935-01-08 21:13:04', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_min': 20, 'a_p_conj': 0, 'e': 1, 'total_count': 38}
Row 67: {'time': '1935-01-08 12:09:52', 'p_a_conj': 4, 'p_a_maj': 13, 'p_a_min': 15, 'a_p_conj': 0, 'e': 2, 'total_count': 32}
Row 68: {'time': '1935-01-09 01:19:20', 'p_a_conj': 8, 'p_a_maj': 18, 'p_a_min': 19, 'a_p_conj': 0, 'e': 0, 'total_count': 45}
Row 69: {'time': '1935-01-08 15:58:07', 'p_a_conj': 6, 'p_a_maj': 12, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 39}
Row 70: {'time': '1935-01-08 15:16:47', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_min': 16, 'a_p_conj': 0, 'e': 1, 'total_count': 36}
Row 71: {'time': '1935-01-08 19:34:07', 'p_a_conj': 4, 'p_a_maj': 17, 'p_a_min': 13, 'a_p_conj': 0, 'e': 1, 'total_count': 34}
Row 72: {'time': '1935-01-08 11:38:39', 'p_a_conj': 4, 'p_a_maj': 17, 'p_a_min': 26, 'a_p_conj': 0, 'e': 0, 'total_count': 47}
