Row 18: {'time': '1935-01-08 14:01:20', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 1, 'a_p_min': 4, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 2, 'e': 4, 'total_count': 315}
Row 19: {'time': '1935-01-08 21:03:59', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 4, 'a_p_maj': 0, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 2, 'e': 6, 'total_count': 229}
Row 20: {'time': '1935-01-08 20:10:00', 'p_a_conj': 3, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 4, 'e': 5, 'total_count': 258}
Row 21: {'time': '1935-01-08 12:36:31', 'p_a_conj': 3, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 3, 'h_p_maj': 0, 'h_p_min': 1, 'e': 3, 'total_count': 270}
Row 22: {'time': '1935-01-08 13:28:23', 'p_a_conj': 1, 'p_a_maj': 4, 'p_a_min': 3, 'a_p_conj': 0, 'a_p_maj': 3, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 1, 'e': 2, 'total_count': 270}
Row 23: {'time': '1935-01-08 13:30:31', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 0, 'e': 6, 'total_count': 125}
Row 24: {'time': '1935-01-08 07:20:07', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 2, 'e': 4, 'total_count': 241}
Row 25: {'time': '1935-01-09 02:13:52', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 2, 'e': 2, 'total_count': 232}
Row 26: {'time': '1935-01-08 22:45:59', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 8, 'total_count': 101}
Row 27: {'time': '1935-01-09 03:08:31', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_min': 1, 'a_p_conj': 0, 'a_p_maj': 4, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_min': 0, 'e': 4, 'total_count': 213}
Row 28: {'time': '1935-01-08 17:54:48', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_min': 7, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 0, 'e': 3, 'total_count': 210}
Row 29: {'time': '1935-01-08 05:41:12', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 3, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 0, 'e': 3, 'total_count': 223}
Row 30: {'time': '1935-01-08 13:18:07', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 4, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 5, 'total_count': 246}
Row 31: {'time': '1935-01-09 03:02:39', 'p_a_conj': 3, 'p_a_maj': 2, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 2, 'e': 5, 'total_count': 239}
Row 32: {'time': '1935-01-08 08:46:08', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_min': 3, 'e': 2, 'total_count': 288}
Row 33: {'time': '1935-01-08 09:05:04', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_min': 5, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 0, 'e': 6, 'total_count': 205}
Row 34: {'time': '1935-01-08 19:00:07', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 4, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 4, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 0, 'e': 4, 'total_count': 172}
Row 35: {'time': '1935-01-08 09:31:52', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_min': 2, 'e': 5, 'total_count': 188}
Row 36: {'time': '1935-01-09 00:24:23', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 3, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 1, 'e': 4, 'total_count': 223}
Row 37: {'time': '1935-01-08 22:09:59', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_min': 6, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 0, 'e': 6, 'total_count': 146}
Row 38: {'time': '1935-01-08 09:54:16', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 2, 'h_p_maj': 2, 'h_p_min': 3, 'e': 4, 'total_count': 250}
Row 39: {'time': '1935-01-08 13:41:28', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_min': 2, 'e': 5, 'total_count': 234}
Row 40: {'time': '1935-01-08 17:30:24', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 0, 'e': 4, 'total_count': 212}
Row 41: {'time': '1935-01-08 15:11:28', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 2, 'e': 1, 'total_count': 274}
Row 42: {'time': '1935-01-08 13:36:07', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 9, 'total_count': 65}
Row 43: {'time': '1935-01-08 06:00:31', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 0, 'a_p_maj': 4, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 1, 'e': 4, 'total_count': 226}
Row 44: {'time': '1935-01-08 13:03:51', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 0, 'a_p_maj': 3, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 4, 'h_p_min': 0, 'e': 3, 'total_count': 235}
Row 45: {'time': '1935-01-08 07:09:43', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 3, 'h_p_maj': 3, 'h_p_min': 3, 'e': 2, 'total_count': 282}
Row 46: {'time': '1935-01-08 06:02:56', 'p_a_conj': 1, 'p_a_maj': 4, 'p_a_min': 1, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 2, 'e': 6, 'total_count': 207}
Row 47: {'time': '1935-01-08 05:18:16', 'p_a_conj': 1, 'p_a_maj': 5, 'p_a_min': 6, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 0, 'e': 4, 'total_count': 251}
