['Time', '0: 1954-07-30', '1: 1955-05-01', '2: 1956-01-28', '3: 1956-09-09', '4: 1958-03-24', '5: 1958-08-14', '6: 1958-10-01', '7: 1959-06-01', '8: 1960-03-05', '9: 1967-05-01', '10: 1968-02-01', '11: 1972-08-15', '12: 1977-08-16', '13: 1979-06-26', 'Count']
['1935-01-08 10:30:15', '0', "(Sun,287.229,(r)) (H10,197.268,(d)) (square,2')", "(Jupiter,228.069,(r)) (H10,198.056,(d)) (30-semisextile,1')", "(Uranus,27.499,(r)) (H3,297.556,(c)) (square,3')", "(Mercury,292.302,(r)) (H1,232.370,(c)) (sextile,4')", "(Pluto,115.134,(r)) (H12,250.221,(d)) (135-sesquisquare,5')\n(Mean_Node,301.858,(r)) (H1,271.828,(d)) (30-semisextile,2')\n(Neptune,164.450,(r)) (H12,209.503,(c)) (45-semisquare,3')", "(Moon,331.976,(r)) (H1,271.948,(d)) (sextile,2')\n(Mean_Node,301.858,(r)) (H1,271.948,(d)) (30-semisextile,5')", "(H3,320.050,(r)) (Mercury,320.010,(d)) (conjunction,2')", "(Mercury,292.302,(r)) (H10,202.379,(d)) (square,5')", '9', "(H4,355.531,(r)) (Uranus,355.689,(c)) (conjunction,9')", '11', '12', "(H8,103.748,(r)) (Mars,148.686,(c)) (45-semisquare,4')", 166]
['1935-01-08 15:13:59', '0', "(H1,325.771,(r)) (Mean_Node,325.691,(d)) (conjunction,5')\n(H10,248.748,(r)) (Jupiter,248.818,(d)) (conjunction,4')", "(Venus,299.608,(r)) (H1,299.562,(c)) (conjunction,3')", "(Uranus,27.500,(r)) (H1,357.503,(d)) (30-semisextile,0')\n(Jupiter,228.100,(r)) (H10,228.130,(c)) (conjunction,2')", '4', "(H8,189.514,(r)) (Uranus,54.556,(d)) (135-sesquisquare,3')", '6', '7', "(H10,248.748,(r)) (H3,68.742,(d)) (opposition,0')", "(Mean_Node,301.847,(r)) (H5,121.945,(d)) (opposition,6')\n(Sun,287.430,(r)) (H5,62.355,(c)) (135-sesquisquare,4')\n(Sun,287.430,(r)) (H7,107.496,(c)) (opposition,4')", '10', "(Mars,192.909,(r)) (H4,102.966,(d)) (square,3')\n(H1,325.771,(r)) (Moon,25.838,(d)) (sextile,4')\n(H4,68.748,(r)) (Uranus,68.825,(d)) (conjunction,5')\n(H7,145.771,(r)) (Moon,25.838,(d)) (trine,4')", "(Sun,287.430,(r)) (H10,287.549,(d)) (conjunction,7')\n(H10,248.748,(r)) (Sun,248.854,(c)) (conjunction,6')\n(H10,248.748,(r)) (Saturn,278.838,(c)) (30-semisextile,5')", "(Pluto,115.130,(r)) (H10,205.042,(c)) (square,5')", 315]
['1935-01-08 22:16:47', "(Uranus,27.500,(r)) (H3,162.491,(d)) (135-sesquisquare,1')\n(H1,99.123,(r)) (Jupiter,249.208,(d)) (150-quincunx,5')", "(H1,99.123,(r)) (Neptune,144.088,(c)) (45-semisquare,2')", '2', "(H3,143.839,(r)) (Jupiter,203.771,(c)) (sextile,4')", "(Mars,193.027,(r)) (H10,327.966,(c)) (135-sesquisquare,4')", "(Sun,287.729,(r)) (H4,197.651,(d)) (square,5')\n(H4,172.394,(r)) (Sun,307.419,(d)) (135-sesquisquare,2')\n(Uranus,27.500,(r)) (H4,147.565,(c)) (trine,4')", "(Sun,287.729,(r)) (H10,17.790,(d)) (square,4')\n(H10,352.394,(r)) (Mean_Node,322.353,(d)) (30-semisextile,2')\n(Uranus,27.500,(r)) (H10,327.430,(c)) (sextile,4')\n(H1,99.123,(r)) (Venus,279.189,(c)) (opposition,4')", "(Mean_Node,301.832,(r)) (H1,76.738,(c)) (135-sesquisquare,6')", "(Venus,299.977,(r)) (H1,120.083,(d)) (opposition,6')", "(Mean_Node,301.832,(r)) (H5,241.841,(d)) (sextile,1')\n(H5,207.407,(r)) (Venus,327.463,(d)) (trine,3')", "(Uranus,27.500,(r)) (H4,207.582,(d)) (opposition,5')\n(H5,207.407,(r)) (H4,207.582,(d)) (conjunction,10')", '11', '12', "(Moon,339.175,(r)) (H10,39.236,(d)) (sextile,4')\n(Pluto,115.123,(r)) (H1,55.144,(c)) (sextile,1')", 285]
['1935-01-08 20:24:00', "(H1,72.421,(r)) (Venus,282.344,(c)) (150-quincunx,5')", "(Mean_Node,301.836,(r)) (H1,91.764,(d)) (150-quincunx,4')\n(H10,322.379,(r)) (Neptune,142.428,(c)) (opposition,3')", "(Mean_Node,301.836,(r)) (H10,301.737,(c)) (conjunction,6')", "(Venus,299.878,(r)) (H10,344.901,(d)) (45-semisquare,1')\n(H1,72.421,(r)) (Jupiter,252.598,(d)) (opposition,11')\n(H3,117.571,(r)) (Jupiter,252.598,(d)) (135-sesquisquare,2')\n(Jupiter,228.134,(r)) (H1,48.014,(c)) (opposition,7')\n(H1,72.421,(r)) (Mean_Node,282.328,(c)) (150-quincunx,6')", '4', '5', "(H1,72.421,(r)) (Neptune,192.474,(d)) (trine,3')", "(H10,322.379,(r)) (Venus,322.361,(d)) (conjunction,1')", "(Venus,299.878,(r)) (H12,359.925,(c)) (sextile,3')\n(H10,322.379,(r)) (Venus,277.335,(c)) (45-semisquare,3')", "(H7,252.421,(r)) (Moon,12.498,(d)) (trine,5')", "(H4,142.379,(r)) (Mercury,322.465,(d)) (opposition,5')\n(H5,173.644,(r)) (Mars,233.682,(d)) (sextile,2')\n(H5,173.644,(r)) (Jupiter,263.587,(d)) (square,3')", '11', "(H10,322.379,(r)) (Mars,142.314,(c)) (opposition,4')", "(H8,275.535,(r)) (Mars,245.475,(d)) (30-semisextile,4')", 285]
['1935-01-08 10:21:20', "(H10,173.094,(r)) (Mean_Node,323.167,(d)) (150-quincunx,4')", "(H10,173.094,(r)) (Moon,353.203,(d)) (opposition,7')", "(Uranus,27.499,(r)) (H1,267.482,(d)) (trine,1')\n(H10,173.094,(r)) (Venus,323.076,(d)) (150-quincunx,1')\n(Mercury,292.291,(r)) (H1,232.272,(c)) (sextile,1')\n(H10,173.094,(r)) (Moon,308.180,(c)) (135-sesquisquare,5')", "(H3,317.587,(r)) (Uranus,47.594,(d)) (square,0')", '4', "(H4,353.094,(r)) (Saturn,353.211,(d)) (conjunction,7')\n(Uranus,27.499,(r)) (H12,207.504,(c)) (opposition,0')", "(Venus,299.353,(r)) (H9,164.419,(d)) (135-sesquisquare,4')\n(Neptune,164.450,(r)) (H9,164.419,(d)) (conjunction,2')", "(Uranus,27.499,(r)) (H10,147.416,(c)) (trine,5')", "(H1,249.466,(r)) (Jupiter,249.467,(d)) (conjunction,0')\n(H1,249.466,(r)) (H12,249.607,(d)) (conjunction,8')", "(Uranus,27.499,(r)) (H10,207.476,(d)) (opposition,1')\n(H5,23.326,(r)) (Mercury,263.367,(c)) (trine,2')", '10', "(H1,249.466,(r)) (Saturn,9.444,(d)) (trine,1')\n(H7,69.466,(r)) (Saturn,9.444,(d)) (sextile,1')", "(Mars,192.827,(r)) (H8,147.821,(d)) (45-semisquare,0')", "(H10,173.094,(r)) (Mean_Node,353.182,(d)) (opposition,5')", 317]
['1935-01-08 10:00:39', "(Mercury,292.268,(r)) (H3,292.260,(c)) (conjunction,0')", "(Mercury,292.268,(r)) (H1,262.206,(d)) (30-semisextile,4')\n(H1,245.131,(r)) (Jupiter,245.080,(d)) (conjunction,3')\n(H9,131.985,(r)) (Mean_Node,281.990,(c)) (150-quincunx,0')", "(Jupiter,228.066,(r)) (H1,228.018,(c)) (conjunction,3')", "(H3,311.985,(r)) (Sun,267.066,(c)) (45-semisquare,5')", "(H10,167.473,(r)) (Saturn,302.523,(c)) (135-sesquisquare,3')", "(Mars,192.821,(r)) (H4,12.761,(d)) (opposition,4')\n(Pluto,115.135,(r)) (H1,265.079,(d)) (150-quincunx,3')", "(H9,131.985,(r)) (Sun,311.807,(d)) (opposition,11')", "(H1,245.131,(r)) (Moon,305.049,(c)) (sextile,5')", "(H1,245.131,(r)) (H12,245.095,(d)) (conjunction,2')", '9', '10', "(Uranus,27.499,(r)) (H4,27.514,(d)) (conjunction,1')", "(H10,167.473,(r)) (Moon,287.562,(c)) (trine,5')\n(H10,167.473,(r)) (Uranus,347.359,(c)) (opposition,7')", "(H10,167.473,(r)) (Neptune,212.408,(d)) (45-semisquare,4')", 248]
['1935-01-08 08:15:44', "(Venus,299.244,(r)) (H1,239.305,(d)) (sextile,4')\n(Moon,330.598,(r)) (H10,120.686,(c)) (150-quincunx,5')\n(Uranus,27.499,(r)) (H1,207.547,(c)) (opposition,3')\n(Uranus,27.499,(r)) (H3,267.480,(c)) (trine,1')\n(H10,139.758,(r)) (Mercury,274.666,(c)) (135-sesquisquare,6')", "(H1,223.458,(r)) (Sun,268.420,(c)) (45-semisquare,2')", "(Moon,330.598,(r)) (H1,240.525,(d)) (square,4')\n(H3,285.449,(r)) (Uranus,45.405,(d)) (trine,3')\n(Venus,299.244,(r)) (H10,119.268,(c)) (opposition,1')", '3', '4', "(Venus,299.244,(r)) (H4,344.185,(d)) (45-semisquare,4')\n(H4,319.758,(r)) (Pluto,139.670,(d)) (opposition,5')", "(Venus,299.244,(r)) (H10,164.325,(d)) (135-sesquisquare,5')\n(Neptune,164.451,(r)) (H10,164.325,(d)) (conjunction,8')", '7', '8', "(H10,139.758,(r)) (Sun,319.806,(d)) (opposition,3')\n(Sun,287.134,(r)) (H7,17.070,(c)) (square,4')", "(Jupiter,228.054,(r)) (H4,288.074,(c)) (sextile,1')", "(Venus,299.244,(r)) (H1,254.189,(d)) (45-semisquare,3')\n(Venus,299.244,(r)) (H4,359.168,(d)) (sextile,5')\n(Venus,299.244,(r)) (H7,74.189,(d)) (135-sesquisquare,3')\n(Mars,192.792,(r)) (H1,192.701,(c)) (conjunction,5')\n(Mars,192.792,(r)) (H7,12.701,(c)) (opposition,5')", '12', '13', 329]
['1935-01-08 14:01:20', '0', '1', '2', "(H10,231.241,(r)) (Uranus,51.120,(d)) (opposition,7')\n(Venus,299.545,(r)) (H10,209.520,(c)) (square,2')", "(H1,302.493,(r)) (Moon,2.444,(d)) (sextile,3')\n(Pluto,115.131,(r)) (H3,355.090,(c)) (trine,2')", "(Uranus,27.499,(r)) (H4,27.524,(c)) (conjunction,1')\n(H1,302.493,(r)) (Moon,302.446,(c)) (conjunction,3')", "(H9,202.508,(r)) (Mercury,322.576,(d)) (trine,4')\n(Uranus,27.499,(r)) (H10,207.387,(c)) (opposition,7')", "(Moon,334.133,(r)) (H1,334.048,(d)) (conjunction,5')", "(Mean_Node,301.850,(r)) (H12,301.979,(d)) (conjunction,8')\n(Venus,299.545,(r)) (H12,254.475,(c)) (45-semisquare,4')\n(H3,22.508,(r)) (Jupiter,202.648,(c)) (opposition,8')", "(H5,74.701,(r)) (Mean_Node,344.695,(d)) (square,0')", "(Mean_Node,301.850,(r)) (H1,346.774,(d)) (45-semisquare,5')\n(H1,302.493,(r)) (Uranus,62.550,(d)) (trine,3')", "(Mars,192.889,(r)) (H4,12.771,(c)) (opposition,7')\n(Pluto,115.131,(r)) (H1,265.088,(c)) (150-quincunx,3')\n(Pluto,115.131,(r)) (H7,85.088,(c)) (30-semisextile,3')", '12', "(Moon,334.133,(r)) (H1,4.074,(d)) (30-semisextile,4')\n(Mars,192.889,(r)) (H12,237.895,(c)) (45-semisquare,0')", 315]
['1935-01-08 21:03:59', '0', '1', "(Sun,287.678,(r)) (H3,107.852,(c)) (opposition,10')", '3', '4', "(Pluto,115.125,(r)) (H12,70.211,(d)) (45-semisquare,5')", '6', '7', "(H1,82.433,(r)) (Venus,322.395,(d)) (trine,2')", "(H7,262.433,(r)) (Jupiter,262.348,(d)) (conjunction,5')\n(Mars,193.007,(r)) (H5,147.930,(c)) (45-semisquare,5')\n(H5,185.758,(r)) (Mars,155.693,(c)) (30-semisextile,4')", "(H1,82.433,(r)) (Mars,232.392,(d)) (150-quincunx,2')\n(Venus,299.913,(r)) (H4,119.993,(c)) (opposition,5')", "(Mars,193.007,(r)) (H4,192.858,(d)) (conjunction,9')\n(Pluto,115.125,(r)) (H1,115.123,(d)) (conjunction,0')\n(Pluto,115.125,(r)) (H7,295.123,(d)) (opposition,0')\n(Saturn,325.788,(r)) (H4,115.722,(c)) (150-quincunx,4')", "(H10,332.810,(r)) (Pluto,152.743,(d)) (opposition,4')", "(Sun,287.678,(r)) (H12,347.754,(c)) (sextile,5')", 229]
['1935-01-08 20:10:00', "(Venus,299.866,(r)) (H10,299.780,(c)) (conjunction,5')\n(H3,114.383,(r)) (Jupiter,204.423,(c)) (square,2')", "(H10,318.798,(r)) (Venus,318.725,(d)) (conjunction,4')", '2', "(Venus,299.866,(r)) (H1,89.783,(d)) (150-quincunx,5')", '4', "(Moon,337.887,(r)) (H8,292.957,(d)) (45-semisquare,4')\n(Pluto,115.125,(r)) (H8,250.157,(c)) (135-sesquisquare,2')\n(H1,68.727,(r)) (Venus,278.660,(c)) (150-quincunx,4')\n(H4,138.798,(r)) (Neptune,138.652,(c)) (conjunction,9')", "(H1,68.727,(r)) (Sun,308.659,(d)) (trine,4')\n(Jupiter,228.132,(r)) (H9,273.193,(c)) (45-semisquare,4')\n(H10,318.798,(r)) (Jupiter,198.706,(c)) (trine,6')", '7', "(Venus,299.866,(r)) (H10,344.821,(d)) (45-semisquare,3')\n(Mean_Node,301.836,(r)) (H3,91.909,(c)) (150-quincunx,4')\n(H3,114.383,(r)) (H10,294.518,(c)) (opposition,8')", "(Uranus,27.500,(r)) (H5,207.474,(d)) (opposition,2')\n(Mars,192.992,(r)) (H5,132.954,(c)) (sextile,2')", '10', "(Mars,192.992,(r)) (H4,103.039,(c)) (square,3')", "(H1,68.727,(r)) (Sun,248.667,(c)) (opposition,4')", '13', 258]
