['Time', '0: 1954-07-30', '1: 1955-05-01', '2: 1956-01-28', '3: 1956-09-09', '4: 1958-03-24', '5: 1958-08-14', '6: 1958-10-01', '7: 1959-06-01', '8: 1960-03-05', '9: 1967-05-01', '10: 1968-02-01', '11: 1972-08-15', '12: 1977-08-16', '13: 1979-06-26', 'Count']
['1935-01-08 12:36:31', "(H10,209.626,(r)) (Jupiter,209.546,(c)) (conjunction,5')", "(H1,279.817,(r)) (Venus,324.742,(d)) (45-semisquare,4')\n(Moon,333.267,(r)) (H9,153.230,(c)) (opposition,2')", "(Mean_Node,301.853,(r)) (H1,301.904,(d)) (conjunction,3')\n(H3,357.041,(r)) (Mean_Node,326.984,(d)) (30-semisextile,3')\n(Sun,287.318,(r)) (H3,332.380,(c)) (45-semisquare,4')", "(H1,279.817,(r)) (Mean_Node,279.740,(c)) (conjunction,5')", '4', "(H1,279.817,(r)) (Mars,219.792,(d)) (sextile,1')", '6', '7', "(Jupiter,228.083,(r)) (H10,183.005,(c)) (45-semisquare,5')", "(H7,99.817,(r)) (Sun,324.824,(d)) (135-sesquisquare,0')", "(Sun,287.318,(r)) (H4,62.227,(d)) (135-sesquisquare,5')", "(Mercury,292.447,(r)) (H1,322.461,(d)) (30-semisextile,1')\n(Mercury,292.447,(r)) (H7,142.461,(d)) (150-quincunx,1')\n(Mercury,292.447,(r)) (H12,292.478,(d)) (conjunction,2')", "(Mars,192.865,(r)) (H8,192.898,(d)) (conjunction,2')\n(Neptune,164.448,(r)) (H10,164.320,(c)) (conjunction,8')", "(Mars,192.865,(r)) (H10,252.821,(d)) (sextile,3')\n(Mean_Node,301.853,(r)) (H1,331.916,(d)) (30-semisextile,4')\n(H1,279.817,(r)) (Mars,144.727,(c)) (135-sesquisquare,5')\n(H1,279.817,(r)) (Saturn,279.779,(c)) (conjunction,2')", 270]
['1935-01-08 13:28:23', "(Mean_Node,301.851,(r)) (H10,241.929,(d)) (sextile,5')\n(Moon,333.797,(r)) (H1,273.806,(c)) (sextile,1')", "(Jupiter,228.088,(r)) (H1,273.111,(c)) (45-semisquare,1')", "(Jupiter,228.088,(r)) (H1,318.032,(d)) (square,3')\n(H1,293.192,(r)) (Jupiter,248.157,(d)) (45-semisquare,2')", "(H3,12.718,(r)) (Venus,327.712,(d)) (45-semisquare,0')\n(Mean_Node,301.851,(r)) (H1,271.862,(c)) (30-semisextile,1')", "(H10,223.007,(r)) (Saturn,357.941,(d)) (135-sesquisquare,4')", "(Moon,333.797,(r)) (H4,18.747,(c)) (45-semisquare,3')", "(Venus,299.516,(r)) (H9,164.558,(c)) (135-sesquisquare,3')\n(Neptune,164.448,(r)) (H9,164.558,(c)) (conjunction,7')", "(Mercury,292.506,(r)) (H1,322.439,(d)) (30-semisextile,4')\n(H1,293.192,(r)) (Uranus,53.266,(d)) (trine,4')", "(H1,293.192,(r)) (H12,293.234,(d)) (conjunction,2')\n(H1,293.192,(r)) (Jupiter,203.224,(c)) (square,2')", '9', "(Venus,299.516,(r)) (H4,74.467,(d)) (135-sesquisquare,3')\n(H1,293.192,(r)) (Moon,293.076,(c)) (conjunction,7')\n(H4,43.007,(r)) (Venus,268.075,(c)) (135-sesquisquare,4')", "(H4,43.007,(r)) (Mercury,342.984,(d)) (sextile,1')\n(Moon,333.797,(r)) (H4,3.805,(c)) (30-semisextile,0')", "(H1,293.192,(r)) (Pluto,173.146,(d)) (trine,3')", '13', 270]
['1935-01-08 13:30:31', "(Sun,287.357,(r)) (H10,242.439,(d)) (45-semisquare,5')", '1', "(Moon,333.819,(r)) (H10,243.846,(d)) (square,2')\n(H10,223.547,(r)) (Moon,358.614,(d)) (135-sesquisquare,4')", "(H1,293.774,(r)) (Jupiter,248.750,(d)) (45-semisquare,1')", '4', "(H4,43.547,(r)) (Saturn,358.547,(d)) (45-semisquare,0')", '6', '7', "(H1,293.774,(r)) (H12,293.787,(d)) (conjunction,1')", "(H7,113.774,(r)) (Moon,293.805,(c)) (opposition,2')\n(H7,113.774,(r)) (Mercury,263.682,(c)) (150-quincunx,6')", '10', '11', "(H10,223.547,(r)) (Moon,283.571,(c)) (sextile,1')", "(Uranus,27.499,(r)) (H1,252.511,(c)) (135-sesquisquare,1')", 125]
['1935-01-08 07:20:07', "(H10,125.861,(r)) (Sun,305.947,(d)) (opposition,5')", "(Venus,299.195,(r)) (H9,74.165,(c)) (135-sesquisquare,2')", "(Mercury,292.083,(r)) (H3,292.050,(d)) (conjunction,2')", "(H10,125.861,(r)) (Moon,350.927,(d)) (135-sesquisquare,4')\n(H10,125.861,(r)) (Jupiter,245.934,(d)) (trine,4')", "(Mars,192.776,(r)) (H1,192.911,(c)) (conjunction,8')", '5', '6', "(Moon,330.028,(r)) (H10,150.198,(d)) (opposition,10')", "(H3,272.378,(r)) (Mercury,317.381,(d)) (45-semisquare,0')\n(H10,125.861,(r)) (Moon,305.734,(c)) (opposition,8')", "(H5,338.521,(r)) (H10,158.448,(d)) (opposition,4')\n(H7,31.971,(r)) (Venus,331.980,(d)) (sextile,1')\n(H7,31.971,(r)) (Mean_Node,271.980,(c)) (trine,1')", "(H1,211.971,(r)) (Sun,256.998,(c)) (45-semisquare,2')", '11', '12', "(H1,211.971,(r)) (Sun,331.958,(d)) (trine,1')\n(Mars,192.776,(r)) (H12,147.869,(c)) (45-semisquare,6')", 241]
['1935-01-09 02:13:52', "(Jupiter,228.172,(r)) (H3,183.145,(c)) (45-semisquare,2')", "(Venus,300.183,(r)) (H1,165.264,(d)) (135-sesquisquare,5')", "(Moon,341.575,(r)) (H1,131.505,(c)) (150-quincunx,4')", "(H1,148.592,(r)) (Sun,268.671,(c)) (trine,5')", "(H3,202.143,(r)) (Moon,322.203,(c)) (trine,4')", "(Sun,287.897,(r)) (H1,167.981,(d)) (trine,5')\n(Mean_Node,301.823,(r)) (H4,256.840,(d)) (45-semisquare,1')", "(Jupiter,228.172,(r)) (H1,168.089,(d)) (sextile,5')\n(Neptune,164.441,(r)) (H9,44.515,(d)) (trine,4')\n(H9,22.143,(r)) (Mean_Node,322.180,(d)) (sextile,2')\n(H10,54.802,(r)) (Jupiter,204.754,(c)) (150-quincunx,3')", '7', "(Jupiter,228.172,(r)) (H10,78.261,(d)) (150-quincunx,5')", "(Uranus,27.501,(r)) (H5,237.515,(c)) (150-quincunx,1')", "(H1,148.592,(r)) (Venus,328.417,(d)) (opposition,10')\n(H1,148.592,(r)) (Uranus,58.581,(d)) (square,1')\n(Mean_Node,301.823,(r)) (H1,121.772,(c)) (opposition,3')", "(H4,234.802,(r)) (Saturn,294.718,(c)) (sextile,5')", '12', "(H8,353.122,(r)) (Neptune,203.051,(d)) (150-quincunx,4')", 232]
['1935-01-08 22:45:59', "(Moon,339.471,(r)) (H10,339.493,(c)) (conjunction,1')\n(H3,150.853,(r)) (Sun,270.829,(c)) (trine,1')", '1', '2', "(H10,0.366,(r)) (Moon,0.359,(d)) (conjunction,0')", "(Pluto,115.123,(r)) (H10,25.049,(d)) (square,4')", '5', '6', '7', "(Mercury,293.148,(r)) (H1,83.177,(c)) (150-quincunx,2')", '9', '10', '11', "(Moon,339.471,(r)) (H12,24.513,(c)) (45-semisquare,3')", "(H8,306.728,(r)) (Uranus,336.715,(c)) (30-semisextile,1')", 101]
['1935-01-09 03:08:31', "(Mercury,293.450,(r)) (H3,233.424,(d)) (sextile,2')\n(H3,215.365,(r)) (Sun,305.298,(d)) (square,4')", "(Mercury,293.450,(r)) (H1,143.377,(c)) (150-quincunx,4')", "(H10,67.922,(r)) (Jupiter,247.742,(d)) (opposition,11')\n(Sun,287.936,(r)) (H10,47.862,(c)) (trine,4')", '3', "(Mars,193.109,(r)) (H3,193.147,(c)) (conjunction,2')", "(Neptune,164.441,(r)) (H8,344.453,(c)) (opposition,1')", '6', "(Venus,300.231,(r)) (H1,180.161,(d)) (trine,4')\n(Venus,300.231,(r)) (H10,90.176,(d)) (150-quincunx,3')", "(H10,67.922,(r)) (Venus,278.006,(c)) (150-quincunx,5')", '9', "(Mars,193.109,(r)) (H1,133.037,(c)) (sextile,4')", "(Moon,342.127,(r)) (H4,282.153,(d)) (sextile,2')", '12', "(H10,67.922,(r)) (Uranus,67.768,(d)) (conjunction,9')", 213]
['1935-01-08 17:54:48', '0', "(Uranus,27.500,(r)) (H10,267.540,(c)) (trine,2')", "(H3,83.521,(r)) (Mean_Node,323.517,(d)) (trine,0')", "(H1,26.229,(r)) (Uranus,356.205,(c)) (30-semisextile,1')", "(H10,285.981,(r)) (Mercury,316.037,(d)) (30-semisextile,3')", "(H1,26.229,(r)) (Mean_Node,326.256,(d)) (sextile,2')\n(Mean_Node,301.841,(r)) (H8,211.840,(c)) (square,0')", '6', '7', "(H10,285.981,(r)) (Jupiter,255.921,(d)) (30-semisextile,4')\n(H10,285.981,(r)) (H3,106.149,(d)) (opposition,10')", "(Moon,336.513,(r)) (H7,246.520,(d)) (square,0')", "(Sun,287.544,(r)) (H4,137.479,(d)) (150-quincunx,4')\n(H1,26.229,(r)) (Mercury,326.222,(d)) (sextile,0')\n(H4,105.981,(r)) (Moon,15.962,(d)) (square,1')", "(H4,105.981,(r)) (Mercury,331.017,(d)) (135-sesquisquare,2')", "(H8,239.043,(r)) (Sun,329.052,(d)) (square,1')\n(H10,285.981,(r)) (Mars,135.993,(c)) (150-quincunx,1')", "(H1,26.229,(r)) (Mars,251.212,(d)) (135-sesquisquare,1')\n(H10,285.981,(r)) (Sun,330.982,(d)) (45-semisquare,0')", 210]
['1935-01-08 05:41:12', "(Uranus,27.499,(r)) (H1,207.393,(d)) (opposition,6')\n(H1,191.295,(r)) (Moon,311.307,(c)) (trine,1')", "(H9,69.841,(r)) (Uranus,9.929,(c)) (sextile,5')", "(Mean_Node,301.868,(r)) (H10,121.930,(d)) (opposition,4')", "(Venus,299.109,(r)) (H1,209.122,(d)) (square,1')\n(H10,102.360,(r)) (Mean_Node,282.192,(c)) (opposition,10')", "(Mercury,291.970,(r)) (H1,172.060,(c)) (trine,5')", "(H8,39.073,(r)) (Sun,309.121,(d)) (square,3')", '6', "(H3,249.841,(r)) (Sun,309.889,(d)) (sextile,3')", "(H3,249.841,(r)) (Jupiter,249.821,(d)) (conjunction,1')", "(Mars,192.748,(r)) (H10,132.814,(d)) (sextile,4')", "(H5,314.798,(r)) (Moon,359.710,(d)) (45-semisquare,5')\n(H5,314.798,(r)) (Mars,164.828,(c)) (150-quincunx,2')", "(Pluto,115.138,(r)) (H1,160.169,(c)) (45-semisquare,2')\n(Pluto,115.138,(r)) (H7,340.169,(c)) (135-sesquisquare,2')", '12', '13', 223]
['1935-01-08 13:18:07', "(Venus,299.507,(r)) (H10,239.461,(d)) (sextile,3')\n(H3,9.630,(r)) (Venus,324.653,(d)) (45-semisquare,1')", '1', "(Moon,333.692,(r)) (H10,198.675,(c)) (135-sesquisquare,1')", "(H1,290.431,(r)) (Mercury,320.394,(d)) (30-semisextile,2')\n(H1,290.431,(r)) (Uranus,50.354,(d)) (trine,5')\n(Venus,299.507,(r)) (H1,269.491,(c)) (30-semisextile,1')\n(Jupiter,228.087,(r)) (H10,198.024,(c)) (30-semisextile,4')", "(Moon,333.692,(r)) (H12,288.658,(d)) (45-semisquare,2')\n(H10,220.398,(r)) (Mars,220.451,(d)) (conjunction,3')", '5', "(Jupiter,228.087,(r)) (H1,318.115,(d)) (square,2')\n(H10,220.398,(r)) (Jupiter,250.477,(d)) (30-semisextile,5')", '7', "(H1,290.431,(r)) (H12,290.599,(d)) (conjunction,10')", "(H5,64.899,(r)) (Mercury,334.888,(d)) (square,1')", '10', '11', "(Neptune,164.448,(r)) (H1,344.609,(d)) (opposition,10')\n(H1,290.431,(r)) (Mean_Node,260.503,(c)) (30-semisextile,4')\n(H10,220.398,(r)) (Uranus,340.424,(c)) (trine,2')", "(Sun,287.348,(r)) (H1,347.390,(d)) (sextile,3')\n(H10,220.398,(r)) (Pluto,175.353,(d)) (45-semisquare,3')", 246]
['1935-01-09 03:02:39', "(H10,66.535,(r)) (Jupiter,246.435,(d)) (opposition,6')\n(Sun,287.931,(r)) (H10,47.868,(c)) (trine,4')", "(Neptune,164.441,(r)) (H9,14.512,(c)) (150-quincunx,4')", "(Mercury,293.443,(r)) (H3,233.429,(d)) (sextile,1')\n(H10,66.535,(r)) (Sun,306.599,(d)) (trine,4')", "(H3,213.961,(r)) (Mercury,273.940,(c)) (sextile,1')", '4', "(H8,4.260,(r)) (Uranus,49.263,(d)) (45-semisquare,0')\n(H8,4.260,(r)) (Neptune,184.170,(d)) (opposition,5')\n(Mars,193.107,(r)) (H8,343.123,(c)) (150-quincunx,1')", '6', "(H1,158.757,(r)) (Venus,278.693,(c)) (trine,4')", "(Jupiter,228.177,(r)) (H1,138.233,(c)) (square,3')", '9', '10', "(Saturn,325.814,(r)) (H4,280.793,(d)) (45-semisquare,1')\n(H1,158.757,(r)) (Mars,158.652,(c)) (conjunction,6')\n(H7,338.757,(r)) (Mars,158.652,(c)) (opposition,6')", "(Sun,287.931,(r)) (H12,167.876,(d)) (trine,3')", '13', 239]
['1935-01-08 08:46:08', "(Jupiter,228.057,(r)) (H10,168.114,(d)) (sextile,3')\n(H1,229.716,(r)) (Mercury,274.717,(c)) (45-semisquare,0')", "(H9,112.841,(r)) (Mean_Node,322.863,(d)) (150-quincunx,1')", "(Jupiter,228.057,(r)) (H3,273.122,(c)) (45-semisquare,4')", '3', "(H1,229.716,(r)) (Pluto,139.720,(d)) (square,0')\n(Moon,330.910,(r)) (H1,210.883,(c)) (trine,2')", "(Venus,299.270,(r)) (H8,59.241,(c)) (trine,2')", "(Sun,287.155,(r)) (H9,137.067,(d)) (150-quincunx,5')", '7', "(Venus,299.270,(r)) (H1,209.291,(c)) (square,1')", "(Mean_Node,301.862,(r)) (H10,181.788,(d)) (trine,4')", "(Mean_Node,301.862,(r)) (H1,256.887,(d)) (45-semisquare,2')\n(H4,327.603,(r)) (Mercury,327.575,(d)) (conjunction,2')\n(Mars,192.800,(r)) (H5,327.840,(c)) (135-sesquisquare,2')\n(Pluto,115.136,(r)) (H4,295.246,(c)) (opposition,7')\n(H4,327.603,(r)) (Moon,297.553,(c)) (30-semisextile,3')", "(H1,229.716,(r)) (Saturn,289.709,(c)) (sextile,0')\n(H7,49.716,(r)) (Saturn,289.709,(c)) (trine,0')", "(Mars,192.800,(r)) (H10,192.815,(d)) (conjunction,1')\n(Pluto,115.136,(r)) (H1,265.124,(d)) (150-quincunx,1')", "(Mean_Node,301.862,(r)) (H8,121.996,(d)) (opposition,8')\n(Sun,287.155,(r)) (H12,167.240,(c)) (trine,5')", 288]
['1935-01-08 09:05:04', '0', '1', "(H1,233.614,(r)) (Uranus,8.525,(c)) (135-sesquisquare,5')", '3', '4', '5', '6', "(H3,297.557,(r)) (Mean_Node,327.574,(d)) (30-semisextile,1')\n(H1,233.614,(r)) (Mean_Node,278.528,(c)) (45-semisquare,5')\n(H3,297.557,(r)) (Jupiter,207.536,(c)) (square,1')", "(Venus,299.287,(r)) (H1,254.274,(d)) (45-semisquare,1')\n(Venus,299.287,(r)) (H10,179.276,(d)) (trine,1')", "(H5,4.504,(r)) (Moon,4.594,(d)) (conjunction,5')\n(Uranus,27.499,(r)) (H7,27.379,(c)) (conjunction,7')", "(H4,332.572,(r)) (H5,332.412,(c)) (conjunction,10')", "(H1,233.614,(r)) (Neptune,203.523,(d)) (30-semisextile,5')\n(H7,53.614,(r)) (Neptune,203.523,(d)) (150-quincunx,5')", "(H10,152.572,(r)) (Sun,332.415,(d)) (opposition,9')\n(H10,152.572,(r)) (Mars,152.729,(c)) (conjunction,9')", "(Moon,331.104,(r)) (H1,271.095,(d)) (sextile,1')\n(H10,152.572,(r)) (Moon,17.658,(d)) (135-sesquisquare,5')", 205]
['1935-01-08 19:00:07', '0', "(H9,278.534,(r)) (Uranus,53.454,(d)) (135-sesquisquare,5')", '2', "(H1,48.436,(r)) (Mercury,273.410,(c)) (135-sesquisquare,2')", '4', "(Venus,299.805,(r)) (H1,74.717,(d)) (135-sesquisquare,5')", "(Venus,299.805,(r)) (H1,74.849,(d)) (135-sesquisquare,3')\n(Venus,299.805,(r)) (H9,299.725,(d)) (conjunction,5')\n(H1,48.436,(r)) (Moon,3.375,(d)) (45-semisquare,4')\n(H9,278.534,(r)) (Moon,308.462,(c)) (30-semisextile,4')\n(H10,301.474,(r)) (Mercury,271.550,(c)) (30-semisextile,5')", '7', "(H3,98.534,(r)) (Mean_Node,278.530,(c)) (opposition,0')", "(H5,148.835,(r)) (Moon,13.758,(d)) (135-sesquisquare,5')", "(H5,148.835,(r)) (Moon,298.870,(c)) (150-quincunx,2')", "(H4,121.474,(r)) (Mars,241.485,(d)) (trine,1')", "(Neptune,164.445,(r)) (H10,344.480,(d)) (opposition,2')", "(H1,48.436,(r)) (Saturn,18.352,(d)) (30-semisextile,5')\n(Neptune,164.445,(r)) (H1,344.483,(c)) (opposition,2')", 172]
['1935-01-08 09:31:52', '0', "(Moon,331.378,(r)) (H10,181.392,(d)) (150-quincunx,1')", "(Jupiter,228.062,(r)) (H10,138.065,(c)) (square,0')\n(H10,159.704,(r)) (Venus,279.687,(c)) (trine,1')", "(Uranus,27.499,(r)) (H3,327.587,(d)) (sextile,5')", '4', "(Uranus,27.499,(r)) (H12,237.490,(d)) (150-quincunx,1')\n(H4,339.704,(r)) (Neptune,189.723,(d)) (150-quincunx,1')\n(Moon,331.378,(r)) (H12,196.352,(c)) (135-sesquisquare,2')", '6', '7', "(Moon,331.378,(r)) (H3,331.520,(d)) (conjunction,9')\n(H3,304.398,(r)) (Uranus,4.372,(c)) (sextile,2')", "(H10,159.704,(r)) (H5,339.671,(c)) (opposition,2')", "(H5,11.155,(r)) (Mars,161.157,(c)) (150-quincunx,0')", "(Mean_Node,301.860,(r)) (H4,301.939,(c)) (conjunction,5')", "(Mars,192.813,(r)) (H8,132.824,(d)) (sextile,1')\n(Pluto,115.135,(r)) (H10,205.096,(d)) (square,2')", '13', 188]
['1935-01-09 00:24:23', '0', "(H10,26.947,(r)) (Jupiter,207.071,(c)) (opposition,7')", "(Jupiter,228.160,(r)) (H10,48.216,(d)) (opposition,3')", "(H1,126.010,(r)) (Sun,306.083,(d)) (opposition,4')", '4', "(Pluto,115.122,(r)) (H1,145.133,(d)) (30-semisextile,1')\n(Mean_Node,301.827,(r)) (H4,181.902,(c)) (trine,5')", "(Jupiter,228.160,(r)) (H9,18.177,(d)) (150-quincunx,1')\n(Mean_Node,301.827,(r)) (H10,1.761,(c)) (sextile,4')\n(H10,26.947,(r)) (Sun,266.948,(c)) (trine,0')", '7', "(Uranus,27.500,(r)) (H12,117.573,(d)) (square,4')", "(Uranus,27.500,(r)) (H5,207.571,(c)) (opposition,4')", "(Sun,287.819,(r)) (H1,152.859,(d)) (135-sesquisquare,2')", "(Mean_Node,301.827,(r)) (H4,166.892,(c)) (135-sesquisquare,4')", '12', "(Moon,340.468,(r)) (H10,70.437,(d)) (square,2')\n(H8,328.397,(r)) (Mars,148.297,(c)) (opposition,6')", 223]
['1935-01-08 22:09:59', "(Moon,339.106,(r)) (H1,114.088,(d)) (135-sesquisquare,1')\n(Venus,299.971,(r)) (H10,329.942,(c)) (30-semisextile,2')", '1', '2', "(H10,350.542,(r)) (Mean_Node,320.634,(d)) (30-semisextile,5')\n(Sun,287.724,(r)) (H1,77.719,(c)) (150-quincunx,0')", "(Saturn,325.793,(r)) (H12,85.872,(d)) (trine,5')", "(Saturn,325.793,(r)) (H4,145.795,(c)) (opposition,0')", "(Uranus,27.500,(r)) (H1,117.508,(d)) (square,1')\n(H1,97.626,(r)) (Sun,307.586,(d)) (150-quincunx,2')\n(H10,350.542,(r)) (Neptune,140.590,(c)) (150-quincunx,3')", "(Venus,299.971,(r)) (H1,75.017,(c)) (135-sesquisquare,3')\n(Venus,299.971,(r)) (H3,119.876,(c)) (opposition,6')", '8', '9', "(H1,97.626,(r)) (Pluto,142.648,(d)) (45-semisquare,1')", "(H1,97.626,(r)) (Uranus,67.601,(d)) (30-semisextile,2')\n(H7,277.626,(r)) (Uranus,67.601,(d)) (150-quincunx,2')", '12', '13', 146]
['1935-01-08 09:54:16', "(Moon,331.607,(r)) (H3,331.631,(d)) (conjunction,1')\n(Jupiter,228.065,(r)) (H1,227.913,(c)) (conjunction,9')", "(H9,130.277,(r)) (Venus,280.337,(c)) (150-quincunx,4')", '2', '3', '4', '5', "(H9,130.277,(r)) (Neptune,190.342,(d)) (sextile,4')\n(Neptune,164.450,(r)) (H1,224.536,(c)) (sextile,5')\n(H9,130.277,(r)) (Sun,265.233,(c)) (135-sesquisquare,3')", "(Mercury,292.260,(r)) (H3,337.174,(d)) (45-semisquare,5')", "(H1,243.796,(r)) (H12,243.700,(d)) (conjunction,6')", "(Sun,287.203,(r)) (H5,47.214,(d)) (trine,1')", "(Jupiter,228.065,(r)) (H5,47.907,(d)) (opposition,9')", "(Venus,299.329,(r)) (H12,254.407,(d)) (45-semisquare,5')\n(Saturn,325.740,(r)) (H4,25.821,(d)) (sextile,5')\n(Neptune,164.450,(r)) (H12,254.407,(d)) (square,3')\n(H1,243.796,(r)) (Saturn,288.756,(c)) (45-semisquare,2')\n(H7,63.796,(r)) (Saturn,288.756,(c)) (135-sesquisquare,2')", "(H1,243.796,(r)) (Sun,333.727,(d)) (square,4')\n(Mars,192.819,(r)) (H8,57.805,(c)) (135-sesquisquare,1')", "(Uranus,27.499,(r)) (H1,207.673,(c)) (opposition,10')\n(H10,165.739,(r)) (Uranus,345.805,(c)) (opposition,4')", 250]
['1935-01-08 13:41:28', "(H1,296.798,(r)) (Moon,356.858,(d)) (sextile,4')", "(Mercury,292.521,(r)) (H9,172.527,(c)) (trine,0')", '2', '3', "(Mars,192.883,(r)) (H3,42.808,(d)) (150-quincunx,4')", "(Saturn,325.756,(r)) (H1,325.859,(d)) (conjunction,6')\n(Pluto,115.131,(r)) (H12,295.039,(d)) (opposition,6')", "(H10,226.298,(r)) (Neptune,196.319,(d)) (30-semisextile,1')\n(Jupiter,228.090,(r)) (H1,273.022,(c)) (45-semisquare,4')\n(H10,226.298,(r)) (Mercury,271.344,(c)) (45-semisquare,3')\n(H10,226.298,(r)) (Neptune,136.309,(c)) (square,1')", '7', "(H1,296.798,(r)) (H12,296.648,(d)) (conjunction,9')\n(Mean_Node,301.851,(r)) (H3,346.791,(c)) (45-semisquare,4')", "(Mean_Node,301.851,(r)) (H10,256.816,(d)) (45-semisquare,2')\n(Mars,192.883,(r)) (H10,193.027,(c)) (conjunction,9')", '10', "(H4,46.298,(r)) (Pluto,166.324,(d)) (trine,2')\n(Venus,299.528,(r)) (H12,239.443,(c)) (sextile,5')", "(H8,158.319,(r)) (Sun,338.313,(d)) (opposition,0')\n(Pluto,115.131,(r)) (H12,235.161,(c)) (trine,2')", '13', 234]
['1935-01-08 17:30:24', "(Sun,287.526,(r)) (H1,347.601,(c)) (sextile,4')", "(Moon,336.264,(r)) (H9,276.286,(d)) (sextile,1')", "(Venus,299.727,(r)) (H10,299.797,(d)) (conjunction,4')\n(H10,280.314,(r)) (Venus,280.190,(c)) (conjunction,7')", '3', "(Pluto,115.128,(r)) (H3,55.194,(c)) (sextile,4')", '5', "(H10,280.314,(r)) (Sun,310.310,(d)) (30-semisextile,0')", "(H3,77.780,(r)) (Mercury,317.755,(d)) (trine,2')\n(Jupiter,228.115,(r)) (H10,258.204,(c)) (30-semisextile,5')", '8', "(Venus,299.727,(r)) (H7,239.681,(d)) (sextile,3')", "(Mars,192.947,(r)) (H1,328.011,(c)) (135-sesquisquare,4')", '11', "(H10,280.314,(r)) (Mars,250.289,(d)) (30-semisextile,1')\n(H10,280.314,(r)) (Pluto,160.366,(d)) (trine,3')", "(Mars,192.947,(r)) (H1,312.968,(c)) (trine,1')\n(H8,232.292,(r)) (Neptune,112.244,(c)) (trine,3')", 212]
['1935-01-08 15:11:28', "(H1,324.893,(r)) (Mean_Node,324.798,(d)) (conjunction,6')\n(H10,248.150,(r)) (Jupiter,248.064,(d)) (conjunction,5')", "(Venus,299.606,(r)) (H1,299.675,(c)) (conjunction,4')", "(Jupiter,228.100,(r)) (H10,228.102,(c)) (conjunction,0')", "(Sun,287.428,(r)) (H10,227.498,(c)) (sextile,4')\n(Jupiter,228.100,(r)) (H3,18.053,(c)) (150-quincunx,3')\n(H1,324.893,(r)) (Mean_Node,279.844,(c)) (45-semisquare,3')", '4', "(Venus,299.606,(r)) (H4,89.679,(d)) (150-quincunx,4')", "(Venus,299.606,(r)) (H1,359.659,(d)) (sextile,3')", "(H1,324.893,(r)) (Sun,264.825,(c)) (sextile,4')", "(Mean_Node,301.847,(r)) (H1,1.834,(d)) (sextile,1')\n(H10,248.150,(r)) (H3,68.120,(d)) (opposition,2')", "(Mean_Node,301.847,(r)) (H5,61.777,(c)) (trine,4')", "(H1,324.893,(r)) (Pluto,84.977,(c)) (trine,5')", "(H4,68.150,(r)) (Saturn,23.060,(d)) (45-semisquare,5')", "(Neptune,164.447,(r)) (H12,344.335,(d)) (opposition,7')\n(H10,248.150,(r)) (Neptune,113.171,(c)) (135-sesquisquare,1')", "(Mean_Node,301.847,(r)) (H12,346.782,(d)) (45-semisquare,4')", 274]
['1935-01-08 13:36:07', '0', '1', '2', '3', '4', "(Mean_Node,301.851,(r)) (H1,271.898,(c)) (30-semisextile,3')", "(Mean_Node,301.851,(r)) (H1,271.778,(c)) (30-semisextile,4')\n(Mean_Node,301.851,(r)) (H9,166.873,(c)) (135-sesquisquare,1')", '7', "(H1,295.314,(r)) (Mercury,325.405,(d)) (30-semisextile,5')\n(H1,295.314,(r)) (H12,295.246,(d)) (conjunction,4')\n(H10,224.959,(r)) (Mercury,270.046,(c)) (45-semisquare,5')", '9', "(H4,44.959,(r)) (Moon,15.016,(d)) (30-semisextile,3')", '11', '12', "(H10,224.959,(r)) (Pluto,75.050,(c)) (150-quincunx,5')", 65]
['1935-01-08 06:00:31', "(Moon,329.211,(r)) (H1,179.162,(c)) (150-quincunx,3')\n(Venus,299.126,(r)) (H1,179.162,(c)) (trine,2')\n(Venus,299.126,(r)) (H10,89.086,(c)) (150-quincunx,2')", '1', "(Jupiter,228.039,(r)) (H3,273.115,(d)) (45-semisquare,5')", "(Uranus,27.499,(r)) (H1,177.409,(c)) (150-quincunx,5')", "(H3,254.223,(r)) (Mercury,314.230,(d)) (sextile,0')\n(Saturn,325.723,(r)) (H10,85.785,(c)) (trine,4')", "(Saturn,325.723,(r)) (H1,175.811,(c)) (150-quincunx,5')", '6', "(H1,195.358,(r)) (Mercury,315.392,(d)) (trine,2')", '8', "(H7,15.358,(r)) (Venus,330.372,(d)) (45-semisquare,1')\n(H5,319.351,(r)) (Jupiter,199.325,(c)) (trine,2')\n(H7,15.358,(r)) (Mars,165.315,(c)) (150-quincunx,3')", "(Jupiter,228.039,(r)) (H1,167.970,(c)) (sextile,4')\n(Mean_Node,301.868,(r)) (H4,256.828,(c)) (45-semisquare,2')", "(Mars,192.754,(r)) (H4,252.672,(c)) (sextile,5')", "(Uranus,27.499,(r)) (H12,207.392,(d)) (opposition,6')\n(H8,43.333,(r)) (Mean_Node,343.359,(d)) (sextile,2')\n(Pluto,115.138,(r)) (H1,160.099,(c)) (45-semisquare,2')", '13', 226]
