Row 37: {'time': '1997-11-16 15:33:20', 'p_a_conj': 3, 'p_a_maj': 10, 'p_a_allm': 13, 'p_a_min': 31, 'e': 0, 'all_conj': 3}
Row 38: {'time': '1997-11-16 02:54:56', 'p_a_conj': 8, 'p_a_maj': 14, 'p_a_allm': 22, 'p_a_min': 20, 'e': 0, 'all_conj': 8}
Row 39: {'time': '1997-11-16 05:49:12', 'p_a_conj': 9, 'p_a_maj': 19, 'p_a_allm': 28, 'p_a_min': 17, 'e': 0, 'all_conj': 9}
Row 40: {'time': '1997-11-16 16:04:47', 'p_a_conj': 4, 'p_a_maj': 18, 'p_a_allm': 22, 'p_a_min': 27, 'e': 0, 'all_conj': 4}
Row 41: {'time': '1997-11-16 11:58:47', 'p_a_conj': 5, 'p_a_maj': 15, 'p_a_allm': 20, 'p_a_min': 19, 'e': 2, 'all_conj': 5}
Row 42: {'time': '1997-11-16 01:26:39', 'p_a_conj': 4, 'p_a_maj': 19, 'p_a_allm': 23, 'p_a_min': 13, 'e': 0, 'all_conj': 4}
Row 43: {'time': '1997-11-16 09:17:04', 'p_a_conj': 5, 'p_a_maj': 15, 'p_a_allm': 20, 'p_a_min': 23, 'e': 1, 'all_conj': 5}
Row 44: {'time': '1997-11-16 02:22:08', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_allm': 20, 'p_a_min': 18, 'e': 1, 'all_conj': 4}
Row 45: {'time': '1997-11-16 15:52:56', 'p_a_conj': 9, 'p_a_maj': 13, 'p_a_allm': 22, 'p_a_min': 22, 'e': 1, 'all_conj': 9}
Row 46: {'time': '1997-11-16 13:12:15', 'p_a_conj': 10, 'p_a_maj': 18, 'p_a_allm': 28, 'p_a_min': 16, 'e': 1, 'all_conj': 10}
Row 47: {'time': '1997-11-16 07:20:31', 'p_a_conj': 1, 'p_a_maj': 15, 'p_a_allm': 16, 'p_a_min': 18, 'e': 1, 'all_conj': 1}
Row 48: {'time': '1997-11-16 06:09:36', 'p_a_conj': 7, 'p_a_maj': 17, 'p_a_allm': 24, 'p_a_min': 19, 'e': 2, 'all_conj': 7}
Row 49: {'time': '1997-11-16 03:05:19', 'p_a_conj': 1, 'p_a_maj': 25, 'p_a_allm': 26, 'p_a_min': 35, 'e': 0, 'all_conj': 1}
Row 50: {'time': '1997-11-16 05:18:40', 'p_a_conj': 2, 'p_a_maj': 8, 'p_a_allm': 10, 'p_a_min': 23, 'e': 1, 'all_conj': 2}
Row 51: {'time': '1997-11-16 03:25:51', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_allm': 18, 'p_a_min': 13, 'e': 1, 'all_conj': 4}
Row 52: {'time': '1997-11-16 08:50:56', 'p_a_conj': 7, 'p_a_maj': 11, 'p_a_allm': 18, 'p_a_min': 20, 'e': 0, 'all_conj': 7}
Row 53: {'time': '1997-11-16 03:55:12', 'p_a_conj': 7, 'p_a_maj': 12, 'p_a_allm': 19, 'p_a_min': 23, 'e': 0, 'all_conj': 7}
Row 54: {'time': '1997-11-16 09:30:00', 'p_a_conj': 2, 'p_a_maj': 11, 'p_a_allm': 13, 'p_a_min': 23, 'e': 1, 'all_conj': 2}
Row 55: {'time': '1997-11-16 07:31:36', 'p_a_conj': 6, 'p_a_maj': 12, 'p_a_allm': 18, 'p_a_min': 16, 'e': 1, 'all_conj': 6}
Row 56: {'time': '1997-11-16 03:23:51', 'p_a_conj': 3, 'p_a_maj': 12, 'p_a_allm': 15, 'p_a_min': 22, 'e': 0, 'all_conj': 3}
Row 57: {'time': '1997-11-16 15:26:56', 'p_a_conj': 5, 'p_a_maj': 16, 'p_a_allm': 21, 'p_a_min': 26, 'e': 0, 'all_conj': 5}
Row 58: {'time': '1997-11-16 11:42:08', 'p_a_conj': 2, 'p_a_maj': 15, 'p_a_allm': 17, 'p_a_min': 21, 'e': 4, 'all_conj': 2}
Row 59: {'time': '1997-11-16 09:37:27', 'p_a_conj': 2, 'p_a_maj': 24, 'p_a_allm': 26, 'p_a_min': 16, 'e': 1, 'all_conj': 2}
Row 60: {'time': '1997-11-16 03:32:31', 'p_a_conj': 4, 'p_a_maj': 19, 'p_a_allm': 23, 'p_a_min': 18, 'e': 2, 'all_conj': 4}
Row 61: {'time': '1997-11-16 03:04:15', 'p_a_conj': 2, 'p_a_maj': 19, 'p_a_allm': 21, 'p_a_min': 30, 'e': 1, 'all_conj': 2}
Row 62: {'time': '1997-11-16 05:06:48', 'p_a_conj': 9, 'p_a_maj': 11, 'p_a_allm': 20, 'p_a_min': 24, 'e': 0, 'all_conj': 9}
Row 63: {'time': '1997-11-16 03:35:43', 'p_a_conj': 3, 'p_a_maj': 14, 'p_a_allm': 17, 'p_a_min': 26, 'e': 0, 'all_conj': 3}
Row 64: {'time': '1997-11-16 01:33:27', 'p_a_conj': 5, 'p_a_maj': 19, 'p_a_allm': 24, 'p_a_min': 17, 'e': 0, 'all_conj': 5}
Row 65: {'time': '1997-11-16 05:30:48', 'p_a_conj': 6, 'p_a_maj': 15, 'p_a_allm': 21, 'p_a_min': 17, 'e': 2, 'all_conj': 6}
Row 66: {'time': '1997-11-16 05:24:23', 'p_a_conj': 8, 'p_a_maj': 9, 'p_a_allm': 17, 'p_a_min': 25, 'e': 0, 'all_conj': 8}
Row 67: {'time': '1997-11-16 11:55:52', 'p_a_conj': 8, 'p_a_maj': 17, 'p_a_allm': 25, 'p_a_min': 19, 'e': 0, 'all_conj': 8}
Row 68: {'time': '1997-11-16 11:06:24', 'p_a_conj': 8, 'p_a_maj': 18, 'p_a_allm': 26, 'p_a_min': 30, 'e': 0, 'all_conj': 8}
Row 69: {'time': '1997-11-16 16:02:31', 'p_a_conj': 4, 'p_a_maj': 19, 'p_a_allm': 23, 'p_a_min': 29, 'e': 0, 'all_conj': 4}
