['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-07 02:46:39', '0', "(Mercury,190.816,(r)) (POF,190.872,(d)) (conjunction,3.40')\n(Jupiter,35.138,(r)) (H10,335.107,(d)) (sextile,1.90')", "(Mars,208.924,(r)) (H1,73.861,(d)) (135-sesquisquare,3.77')", "(Uranus,316.690,(r)) (H1,76.738,(d)) (trine,2.90')", '4', '5', "(Mars,208.924,(r)) (H10,298.979,(c)) (square,3.33')", '7', '8', '9', '10', "(Mars,208.924,(r)) (H4,178.964,(d)) (30-semisextile,2.42')\n(Jupiter,35.138,(r)) (POF,215.173,(d)) (opposition,2.07')", '12', '13', "(Moon,279.551,(r)) (H4,99.477,(c)) (opposition,4.44')", "(Mean_Node,296.507,(r)) (H7,296.500,(d)) (conjunction,0.43')", "(Mars,208.924,(r)) (H8,208.931,(c)) (conjunction,0.46')", 10]
['1916-09-06 05:04:47', "(Venus,117.473,(r)) (H3,147.494,(c)) (30-semisextile,1.24')", '1', '2', '3', '4', "(Moon,266.665,(r)) (H10,26.751,(d)) (trine,5.13')", "(Saturn,116.805,(r)) (H1,71.759,(c)) (45-semisquare,2.78')\n(Neptune,123.869,(r)) (H3,123.996,(c)) (conjunction,7.64')", "(Mars,208.325,(r)) (H10,28.356,(d)) (opposition,1.85')", '8', "(H5,213.143,(r)) (H4,213.116,(d)) (conjunction,1.64')\n(Moon,266.665,(r)) (H4,146.732,(c)) (trine,4.03')", "(Venus,117.473,(r)) (H9,297.636,(c)) (opposition,9.78')\n(Jupiter,35.175,(r)) (H1,65.164,(c)) (30-semisextile,0.67')", '11', '12', '13', '14', '15', "(Saturn,116.805,(r)) (H4,116.741,(c)) (conjunction,3.86')", 10]
['1916-09-06 10:59:19', "(Moon,270.156,(r)) (H4,270.016,(d)) (conjunction,8.38')\n(Venus,117.699,(r)) (H4,267.787,(c)) (150-quincunx,5.30')\n(Venus,117.699,(r)) (H7,357.614,(c)) (trine,5.12')", '1', '2', '3', '4', "(Jupiter,35.165,(r)) (H3,215.151,(c)) (opposition,0.87')", '6', '7', '8', "(Venus,117.699,(r)) (H4,297.691,(d)) (opposition,0.47')\n(Mars,208.488,(r)) (H5,328.567,(d)) (trine,4.73')", "(Moon,270.156,(r)) (H1,210.064,(d)) (sextile,5.49')\n(H10,88.902,(r)) (H9,88.862,(d)) (conjunction,2.37')\n(Venus,117.699,(r)) (H1,147.641,(c)) (30-semisextile,3.49')", '11', '12', '13', '14', "(Neptune,123.876,(r)) (H4,213.927,(c)) (square,3.04')\n(Neptune,123.876,(r)) (H7,304.040,(c)) (opposition,9.82')", '16', 11]
['1916-09-07 01:52:39', "(Moon,279.013,(r)) (H4,129.099,(c)) (150-quincunx,5.16')", '1', '2', '3', '4', '5', '6', '7', "(Uranus,316.691,(r)) (H1,76.755,(d)) (trine,3.87')", '9', '10', "(Sun,164.102,(r)) (H4,164.270,(d)) (conjunction,10.12')", '12', '13', '14', '15', '16', 3]
['1916-09-06 05:12:47', '0', "(Uranus,316.720,(r)) (H1,106.714,(d)) (150-quincunx,0.36')", '2', "(Jupiter,35.175,(r)) (POF,215.175,(d)) (opposition,0.01')", "(Saturn,116.806,(r)) (H10,26.856,(d)) (square,3.04')", "(Jupiter,35.175,(r)) (H10,335.215,(c)) (sextile,2.42')", "(Moon,266.744,(r)) (H12,41.653,(c)) (135-sesquisquare,5.43')", '7', '8', "(Jupiter,35.175,(r)) (H4,215.193,(d)) (opposition,1.07')\n(H5,215.281,(r)) (H4,215.193,(d)) (conjunction,5.30')", '10', '11', '12', '13', '14', '15', '16', 7]
['1916-09-06 21:10:15', "(Venus,118.089,(r)) (H7,148.113,(d)) (30-semisextile,1.42')", '1', '2', "(Uranus,316.697,(r)) (H10,256.766,(d)) (sextile,4.10')", '4', '5', '6', "(Venus,118.089,(r)) (H7,178.019,(d)) (sextile,4.19')", '8', '9', '10', '11', '12', '13', '14', '15', '16', 3]
['1916-09-06 15:13:51', '0', '1', "(Saturn,116.848,(r)) (H4,341.855,(d)) (135-sesquisquare,0.42')", '3', '4', '5', '6', "(Jupiter,35.158,(r)) (H5,335.123,(c)) (sextile,2.10')\n(Jupiter,35.158,(r)) (H7,35.321,(c)) (conjunction,9.75')", "(Pluto,94.268,(r)) (H5,334.292,(c)) (trine,1.43')", "(Venus,117.861,(r)) (H1,267.944,(d)) (150-quincunx,4.99')\n(H4,330.543,(r)) (H5,330.465,(c)) (conjunction,4.70')", '10', "(Mars,208.605,(r)) (H5,328.640,(c)) (trine,2.09')", '12', '13', '14', "(Mercury,190.298,(r)) (H8,145.389,(d)) (45-semisquare,5.43')", "(Mean_Node,296.532,(r)) (H1,296.623,(d)) (conjunction,5.42')", 9]
['1916-09-06 15:06:32', '0', '1', "(Moon,272.598,(r)) (H4,317.670,(c)) (45-semisquare,4.30')", '3', '4', "(Jupiter,35.158,(r)) (H1,215.022,(c)) (opposition,8.17')", '6', '7', "(Venus,117.857,(r)) (H4,357.815,(d)) (trine,2.50')", "(Venus,117.857,(r)) (H4,297.721,(c)) (opposition,8.16')\n(Mars,208.602,(r)) (H5,328.598,(c)) (trine,0.20')\n(H4,328.621,(r)) (H5,328.598,(c)) (conjunction,1.36')", '10', '11', '12', '13', "(Sun,163.666,(r)) (H5,313.673,(c)) (150-quincunx,0.41')", "(Neptune,123.881,(r)) (H8,33.862,(c)) (square,1.17')", '16', 8]
['1916-09-06 14:47:12', '0', '1', "(Moon,272.407,(r)) (H8,92.484,(d)) (opposition,4.64')", '3', '4', '5', "(Moon,272.407,(r)) (H3,317.393,(d)) (45-semisquare,0.80')\n(Sun,163.653,(r)) (H10,118.634,(c)) (45-semisquare,1.15')\n(Mars,208.593,(r)) (H10,118.634,(c)) (square,2.46')", '7', "(Mean_Node,296.533,(r)) (H4,296.671,(c)) (conjunction,8.26')", "(Mean_Node,296.533,(r)) (H4,356.615,(d)) (sextile,4.93')\n(H4,323.598,(r)) (H5,323.716,(c)) (conjunction,7.04')", "(H9,112.365,(r)) (H10,112.247,(c)) (conjunction,7.10')", "(Mars,208.593,(r)) (H4,358.574,(d)) (150-quincunx,1.14')", '12', '13', "(Mean_Node,296.533,(r)) (POF,296.566,(c)) (conjunction,1.96')", "(H7,53.761,(r)) (H5,53.911,(d)) (conjunction,9.00')", '16', 11]
['1916-09-06 13:39:19', '0', "(Mean_Node,296.536,(r)) (H9,86.624,(c)) (150-quincunx,5.32')", "(Venus,117.801,(r)) (H1,207.714,(c)) (square,5.24')", '3', '4', "(Moon,271.736,(r)) (H10,151.794,(d)) (trine,3.51')", "(Sun,163.607,(r)) (H12,163.464,(c)) (conjunction,8.58')", '7', '8', "(Mercury,190.227,(r)) (H5,10.402,(d)) (opposition,10.52')", "(H9,96.416,(r)) (H10,96.443,(c)) (conjunction,1.63')", '11', '12', '13', '14', "(Moon,271.736,(r)) (POF,271.583,(c)) (conjunction,9.17')", '16', 7]
