['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 02:53:20', "(Mercury,21.393,(c)) (H5,81.547,(c)) (sextile,9.23')", "(POF,307.162,(r)) (Sun,127.177,(p)) (opposition,0.95')", '2', '3', '4', "(Saturn,288.923,(r)) (H8,288.906,(p)) (conjunction,0.98')\n(Moon,58.557,(p)) (POF,58.043,(p)) (conjunction,30.83')\n(Moon,58.557,(p)) (H4,148.514,(p)) (square,2.58')", '6', "(Mars,303.869,(r)) (H8,303.887,(p)) (conjunction,1.08')\n(H4,113.218,(r)) (Moon,293.169,(p)) (opposition,2.97')", "(Jupiter,123.685,(r)) (POF,303.866,(p)) (opposition,10.88')\n(POF,307.162,(r)) (H1,307.145,(c)) (conjunction,1.01')\n(H4,113.218,(r)) (Venus,353.396,(c)) (trine,10.70')", '9', 10]
['1813-05-22 04:53:36', "(H5,173.634,(r)) (Moon,353.776,(p)) (opposition,8.51')", "(H8,284.360,(r)) (Saturn,284.461,(p)) (conjunction,6.08')\n(Pluto,350.507,(r)) (H10,260.686,(c)) (square,10.74')", "(H8,284.360,(r)) (POF,104.205,(p)) (opposition,9.29')\n(Mean_Node,134.339,(r)) (H10,314.449,(c)) (opposition,6.58')", "(H7,268.198,(r)) (Venus,88.198,(p)) (opposition,0.00')\n(H5,173.634,(r)) (Mars,293.573,(c)) (trine,3.68')", '4', '5', "(Mars,303.901,(r)) (POF,303.931,(p)) (conjunction,1.82')\n(Mean_Node,134.339,(r)) (H1,14.385,(c)) (trine,2.72')", "(POF,344.554,(r)) (Moon,344.563,(c)) (conjunction,0.54')", "(H5,173.634,(r)) (Venus,353.500,(c)) (opposition,8.06')", "(Mars,303.901,(r)) (H5,243.983,(p)) (sextile,4.89')", 12]
['1813-05-22 07:52:07', "(Venus,130.263,(p)) (H10,70.395,(p)) (sextile,7.96')", '1', '2', "(Mercury,35.787,(r)) (H10,35.943,(p)) (conjunction,9.32')\n(Mercury,26.120,(c)) (POF,85.970,(c)) (sextile,8.98')", '4', '5', '6', "(Venus,59.928,(r)) (POF,60.082,(c)) (conjunction,9.21')", '8', '9', 4]
['1813-05-22 20:25:52', "(H10,200.485,(r)) (Mercury,140.307,(p)) (sextile,10.65')\n(Mercury,22.563,(c)) (H10,142.507,(c)) (trine,3.38')", '1', "(Saturn,289.155,(c)) (H8,109.271,(c)) (opposition,7.00')", "(Jupiter,120.860,(c)) (H7,60.873,(c)) (sextile,0.76')", "(Venus,60.572,(r)) (H7,60.608,(c)) (conjunction,2.20')", "(Pluto,350.671,(p)) (H8,170.723,(p)) (opposition,3.11')", '6', "(Neptune,254.554,(r)) (H4,74.433,(p)) (opposition,7.23')", "(Moon,315.885,(p)) (H4,75.433,(p)) (trine,27.15')", '9', 8]
['1813-05-22 05:54:00', '0', "(Uranus,233.893,(p)) (H10,53.910,(p)) (opposition,1.03')", "(H10,338.735,(r)) (Sun,68.707,(p)) (square,1.66')", "(H5,193.712,(r)) (Mercury,73.591,(p)) (trine,7.21')", "(Venus,59.827,(r)) (H7,299.673,(p)) (trine,9.26')", '5', '6', "(Saturn,288.918,(r)) (H4,108.948,(c)) (opposition,1.78')", "(H5,193.712,(r)) (Jupiter,133.681,(p)) (sextile,1.82')", '9', 6]
['1813-05-22 11:43:20', "(H5,286.444,(r)) (Moon,286.866,(c)) (conjunction,25.32')", "(Mean_Node,134.324,(r)) (H8,314.396,(c)) (opposition,4.30')\n(Moon,134.694,(c)) (H8,314.396,(c)) (opposition,17.86')", "(Pluto,350.510,(r)) (H1,170.378,(p)) (opposition,7.91')", "(Mercury,26.054,(c)) (H5,266.109,(c)) (trine,3.31')", "(Jupiter,127.698,(p)) (H5,307.542,(p)) (opposition,9.38')", "(POF,64.159,(r)) (Moon,64.044,(p)) (conjunction,6.89')\n(H1,164.418,(r)) (POF,344.368,(c)) (opposition,3.00')\n(Moon,230.728,(c)) (H1,141.048,(c)) (square,19.20')", '6', '7', '8', "(Uranus,235.728,(r)) (H5,235.693,(c)) (conjunction,2.12')", 10]
['1813-05-22 12:43:12', '0', "(Saturn,288.908,(r)) (H10,19.030,(c)) (square,7.31')", '2', '3', '4', "(Pluto,350.672,(p)) (POF,170.733,(p)) (opposition,3.69')", '6', "(H5,299.605,(r)) (POF,119.530,(c)) (opposition,4.49')", "(Moon,334.098,(c)) (H4,214.374,(c)) (trine,16.58')", '9', 4]
['1813-05-22 19:09:59', '0', '1', '2', '3', '4', "(Moon,234.420,(c)) (H4,324.229,(c)) (square,11.47')", "(Uranus,235.715,(r)) (H4,55.621,(p)) (opposition,5.66')", "(H8,98.240,(r)) (Mars,278.085,(c)) (opposition,9.31')", "(Uranus,234.028,(p)) (H1,294.084,(p)) (sextile,3.41')\n(H5,27.413,(r)) (Mercury,27.511,(c)) (conjunction,5.93')", "(Mercury,138.474,(p)) (H5,78.343,(p)) (sextile,7.85')", 6]
['1813-05-22 08:29:20', "(Moon,318.925,(r)) (H10,79.064,(p)) (trine,8.32')\n(H7,310.306,(r)) (Venus,130.294,(p)) (opposition,0.73')\n(Sun,115.480,(p)) (H5,295.381,(p)) (opposition,5.94')\n(Moon,355.799,(p)) (H5,295.381,(p)) (sextile,25.12')", '1', "(Saturn,289.167,(c)) (POF,289.187,(c)) (conjunction,1.23')", '3', '4', '5', "(Pluto,350.508,(r)) (H5,290.620,(p)) (sextile,6.68')\n(Pluto,350.584,(p)) (H5,290.620,(p)) (sextile,2.15')\n(H1,130.306,(r)) (Sun,10.356,(c)) (trine,2.99')", "(H8,327.584,(r)) (Uranus,237.625,(c)) (square,2.46')", "(Sun,112.124,(p)) (H5,292.271,(p)) (opposition,8.87')\n(Moon,331.618,(c)) (H1,91.214,(c)) (trine,24.25')", "(Sun,114.317,(p)) (H5,294.307,(p)) (opposition,0.62')\n(H5,240.297,(r)) (Moon,300.671,(c)) (sextile,22.41')", 13]
['1813-05-22 08:46:08', '0', '1', '2', "(Moon,268.171,(p)) (H5,267.773,(p)) (conjunction,23.88')\n(POF,31.548,(r)) (Venus,31.506,(c)) (conjunction,2.50')", "(Jupiter,120.773,(c)) (H10,0.646,(c)) (trine,7.62')", "(Saturn,288.914,(r)) (H1,109.095,(c)) (opposition,10.83')\n(Saturn,289.246,(c)) (H1,109.095,(c)) (opposition,9.11')", "(H1,133.274,(r)) (Jupiter,133.316,(p)) (conjunction,2.50')", '7', "(Jupiter,123.721,(r)) (H5,183.584,(c)) (sextile,8.25')", "(Sun,60.802,(r)) (H5,180.805,(c)) (trine,0.17')\n(Moon,300.822,(c)) (H5,180.805,(c)) (trine,1.06')", 9]
